,Bari,,
,Ex Ciapi,,
Parm,SO2,NO2,PM10



13/01/2010 19.00,"4,49710993","68,38227848","31,10000038"
13/01/2010 20.00,"4,2532913","63,75537232","31,10000038"
13/01/2010 21.00,"4,59102581","64,91825072","31,10000038"
13/01/2010 22.00,"4,4519592","62,75468888","31,10000038"
13/01/2010 23.00,"4,31289157","57,88767376","31,10000038"
14/01/2010 0.00,"4,07810186","41,38654016","31,10000038"
14/01/2010 1.00,,"21,22537968","38,5"
14/01/2010 2.00,"4,08893901",,"38,5"
14/01/2010 3.00,"4,15576405","13,32395173","38,5"
14/01/2010 4.00,"4,04198107","13,41480614","38,5"
14/01/2010 5.00,"4,13047838","18,83471813","38,5"
14/01/2010 6.00,"4,21175092","27,52786704","38,5"
14/01/2010 7.00,"4,30747299","37,14249288","38,5"
14/01/2010 8.00,"4,58560724","52,01221248","38,5"
14/01/2010 9.00,"4,72467487","59,71248656","38,5"
14/01/2010 10.00,"4,30024924","40,30930024","38,5"
14/01/2010 11.00,"4,17563013","42,82327432","38,5"
14/01/2010 12.00,"4,22800563","48,3470232","38,5"
14/01/2010 13.00,"3,984187","35,92898472","38,5"
14/01/2010 14.00,"4,07449049","42,1379944","38,5"
14/01/2010 15.00,"3,96793229","27,78614","38,5"
14/01/2010 16.00,"3,99502313","33,73947704","38,5"
14/01/2010 17.00,"3,99321694","52,90385456","38,5"
14/01/2010 18.00,"4,06365436","63,38027616","38,5"
14/01/2010 19.00,"4,41222501","69,09870488","38,5"
14/01/2010 20.00,"4,51155845","69,81643144","38,5"
14/01/2010 21.00,"4,39777649","53,7228024","38,5"
14/01/2010 22.00,"4,22439426","49,67993576","38,5"
14/01/2010 23.00,"4,03836869","37,96404104","38,5"
15/01/2010 0.00,"4,05281721","35,84332712","38,5"
15/01/2010 1.00,"4,09616276","30,80627784","37,59999084"
15/01/2010 2.00,"4,28760691","33,68496592","37,59999084"
15/01/2010 3.00,"4,0365625","27,50838376","37,59999084"
15/01/2010 4.00,"4,15395684","31,53178624","37,59999084"
