NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NO2,PM10,O3



14/01/2010 6.00,"2,172701","7,739212","35,400002","77,456737"
14/01/2010 7.00,"2,089621","8,115594","35,400002","78,584708"
14/01/2010 8.00,"2,291901","10,969609","35,400002","66,602159"
14/01/2010 9.00,"2,275646","14,438825","35,400002","67,160041"
14/01/2010 10.00,"1,80968","11,780782","35,400002","69,137042"
14/01/2010 11.00,"2,430968","13,378461","35,400002","67,636706"
14/01/2010 12.00,"2,380398","12,314201","35,400002","71,535192"
14/01/2010 13.00,"2,438192","11,991033","35,400002","84,003881"
14/01/2010 14.00,"2,362337","11,242162","35,400002","84,40741"
14/01/2010 15.00,"2,393041","9,965063","35,400002","89,859071"
14/01/2010 16.00,"2,329828","16,946316","35,400002","64,929806"
14/01/2010 17.00,"2,609768","32,185917","35,400002","45,915323"
14/01/2010 18.00,"2,886097","47,056938","35,400002","32,421562"
14/01/2010 19.00,"2,551974","38,192466","35,400002","31,131097"
14/01/2010 20.00,"2,593515","39,322916","35,400002","33,498084"
14/01/2010 21.00,"2,48515","48,470308","35,400002","26,942814"
14/01/2010 22.00,"2,728969","54,104378","35,400002","23,231196"
14/01/2010 23.00,"2,371367","27,803003","35,400002","56,56545"
15/01/2010 0.00,"15,766977","15,839223","35,400002",
15/01/2010 1.00,"2,20521","10,989076","24,700001","74,557577"
15/01/2010 2.00,"2,315379","7,846934","24,700001","76,617196"
15/01/2010 3.00,"2,389428","6,472489","24,700001","82,117609"
15/01/2010 4.00,"2,275646","7,153872","24,700001","81,6044"
15/01/2010 5.00,"2,369561","7,246021","24,700001","81,822413"
15/01/2010 6.00,"2,163669","8,791785","24,700001","82,965285"
15/01/2010 7.00,"2,192566","12,019585","24,700001","77,257689"
15/01/2010 8.00,"2,317186","20,515454","24,700001","66,775484"
15/01/2010 9.00,"2,131161","21,954787","24,700001","68,721344"
15/01/2010 10.00,"2,26481","17,05014","24,700001","75,558274"
15/01/2010 11.00,"19,155155","11,211016","24,700001",
15/01/2010 12.00,"20,032906","8,516637","24,700001",
15/01/2010 13.00,"2,447222","10,886543","24,700001","87,934893"
15/01/2010 14.00,"2,521271","9,518593","24,700001","83,957861"
15/01/2010 15.00,"2,405683","8,560765","24,700001","84,244922"
15/01/2010 16.00,"2,308156","9,772978","24,700001","96,101544"
15/01/2010 17.00,"2,449029","12,615308","24,700001","80,676823"
15/01/2010 18.00,"2,277452","14,170166","24,700001","71,995578"
15/01/2010 19.00,"2,239524","12,035168","24,700001","82,009261"
15/01/2010 20.00,"2,257585","13,320055","24,700001","82,156871"
15/01/2010 21.00,"1,954166","12,168847","24,700001","84,473765"
15/01/2010 22.00,"2,14561","9,528978","24,700001","91,512467"
15/01/2010 23.00,"2,026409","6,116872","24,700001","99,94589"
16/01/2010 0.00,"2,165476","5,613295","24,700001","94,92753"
16/01/2010 1.00,"18,871604","7,400361",27,
16/01/2010 2.00,"1,834966",,27,
16/01/2010 3.00,"1,96139","6,102593",27,"79,000445"
16/01/2010 4.00,"2,185343","4,864424",27,"77,994322"
16/01/2010 5.00,"2,138385","5,744382",27,"72,671306"
16/01/2010 6.00,"2,313573","6,17787",27,"74,439754"
16/01/2010 7.00,"2,257585","7,18502",27,"73,134409"
16/01/2010 8.00,"2,241331","8,433571",27,"73,175025"
16/01/2010 9.00,"2,255779","10,494591",27,"70,915011"
16/01/2010 10.00,"2,203404","8,447851",27,"72,919083"
16/01/2010 11.00,"2,201598","7,012403",27,"77,199455"
16/01/2010 12.00,"2,387622","8,835914",27,"79,770914"
16/01/2010 13.00,"2,295513","8,427085",27,"93,243008"
16/01/2010 14.00,"2,398459","7,966338",27,"99,462482"
16/01/2010 15.00,"2,194373","5,244702",27,"106,361672"
16/01/2010 16.00,"2,161863","5,451062",27,"106,375196"
16/01/2010 17.00,"2,270228","7,00851",27,"102,419868"
16/01/2010 18.00,"2,315379","8,589318",27,"98,819273"
16/01/2010 19.00,"2,40207","9,358957",27,"95,197012"
16/01/2010 20.00,"2,340664","9,5147",27,"93,030422"
16/01/2010 21.00,"2,082397","10,39206",27,"88,291018"
16/01/2010 22.00,"2,129355","10,281736",27,"90,59572"
16/01/2010 23.00,"2,00293","11,963781",27,"86,067571"
17/01/2010 0.00,"2,129355","9,203211",27,"87,085863"
17/01/2010 1.00,"2,0535","6,491957","47,900002","88,782546"
17/01/2010 2.00,"1,784396","5,319977","47,900002","87,387825"
17/01/2010 3.00,"2,170894","4,2687","47,900002","89,272742"
17/01/2010 4.00,"2,118519","3,736574","47,900002","90,110958"
17/01/2010 5.00,"2,297319","3,497765","47,900002","88,357372"
17/01/2010 6.00,"1,997512","4,25702","47,900002","85,840061"
17/01/2010 7.00,"2,0535","4,702191","47,900002","82,342388"
17/01/2010 8.00,"2,161863","6,92804","47,900002","75,835875"
17/01/2010 9.00,"2,152833","12,215567","47,900002","65,709795"
17/01/2010 10.00,"1,963196","9,98453","47,900002","49,035205"
17/01/2010 11.00,"2,33344","8,015658","47,900002","54,366364"
17/01/2010 12.00,"2,43458","10,933272","47,900002","64,359739"
17/01/2010 13.00,"2,510435","8,495872","47,900002","82,202921"
17/01/2010 14.00,"2,49418","5,622381","47,900002","83,991697"
17/01/2010 15.00,"2,602545","5,883255","47,900002","71,868303"
17/01/2010 16.00,"2,68743","8,475105","47,900002","65,671888"
17/01/2010 17.00,"2,896934","18,09493","47,900002","60,83497"
17/01/2010 18.00,"2,615187","23,783501","47,900002","48,836165"
17/01/2010 19.00,"2,855394","40,319681","47,900002","32,231997"
17/01/2010 20.00,"2,868037","35,768051","47,900002","33,605058"
17/01/2010 21.00,"2,734387","33,805669","47,900002","31,96387"
17/01/2010 22.00,"2,824691","21,168286","47,900002","34,209002"
17/01/2010 23.00,"2,495986","15,660117","47,900002","47,450896"
18/01/2010 0.00,"2,369561","15,81716","47,900002","30,708616"
18/01/2010 1.00,"2,568229","14,942402","31,6","36,948379"
18/01/2010 2.00,"2,217852",,"31,6","31,986891"
18/01/2010 3.00,"2,373173","10,578949","31,6","29,35044"
18/01/2010 4.00,"2,461671","7,382297","31,6","65,149181"
18/01/2010 5.00,"2,588096","6,149319","31,6","84,204298"
18/01/2010 6.00,"2,456253","4,687914","31,6","86,905749"
18/01/2010 7.00,"2,344276","6,467296","31,6","79,60166"
18/01/2010 8.00,"2,385817","7,678211","31,6","73,715313"
18/01/2010 9.00,"2,306349","8,430979","31,6","70,868961"
18/01/2010 10.00,"2,515853","9,99751","31,6","65,287293"
18/01/2010 11.00,"2,564617","10,516655","31,6","66,637372"
18/01/2010 12.00,"2,405683","8,38685","31,6","77,772245"
18/01/2010 13.00,"2,463477","9,095487","31,6","86,009337"
18/01/2010 14.00,"2,483344","8,089637","31,6","92,217959"
18/01/2010 15.00,"2,618799","8,555572","31,6","93,363525"
18/01/2010 16.00,"2,505016","8,491978","31,6","94,655347"
18/01/2010 17.00,"2,423744","8,72819","31,6","91,780571"
18/01/2010 18.00,"2,411102","10,845013","31,6","85,227993"
18/01/2010 19.00,"2,427356","15,043633","31,6","60,497798"
18/01/2010 20.00,"2,201598","21,23188","31,6","48,848353"
18/01/2010 21.00,"2,40207","24,207908","31,6","40,650519"
18/01/2010 22.00,"2,465283","20,65044","31,6","35,266574"
18/01/2010 23.00,"2,488762","12,633486","31,6","48,526059"
19/01/2010 0.00,"2,344276","10,615292","31,6","52,98245"
19/01/2010 1.00,"2,335246","8,399829","9,3","64,747029"
19/01/2010 2.00,"2,335246","7,147381","9,3","63,077393"
19/01/2010 3.00,"2,37498","6,795659","9,3","64,711816"
19/01/2010 4.00,"2,642278","5,292722","9,3","72,862226"
19/01/2010 5.00,"2,293707","5,421212","9,3","76,523749"
19/01/2010 6.00,"2,430968","3,517233","9,3","91,819833"
19/01/2010 7.00,"2,362337","4,302445","9,3","89,638365"
19/01/2010 8.00,"2,028215","7,874189","9,3","79,987587"
19/01/2010 9.00,"2,309961","9,264211","9,3","78,988253"
