,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



08/01/2010 6.00,"4,93598509","4,66584978","1,02710827","33,70000076"
08/01/2010 7.00,"4,99016678","7,79631766","1,22676248","33,70000076"
08/01/2010 8.00,"5,05879801","13,87165369","1,23798026","33,70000076"
08/01/2010 9.00,"5,04615467","17,97552269","1,02228983","33,70000076"
08/01/2010 10.00,"5,45071422","21,51481824","1,16072445","33,70000076"
08/01/2010 11.00,"5,74691038","30,80239648","1,60087427","33,70000076"
08/01/2010 12.00,"5,31706516","28,6128888","1,26025623","33,70000076"
08/01/2010 13.00,"5,31706516","30,70245624","1,29797543","33,70000076"
08/01/2010 14.00,"5,2755258","21,34478408","1,10957629","33,70000076"
08/01/2010 15.00,"4,97571827","13,84179972","0,76307384","33,70000076"
08/01/2010 16.00,"5,13465197","19,06313903","0,68818764","33,70000076"
08/01/2010 17.00,"4,93959748","12,10264834","0,63028597","33,70000076"
08/01/2010 18.00,"4,95585219","13,31876256","0,95396025","33,70000076"
08/01/2010 19.00,"5,06963415","15,01248673","1,20519833","33,70000076"
08/01/2010 20.00,"5,08227647","29,08918712","1,14634835","33,70000076"
08/01/2010 21.00,"5,0425433","21,70431656","1,10689097","33,70000076"
08/01/2010 22.00,"4,99760512","26,2152408","1,21221046","33,70000076"
08/01/2010 23.00,"4,93056652","23,20724416","0,8253594","33,70000076"
09/01/2010 0.00,"5,0768579","18,16501527","0,75292203","33,70000076"
09/01/2010 1.00,"4,95043361","14,96316286","1,0182601","14,80000019"
09/01/2010 2.00,"4,87999721","12,62828774","1,12016265","14,80000019"
09/01/2010 3.00,"4,73912339","3,49127567","1,13686875","14,80000019"
09/01/2010 4.00,"4,79330508","2,8124889","1,0251336","14,80000019"
09/01/2010 5.00,"4,61089291","3,81574398","1,1051924","14,80000019"
09/01/2010 6.00,"4,8438754","8,01176374","1,18687171","14,80000019"
09/01/2010 7.00,"4,81859075","11,50952874","1,30034504","14,80000019"
09/01/2010 8.00,"5,01725865","15,26945762","1,38557877","14,80000019"
09/01/2010 9.00,"4,96668832","20,22473448","1,61935816","14,80000019"
09/01/2010 10.00,"4,74454196","21,09561224","1,12719226","14,80000019"
09/01/2010 11.00,"4,8438754","22,8814776","1,14184563","14,80000019"
09/01/2010 12.00,"4,3417886","12,86190546","0,95767311","14,80000019"
