,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



03/01/2010 3.00,"7,60027266","7,01986785","18,60803986","11,91574955","0,24765803","57,24614595","0,6482836"
03/01/2010 4.00,"6,98258767","5,62465277","18,60803986","11,91574955","0,24507989","57,10593735","0,62285046"
03/01/2010 5.00,"4,89770081","4,22538616","18,60803986","11,91574955","0,20290689","68,04009345","0,65400931"
03/01/2010 6.00,"4,52400997","3,72489339","18,60803986","11,91574955","0,18919833","71,33850675","0,54363125"
03/01/2010 7.00,"4,00521936","3,4523397","18,60803986","11,91574955","0,22212007","72,9568707","0,48423133"
03/01/2010 8.00,"7,4673313","6,32307004","18,60803986","11,91574955","0,25175301","56,6498205","0,56383497"
03/01/2010 9.00,"6,16468187","4,70803041","18,60803986","11,91574955","0,27189702","55,6227147","0,89216122"
03/01/2010 10.00,"5,8063941","4,58310989","18,60803986","11,91574955","0,29838097","50,3790567","1,03617554"
03/01/2010 11.00,"6,95583688","5,84204717","18,60803986","11,91574955","0,3035326","49,1154237","1,23171718"
03/01/2010 12.00,"7,54596038","5,5240701","18,60803986","11,91574955","0,30579852","52,39187205","1,25131578"
03/01/2010 13.00,"7,75671823","6,01401436","18,60803986","11,91574955","0,27611316","59,1204684","1,31473489"
03/01/2010 14.00,"7,2922399","6,06917556","18,60803986","11,91574955","0,32236715","61,63925565","1,40821142"
03/01/2010 15.00,"5,59482366","4,18401622","18,60803986","11,91574955","0,2683729","68,2858974","1,20843093"
03/01/2010 16.00,"7,18524055","5,67737999","18,60803986","11,91574955","0,34699409","62,9983095","1,22081697"
03/01/2010 17.00,"8,90210948","7,29160894","18,60803986","11,91574955","0,30959409","59,91106695","1,24509479"
03/01/2010 18.00,"11,92325112","9,88086228","18,60803986","11,91574955","0,35652029","52,0286823","1,21487159"
03/01/2010 19.00,"12,65847248","10,47220373","18,60803986","11,91574955","0,38693262","58,36194945","1,1925759"
03/01/2010 20.00,"10,46334352","9,13945369","18,60803986","11,91574955","0,32471346","59,3054448","1,255995"
03/01/2010 21.00,"14,63879015","13,32427677","18,60803986","11,91574955","0,32816536","53,55244335","1,03898246"
03/01/2010 22.00,"14,34778184","12,91139184","18,60803986","11,91574955","0,31561598","59,15340585","1,02213687"
03/01/2010 23.00,"11,62494662","10,10393532","18,60803986","11,91574955","0,2936732","60,8756694","0,88588531"
04/01/2010 0.00,"8,66217069","7,77993182","18,60803986","11,91574955","0,29424405","58,30197975","0,80958387"
04/01/2010 1.00,"7,5451497","6,95416197","25,73870087","17,72892952","0,29203987","53,5102092","0,77292"
04/01/2010 2.00,,,"25,73870087","17,72892952","0,2560705","53,43250395","0,7783701"
04/01/2010 3.00,"6,78723098","5,90369578","25,73870087","17,72892952",,"56,64812475","0,61437275"
04/01/2010 4.00,"4,92769244","4,28541149","25,73870087","17,72892952","0,12368106","55,519653","0,63419103"
