Comune Lecce,,,,,,
,Via_Romagna,,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



06/01/2010 21.00,"48,06976408","44,72726304",,"0,6184787",,"22,97615565"
06/01/2010 22.00,"38,1829268","35,89653808",,"0,52980705",,"30,95384145"
06/01/2010 23.00,"37,14016024","34,70119392",,"0,56423979",,"28,01169525"
07/01/2010 0.00,"37,58242496","35,38387352",,"0,57814057",,"26,61024765"
07/01/2010 1.00,"22,03428952","20,26756328",,"0,48256281",,"37,4719254"
07/01/2010 2.00,"20,7567676","19,15917688",,"0,44286077",,"30,295671"
07/01/2010 3.00,"14,14221125","12,91122932",,"0,43018674",,"33,83378355"
07/01/2010 4.00,"10,90236931","9,54065821",,"0,37008788",,"38,01251055"
07/01/2010 5.00,"12,15394922","11,1565047",,"0,33438296",,"33,55133145"
07/01/2010 6.00,"17,74391066","16,35447746",,"0,32066392",,"37,54356585"
07/01/2010 7.00,"45,54066608","42,4507976",,"0,33551884",,"15,23635365"
07/01/2010 8.00,"53,627298","46,10170424",,"0,43454733",,"18,22308212"
07/01/2010 9.00,"73,28814544","52,9116364",,"0,76765811",,"14,43088437"
07/01/2010 10.00,"65,84868728","46,83629464",,"0,60916569",,"19,04342612"
07/01/2010 11.00,"41,34495416","31,43574648",,"0,5003244",,"37,3178715"
07/01/2010 12.00,"29,00423696","22,3026196",,"0,42469027",,"53,061015"
07/01/2010 13.00,"18,81650824","15,54331529",,"0,3255243",,"65,5471614"
07/01/2010 14.00,"22,58031848","16,53747881",,"0,38457932",,"66,91483365"
07/01/2010 15.00,"15,34061652","11,21101582",,"0,31434962",,"74,2938"
07/01/2010 16.00,"13,54300957","11,26942169",,"0,32547887",,"73,86808695"
07/01/2010 17.00,"33,22715664","30,59083368",,"0,44404208",,"49,5147828"
07/01/2010 18.00,"68,829132","57,77477016",,"0,52903466",,"21,4125345"
07/01/2010 19.00,"31,94189112","29,53305792",,"0,41342472",,"37,6935699"
07/01/2010 20.00,"16,44953063","15,14096739",,"0,42914173",,"59,13987975"
07/01/2010 21.00,"16,37171223","15,20196784",,"0,42696202",,"59,00880825"
07/01/2010 22.00,"9,754546","8,46472227",,"0,31344092",,"70,16644425"
07/01/2010 23.00,"6,77928662","5,55618978",,"0,26877016",,"71,11111665"
08/01/2010 0.00,"5,34742615","4,51270049",,"0,27518465",,"69,99886425"
08/01/2010 1.00,"4,25018671","3,01365807",,"0,2505915",,"72,46663935"
08/01/2010 2.00,,,,"0,25186368",,"71,6098068"
08/01/2010 3.00,"8,94782922","7,49521208",,,,"73,4694261"
