,Comune Modugno,,,,
,Enaip,,,,
Parm,CO,NO2,O3,SO2,PM10



06/01/2010 21.00,"0,5485787","41,51485448","32,79594465","6,46662806","18,5"
06/01/2010 22.00,"0,47083592","25,52120392","41,14298475","6,23725897","18,5"
06/01/2010 23.00,"0,57690917","45,96153552","15,85092537","6,13521522","18,5"
07/01/2010 0.00,"0,66800634","54,8211508","13,08482994","6,43502174","18,5"
07/01/2010 1.00,"0,53202172","32,92498416","22,9184004","5,60603758","15,60000038"
07/01/2010 2.00,"0,47239702","29,55026592","26,21160675","5,89320176","15,60000038"
07/01/2010 3.00,"0,36081215","6,24298783","56,16298065","5,61867787","15,60000038"
07/01/2010 4.00,"0,34014738","4,74303722","57,1021668","5,59158702","15,60000038"
07/01/2010 5.00,"0,35296937","9,10346602","54,24809985","5,74781246","15,60000038"
07/01/2010 6.00,"0,386081","13,05599449","51,6734925","5,71169066","15,60000038"
07/01/2010 7.00,"0,45562335","31,96976808","36,3720021","5,93384007","15,60000038"
07/01/2010 8.00,"0,56402776","49,45753192","19,52980712","6,1740453","15,60000038"
07/01/2010 9.00,"0,64092009","54,16229472","20,55490395","6,39980506","15,60000038"
07/01/2010 10.00,"0,58994785","52,33809376","30,8181615","6,82242449","15,60000038"
07/01/2010 11.00,"0,4860881","40,37352432","42,6126414","6,0114992","15,60000038"
07/01/2010 12.00,"0,42810372","31,27070264","55,94847825","6,21739085","15,60000038"
07/01/2010 13.00,"0,4845468","38,37942304","51,4941819","6,48559308","15,60000038"
07/01/2010 14.00,"0,45513055","34,80363888","53,71220295","6,05664994","15,60000038"
07/01/2010 15.00,"0,38590276","20,26003","67,0399401","5,89229867","15,60000038"
07/01/2010 16.00,"0,51623713","45,8331256","41,31686895","6,1162502","15,60000038"
07/01/2010 17.00,"0,75495379","70,69159208","20,86073745","7,39585079","15,60000038"
07/01/2010 18.00,"0,6962972","64,68204224","28,7997402","6,93530438","15,60000038"
07/01/2010 19.00,"0,70570108","60,05899832","26,40580005","6,30950054","15,60000038"
07/01/2010 20.00,"0,69667233","56,29710008","24,77983515","6,26796016","15,60000038"
07/01/2010 21.00,"0,79262989","61,1724324","23,14102245","6,41425154","15,60000038"
07/01/2010 22.00,"0,60255315","49,47697696","36,29892525","6,40341541","15,60000038"
07/01/2010 23.00,"0,59956958","55,85550456","30,41962035","6,52171285","15,60000038"
08/01/2010 0.00,"0,49879126","17,21798638","62,31025395","6,10541407","15,60000038"
08/01/2010 1.00,,"10,53986558","71,24322555","5,63132223","29,70000076"
08/01/2010 2.00,"0,39131651","9,86608634","68,890542","5,62861193","29,70000076"
08/01/2010 3.00,"0,39022957",,"64,19604765","5,62680675","29,70000076"
08/01/2010 4.00,"0,36434909","6,29356979",,"5,94377107","29,70000076"
08/01/2010 5.00,"0,38675321","9,04575039","59,0664438",,"29,70000076"
08/01/2010 6.00,"0,4310267","20,3949216","49,8086862","5,83450459","29,70000076"
08/01/2010 7.00,"0,43665715","31,86210336","44,0051514","6,29776131","29,70000076"
08/01/2010 8.00,"0,42816197","29,53470224","51,83790045","6,36006884","29,70000076"
08/01/2010 9.00,"0,46020762","33,932742","53,37524745","6,28421487","29,70000076"
08/01/2010 10.00,"0,43264722","23,3461892","56,57506785","6,30137471","29,70000076"
08/01/2010 11.00,"0,42053588","21,59850648","57,0974187","6,06297161","29,70000076"
08/01/2010 12.00,"0,43296293","25,07698896","55,6419864","6,16140399","29,70000076"
08/01/2010 13.00,"0,43159988","24,49335096","57,64618335","5,98169805","29,70000076"
08/01/2010 14.00,"0,43023683","20,97725944","60,76412895","6,59214925","29,70000076"
08/01/2010 15.00,"0,42954482","24,20542288","61,2107097","5,39111395","29,70000076"
08/01/2010 16.00,"0,42365808","19,82099656","61,0855434","5,73697633","29,70000076"
08/01/2010 17.00,"0,4417948","25,5069404","57,74158425","6,29595309","29,70000076"
08/01/2010 18.00,"0,4714289","31,03399704","56,2252446","5,96273609","29,70000076"
08/01/2010 19.00,"0,49598594","30,87706008","53,88002235","5,72072162","29,70000076"
08/01/2010 20.00,"0,44720739","24,26314616","55,9660941","6,06116542","29,70000076"
08/01/2010 21.00,"0,45264095","21,5498652","54,7163463","6,06658399","29,70000076"
08/01/2010 22.00,"0,41172498","13,80434938","57,76053675","5,86159544","29,70000076"
08/01/2010 23.00,"0,39850806","13,16883308","58,6462569","5,83089119","29,70000076"
09/01/2010 0.00,"0,37547135","7,68846557","62,69728395","5,78303219","29,70000076"
09/01/2010 1.00,"0,34534328","5,43626914","65,44846875","5,84805103","25,7999897"
09/01/2010 2.00,"0,33661044","3,6840569","68,0643726","5,70266173","25,7999897"
09/01/2010 3.00,"0,34388121","2,84102359","71,89211925","5,62680675","25,7999897"
09/01/2010 4.00,"0,33364785","2,3455785","71,88330135","5,69814625","25,7999897"
09/01/2010 5.00,"0,32955753","3,3098785","63,91726635","5,667442","25,7999897"
09/01/2010 6.00,"0,34629159","5,73262723","57,6238593","6,03407457","25,7999897"
09/01/2010 7.00,"0,39505034","20,90269144","49,14624645","6,36729564","25,7999897"
09/01/2010 8.00,"0,56955918","57,80809632","20,3485212","7,50782554","25,7999897"
09/01/2010 9.00,"0,66417349","70,92892864","15,58568414","8,07132083","25,7999897"
09/01/2010 10.00,"0,68871072","52,33939392","32,43193695","7,15564149","25,7999897"
09/01/2010 11.00,"0,58417877","44,87919056","38,1718512","6,99309642","25,7999897"
09/01/2010 12.00,"0,44499505","23,63151696","52,63226955","6,7980409","25,7999897"
09/01/2010 13.00,"0,45420088","34,26541088","43,7270484","6,17675255","25,7999897"
09/01/2010 14.00,"0,45680932","22,88120992","54,6324366","6,02233534","25,7999897"
09/01/2010 15.00,"0,40625298","12,66301157","63,79006515","5,60874483","25,7999897"
09/01/2010 16.00,"0,40664791","14,62598358","65,03845635","5,74871556","25,7999897"
09/01/2010 17.00,"0,48513979","32,15005056","47,7185247","6,23996622","25,7999897"
09/01/2010 18.00,"0,57845046","38,96629232","37,29291405","6,19933097","25,7999897"
09/01/2010 19.00,"0,58287513","43,24177288","38,75512935","6,26705707","25,7999897"
09/01/2010 20.00,"0,51995115","36,49944904","44,068752","6,0828387","25,7999897"
09/01/2010 21.00,"0,59668504","47,92644056","35,54309955","6,00066307","25,7999897"
09/01/2010 22.00,"0,54190092","36,59929368","42,21410025","5,88056045","25,7999897"
09/01/2010 23.00,"0,41138946","13,85428317","57,1481715","5,75774652","25,7999897"
10/01/2010 0.00,"0,40897908","13,31798438","54,23389545","5,46967923","25,7999897"
10/01/2010 1.00,,"15,61881826","52,2405114","5,58707256","8,69999981"
10/01/2010 2.00,"0,44768154","25,63470024","41,261388","5,51934545","8,69999981"
10/01/2010 3.00,"0,42257113",,"51,54694965","5,61416341","8,69999981"
10/01/2010 4.00,"0,378159","10,49057996",,"5,58978185","8,69999981"
10/01/2010 5.00,"0,36000248","6,58409246","55,84629435",,"8,69999981"
10/01/2010 6.00,"0,36203773","5,09581269","59,4081474","5,68189154","8,69999981"
10/01/2010 7.00,"0,38467834","6,71573557","56,9837436","5,7017566","8,69999981"
10/01/2010 8.00,"0,38734503","6,09513287","60,76412895","5,60603758","8,69999981"
10/01/2010 9.00,"0,42413223","8,81618611","55,92617415","5,65209039","8,69999981"
10/01/2010 10.00,"0,51204896","13,86595593","50,4420189","5,76948575","8,69999981"
10/01/2010 11.00,"0,6599061","13,28361426","61,4867778","6,08013145","8,69999981"
10/01/2010 12.00,"0,57141619","7,66706646","69,42913215","6,02955909","8,69999981"
10/01/2010 13.00,"0,4818009","5,86686493","72,81775935","5,8706264","8,69999981"
10/01/2010 14.00,"0,43491897","6,45828477","72,2439774","5,35499418","8,69999981"
10/01/2010 15.00,"0,42225542","5,19892302","70,85823045","5,54553421","8,69999981"
10/01/2010 16.00,"0,43120495","6,04455091","68,4351633","5,44168224","8,69999981"
10/01/2010 17.00,"0,42668125","11,32323684","63,2987964","5,70717823","8,69999981"
10/01/2010 18.00,"0,48747095","18,08695978","49,1083614","5,53198777","8,69999981"
10/01/2010 19.00,"0,48168323","14,47942495","50,718087","5,57171993","8,69999981"
10/01/2010 20.00,"0,48419148","12,84069755","52,17150435","5,5599807","8,69999981"
10/01/2010 21.00,"0,5115748","16,34771663","43,4523369","5,44529564","8,69999981"
10/01/2010 22.00,"0,49839632","14,00602905","45,49308225","5,31616207","8,69999981"
10/01/2010 23.00,"0,46006899","6,22353323","53,37117765","5,50579799","8,69999981"
11/01/2010 0.00,"0,45848808","5,10100186","51,55169775","5,51031449","8,69999981"
11/01/2010 1.00,"0,48511998","10,76683528","42,64781325","5,25475662","16,89999962"
11/01/2010 2.00,"0,46577865","11,42504893","38,61436215","5,39382425","16,89999962"
11/01/2010 3.00,"0,46704268","11,1967829","40,29854115","4,94501605","16,89999962"
11/01/2010 4.00,"0,4181651","2,84750718","61,41641415","5,50579799","16,89999962"
11/01/2010 5.00,"0,41533998","3,42790434","59,4040776","5,51663514","16,89999962"
11/01/2010 6.00,"0,41093511","5,0329098","59,72142225","5,45793797","16,89999962"
11/01/2010 7.00,"0,4643958","21,47399704","40,80128115","5,60332625","16,89999962"
11/01/2010 8.00,"0,51919973","38,81585616","27,28272225","5,61235823","16,89999962"
11/01/2010 9.00,"0,6012099","53,1098152","15,87731523","5,87965736","16,89999962"
11/01/2010 10.00,"0,72830325","57,76010512","12,4596149","6,27969838","16,89999962"
11/01/2010 11.00,"0,68177664","57,6349456","18,7151369","6,49010551","16,89999962"
11/01/2010 12.00,"0,52305238","40,37415528","32,1815844","6,06929125","16,89999962"
11/01/2010 13.00,"0,52453426","39,95976752","34,0166253","6,10992955","16,89999962"
11/01/2010 14.00,"0,52917679","36,52669504","38,20095825","5,94015971","16,89999962"
11/01/2010 15.00,"0,52244076","34,85618064","36,82061775","5,90855338","16,89999962"
11/01/2010 16.00,"0,50136008","34,85424952","37,650837","5,87604396","16,89999962"
11/01/2010 17.00,"0,52153206","36,35289424","33,6864129","5,65028521","16,89999962"
11/01/2010 18.00,"0,58408091","42,4058656","21,7654101","5,63312842","16,89999962"
11/01/2010 19.00,"0,57947683","50,9425632","12,80402372","5,77671153","16,89999962"
11/01/2010 20.00,"0,68015613","49,85633688","11,68892445","5,82547363","16,89999962"
11/01/2010 21.00,"0,64465392","46,96602384","12,27151034","5,45071422","16,89999962"
11/01/2010 22.00,"0,55940504","46,80583648","14,64109752","5,59881077","16,89999962"
11/01/2010 23.00,"0,53555866","41,8585556","18,08924555","5,42633368","16,89999962"
12/01/2010 0.00,"0,51289824","33,9469864","21,1997478","5,62138919","16,89999962"
12/01/2010 1.00,,"19,81193368","28,6847085","5,56539927",29
12/01/2010 2.00,"0,47295039","17,26792017","23,80344225","5,64306248",29
12/01/2010 3.00,"0,41597257",,"31,91295765","5,64035116",29
12/01/2010 4.00,"0,43952188","11,709088",,"5,80380035",29
12/01/2010 5.00,"0,43320059","9,79280703","30,1787241",,29
12/01/2010 6.00,"0,41500446","11,58392848","35,3333652","5,45974619",29
12/01/2010 7.00,"0,47549941","19,86898776","30,90137295","5,72072162",29
12/01/2010 8.00,"0,63343264","36,0007612","18,22998482","5,95189894",29
12/01/2010 9.00,"0,86476086","43,91877384","16,31915985","6,4476661",29
12/01/2010 10.00,"0,65636916","58,62065808","14,10722954","7,57284337",29
12/01/2010 11.00,"0,54774805","31,6760084","35,5106409","5,93022667",29
12/01/2010 12.00,"0,54834104","45,96539776","44,32724415","6,71767044",29
12/01/2010 13.00,"0,61124521","61,44997832","41,8933641","7,45003248",29
12/01/2010 14.00,"0,58394227","53,42523784","45,58576995","6,60930706",29
12/01/2010 15.00,"0,7504499","80,71848336","25,28528835","8,44336893",29
