,Comune Lecce,,,,,,,
,Piazza_Libertini,,,,,,,
Parm,O3,NOX,NO2,CO,Benzene,"PM2,5",PM10,BENZENE



06/01/2010 10.00,,"50,821916","28,87582704","0,5260476",,,"62,02685165",
06/01/2010 11.00,,"55,1265928","28,77338208","0,5489247",,,,
06/01/2010 12.00,,"49,63909544","28,27662536","0,61102386",,,"67,88764954",
06/01/2010 13.00,,"53,42236984","29,01850048","0,7191545",,,,
06/01/2010 14.00,,"33,83287824","21,54273344","0,36325749",,,"55,18925095",
06/01/2010 15.00,,"70,66046472","40,32941448","0,57488789",,,,
06/01/2010 16.00,,"85,54974408","49,2033124","0,66346634",,,"37,11843109",
06/01/2010 17.00,,"146,5918546","81,52263232","1,18005413",,,,
06/01/2010 18.00,,"85,82210848","55,01504672","0,87857893",,,"34,18803024",
06/01/2010 19.00,,"99,472756","66,8629268","0,97206552",,,,
06/01/2010 20.00,,"97,76465168","63,19117936","1,04477317",,,"52,2588501",
06/01/2010 21.00,,"122,5174037","68,58789496","1,1288384",,,,
06/01/2010 22.00,,"152,8173074","78,57589616","1,27073074",,,"54,21244049",
06/01/2010 23.00,,"162,686019","78,29446888","1,2973673",,,,
07/01/2010 0.00,,"96,76465656","56,0215044","0,8788562",,,"54,21244049",
07/01/2010 1.00,,"106,281866","56,98517152","0,94633882",,,,
07/01/2010 2.00,,"30,1014764","24,38312416","0,4978278",,,"40,04883957",
07/01/2010 3.00,,"18,14727","15,1746033","0,46501674",,,,
07/01/2010 4.00,,"13,8361249","11,9749669","0,3568861",,,"21,48962021",
07/01/2010 5.00,,"15,900909","13,95155617","0,3025039",,,,
07/01/2010 6.00,,"32,57998288","25,76050984","0,35075121",,,"18,55920982",
07/01/2010 7.00,,"68,93937792","46,95436064","0,47380317",,,,
07/01/2010 8.00,,"153,062445","71,22463856","0,84750954",,,"22,95482063",
07/01/2010 9.00,,"178,1900446","76,3502708","1,33512612",,,,
07/01/2010 10.00,,"121,8325826","59,83070552","0,98085195",,,"35,65322113",
07/01/2010 11.00,,"157,3515198","71,36213048","1,33005953",,,,
07/01/2010 12.00,,"119,9714418","60,48309904","1,17617585",,,"30,28083038",
07/01/2010 13.00,,"129,7467139","64,27545544","1,16141297",,,,
07/01/2010 14.00,,"105,0510542","55,06823856","0,9557194",,,"30,76922989",
07/01/2010 15.00,,"89,0774988","48,35899232","0,55636556",,,,
07/01/2010 16.00,,"83,5044012","54,51182744","0,7937611",,,"26,37360954",
07/01/2010 17.00,,"179,4714478","91,460042","1,67610065",,,,
07/01/2010 18.00,,"88,10086832","59,58560624","0,81889365",,,"28,32722092",
07/01/2010 19.00,,"71,7888124","49,18516752","0,69714882",,,,
07/01/2010 20.00,,"54,87109224","41,96101968","0,61688148",,,"26,86202049",
07/01/2010 21.00,,"48,26431008","34,9923724","0,50784098",,,,
07/01/2010 22.00,,"18,5169074","15,51700426","0,3053931",,,"27,8388195",
07/01/2010 23.00,,"13,17726309","10,83492542","0,27404645",,,,
08/01/2010 0.00,,"8,10868493","5,83379306","0,24012747",,,"27,8388195",
08/01/2010 1.00,,"5,23069855","3,61985576","0,22536459",,,,
08/01/2010 2.00,,"3,31376942","1,80538879","0,20003283",,,"23,93161964",
08/01/2010 3.00,,"2,12963149","0,78726409",,,,,
08/01/2010 4.00,,"1,55247899","0,65756548","0,16630026",,,"28,32722092",
08/01/2010 5.00,,"1,72757039","0,65497281","0,15239598",,,,
08/01/2010 6.00,,"3,27875114","1,47466059","0,16979642",,,"28,32722092",
08/01/2010 7.00,,"11,26681946","6,03352632","0,19132912",,,,
08/01/2010 8.00,,"18,37553794","12,75055822","0,25954103",,,"33,21123123",
08/01/2010 9.00,,"25,46998144","16,55458547","0,3318852",,,,
08/01/2010 10.00,,"18,13689358","11,62348585","0,30677712",,,"37,11843109",
08/01/2010 11.00,,,,"0,26355446",,,,
08/01/2010 12.00,,"13,95544709","9,5470309","0,28623817",,,"37,6068306",
08/01/2010 13.00,,"16,31853569","9,71823138","0,28063685",,,,
