,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,PM10,CO,O3,BENZENE



05/01/2010 14.00,"3,05677046",,"32,72283173","0,68415441","29,90175825","0,49668653"
05/01/2010 15.00,"3,5602119",,,"0,599509","35,68845525","0,37829756"
05/01/2010 16.00,"4,0546234",,"34,18803024","0,58836578","37,4137512","0,37664493"
05/01/2010 17.00,"4,19459413",,,"0,59164059","36,1197942","0,27807831"
05/01/2010 18.00,"3,90788047",,"34,18803024","0,5885615","38,63179845","0,3055007"
05/01/2010 19.00,"4,16073006",,,"0,60859833","38,51333535","0,26932296"
05/01/2010 20.00,"2,46528326",,"36,63003159","0,52141206","59,5702611","0,27934549"
05/01/2010 21.00,"2,3952984",,,"0,51701419","60,37737825","0,14867523"
05/01/2010 22.00,"2,46528326",,"31,25761986","0,52712988","57,21929325","0,16849961"
05/01/2010 23.00,"2,48334416",,,"0,52243726","55,97716635","0,14928136"
06/01/2010 0.00,"2,50817727",,"33,69963074","0,53240733","54,44624325","0,14807012"
06/01/2010 1.00,"2,46076778",,,"0,52957289","53,17079985","0,17841129"
06/01/2010 2.00,"2,37272202",,"30,28083038","0,52351372","50,65877565","0,20814634"
06/01/2010 3.00,"2,32531253",,,"0,51012205","49,30744245","0,16789348"
06/01/2010 4.00,"2,36143434",,"21,0012207","0,49257715",,"0,22736357"
06/01/2010 5.00,"2,27338858",,,,"51,50022675","0,15049261"
06/01/2010 6.00,"2,26661536",,"13,67521","0,4717586","48,7517352","0,1579818"
06/01/2010 7.00,"2,3772375",,,"0,48940136","49,5453063","0,14867523"
06/01/2010 8.00,"2,27790406",,"23,44322014","0,49008521","45,0556785","0,15858793"
06/01/2010 9.00,"7,28748537",,,"0,60835485","34,46755515","0,24454375"
06/01/2010 10.00,"13,84802118",,"51,77045059","0,99507543","24,3178929","0,48765659"
06/01/2010 11.00,"12,94047072",,,"0,89537823","25,73651745","1,14182963"
06/01/2010 12.00,"14,2408476",,"53,72404099","0,97938754","24,09503145","0,67267533"
06/01/2010 13.00,"10,62644994",,,"0,8772951","26,41050825","0,7347886"
06/01/2010 14.00,"12,45283956",,"55,18925095","0,9394595","24,66213015","0,64426136"
06/01/2010 15.00,"13,20687387",,,"1,15273605","24,96469185","0,66540683"
06/01/2010 16.00,"13,44165849",,"84,98168182","1,07419874","22,33396515","1,26209192"
06/01/2010 17.00,"12,10742568",,,"1,1289351","24,4066704","0,96413431"
06/01/2010 18.00,"15,59765781",,,"1,52020151","22,04409165","1,2981588"
06/01/2010 19.00,"8,03474646",,,"0,88721624","19,92247698","0,99976185"
06/01/2010 20.00,"6,34381514",,"71,79486084","0,82627276","24,8197551","0,54844776"
06/01/2010 21.00,"5,63493258",,,"0,7700219","22,6782024","0,65549515"
06/01/2010 22.00,"2,467541",,"41,02563095","0,62800141","26,72212725","0,41959589"
06/01/2010 23.00,"2,56687444",,,"0,66084276","29,4126441","0,43391322"
07/01/2010 0.00,"2,37949524",,"21,97801971","0,58650877","35,37164925","0,55791908"
07/01/2010 1.00,"2,49914732",,,"0,5679375","32,2607859","0,36744922"
07/01/2010 2.00,"2,49011636",,"16,11721039","0,55122325","34,23021","0,26904837"
07/01/2010 3.00,"2,64137477",,,"0,57184724","46,032231","0,23788139"
07/01/2010 4.00,"2,48785964",,"8,79120922","0,51940826","50,4602532","0,18975389"
07/01/2010 5.00,"2,61654167",,,"0,52664175","52,52027025","0,14867523"
07/01/2010 6.00,"2,56010224",,"5,86080599","0,53607359","48,5886639","0,11965615"
07/01/2010 7.00,"2,467541",,,"0,53709995","45,36005565","0,11894018"
07/01/2010 8.00,"2,5578445",,"8,79120922","0,54403986","39,60579735","0,12885187"
07/01/2010 9.00,"2,30725265",,,"0,62550831","36,79208925","0,19465482"
07/01/2010 10.00,"2,47205648",,"11,23320961","0,64085485","33,94394745","0,47361487"
07/01/2010 11.00,"2,42464699",,,"0,55982561","46,96168155","0,341293"
07/01/2010 12.00,"2,32757027",,"11,72161007","0,55376528","53,2196175","0,17835536"
07/01/2010 13.00,"2,54204133",,,"0,54213392","55,9644981","0,15930288"
07/01/2010 14.00,"2,38401072",,"6,34920597","0,55303133","54,3991014","0,12962275"
07/01/2010 15.00,"2,60299625",,,"0,5589938","52,47677925","0,11894018"
07/01/2010 16.00,"2,51720823",,"15,62880993","0,580057","47,76067905","0,15781603"
07/01/2010 17.00,"2,41561603",,,"0,59931328","41,3016471","0,26607466"
07/01/2010 18.00,"2,67072336",,"22,46640968","0,59892301","49,84605255","0,27752811"
07/01/2010 19.00,"2,42013151",,,"0,62585082","44,9759583","0,32477387"
07/01/2010 20.00,"2,57138992",,"22,46640968","0,66318907","37,38635985","0,34690989"
07/01/2010 21.00,"2,53075365",,,"0,68459478","41,7600183","0,3964683"
07/01/2010 22.00,"2,4494801",,"21,0012207","0,60859833","48,6448431","0,34768077"
07/01/2010 23.00,"2,60976845",,,"0,70311711","35,14697235","0,31563307"
08/01/2010 0.00,"2,56010224",,"23,44322014","0,66934609","47,6682906","0,41706255"
08/01/2010 1.00,"2,67523884",,,"0,6712031","53,25766215","0,23105325"
08/01/2010 2.00,"2,5578445",,"24,42000961","0,64886889","52,40611635","0,18914878"
08/01/2010 3.00,"2,36820756",,,"0,59613633","51,85533675","0,11976701"
08/01/2010 4.00,"2,50591953",,"30,76922989","0,57678335",,"0,09994262"
08/01/2010 5.00,"2,467541",,,,"49,83555885","0,1082027"
08/01/2010 6.00,"2,40658609",,"28,32722092","0,64178336","46,3878198","0,11894018"
08/01/2010 7.00,"2,49914732",,,"0,61050427","48,41938815","0,16684699"
08/01/2010 8.00,"2,52398043",,"34,18803024","0,59872612","53,05477065","0,13050449"
08/01/2010 9.00,"2,51043501",,,"0,60928335","54,271182","0,14867523"
08/01/2010 10.00,"2,60976845",,"35,16482162","0,62668146","51,49104975","0,11894018"
08/01/2010 11.00,"2,51495049",,,"0,62941921","50,9728086","0,12802606"
08/01/2010 12.00,"2,57138992",,"37,6068306","0,64393278","50,1216618","0,19658203"
08/01/2010 13.00,"2,39078292",,,"0,63782469","52,42315365","0,15858793"
08/01/2010 14.00,"2,40432835",,"35,65322113","0,64750118","53,6899587","0,1313303"
08/01/2010 15.00,"2,5036628",,,"0,6316665","56,44311855","0,16849961"
08/01/2010 16.00,"2,30499491",,"40,53723145","0,6366026","55,52178765","0,09999856"
08/01/2010 17.00,"2,57364766",,,"0,64197791","54,32155575","0,11717874"
08/01/2010 18.00,"2,46076778",,"28,81562042","0,64984749","55,57038585","0,11982192"
08/01/2010 19.00,"2,41110157",,,"0,6416855","54,0732381","0,13876355"
08/01/2010 20.00,"2,48334416",,"31,74603081","0,64549738","53,0997579","0,12885187"
08/01/2010 21.00,"2,36820756",,,"0,64495915","51,6655923","0,14955697"
08/01/2010 22.00,"2,49914732",,"41,5140419","0,62536152","51,4460625","0,0982361"
08/01/2010 23.00,"2,36594982",,,"0,63107934","52,16404305","0,0801752"
09/01/2010 0.00,"2,34111569",,"46,88644028","0,62800141","52,87482165","0,07929346"
09/01/2010 1.00,"2,52172269",,,"0,62624109","52,8262434","0,07929346"
09/01/2010 2.00,"2,16953966",,"52,7472496","0,6285874","53,4884238","0,09735538"
09/01/2010 3.00,"2,08191087",,,"0,5920798","54,57300555","0,05737812"
