,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



05/01/2010 22.00,"7,50688866","3,2758296","28,81562042",,"1,0463018","80,24115435"
05/01/2010 23.00,"4,86106115","3,4523397",,,"0,99035257","77,33703285"
06/01/2010 0.00,"6,96605078","5,46144636","31,74603081",,"1,51019924","73,1892483"
06/01/2010 1.00,"3,24243652","1,88061643",,,"1,42517295","73,4558202"
06/01/2010 2.00,,,"32,23442078",,"1,41548094",
06/01/2010 3.00,"7,00106906","5,54840412",,,"1,15247457","70,8033879"
06/01/2010 4.00,"7,24619702","5,70804274","46,39804077",,"0,95114315","67,14006915"
06/01/2010 5.00,"6,16841218","5,07467935",,,"1,22802852","64,5350181"
06/01/2010 6.00,"5,63016698","4,73982888","53,72404099",,"1,37429041","64,06138515"
06/01/2010 7.00,"6,8661832","5,34204196",,,"1,16789331","62,579559"
06/01/2010 8.00,"13,88411419","12,04684662","51,28205109",,"0,60244944","54,3556902"
06/01/2010 9.00,"16,32761386","10,44526938",,,"0,63615181","57,09875535"
06/01/2010 10.00,"11,81543918","7,78463726","74,72527313",,"0,86083151","62,14786095"
06/01/2010 11.00,"9,98670486","6,57891476",,,"0,45795002","67,61779185"
06/01/2010 12.00,"9,06585316","5,35502062","68,86447144",,"0,92867558","71,25539505"
06/01/2010 13.00,"13,78295027","7,75867994",,,"1,12361821","73,53970995"
06/01/2010 14.00,"12,12411819","8,31157298","63,98046112",,"0,77492451","79,6402803"
06/01/2010 15.00,"10,69096138","8,30119082",,,"1,27913175","77,98660485"
06/01/2010 16.00,"19,70103768","15,66531427","43,46763992",,"1,9011859","66,9479307"
06/01/2010 17.00,"28,2934892","21,200734",,,"1,78047512","60,2559825"
06/01/2010 18.00,"25,9861832","20,33375672","38,58362961",,"0,85664554","58,60362375"
06/01/2010 19.00,"61,65165608","44,58189368",,,"1,19344543","36,2935188"
06/01/2010 20.00,"60,76324528","49,43852664","48,35165024",,"1,97123279","27,91402005"
06/01/2010 21.00,"68,56453032","56,06027976",,,"1,5339889","22,4657349"
06/01/2010 22.00,"51,23307248","41,15033168","50,30524063",,"2,1910665","30,64357905"
