 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



08/07/2010 11.00,"1,18862892","4,15217568","5,46087467",
08/07/2010 12.00,"0,58226199","4,33642938","5,45115024","21,73381996"
08/07/2010 13.00,"1,02173922","5,85197427","7,16598098",
08/07/2010 14.00,"1,16081397","6,62466892","8,2700845","24,17580986"
08/07/2010 15.00,"1,68651856","6,14197878","7,87136175",
08/07/2010 16.00,"1,36664562","3,0557431","3,65852022","25,88521957"
08/07/2010 17.00,"1,05326317","4,33124022","5,61193606",
08/07/2010 18.00,"0,00000102","3,81416276","4,30944342","25,88521957"
08/07/2010 19.00,"0,00000102","2,9473958","3,18070186",
08/07/2010 20.00,"0,00000102","2,61068113","2,94665586","26,12940979"
08/07/2010 21.00,"0,25775357","4,195645","4,49745802",
08/07/2010 22.00,"0,2299376","4,45061402","4,65111208","26,86202049"
08/07/2010 23.00,"0,00000102","5,63333516","5,74225033",
09/07/2010 0.00,"0,00000102","3,84465725","4,0462222","26,86202049"
09/07/2010 1.00,,"2,2888877","2,43706962",
09/07/2010 2.00,"0,00000102",,,"23,19902039"
09/07/2010 3.00,"0,00000102","1,62064753","1,76410298",
09/07/2010 4.00,"0,00000102","2,57175472","2,76058384","21,48962021"
09/07/2010 5.00,"0,00000102","5,34268439","5,68973534",
09/07/2010 6.00,"0,40385782","7,66920026","8,4561546","21,97801971"
09/07/2010 7.00,"1,43118037","6,19258178","7,49014528",
09/07/2010 8.00,"1,42745815","5,58013758","6,82949766","20,26861954"
09/07/2010 9.00,"1,339987","6,06477414","7,32676488",
09/07/2010 10.00,"1,37348596","4,2462499","4,38464811","17,58241081"
09/07/2010 11.00,"1,58751158","4,09832802","4,46893098",
09/07/2010 12.00,"1,628456","4,2579284","5,29684802","19,53602028"
09/07/2010 13.00,"1,18365477","2,97983479","3,62415967",
09/07/2010 14.00,"0,82074239","1,79970824","2,08632278","21,0012207"
09/07/2010 15.00,"1,32695923","3,11218534","3,79531809",
09/07/2010 16.00,"2,41197517","3,25686256","4,53311682","26,86202049"
09/07/2010 17.00,"4,55223133","5,03321763","5,77142554",
09/07/2010 18.00,"1,40698594","2,61457396","3,16838285","19,78022003"
09/07/2010 19.00,"1,29159814","2,59900263","2,74826674",
09/07/2010 20.00,"1,14085026","2,41669726","2,94924853","18,80340958"
09/07/2010 21.00,"0,94915695","2,33559978","2,69575174",
09/07/2010 22.00,"0,49132897","2,83645582","2,98685183","16,60560989"
09/07/2010 23.00,"1,36790263","5,05787096","5,32991223",
10/07/2010 0.00,"1,339987","4,00750038","4,29258531","23,19902039"
10/07/2010 1.00,,"5,72286647","5,92443142",
10/07/2010 2.00,"1,13106469","4,4558051","4,62647596","21,0012207"
10/07/2010 3.00,"0,23851193","4,48889226","4,88191725",
10/07/2010 4.00,"0,02422392","4,66406206","4,8683019","17,58241081"
10/07/2010 5.00,"0,15652342","4,9832609","5,31564871",
10/07/2010 6.00,"0,73230407","4,48305302","4,64592482","19,29179955"
10/07/2010 7.00,"1,4087067","4,17138172","4,45791022",
10/07/2010 8.00,"2,65623111","6,24578318","7,52256133","17,09399986"
10/07/2010 9.00,"3,41834752","4,38573795","5,34612026",
10/07/2010 10.00,"2,5388388","3,04406461","3,42187963","20,02441978"
10/07/2010 11.00,"2,52859049","2,99670437","3,54700856",
10/07/2010 12.00,"2,67952244","3,06547327","3,85042575","17,09399986"
10/07/2010 13.00,"2,90405876","2,1714584","3,14698948",
10/07/2010 14.00,"3,1164826","1,87496647","2,26461295","20,75702095"
10/07/2010 15.00,"3,89630192","1,738725","2,02473152",
10/07/2010 16.00,"2,85374777","1,40460491","2,00528074","20,02441978"
10/07/2010 17.00,"2,68324975","2,61781671","3,00111535",
10/07/2010 18.00,"2,38045224","2,55748164","3,45429759","18,80340958"
10/07/2010 19.00,"4,2037573","5,92333967","6,1111497",
10/07/2010 20.00,"3,24226007","8,35366184","9,05715547","20,75702095"
10/07/2010 21.00,"2,05436339","8,43800207","8,87627262",
10/07/2010 22.00,"1,34162538","4,73412921","4,95323294","22,95482063"
10/07/2010 23.00,"1,33789808","7,23257211","7,83311028",
11/07/2010 0.00,"1,34162538","5,76309113","6,09299526","25,88521957"
11/07/2010 1.00,,"3,40218986","4,03973861",
11/07/2010 2.00,"1,21538619",,,"24,90842056"
11/07/2010 3.00,"1,1856064",,,
11/07/2010 4.00,"1,2637781",,,"20,02441978"
11/07/2010 5.00,"1,062765",,,
11/07/2010 6.00,"1,3400887",,,"21,0012207"
11/07/2010 7.00,"2,10505677",,,
11/07/2010 8.00,"2,61689558",,,"19,04759979"
11/07/2010 9.00,"2,90910918",,,
11/07/2010 10.00,"3,14083263",,,"21,24542046"
11/07/2010 11.00,"2,68017739",,,
11/07/2010 12.00,"2,63736881",,,"16,60560989"
11/07/2010 13.00,"1,78864672",,,
11/07/2010 14.00,"2,65225871",,,"19,53602028"
11/07/2010 15.00,"2,68017739",,,
11/07/2010 16.00,"2,78905945",,,"28,08300972"
11/07/2010 17.00,"3,56147196",,,
11/07/2010 18.00,"5,25054218",,,"25,15262032"
11/07/2010 19.00,"5,76517367",,,
11/07/2010 20.00,"7,48588478",,,"21,73381996"
11/07/2010 21.00,"2,48847086",,,
11/07/2010 22.00,"1,3400887",,,"25,88521957"
11/07/2010 23.00,"1,2023574",,,
12/07/2010 0.00,"1,33264426",,,"33,45542145"
12/07/2010 1.00,,,,
12/07/2010 2.00,"0,75965222",,,"24,17580986"
12/07/2010 3.00,"0,71496626",,,
12/07/2010 4.00,"0,85553905",,,"21,48962021"
12/07/2010 5.00,"0,71869051",,,
12/07/2010 6.00,"0,18618931",,,"20,51280975"
12/07/2010 7.00,"1,07617313",,,
12/07/2010 8.00,"2,13838183",,,"24,42000961"
12/07/2010 9.00,"3,9462773",,,
12/07/2010 10.00,"2,83050016",,,"19,53602028"
12/07/2010 11.00,"4,51787809",,,
12/07/2010 12.00,"2,83100561",,,"17,58241081"
12/07/2010 13.00,"4,67520799",,,
12/07/2010 14.00,"3,34023277",,,"23,19902039"
12/07/2010 15.00,"4,4666762",,,
12/07/2010 16.00,"3,5012859",,,"17,58241081"
12/07/2010 17.00,"2,86824307",,,
12/07/2010 18.00,"3,68468253",,,"24,66422081"
12/07/2010 19.00,"2,0666996",,,
12/07/2010 20.00,"1,51930342",,,"22,46640968"
12/07/2010 21.00,"1,5826076",,,
12/07/2010 22.00,"3,1410106",,,"24,90842056"
12/07/2010 23.00,"2,52100062",,,
13/07/2010 0.00,"4,75992409",,,"24,42000961"
13/07/2010 1.00,,,,
13/07/2010 2.00,"1,62402594",,,"27,10622025"
13/07/2010 3.00,"2,50935089",,,
13/07/2010 4.00,"5,89845864",,,"31,50181961"
13/07/2010 5.00,"11,49530355",,,
13/07/2010 6.00,"9,91397737",,,"28,81562042"
13/07/2010 7.00,"12,30917814",,,
13/07/2010 8.00,"16,6576464",,,"34,4322319"
13/07/2010 9.00,"16,36552332",,,
13/07/2010 10.00,"15,88852998",,,"34,4322319"
13/07/2010 11.00,"7,27192019",,,
13/07/2010 12.00,"4,11574408",,,"42,49084091"
13/07/2010 13.00,"5,05396625",,,
13/07/2010 14.00,"4,07119948",,,"23,68741989"
13/07/2010 15.00,"5,61541432",,,
13/07/2010 16.00,"5,24235329",,,"26,37360954"
13/07/2010 17.00,"3,79279472",,,
13/07/2010 18.00,"4,54355835","5,03451397","6,34908662","31,99023056"
13/07/2010 19.00,"47,31944382","43,37595704","58,0422972",
13/07/2010 20.00,"16,39521972","16,31805195","17,44329072","26,61782074"
13/07/2010 21.00,"6,72903237","23,69075072","24,90879032",
13/07/2010 22.00,"4,8423794","32,21828984","33,36751656","24,66422081"
13/07/2010 23.00,"4,46282076","31,587674","32,39828552",
14/07/2010 0.00,"4,54077381","34,96132152","36,91322496","33,45542145"
14/07/2010 1.00,,"44,06561544","54,83696304",
14/07/2010 2.00,"4,15106856","20,70248592","21,45644488","26,12940979"
14/07/2010 3.00,"4,07690892","20,64474352","21,71446928",
14/07/2010 4.00,"3,5151527","10,25133331","11,11754579","29,54821968"
14/07/2010 5.00,"2,95061498","23,1321408","27,54230264",
14/07/2010 6.00,"2,15803739","24,55296712","26,80256896","23,68741989"
14/07/2010 7.00,"4,68872392","16,19153491","17,38559038",
14/07/2010 8.00,"6,77908911","18,35326506","22,17868376","28,32722092"
14/07/2010 9.00,"4,98536146","10,5711765","12,06540258",
14/07/2010 10.00,"7,15174028","9,01800918","10,32463939","30,28083038"
14/07/2010 11.00,"7,87942819","10,44012228","12,3266793",
14/07/2010 12.00,"5,61293385","6,21139586","7,21525322","26,86202049"
14/07/2010 13.00,"3,65049302","3,02914336","3,49968082",
14/07/2010 14.00,"3,34922101","3,54751715","4,0585393","27,10622025"
14/07/2010 15.00,"1,90218765","4,00036288","4,97722089",
14/07/2010 16.00,"1,27739471",,,"26,37360954"
14/07/2010 17.00,"2,08016977",,,
14/07/2010 18.00,"1,49894613",,,"24,90842056"
14/07/2010 19.00,"1,92907001","3,63510205","3,50442641",
14/07/2010 20.00,"2,44169699","4,51030093","4,2223021","16,84980965"
14/07/2010 21.00,"1,49245665","4,77565211","4,75276356",
14/07/2010 22.00,"1,9105301","15,03282085","14,7744867","27,10622025"
14/07/2010 23.00,"1,52953647","13,318753","13,07609917",
15/07/2010 0.00,"1,51285055","15,0159551","14,75243752","31,74603081"
15/07/2010 1.00,,"7,2559291","7,12168758",
15/07/2010 2.00,"0,98413768",,,"29,54821968"
15/07/2010 3.00,"0,33111283","15,27351679","14,95087444",
15/07/2010 4.00,"0,76523657","15,50967556","15,46966505","23,68741989"
15/07/2010 5.00,"0,6272734","10,26754707","9,9860567",
15/07/2010 6.00,"0,61807565","14,69415785","14,44700126","28,81562042"
15/07/2010 7.00,"1,13865659","15,72506427","16,29259558",
15/07/2010 8.00,"2,63785595","11,77336562","13,34911174","51,28205109"
15/07/2010 9.00,"5,00898128","11,61700417","13,76479201",
15/07/2010 10.00,"7,91724432","11,69940563","13,53847048","48,35165024"
15/07/2010 11.00,"6,37909996","6,6584597","7,60997988",
15/07/2010 12.00,"4,241907","10,33761996","11,82646377","41,26984024"
15/07/2010 13.00,"3,50794319","12,93338175","14,84128051",
15/07/2010 14.00,"3,55577066","8,58592395","9,50747354","39,31623077"
15/07/2010 15.00,"2,67648568","4,05096778","4,53811479",
15/07/2010 16.00,"1,39894655",,,"78,63246155"
15/07/2010 17.00,"3,30283768",,,
15/07/2010 18.00,"4,2097159",,,"66,91085052"
15/07/2010 19.00,"2,8126091","5,72546297","5,66712976",
15/07/2010 20.00,"2,08324416","10,90400025","10,81158182","52,2588501"
15/07/2010 21.00,"1,32444724","7,59978127","7,78444223",
15/07/2010 22.00,"1,32444724","8,90641913","8,93874914","39,31623077"
15/07/2010 23.00,"1,32996548","13,31356574","13,84974408",
16/07/2010 0.00,"1,32444724","23,96843048","24,9920388","22,71062088"
16/07/2010 1.00,,"30,00400264","31,63644912",
16/07/2010 2.00,,"35,36614928","36,98452344","12,21000957"
16/07/2010 3.00,"0,36432296","34,99439912","36,26924424",
16/07/2010 4.00,"1,3381686","33,11748432","34,41584704","7,32600689"
16/07/2010 5.00,"1,83291774","29,92421488","30,78755936",
16/07/2010 6.00,"1,76161791","27,20777912","28,21697096","11,96580982"
16/07/2010 7.00,"1,60423716","23,9223704","25,3752992",
16/07/2010 8.00,"1,88943548","24,17928584","28,12163864","15,14041042"
16/07/2010 9.00,"3,9075591","34,56297544","39,074588",
16/07/2010 10.00,"4,48143287","41,60934552","48,783724","15,62880993"
16/07/2010 11.00,"3,76495943","41,16492024","47,987376",
16/07/2010 12.00,"2,8876281","36,56380696","40,43122848","21,0012207"
16/07/2010 13.00,"1,58771701","15,87687898","16,12917503",
16/07/2010 14.00,"0,51909409","15,53238056","16,09610508","30,03663063"
16/07/2010 15.00,"2,85893447","19,8402504","20,68154952",
16/07/2010 16.00,"0,21389849","17,7752101","18,03183874","35,65322113"
16/07/2010 17.00,"5,07617447","24,54260408","24,67946504",
16/07/2010 18.00,"3,41541856","21,53420592","21,93572592","31,50181961"
16/07/2010 19.00,"1,44337827","21,25069456","21,13549656",
16/07/2010 20.00,"0,47561937","21,18777064","20,75353632","25,88521957"
16/07/2010 21.00,,"19,42957192","18,57073211",
16/07/2010 22.00,,"14,28218877","13,42303922","31,25761986"
16/07/2010 23.00,,"17,3684168","16,75561506",
17/07/2010 0.00,,"15,05812617","14,35037642","28,81562042"
17/07/2010 1.00,,"19,81820504","19,22504528",
17/07/2010 2.00,,"16,91233214","16,61684019","30,03663063"
17/07/2010 3.00,,"16,77674075","16,44434146",
17/07/2010 4.00,,"16,79295642","16,27832824","24,42000961"
17/07/2010 5.00,,"13,6587066","13,2330323",
17/07/2010 6.00,,"13,25128426","12,70840627","25,88521957"
17/07/2010 7.00,"1,56597863","14,17513971","14,01770181",
17/07/2010 8.00,"5,11530253","14,89917205","15,38990023","25,64101982"
17/07/2010 9.00,"7,69947411","17,57667566","19,78793808",
17/07/2010 10.00,"7,06821305","15,69133468","18,92934492","21,73381996"
17/07/2010 11.00,"5,99959013","14,45540641","16,24136546",
17/07/2010 12.00,"4,00581248","14,49108815","15,10651315","17,09399986"
17/07/2010 13.00,"3,9884228","17,13291767","17,65312125",
17/07/2010 14.00,"2,19160449","14,5351521","13,57669327","19,29179955"
17/07/2010 15.00,"0,18781346","13,13060455","12,16108289",
17/07/2010 16.00,"0,06260449","12,99111842","11,69611699","22,22220993"
17/07/2010 17.00,,"11,65852516","10,50225272",
17/07/2010 18.00,,"10,66395438","9,59047919","28,32722092"
17/07/2010 19.00,"1,1390522","11,90441983","10,61249482",
17/07/2010 20.00,"2,13289817","33,16291344","32,38025536","29,30401993"
17/07/2010 21.00,"2,30245037","31,80242984","30,45100912",
17/07/2010 22.00,"0,73386212","22,83046544","21,47011568","35,89743042"
17/07/2010 23.00,"0,89732961","45,2295072","44,0316392",
18/07/2010 0.00,"1,71292496","58,37959312","57,34378624","38,0952301"
18/07/2010 1.00,"1,49989601","56,12444648","55,80556312",
18/07/2010 2.00,"1,537285","29,7380052","29,00228672","39,56044006"
18/07/2010 3.00,"4,99878891","28,62600512","27,36421896",
18/07/2010 4.00,"8,71505743","29,71724088","28,79607752","29,54821968"
18/07/2010 5.00,"8,68636277","29,2280748","28,3505624",
18/07/2010 6.00,"6,47347044","29,15930016","28,49841736","39,80464172"
18/07/2010 7.00,"9,82976367","36,99458056","38,03832224",
18/07/2010 8.00,"10,72969578","28,78299944","29,9905804","44,93283081"
18/07/2010 9.00,"9,49761248","21,06840448","22,71456",
18/07/2010 10.00,"9,46457117","21,16570616","23,6574628","43,22343063"
18/07/2010 11.00,"8,73331664","18,43695903","20,14848392",
18/07/2010 12.00,"8,11335853","19,1129887","19,73994688","30,52503014"
18/07/2010 13.00,"2,44591856","11,29001966","10,4938208",
18/07/2010 14.00,"2,19289303","19,24663176","17,89435829","22,95482063"
18/07/2010 15.00,"1,27556411","14,29386726","12,91138228",
18/07/2010 16.00,"4,11710991","13,51922046","12,11244543","30,03663063"
18/07/2010 17.00,"5,77873536","19,57490304","18,16931727",
18/07/2010 18.00,"5,66309128","17,67464272","16,29972734","28,08300972"
18/07/2010 19.00,"1,95290951","11,56575874","10,15985176",
18/07/2010 20.00,"1,16774483","6,62985809","5,25209957","37,36262131"
18/07/2010 21.00,"0,28954499","8,07922866","6,67487995",
18/07/2010 22.00,"0,92602325","6,55979094","5,1561229","35,89743042"
18/07/2010 23.00,"0,03304131","4,72764179","3,32479401",
19/07/2010 0.00,,"6,68630224","5,28257876","30,28083038"
19/07/2010 1.00,,"8,59889878","7,24360435",
19/07/2010 2.00,,"9,2295108","7,99195733","32,72283173"
19/07/2010 3.00,,"6,09007563","4,95898232",
19/07/2010 4.00,"0,03130224","5,33684514","3,96744589","29,30401993"
19/07/2010 5.00,"0,1765095","5,18632868","3,93372394",
19/07/2010 6.00,,"4,15996134","2,76255702","26,37360954"
19/07/2010 7.00,,"8,09544624","7,12363209",
19/07/2010 8.00,"0,0704303","14,42426949","14,07217469","27,35042"
19/07/2010 9.00,"1,01906044","10,7249338","9,84598358",
19/07/2010 10.00,"1,56250049","13,74435273","13,09879461","31,50181961"
19/07/2010 11.00,"1,52337345","13,01642565","12,13579095",
19/07/2010 12.00,"1,84422068","11,99395306","12,03268253","25,39682007"
19/07/2010 13.00,"3,23977757","14,23093187","15,43140402",
19/07/2010 14.00,"1,29817101","9,62072321","9,18647168","27,35042"
19/07/2010 15.00,"1,12861778","7,10800722","6,04065999",
19/07/2010 16.00,"1,69640482","5,24861208","4,08676616","32,96702957"
19/07/2010 17.00,"2,19880994","6,98260297","5,79238297",
19/07/2010 18.00,"0,02434596","3,77134543","2,56671278","31,74603081"
19/07/2010 19.00,"0,47301077","2,9337728","1,53172614",
19/07/2010 20.00,"0,35154436",,,"25,39682007"
19/07/2010 21.00,"0,49563902",,,
19/07/2010 22.00,"0,62497396",,,"43,9560318"
19/07/2010 23.00,"0,62497396",,,
20/07/2010 0.00,"0,62497396",,,"58,36384964"
20/07/2010 1.00,"0,62497396",,,
20/07/2010 2.00,"0,60761275",,,"43,22343063"
20/07/2010 3.00,"0,60587673",,,
20/07/2010 4.00,"0,57462839",,,"29,7924099"
20/07/2010 5.00,"0,62497396",,,
20/07/2010 6.00,"0,62497396",,,"26,37360954"
20/07/2010 7.00,"0,62758155",,,
20/07/2010 8.00,"3,1302782","5,44259595","3,82153543","23,44322014"
20/07/2010 9.00,"0,62844396","4,20537708","4,20608834",
20/07/2010 10.00,"0,62497396","3,77523635","3,48432173","24,66422081"
20/07/2010 11.00,"0,70581732","6,22696718","6,65412902",
20/07/2010 12.00,"0,7188573","7,18910662","7,86226063","23,19902039"
20/07/2010 13.00,"1,21696254","5,84029578","6,60095247",
20/07/2010 14.00,"1,51773826","5,1097722","5,08349176","25,88521957"
20/07/2010 15.00,"2,0410529","3,84270892","3,55760104",
20/07/2010 16.00,"2,50264784","2,15004974","2,02198398","29,05982971"
20/07/2010 17.00,"2,48700129","1,97617628","2,14973617",
20/07/2010 18.00,"2,50264784","2,48481799","1,68930936","20,75702095"
20/07/2010 19.00,"2,33835149","1,81073857","1,2042407",
20/07/2010 20.00,"1,77244184","3,03822536","2,90263014","30,03663063"
20/07/2010 21.00,"0,62497396","3,57022406","3,50507458",
20/07/2010 22.00,"0,62497396","4,60956623","4,16523464","43,71184158"
20/07/2010 23.00,"0,64844429","6,77842814","6,3603636",
21/07/2010 0.00,"0,63801292","4,77435386","4,2955795","34,4322319"
21/07/2010 1.00,"0,82578061","4,89243325","4,55627114",
21/07/2010 2.00,"0,79970168","7,94493169","7,38237922","27,59461975"
21/07/2010 3.00,"0,72146489","6,82708662","6,66580178",
21/07/2010 4.00,"0,65626807","5,8857096","5,54197215","21,24542046"
21/07/2010 5.00,"0,62497396","5,11885611","5,01475345",
21/07/2010 6.00,"0,62497396","13,034582","13,05729274","21,24542046"
21/07/2010 7.00,"1,10743164","24,14230776","27,12491304",
21/07/2010 8.00,"1,14133435","13,19807521","15,54034978","20,75702095"
21/07/2010 9.00,"3,02337421","11,1005787","12,38545991",
21/07/2010 10.00,"4,1490905","8,13502273","9,1728525","29,30401993"
21/07/2010 11.00,"4,22993488","5,15259144","5,44923824",
21/07/2010 12.00,"3,61708254","4,08794778","4,67494516","15,62880993"
21/07/2010 13.00,"3,67880224","2,95647971","2,927272",
21/07/2010 14.00,"3,64142342","2,4939019","2,32093665","8,54700947"
21/07/2010 15.00,"2,5548057","4,58102007","4,36431973",
21/07/2010 16.00,"3,92046584","4,45710144","4,48623458","26,86202049"
21/07/2010 17.00,"3,55883997","3,07585543","2,6743622",
21/07/2010 18.00,"3,10506881","3,56049198","3,19185456","25,15262032"
21/07/2010 19.00,"3,41888348","8,17849014","7,8823634",
21/07/2010 20.00,"3,15894031","5,04422693","4,58239671","21,0012207"
21/07/2010 21.00,"2,50264784","5,19151976","5,10294636",
21/07/2010 22.00,"2,3357439","5,65734223","5,54132398","29,05982971"
21/07/2010 23.00,"1,33692481","4,56350042","4,32930145",
22/07/2010 0.00,"0,95182759","14,99129794","14,6772137","26,86202049"
22/07/2010 1.00,"0,62497396","12,62391499","12,04824621",
22/07/2010 2.00,"1,1682818","11,43599704","11,07227154","26,61782074"
22/07/2010 3.00,"2,12450588","6,75896589","6,57177153",
22/07/2010 4.00,"1,08135271","9,3813236","8,91475545","22,46640968"
22/07/2010 5.00,"1,04831953","12,32612482","11,93735403",
22/07/2010 6.00,"1,3056307","17,67724495","17,50850904","13,67521"
22/07/2010 7.00,"2,09060317","23,91781984","26,39277",
22/07/2010 8.00,"2,18709511","10,00285362","11,0495761","23,93161964"
22/07/2010 9.00,"3,23459393","7,54268895","7,81297501",
22/07/2010 10.00,"3,18069699","4,82755335","5,88826594","34,18803024"
22/07/2010 11.00,"2,75995901","6,10045588","6,84737677",
22/07/2010 12.00,"2,77734462","6,24253851","6,24687875","28,81562042"
22/07/2010 13.00,"2,51655735","5,22460501","5,41940913",
22/07/2010 14.00,"2,4452748","5,0500853","5,24626223","24,90842056"
22/07/2010 15.00,"2,50264784","4,4837031","4,44991997",
22/07/2010 16.00,"2,36269237","2,0287276","1,87477718","32,72283173"
22/07/2010 17.00,"2,6391272","2,51271598","2,54142084",
22/07/2010 18.00,"2,65042811","2,70929444","2,42858416","31,01342964"
22/07/2010 19.00,"3,53710769","5,2362835","5,10813553",
22/07/2010 20.00,"3,25545666","6,38137648","5,82925206","31,01342964"
22/07/2010 21.00,"2,50264784","8,29851594","7,8220551",
22/07/2010 22.00,"2,19231029","10,7009382","10,62676216","27,8388195"
22/07/2010 23.00,"1,24217194","12,55773685","12,4224227",
23/07/2010 0.00,"1,62379203","10,95979241","10,8939393","30,28083038"
23/07/2010 1.00,"1,95499334","13,34665482","13,06961366",
23/07/2010 2.00,"1,71767639","12,31639082","12,03462703","25,64101982"
23/07/2010 3.00,"1,79591216","8,28034811","8,1787234",
23/07/2010 4.00,"0,91184017","8,65404469","8,28961366","13,67521"
23/07/2010 5.00,"0,70842593","10,42974586","10,56515561",
23/07/2010 6.00,"1,3308401","19,03901915","19,53501872","21,48962021"
23/07/2010 7.00,"3,02857108","30,39586704","34,1661972",
23/07/2010 8.00,"4,2899155","13,8825387","15,5526707","22,22220993"
23/07/2010 9.00,"5,10009737","12,54800286","14,59226163",
23/07/2010 10.00,"5,62167395","12,01990081","13,94312616","24,90842056"
23/07/2010 11.00,"4,67675179","11,64880264","13,30047619",
23/07/2010 12.00,"6,19366933","12,90417978","15,04620294","27,59461975"
23/07/2010 13.00,"3,84136053","4,75878445","4,94925598",
23/07/2010 14.00,"2,51568781","1,91584121","1,3598775","28,08300972"
23/07/2010 15.00,"2,43571805","2,08127892","1,70227846",
23/07/2010 16.00,"2,60696356","3,06806977","3,25346111","23,68741989"
23/07/2010 17.00,"3,06247278","3,97311497","3,91297301",
23/07/2010 18.00,"3,75443144","5,06889938","4,75211539","11,47741032"
23/07/2010 19.00,"3,75443144","4,68741905","4,45899814",
23/07/2010 20.00,"3,4588709","7,2215437","6,74556468","17,58241081"
23/07/2010 21.00,"2,77560657","41,24472712","40,99217104",
23/07/2010 22.00,"3,20242927","69,20250736","80,40397848","21,97801971"
23/07/2010 23.00,"4,28657262","68,98312448","70,91382384",
24/07/2010 0.00,"7,61148734","71,466736","78,1971672","28,08300972"
24/07/2010 1.00,"5,60602741","31,94969208","32,66625232",
24/07/2010 2.00,"4,9297163","14,85765106","15,00016006","62,51525116"
24/07/2010 3.00,"3,76225421","15,44674208","15,8444897",
24/07/2010 4.00,"3,75443144","16,0267511","15,83087244","46,39804077"
24/07/2010 5.00,"2,77908369","21,61791328","21,55764704",
24/07/2010 6.00,"2,93555626","24,20135032","24,456392","33,94382095"
24/07/2010 7.00,"5,59559502","27,28628584","28,736404",
24/07/2010 8.00,"5,62341302","21,34931552","22,56087344","36,14162064"
24/07/2010 9.00,"5,97113041","11,39058895","11,97367056",
24/07/2010 10.00,"4,97405039","3,54037966","3,49664457","44,68864059"
24/07/2010 11.00,"3,89004127","3,54686707","3,16591446",
24/07/2010 12.00,"3,70053451","3,17576699","3,38575239","39,31623077"
24/07/2010 13.00,"3,65533191","3,21599165","3,30404307",
24/07/2010 14.00,"3,56753328","3,79664693","3,49988541","30,28083038"
24/07/2010 15.00,"4,80453784","6,98798525","7,9731509",
24/07/2010 16.00,"7,75666002","18,70165822","19,80868328","32,96702957"
24/07/2010 17.00,"7,28724129","33,89991296","37,58567536",
24/07/2010 18.00,"6,8186921","22,50867584","23,76120792","30,03663063"
24/07/2010 19.00,"5,69730214","13,98634118","14,05401834",
24/07/2010 20.00,"4,33859624","8,51520672","8,18001974","31,50181961"
24/07/2010 21.00,"4,40118547","7,51349271","7,65798638",
24/07/2010 22.00,"2,50264784","2,05013818","2,20680172","42,00244141"
24/07/2010 23.00,"2,34356768","3,03692711","2,5401245",
25/07/2010 0.00,"1,73853913","2,19416531","2,1620571","48,10744095"
25/07/2010 1.00,"1,9341306","1,60702262","1,24444814",
25/07/2010 2.00,"2,36443042","1,06269725","0,8929671","34,67642975"
25/07/2010 3.00,"1,47514325","1,30858427","0,89620985",
25/07/2010 4.00,"2,17927133","2,8163435","3,36889238","18,80340958"
25/07/2010 5.00,"2,39572554","3,23480573","3,14192077",
25/07/2010 6.00,"2,42962724","2,95647971","2,79562889","10,25640965"
25/07/2010 7.00,"2,50264784","1,51424664","1,36247208",
25/07/2010 8.00,"2,47917751","1,72250359","1,54534532","13,91940975"
25/07/2010 9.00,"2,46874614","1,97487994","1,95194742",
25/07/2010 10.00,"2,50264784","1,88210397","1,97918386","13,67521"
25/07/2010 11.00,"2,50264784","1,81008849","2,23209366",
25/07/2010 12.00,"2,50264784","2,10074308","2,68603496","14,65200996"
25/07/2010 13.00,"2,50264784","1,51035381","1,42343046",
25/07/2010 14.00,"2,34356768","1,68033443","2,44155517","11,96580982"
25/07/2010 15.00,"2,50264784","1,89508071","1,76518326",
25/07/2010 16.00,"2,57393039","1,76272825","1,81770972","12,94260979"
25/07/2010 17.00,"2,44788239","1,72510009","1,54015806",
25/07/2010 18.00,"2,19231029","1,26965786","1,07908309","14,40781021"
25/07/2010 19.00,"2,60348644","2,28758946","2,32158482",
25/07/2010 20.00,"2,50264784","1,84252748","1,71589763","15,38461018"
25/07/2010 21.00,"2,45309858","1,36827309","1,45909691",
25/07/2010 22.00,"2,24446815","1,54668563","1,23536806","10,25640965"
25/07/2010 23.00,"2,33313631","1,97552811","1,84235158",
26/07/2010 0.00,"2,24707574","1,88469855","2,12055331","15,38461018"
26/07/2010 1.00,"2,50264784","1,89832346","2,30796564",
26/07/2010 2.00,"2,50264784","2,2709627","2,80812572","16,11721039"
26/07/2010 3.00,"2,81211687","3,73371536","4,01932418",
26/07/2010 4.00,"2,57566844","3,19263466","3,65098312","10,01220989"
26/07/2010 5.00,"2,50264784","4,42985353","4,20997926",
26/07/2010 6.00,"2,40615691","5,42702462","5,64897341","6,34920597"
26/07/2010 7.00,"2,50264784","1,747807","1,77361326",
26/07/2010 8.00,"2,50264784","2,31548745","3,13673351","14,16361046"
26/07/2010 9.00,"2,90600021","1,97422986","2,83583442",
26/07/2010 10.00,"2,50264784","3,15241","4,5465448","11,23320961"
26/07/2010 11.00,"2,55654477","2,16626923","2,78395613",
26/07/2010 12.00,"2,86948991","2,16042998","2,42404507","8,54700947"
26/07/2010 13.00,"5,98417038","8,12594073","9,70201954",
26/07/2010 14.00,"8,20521499","8,86359989","10,03988141","13,18680954"
26/07/2010 15.00,"2,77560657","1,64854361","1,79306786",
26/07/2010 16.00,"2,50264784","2,52179798","2,53947634","34,92063141"
