 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



03/01/2010 17.00,"0,31094775","4,1544892","8,40958402",
03/01/2010 18.00,"0,01627098","2,91372357","6,38760004","8,30280876"
03/01/2010 19.00,"0,1120856","1,02142482","4,97000691",
03/01/2010 20.00,"0,15728108","1,47438335","5,53548856","4,88400507"
03/01/2010 21.00,"0,45195887","2,4425953","6,76112836",
03/01/2010 22.00,"0,22055577","2,03116922","6,22029048","4,88400507"
03/01/2010 23.00,"0,07231379","3,91957514","7,97639365",
04/01/2010 0.00,"0,5296953","5,35372237","9,29152652","4,88400507"
04/01/2010 1.00,"0,55251983","4,09348875","9,23705364",
04/01/2010 2.00,"0,70867103",,,"2,93040299"
04/01/2010 3.00,"0,50076978","1,31863757","5,22032213",
04/01/2010 4.00,"1,17870809","2,09476617","6,04649542","3,41880298"
04/01/2010 5.00,"0,31817862","1,24595671","5,37077167",
04/01/2010 6.00,"0,31094775","1,36276653","5,6794526","2,93040299"
04/01/2010 7.00,"1,38299288","6,08053093","11,3005414",
04/01/2010 8.00,"1,24198176","21,3201384","28,35834424","2,44200301"
04/01/2010 9.00,"1,85122273","55,84093512","99,87483048",
04/01/2010 10.00,"1,31068011","53,70593856","101,9240165","7,81440783"
04/01/2010 11.00,"0,79363934","33,4928864","48,43939192",
04/01/2010 12.00,"0,85149037","27,13200656","37,51628888","12,21000957"
04/01/2010 13.00,"0,26394404","12,4621617","18,01627506",
04/01/2010 14.00,"1,59631778","18,51803739","25,41810888","11,23320961"
04/01/2010 15.00,"1,68670976","17,50828916","23,53618464",
04/01/2010 16.00,"2,64305384","26,25722832","38,1232724","8,79120922"
04/01/2010 17.00,"0,24948129","21,3045556","27,01468624",
04/01/2010 18.00,"0,33987326","19,64457632","25,80720088","7,81440783"
04/01/2010 19.00,"0,80629387","21,91586024","29,254556",
04/01/2010 20.00,"0,46280517","18,52452672","24,80204336","6,34920597"
04/01/2010 21.00,"1,22932723","13,05529278","18,2575121",
04/01/2010 22.00,"0,99973236","8,43227563","13,09425552","7,32600689"
04/01/2010 23.00,"1,01419511","8,21163657","12,78817109",
05/01/2010 0.00,"1,44445934","6,25444645","10,54570101","4,39560509"
05/01/2010 1.00,"2,55808553","10,2181429","14,94633726",
05/01/2010 2.00,"2,34114519","6,36087219","10,57942295","2,93040299"
05/01/2010 3.00,"2,12420485","5,58734009","9,74027866",
05/01/2010 4.00,"2,88891868","10,44657146","15,01767016","1,95360196"
05/01/2010 5.00,"2,4803491","9,0085314","13,52614955",
05/01/2010 6.00,"3,24506292","12,3674221","17,00593219","3,90720391"
05/01/2010 7.00,"3,39330491","11,47967477","15,54683528",
05/01/2010 8.00,"3,26314112","18,83861478","23,69572192","6,83760691"
05/01/2010 9.00,"2,54181454","23,49276312","30,3738408",
05/01/2010 10.00,"2,72621393","16,63871921","22,75541944","6,34920597"
05/01/2010 11.00,"3,79826007","12,05982528","17,93197306",
05/01/2010 12.00,"3,18359646","10,95923219","16,76469515","12,69841003"
05/01/2010 13.00,"3,53973969","11,75353053","16,85937357",
05/01/2010 14.00,"3,9772358","11,96897086","17,81264897","16,11721039"
05/01/2010 15.00,"3,5686652","9,22657397","14,13053849",
05/01/2010 16.00,"0,44952417","8,7554457","13,50799129","15,14041042"
05/01/2010 17.00,"0,00162618","9,86253002","14,52611599",
05/01/2010 18.00,"0,00325338","15,54721003","20,66468568","15,14041042"
05/01/2010 19.00,"0,01301353","14,69450392","19,85667448",
05/01/2010 20.00,"0,0178931","11,37714186","16,03579486","19,53602028"
05/01/2010 21.00,"0,01481464","11,43165298","16,56495998",
05/01/2010 22.00,"0,01951928","9,87421234","14,74530385","22,95482063"
05/01/2010 23.00,"0,034159","5,86508486","10,21237822",
06/01/2010 0.00,"0,02114648","4,64508354","8,72215395","27,35042"
06/01/2010 1.00,,"4,36344594","8,8985436",
06/01/2010 2.00,,,,"22,95482063"
06/01/2010 3.00,,"2,55031929","6,38760004",
06/01/2010 4.00,,"2,78782984","6,38889638","25,88521957"
06/01/2010 5.00,,"3,38355359","7,12946942",
06/01/2010 6.00,,"4,24793438","8,19428708","29,30401993"
06/01/2010 7.00,,"6,7761911","10,45880443",
06/01/2010 8.00,,"12,83335356","17,57400651","35,16482162"
06/01/2010 9.00,,"14,27918884","20,5142304",
06/01/2010 10.00,,"9,05655128","14,26282977","40,53723145"
06/01/2010 11.00,,"7,1292113","12,48597566",
06/01/2010 12.00,,"8,20384899","14,70250564","41,5140419"
06/01/2010 13.00,,"9,56142444","16,21996635",
06/01/2010 14.00,,"7,57178768","13,03329714","36,14162064"
06/01/2010 15.00,,"4,76968094","8,89983994",
06/01/2010 16.00,,"4,32321173","8,55873531","26,86202049"
06/01/2010 17.00,,"6,93453146","11,34723053",
06/01/2010 18.00,,"11,99882483","16,93589563","22,46640968"
06/01/2010 19.00,,"13,44335804","18,08631162",
06/01/2010 20.00,,"12,54912138","17,24068564","22,95482063"
06/01/2010 21.00,,"16,60756317","21,81251664",
06/01/2010 22.00,,"38,3209732","46,05426752","25,88521957"
06/01/2010 23.00,,"26,02622048","31,2959984",
07/01/2010 0.00,,"32,11712592","37,37359632","21,97801971"
07/01/2010 1.00,,"36,72458704","42,23986576",
07/01/2010 2.00,,"27,95875536","36,58244896","15,62880993"
07/01/2010 3.00,,"11,11627431","16,64277838",
07/01/2010 4.00,,"7,16036161","11,12674442","8,79120922"
07/01/2010 5.00,,"5,40823349","9,2552119",
07/01/2010 6.00,,"8,97997759","12,82059478","9,27960968"
07/01/2010 7.00,,"15,10333158","19,66212848",
07/01/2010 8.00,,"17,11503665","22,56215448","14,16361046"
07/01/2010 9.00,,"30,34164272","39,98701352",
07/01/2010 10.00,,"22,2688728","30,21950416","10,7448101"
07/01/2010 11.00,,"21,04110112","28,245498",
07/01/2010 12.00,,"21,02939968","29,73703008","14,16361046"
07/01/2010 13.00,,"14,30774074","22,84490104",
07/01/2010 14.00,,"16,48816642","25,72938248","8,30280876"
07/01/2010 15.00,,"12,1234184","18,81650824",
07/01/2010 16.00,,"12,90733266","18,57267662","9,27960968"
07/01/2010 17.00,,"20,30519144","26,08604696",
07/01/2010 18.00,,"39,78877736","47,45606944","18,55920982"
07/01/2010 19.00,,"38,978988","46,01403904",
07/01/2010 20.00,,"28,53371288","36,49686784","23,44322014"
07/01/2010 21.00,,"40,81158264","57,95141984",
07/01/2010 22.00,,"23,65241512","29,21952816","26,37360954"
07/01/2010 23.00,,"25,5421212","30,85501472",
08/01/2010 0.00,,"17,84314728","22,49989976","22,46640968"
08/01/2010 1.00,,"29,23845696","36,00399248",
08/01/2010 2.00,,,,"17,09399986"
08/01/2010 3.00,,"2,63078581","6,29162338",
08/01/2010 4.00,"0,0015855","9,37453026","13,38477818","17,09399986"
08/01/2010 5.00,"0,03329658","5,9377638","9,54962549",
08/01/2010 6.00,"0,106486","4,29076509","8,55614073","21,48962021"
08/01/2010 7.00,"0,01585503","8,19995616","12,25900406",
08/01/2010 8.00,"0,03697914","12,94627054","18,09798438","21,97801971"
08/01/2010 9.00,"0,03805309","14,98782002","20,96169576",
08/01/2010 10.00,"0,0702747","15,02546538","21,33652424","26,37360954"
08/01/2010 11.00,"0,10541205","11,41477766","16,8438118",
08/01/2010 12.00,"0,46844749","8,40502007","13,68956819","23,93161964"
08/01/2010 13.00,"0,49732826","8,05978553","13,71291371",
08/01/2010 14.00,"0,48051419","10,1065299","15,8814544","28,81562042"
08/01/2010 15.00,"0,76481858","9,00333841","13,91653789",
08/01/2010 16.00,"0,62271825","8,29989258","13,39645094","24,42000961"
08/01/2010 17.00,"0,86852003","8,04031754","12,79595102",
08/01/2010 18.00,"0,86821188","8,03383013","13,0190317","28,81562042"
