,Bari,,,
,ENAIP,,,
Parm,SO2,NO2,CO,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3


07/01/2010 20.00,"2,34788891",,"1,36361852","8,30000019"
07/01/2010 21.00,"2,12754875",,"1,47626354","8,30000019"
07/01/2010 22.00,"2,11671261",,"1,40623539","8,30000019"
07/01/2010 23.00,"2,4941803",,"1,39134552","8,30000019"
08/01/2010 0.00,"2,28287007",,"1,40291747","8,30000019"
08/01/2010 1.00,,,"1,28549362",18
08/01/2010 2.00,"2,23049457",,"1,24165351",18
08/01/2010 3.00,"2,36053124",,,18
08/01/2010 4.00,"1,99751207","4,69440358","1,27644973",18
08/01/2010 5.00,"2,16186334","5,31348815","1,25883376",18
08/01/2010 6.00,"2,12935494","10,4050409","1,23754572",18
08/01/2010 7.00,"2,06433609","11,73794773","1,21349196",18
08/01/2010 8.00,"2,01737815","10,79569883","1,20452729",18
08/01/2010 9.00,"2,25216684",,"1,22498585",18
08/01/2010 10.00,,,"1,16040874",18
08/01/2010 11.00,,,"1,19074184",18
08/01/2010 12.00,"5,78122498",,"1,20523677",18
08/01/2010 13.00,"6,09186865","7,50948898","1,20855586",18
08/01/2010 14.00,"6,1352142","8,21942414","1,21214988",18
08/01/2010 15.00,"6,12437807","7,62759322","1,23730806",18
08/01/2010 16.00,"6,38986999","7,04744654","1,22597377",18
08/01/2010 17.00,"6,44766406","9,93131805","1,24998675",18
08/01/2010 18.00,"6,10812336","9,6029569","1,28071479",18
08/01/2010 19.00,"6,44044031","9,73144522","1,2957631",18
08/01/2010 20.00,"6,00517753","9,17725393","1,29422297",18
08/01/2010 21.00,"6,22732389","5,99357317","1,2849018",18
08/01/2010 22.00,"6,19120209","3,83521197","1,26965661",18
08/01/2010 23.00,"6,30137268","3,31087274","1,2587161",18
09/01/2010 0.00,"5,9943414","2,85402137","1,29362998",18
09/01/2010 1.00,"6,05935922","2,69697734","1,29355193","19,60000038"
09/01/2010 2.00,"5,96002578","2,71385074","1,28794362","19,60000038"
09/01/2010 3.00,"6,14424516","2,45297746","1,33048126","19,60000038"
09/01/2010 4.00,"6,21468157","2,50359574","1,29833076","19,60000038"
09/01/2010 5.00,"6,22190532","2,70606316","1,3099027","19,60000038"
09/01/2010 6.00,"6,15146891","4,05844562","1,33431178","19,60000038"
09/01/2010 7.00,"6,0647778","4,55682945","1,35433697","19,60000038"
09/01/2010 8.00,"6,1930093","13,53550497","1,40086357","19,60000038"
