NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


21/06/2010 21.00,"55,5798222","34,28718856","0,13991534","1,73029329",
21/06/2010 22.00,"61,6962927","19,08001243","0,06476701","1,20875535","11,72161007"
21/06/2010 23.00,"56,57171625","14,91773566",,"0,84163666",
22/06/2010 0.00,"60,0198543","10,84631521",,"0,60840601","6,83760691"
22/06/2010 1.00,"67,0154814","7,82487147",,"0,39934946",
22/06/2010 2.00,"59,51653575","6,45302103",,"0,34945849","12,69841003"
22/06/2010 3.00,"62,1875415","5,56397927",,"0,25828546",
22/06/2010 4.00,"66,4249215","6,7709981",,"0,21391375","7,32600689"
22/06/2010 5.00,"67,79802015","6,24795712",,"0,25364997",
22/06/2010 6.00,"57,52468785","9,11884998",,"0,40873128","4,39560509"
22/06/2010 7.00,"49,38145695","10,38557101",,"0,44085221",
22/06/2010 8.00,"51,1558698","13,12796982","0,07200283","0,90830507","5,86080599"
22/06/2010 9.00,"60,46280415","13,6730791","0,05470025","1,25014725",
22/06/2010 10.00,"66,56854155","13,83661246",,"1,1136089","6,83760691"
22/06/2010 11.00,"64,94177865","15,04752795","0,05277217","1,46207378",
22/06/2010 12.00,"64,969968","17,57708101","0,06547417","1,35831842","11,72161007"
22/06/2010 13.00,"65,51354565","17,33177714","0,06661587","1,49761589",
22/06/2010 14.00,"75,21108105","10,62827073",,"1,1371199","17,58241081"
22/06/2010 15.00,"79,56117855","12,55042345",,"0,62650861",
22/06/2010 16.00,"75,52513395","14,02610314",,"1,05168682","10,25640965"
22/06/2010 17.00,"75,65668425","13,72499564",,"0,91536916",
22/06/2010 18.00,"76,19625195","17,9807195","0,05481791","1,34694938","16,11721039"
22/06/2010 19.00,"74,1533919","20,3311564","0,05914356","1,44639977",
22/06/2010 20.00,"66,9604593","24,08850408","0,06425558","1,39661966","21,48962021"
22/06/2010 21.00,"56,05764465","34,53896072","0,10743397","1,68448659",
22/06/2010 22.00,"64,8169515","23,10990424","0,05871134","1,7469609","15,14041042"
22/06/2010 23.00,"67,09601955","16,51022707",,"1,3531307",
23/06/2010 0.00,"73,64604345","9,9131464","0,04777898","0,90962921","20,02441978"
23/06/2010 1.00,"66,7900065","6,88650967",,"0,37870843",
23/06/2010 2.00,"69,808641","5,74308396",,"0,33654361","11,23320961"
23/06/2010 3.00,,"5,32517047",,"0,26932397",
23/06/2010 4.00,"59,64002625",,,"0,28841917","9,76801014"
23/06/2010 5.00,"62,0358816","6,74114796",,"0,27539445",
23/06/2010 6.00,"56,50460445","9,05655128",,"0,34636783","9,27960968"
23/06/2010 7.00,"44,6931072","14,50760783",,"0,50531272",
23/06/2010 8.00,"56,8441734","16,05338144","0,07943436","0,90532425","10,7448101"
23/06/2010 9.00,"67,56177225","17,16695318","0,07986774","1,07917023",
23/06/2010 10.00,"69,01269585","18,84769678","0,06303699","1,57024495","11,23320961"
23/06/2010 11.00,"76,63918185","15,71723081","0,05084643","1,69806253",
23/06/2010 12.00,"80,61214455","15,20716466",,"1,28922141","18,55920982"
23/06/2010 13.00,"76,36806135","23,9742812","0,06138502","1,6497174",
23/06/2010 14.00,"85,95954255","12,04813722",,"1,36891454","15,62880993"
23/06/2010 15.00,"85,16896395","12,66852769",,"0,76735193",
23/06/2010 16.00,"86,0413974","12,66722562",,"0,91658345","17,58241081"
23/06/2010 17.00,"85,095129","18,09362884",,"0,876295",
23/06/2010 18.00,"82,3127424","19,48234312","0,05619378","1,25389998","23,93161964"
23/06/2010 19.00,"76,21368825","25,7562652","0,05548546","1,37034953",
23/06/2010 20.00,"66,07326285","32,17423736","0,08372156","1,62642708","19,53602028"
23/06/2010 21.00,"49,8230502","42,92061424","0,13802687","2,07820696",
23/06/2010 22.00,"58,60114995","28,4779016","0,05768847","2,38196858","10,7448101"
23/06/2010 23.00,"73,0407006","13,83531039",,"1,37432295",
24/06/2010 0.00,"78,69411165","12,41154724",,"0,9480413","11,72161007"
24/06/2010 1.00,"83,7864888","7,65095595",,"0,52672667",
24/06/2010 2.00,"74,73188205","12,05852321",,"0,38985678","16,60560989"
24/06/2010 3.00,"78,35855265","5,02665947",,"0,2831206",
24/06/2010 4.00,"77,7881223","5,24859487",,"0,36954729","9,27960968"
24/06/2010 5.00,"78,81357225","6,08312551",,"0,42308115",
24/06/2010 6.00,"74,8285398","9,36933918",,"0,4163476","10,7448101"
24/06/2010 7.00,"70,568337","16,01832874","0,05288984","0,72595901",
24/06/2010 8.00,"76,5479106","17,98591058",,"0,77287017","8,79120922"
24/06/2010 9.00,"75,8137107","18,39083968","0,05104215","0,90819422",
24/06/2010 10.00,"72,20182305","19,1526952","0,12798574","1,45534022","16,11721039"
24/06/2010 11.00,"78,486093","18,20654582","0,2001039","2,04012641",
24/06/2010 12.00,"83,39321445","20,6647048","0,1759383","2,24620315","19,53602028"
24/06/2010 13.00,"86,2172367","24,27538296","0,1828817","3,51787317",
24/06/2010 14.00,"94,9188282","20,48818896","0,18150933","3,73609188","28,81562042"
24/06/2010 15.00,"91,77400995","26,90746128","0,18390224","3,59050223",
24/06/2010 16.00,"88,6641042","30,73878424","0,18405835","3,89503678","24,42000961"
24/06/2010 17.00,"93,43835865","20,18448688","0,20116288","3,3974502",
24/06/2010 18.00,"83,39321445","29,034676","0,33124329","3,21609876","25,39682007"
24/06/2010 19.00,"75,33185835","39,3488644","0,4373177","2,61828887",
24/06/2010 20.00,"71,6850582","39,93812368","0,38785064","3,05251838","18,55920982"
24/06/2010 21.00,"57,32738235","51,80196896","0,34869965","3,57990611",
24/06/2010 22.00,"55,0321947","45,68119808","0,27934487","3,91689211","10,25640965"
24/06/2010 23.00,"61,7929305","31,44354744","0,18751141","3,27272329",
25/06/2010 0.00,"69,27982635","24,39218704","0,18374497","2,23196414","10,7448101"
25/06/2010 1.00,"81,76645155","15,22792515","0,18307859",,
25/06/2010 2.00,"86,14878825","12,37779662","0,18327431",,"18,55920982"
25/06/2010 3.00,,"12,07150186","0,1774295",,
25/06/2010 4.00,"87,4453587",,"0,18249026",,"9,76801014"
25/06/2010 5.00,"89,88953295","38,77780736",,,
25/06/2010 6.00,"86,01859455","30,04444144","0,17699845",,"5,37240601"
25/06/2010 7.00,"79,3974489","32,61032632","0,18578605",,
25/06/2010 8.00,"79,8551418","32,81148784","0,17825316",,"10,7448101"
25/06/2010 9.00,"79,80680295","35,99127768","0,19174735",,
25/06/2010 10.00,"79,8685482","33,36828136","0,33873657",,"9,76801014"
25/06/2010 11.00,"84,72603405","28,6829636","0,70967839",,
25/06/2010 12.00,"84,9582321","31,226784","0,93520259",,"24,42000961"
25/06/2010 13.00,"80,6591268","35,0633076","1,1945013",,
25/06/2010 14.00,"90,61970295","23,13324976","1,36216344",,"17,09399986"
25/06/2010 15.00,"88,29365265","25,16184352","1,73934384",,
25/06/2010 16.00,"87,6426642","27,67841792","2,08584629",,"18,55920982"
25/06/2010 17.00,"84,79717575","30,76214888","2,34298742",,
25/06/2010 18.00,"79,6269537","37,26709792","2,35452092",,"16,11721039"
25/06/2010 19.00,"70,12810035","42,56500136","2,0869845",,
25/06/2010 20.00,"57,4750323","52,96744768","1,80559972",,"19,04759979"
25/06/2010 21.00,"44,483712","63,69826088","1,45270258",,
25/06/2010 22.00,"49,5291069","57,01031432","0,99137656",,"18,07081032"
25/06/2010 23.00,"71,41663095","34,90625592","0,50529895",,
26/06/2010 0.00,"85,46159055","29,26050232","0,23921411",,"14,16361046"
26/06/2010 1.00,"82,9556511","23,83411248","0,18327431",,
26/06/2010 2.00,"83,39991765","21,25524512","0,17997969",,"17,09399986"
26/06/2010 3.00,"89,61438255","16,12735098","0,18358886",,
26/06/2010 4.00,"95,0033763","15,14745672","0,18225493",,"13,18680954"
26/06/2010 5.00,"101,04066525","11,19024386","0,18582449",,
26/06/2010 6.00,"96,31203645","18,81784473","0,17942981",,"10,7448101"
26/06/2010 7.00,"96,6489321","18,13905796","0,17935175",,
26/06/2010 8.00,"90,2599845","20,6647048","0,18009735",,"13,67521"
26/06/2010 9.00,"87,12458265","26,11057792","0,19398415",,
26/06/2010 10.00,"87,43328895","28,2637576","0,58450147",,"16,60560989"
26/06/2010 11.00,"90,6962112","26,98793736","1,1096893",,
26/06/2010 12.00,"92,6370669","28,12228872","1,49679433",,"23,44322014"
26/06/2010 13.00,"91,06666275","27,69658192","1,78017942",,
26/06/2010 14.00,"99,90247785","27,28255744","2,02865178","3,48520205","20,02441978"
26/06/2010 15.00,"111,5944347","22,30521992","2,22883373","3,02194329",
26/06/2010 16.00,"110,76501345","25,24750112","2,47365848","1,4136178","21,48962021"
26/06/2010 17.00,"97,8153288","31,04768696","2,65418688","1,73018345",
26/06/2010 18.00,"91,3216836","38,49098824","2,68097955","1,53304716","18,55920982"
26/06/2010 19.00,"80,58261855","48,8493056","2,67470253","2,47225784",
26/06/2010 20.00,"69,65967435","63,30500072","2,37680271",,"13,18680954"
26/06/2010 21.00,"77,0834484","52,0329768","2,02002146",,
26/06/2010 22.00,"83,38383795","39,40857616","1,57195664",,"12,69841003"
26/06/2010 23.00,"94,8879456","23,34871304","1,11694725",,
27/06/2010 0.00,"87,4614783","22,85551264","0,83866137",,"16,60560989"
27/06/2010 1.00,"92,41827525","15,91450332","0,54688129",,
27/06/2010 2.00,"92,00219805","15,61858499","0,32959598",,"12,69841003"
27/06/2010 3.00,,"13,34860697","0,189316",,
27/06/2010 4.00,"90,99284775",,"0,1851185",,"22,46640968"
27/06/2010 5.00,"86,37294645","45,91222504",,,
27/06/2010 6.00,"83,99586405","28,8854444","0,17805744",,"11,72161007"
27/06/2010 7.00,"74,34533085","27,31240376","0,18205805",,
27/06/2010 8.00,"64,61292285","26,92304408","0,17829277",,"5,37240601"
27/06/2010 9.00,"77,6753649","23,66407832","0,18664815",,
27/06/2010 10.00,"80,00546505","23,12288672","0,18209766",,"5,37240601"
27/06/2010 11.00,"81,6053952","22,40386","0,1792737",,
27/06/2010 12.00,"87,9970161","21,9288236","0,21199039",,"7,81440783"
27/06/2010 13.00,"84,94616235","23,52911024","0,33740264",,
27/06/2010 14.00,"89,1137373","15,7211179","0,57116455",,"10,7448101"
27/06/2010 15.00,"90,30293685","14,02610314","0,90366254",,
27/06/2010 16.00,"86,7568044","16,56992927","1,39695849",,"12,21000957"
27/06/2010 17.00,"83,8186881","16,48167709","1,69579963",,
27/06/2010 18.00,"84,31666005","17,43301754","1,74405044",,"8,30280876"
27/06/2010 19.00,"78,8001459","22,38697704","1,57128909",,
27/06/2010 20.00,"72,8366919","25,14496056","1,30437944",,"4,39560509"
27/06/2010 21.00,"68,3053686","34,36764552","1,04994577",,
27/06/2010 22.00,"69,4449126","29,36952456","0,69822528",,"2,44200301"
27/06/2010 23.00,"65,6652255","26,09111376","0,44559386",,
28/06/2010 0.00,"60,79297665","22,6673336","0,22960286",,"4,39560509"
28/06/2010 1.00,"64,4250138","17,3551437","0,18892339",,
28/06/2010 2.00,"70,2717204","11,93652231","0,18080334",,"9,27960968"
28/06/2010 3.00,"74,6795532","12,74899803","0,17825316",,
28/06/2010 4.00,"75,8003043","11,3434027","0,1801358",,"5,86080599"
28/06/2010 5.00,"75,0808674","11,28758951","0,18186233",,
28/06/2010 6.00,"77,6055798","13,72499564","0,18354925",,"14,65200996"
28/06/2010 7.00,"83,86970025","19,0813145","0,18390224",,
28/06/2010 8.00,"76,9358184","29,60963352","0,18445096",,"22,46640968"
28/06/2010 9.00,"90,6707151","24,99310952","0,20073067","2,34742008",
28/06/2010 10.00,"91,57267455","25,15922408","0,57512555","3,09887629","28,81562042"
28/06/2010 11.00,"93,2531229","22,76337336","1,01973965","2,87591226",
28/06/2010 12.00,"96,3147297","27,84843296","1,34584412","0,79869892","22,46640968"
28/06/2010 13.00,"97,86231105","26,4389448","1,69438765","0,76746176",
28/06/2010 14.00,"102,78018555","23,26823696","1,9766357","0,36733938","26,86202049"
28/06/2010 15.00,"104,60688735","20,87756776","2,34510656","0,69394995",
28/06/2010 16.00,"93,9537669","25,19168984","2,57737727","1,79552774","20,02441978"
28/06/2010 17.00,"90,82506825","30,91660024","2,76241655","2,05270975",
28/06/2010 18.00,"84,6374361","33,26834112","2,78548355","0,87000384","23,44322014"
28/06/2010 19.00,"79,09275255","35,94066704","2,69494441","0,17329477",
28/06/2010 20.00,"66,95241945","42,71425208","2,55976363","0,24780019","27,8388195"
28/06/2010 21.00,"53,1732138","51,77340368","2,3281593","0,80675661",
28/06/2010 22.00,"67,3698333","34,59347184","1,77959226","0,42727526","17,58241081"
28/06/2010 23.00,"78,09146205","27,67579848","1,28915988","0,43809207",
29/06/2010 0.00,"81,19197135","21,16178656","0,97686299","0,14040194","18,55920982"
29/06/2010 1.00,"81,59867205","14,59197292","0,67213743","0,9566502",
29/06/2010 2.00,"85,58236785","11,20842124","0,41903652","2,03769781","16,11721039"
29/06/2010 3.00,,"10,0351473","0,24160702","1,33359312",
29/06/2010 4.00,"92,1404316",,"0,1836273","1,34573508","18,07081032"
29/06/2010 5.00,"96,6945777","34,75960552",,"2,96896166",
29/06/2010 6.00,"89,97946755","28,01974816","0,189316","1,87257159","11,72161007"
29/06/2010 7.00,"88,3728342","26,56873136","0,18268598",,
29/06/2010 8.00,"88,83589365","26,81922248","0,18307859",,"18,55920982"
29/06/2010 9.00,"90,54991785","27,2501108","0,26698771",,
29/06/2010 10.00,"88,63591485","30,16382672","0,69402662",,"10,25640965"
29/06/2010 11.00,"84,0146769","28,4779016","1,83643377","1,52863236",
29/06/2010 12.00,"96,3523155","25,17092552","3,23758859","2,48163967","20,51280975"
29/06/2010 13.00,"93,24911295","29,24363848","3,23794159","2,36938524",
29/06/2010 14.00,"102,47949915","21,69781576","3,24472888","2,96730599","27,8388195"
29/06/2010 15.00,"90,71366745","19,46287896","3,25202527","1,00521704",
29/06/2010 16.00,"93,42359565","22,28833696","3,24582747","0,89086454","27,35042"
29/06/2010 17.00,"84,5354517","27,47205576","3,24747478","0,30519662",
29/06/2010 18.00,"73,20175695","31,34878872","3,25555639","0,53710211","46,39804077"
29/06/2010 19.00,"66,9202002","35,24888632","3,25406519","0,19614269",
29/06/2010 20.00,"53,6953452","46,37684104","3,2496312","0,42506735","24,42000961"
29/06/2010 21.00,"52,6591422","43,73179936","3,24688646","0,71138947",
29/06/2010 22.00,"58,5622275","34,77386904","3,2453172","0,56955356","12,69841003"
29/06/2010 23.00,"70,9213323","23,98856384","3,24084593","1,04329759",
30/06/2010 0.00,"73,06621665","19,5044076","3,24743634","0,68445727","11,72161007"
30/06/2010 1.00,"76,5143547","15,68348401","3,24347301","1,40909215",
30/06/2010 2.00,"78,2726679","11,39530777","3,2387268","2,06374725","11,72161007"
30/06/2010 3.00,"80,3826198","10,06759394","3,24453199","1,80568248",
30/06/2010 4.00,"86,9581398","9,49134008","3,23978578","1,27807305","13,18680954"
30/06/2010 5.00,"85,59445755","10,18569435","3,2407271","4,43489801",
30/06/2010 6.00,"75,49157805","15,66660678","3,24249324","2,92801114","15,62880993"
30/06/2010 7.00,"72,15617745","22,64396896","3,23758859","2,03979487",
30/06/2010 8.00,"76,398924","26,63880616","3,24884832","2,36739803","14,65200996"
30/06/2010 9.00,"86,27092215","19,66534064","3,25237827","0,86536733",
30/06/2010 10.00,"86,66688975","21,39411368","3,24515993","0,85300468","24,90842056"
30/06/2010 11.00,"94,76850495","23,1202864","3,25441818","3,08276091",
30/06/2010 12.00,"95,2235046","24,34935824","3,25045718","4,50554086","31,25761986"
30/06/2010 13.00,"98,128065","27,39806136","3,25743903","2,24686522",
30/06/2010 14.00,"108,5154714","17,43950687","3,25830229","1,60258555","28,81562042"
30/06/2010 15.00,"96,3939312","17,4304134","3,26261629","1,213281",
30/06/2010 16.00,"92,05319025","19,2474348","3,25528145","1,05323164","34,67642975"
30/06/2010 17.00,"89,28421005","25,03723848","3,26328383","2,12953291",
30/06/2010 18.00,"92,2598922","33,6304548","3,25841879","1,57057547","53,72404099"
30/06/2010 19.00,"88,0815642","39,2424616","3,25912595","1,21946131",
30/06/2010 20.00,"74,77485435","49,86163312","3,25888945","2,07699266","47,37483978"
30/06/2010 21.00,"60,1366416","58,8818564","3,25449624","2,12743586",
30/06/2010 22.00,"87,2091507","32,0353688","3,25673304","2,56022936","27,35042"
30/06/2010 23.00,"95,33089545","22,73350792","3,25277087","1,19992474",
01/07/2010 0.00,"94,95104745","16,01703623","3,24739673","0,80686644","26,86202049"
01/07/2010 1.00,"108,761016","12,88916675","3,23782509","1,41196212",
01/07/2010 2.00,"114,35677155","10,44397687","3,25029874","1,17078464","18,55920982"
01/07/2010 3.00,,"10,44786397","3,25045718","1,76473196",
01/07/2010 4.00,"125,37100695",,"3,23982539","1,69949853","20,02441978"
01/07/2010 5.00,"120,5738898","26,72836424",,"4,68755538",
01/07/2010 6.00,"117,32038395","21,48365264",,"1,92754044","21,0012207"
01/07/2010 7.00,"106,138389","29,06194112",,"1,56417346",
01/07/2010 8.00,"101,3963538","32,7180484",,"2,34355649","20,02441978"
01/07/2010 9.00,"99,80181015","32,68820208",,"2,63407271",
01/07/2010 10.00,"102,59353335","31,73166672",,"3,49679076","29,30401993"
01/07/2010 11.00,"108,21612165","26,45450848",,"4,96924099",
01/07/2010 12.00,"112,93270065","26,82312296",,"4,10332143","35,16482162"
01/07/2010 13.00,"108,77583885","33,36049952",,"3,06134798",
01/07/2010 14.00,"111,05624355","19,87690344",,"1,91451572","42,97924042"
01/07/2010 15.00,"109,14758715","20,2974096",,"2,43815072",
01/07/2010 16.00,,,,,
01/07/2010 17.00,,,,,
01/07/2010 18.00,,,,,
01/07/2010 19.00,,,,,
01/07/2010 20.00,,,,,
01/07/2010 21.00,,,,,
01/07/2010 22.00,,,,,
01/07/2010 23.00,,,,,
02/07/2010 0.00,,,,,
02/07/2010 1.00,,,,,
02/07/2010 2.00,,,,,
02/07/2010 3.00,,,,,
02/07/2010 4.00,,,,,
02/07/2010 5.00,,,,,
02/07/2010 6.00,,,,,
02/07/2010 7.00,,,,,
02/07/2010 8.00,,,,,
02/07/2010 9.00,,,,,
02/07/2010 10.00,,,,,
02/07/2010 11.00,,,,,
02/07/2010 12.00,,,,,
02/07/2010 13.00,,,,,
02/07/2010 14.00,,,,,
02/07/2010 15.00,,,,,
02/07/2010 16.00,,,,,
02/07/2010 17.00,,,,,
02/07/2010 18.00,,"22,35655712",,"1,72107317",
02/07/2010 19.00,,"36,2326868",,"2,92127758",
02/07/2010 20.00,,"47,87460624",,"3,28431302","50,79365158"
02/07/2010 21.00,,"50,31200472",,"3,84812663",
02/07/2010 22.00,,"43,31647472",,"3,53641715","28,81562042"
02/07/2010 23.00,,"33,16970104",,"3,01730679",
03/07/2010 0.00,,"22,01320016",,"2,72403145","30,28083038"
03/07/2010 1.00,"97,75222695","17,81458391",,"2,36695665",
03/07/2010 2.00,"98,48778345","11,16689069",,"1,5613045","28,32722092"
03/07/2010 3.00,"93,23837985","15,18899874",,"1,25301722",
03/07/2010 4.00,"95,98992375","9,2927655",,"1,34838437","23,93161964"
03/07/2010 5.00,"92,76189405","7,9507652",,"1,27288534",
03/07/2010 6.00,"94,1953614","11,3070575",,"1,15213082","20,02441978"
03/07/2010 7.00,"87,3836334","13,40701474",,"1,25919855",
03/07/2010 8.00,"87,52992675","15,60301366",,"2,02853668","24,42000961"
03/07/2010 9.00,"88,4453325","25,379888",,"2,0367042",
03/07/2010 10.00,"102,0553422","20,47392544",,"2,25668842","17,09399986"
03/07/2010 11.00,"100,56417945","31,93672872",,"2,27313535",
03/07/2010 12.00,"108,84965385","31,10477928",,"2,83054694","28,81562042"
03/07/2010 13.00,"112,1582217","32,58826184",,"2,73253052",
03/07/2010 14.00,"118,3216146","15,95084853",,"2,61961301","51,28205109"
03/07/2010 15.00,"117,6599529","11,12535822",,"1,46097033",
03/07/2010 16.00,"115,58892345","14,31163739",,"1,76296543","42,97924042"
03/07/2010 17.00,"112,2346701","17,78213727",,"1,81594706",
03/07/2010 18.00,"105,94373685","25,11769544",,"2,17975441","26,37360954"
03/07/2010 19.00,"89,594253","40,69475944",,"3,16676003",
03/07/2010 20.00,"77,4042444","47,97712768",,"4,57320289","24,90842056"
03/07/2010 21.00,"70,9817409","47,43981744",,"4,07914835",
03/07/2010 22.00,"79,1773206","38,36898352",,"3,42173413","21,97801971"
03/07/2010 23.00,"89,27615025","27,30592208",,"3,01156684",
04/07/2010 0.00,"97,3495761","17,60563482",,"2,17070412","22,95482063"
04/07/2010 1.00,"104,574708","14,06633353",,"1,76693885",
04/07/2010 2.00,"103,0176903","12,47384976",,"1,35037057","23,44322014"
04/07/2010 3.00,"104,1559176","15,4758236",,"1,25169207",
04/07/2010 4.00,"106,1531121","10,51535374",,"1,13899627","25,39682007"
04/07/2010 5.00,"109,4885925","8,21293482",,"1,11261529",
04/07/2010 6.00,"106,70207625","9,2927655",,"1,24518022","24,42000961"
04/07/2010 7.00,"108,7489263","10,20516234",,"1,25169207",
04/07/2010 8.00,"106,43227245","12,03776271",,"1,21195585","19,53602028"
04/07/2010 9.00,"121,28796015","10,11821222",,"1,32465267",
04/07/2010 10.00,"129,6633492","10,27654877",,"1,22520126","17,58241081"
04/07/2010 11.00,"132,62023845","10,07408326",,"1,1718891",
04/07/2010 12.00,"133,1330532","10,66980319",,"1,20555383","18,07081032"
04/07/2010 13.00,"129,95192595","11,40309917",,"1,19208774",
04/07/2010 14.00,"141,55137465","7,65744528",,"1,07950177","18,07081032"
04/07/2010 15.00,"139,70983005","8,63863779",,"0,85432983",
04/07/2010 16.00,"137,4013158","10,21944306",,"0,99340662","17,09399986"
04/07/2010 17.00,"130,2659988","12,73730998",,"1,19871044",
04/07/2010 18.00,"123,0476499","15,81067025",,"1,37752345","22,46640968"
04/07/2010 19.00,"115,2493545","21,05276432",,"1,69541426",
04/07/2010 20.00,"114,1219002","25,4499628",,"1,54971477","18,07081032"
04/07/2010 21.00,"109,0698021","30,82056048",,"2,17887165",
04/07/2010 22.00,"108,2134683","36,4559128",,"2,39664898","18,07081032"
04/07/2010 23.00,"113,3728974","25,77962984",,"2,42358117",
05/07/2010 0.00,"121,4155005","20,69975176",,"2,60338779","22,46640968"
05/07/2010 1.00,"117,3176508","17,52126782",,"2,30492372",
05/07/2010 2.00,"110,94615945","8,67238268",,"1,62366796","20,51280975"
05/07/2010 3.00,"110,35962945","8,04291404",,"1,13954748",
05/07/2010 4.00,"122,43157395","8,69963633",,"1,14561897","16,60560989"
05/07/2010 5.00,"125,2475364","9,41736098",,"1,37730276",
05/07/2010 6.00,"109,088595","21,2954736",,"1,50225138","14,16361046"
05/07/2010 7.00,"117,7229949","23,26305544",,"1,96065396",
05/07/2010 8.00,"109,1180412","29,98084832",,"2,07798627","18,07081032"
05/07/2010 9.00,"117,52175925","31,1567092",,"2,63363134",
05/07/2010 10.00,"135,7986126","20,24808",,"2,82392424","26,86202049"
05/07/2010 11.00,"144,60220845","17,82886464",,"1,86815679",
05/07/2010 12.00,"146,5296378","19,16047704",,"1,66826138","44,93283081"
05/07/2010 13.00,"121,9429386","29,9445012",,"1,6832723",
05/07/2010 14.00,"122,1242043","28,19886432",,"2,53627698","59,09645081"
05/07/2010 15.00,"149,66639625","26,48825528",,"1,69077776",
05/07/2010 16.00,"135,5677911","32,4610756",,"1,89851018","50,79365158"
05/07/2010 17.00,"131,06465715","34,20671248",,"2,65294722",
05/07/2010 18.00,"114,19429875","43,66170544",,"2,87690587","35,65322113"
05/07/2010 19.00,"105,9638265","36,44813096",,"3,37559589",
05/07/2010 20.00,"94,49199795","35,03994296",,"3,19678288","45,42124176"
05/07/2010 21.00,"74,425869","57,26988744",,"3,84845716",
05/07/2010 22.00,"70,72674","64,45491576",,"4,54980273","35,16482162"
05/07/2010 23.00,"98,09181585","30,07686896",,"4,19615014",
06/07/2010 0.00,"103,1357943","19,21498816",,"2,87193884","24,90842056"
06/07/2010 1.00,"110,26702155","12,28305702",,"1,9977409",
06/07/2010 2.00,"106,38259695","10,49199866",,"1,44430272","20,51280975"
06/07/2010 3.00,"105,43772505","9,16687177",,"1,24595314",
06/07/2010 4.00,"102,60562305","7,37710593",,"1,86186461","19,04759979"
06/07/2010 5.00,"100,6232514","8,6645951",,"1,27730013",
06/07/2010 6.00,"97,9133232","11,95729237",,"1,32984039","25,88521957"
06/07/2010 7.00,"88,97011725","20,38436736",,"1,71748926",
06/07/2010 8.00,"95,6221455","40,83752848",,"2,50206001","18,55920982"
06/07/2010 9.00,"117,3780594","23,15921472",,"2,5515096",
06/07/2010 10.00,"123,85564485","21,55374656",,"2,47645195","19,53602028"
06/07/2010 11.00,"111,5206197",,,"2,26596041",
06/07/2010 12.00,,"25,6641068",,"2,57424769",
06/07/2010 13.00,"134,6551185","33,47600344","0,6425208","2,24134596",
06/07/2010 14.00,"144,72841215","17,3473523","0,51294834","2,37115177",
06/07/2010 15.00,"136,26306855","15,54721003","0,52824828","1,47653348",
06/07/2010 16.00,"121,41683715","18,39214175","0,52095189","1,63912127",
06/07/2010 17.00,"124,51194","17,05663078","0,5445676","1,80976574",
06/07/2010 18.00,"126,99908655","20,59851136","0,56108264","1,77643153",
06/07/2010 19.00,"114,87211995","29,06194112","0,58979756","2,02732238",
06/07/2010 20.00,"88,38626055","50,54951336","0,77260121","2,89357247",
06/07/2010 21.00,"81,1758717","49,77207504","0,74749546","3,73874117",
06/07/2010 22.00,"88,5258507","34,2365588","0,5410761","3,42802529","66,42247009"
06/07/2010 23.00,"86,0494572","25,1774072","0,50616338","2,72723195",
07/07/2010 0.00,"91,5941607","20,6802876","0,46458103","2,37435227","46,39804077"
07/07/2010 1.00,"105,9128742","12,99299026","0,38945834","1,96264016",
07/07/2010 2.00,"113,0011491","8,47640268","0,36588223","1,37443279","32,23442078"
07/07/2010 3.00,,"8,08055367","0,37631714","1,01780038",
07/07/2010 4.00,"95,45570265",,"0,37859238","1,77985373","20,51280975"
07/07/2010 5.00,"95,26781355","12,3310769",,"1,18557589",
07/07/2010 6.00,"98,11060875","14,35964771","0,38730076","1,23612892","13,67521"
07/07/2010 7.00,"84,2482116","27,01648352","0,41181935","1,76682902",
07/07/2010 8.00,"85,7555139","33,569462","0,43665016","2,22490005","17,09399986"
07/07/2010 9.00,"107,3168355","24,231254","0,44265107","1,90171169",
07/07/2010 10.00,"110,55561825","20,92037744","0,4115048","2,23538532","15,14041042"
07/07/2010 11.00,"114,0668781","20,16502272","0,41711427","1,99950641",
07/07/2010 12.00,"118,08004005","25,14626072","0,47611337","2,27324518","21,0012207"
07/07/2010 13.00,"106,86586575","28,38186184","0,48144907","2,78672645",
07/07/2010 14.00,"112,45888815","19,04886595","0,35203504","2,28461423","27,35042"
07/07/2010 15.00,"109,63217265","20,49857112","0,35097489","1,40202806",
07/07/2010 16.00,"108,38924775","24,84904032","0,36325399","1,78360646","25,88521957"
07/07/2010 17.00,"104,05122","25,80039416","0,41888041","2,01065477",
07/07/2010 18.00,"96,78181905","30,42860048","0,41762454","2,45614246","32,23442078"
07/07/2010 19.00,"87,57557235","34,03927864","0,45406807","2,56894912",
07/07/2010 20.00,"82,90599555","42,62989464","0,47811484","3,13960613","38,0952301"
07/07/2010 21.00,"81,82147365","40,5156624","0,48831325","3,60076783",
07/07/2010 22.00,"93,7980771","23,44603384","0,36392154","2,90273462","25,88521957"
07/07/2010 23.00,"100,6004286","15,76135786","0,31586529","1,94233067",
08/07/2010 0.00,"95,0637849","15,32657288","0,29025043","1,85270348","18,07081032"
08/07/2010 1.00,"88,68287715","11,75222846","0,28954328","1,40280098",
08/07/2010 2.00,"85,4186382","9,38101959","0,27283252","1,21129378","18,07081032"
