NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


08/01/2010 10.00,"57,0760722","21,47717096","0,5457792","1,76528318","25,39682007"
08/01/2010 11.00,"58,10754705","17,51218582","0,42296956","1,13082773",
08/01/2010 12.00,,"14,15978253","0,40606075","1,40059308","21,0012207"
08/01/2010 13.00,,"17,3927795","0,49162884","1,11570595",
08/01/2010 14.00,,"16,80613966","0,44436246","1,10025264","27,35042"
08/01/2010 15.00,,"12,36482752","0,37660722","1,28635143",
08/01/2010 16.00,,"20,35710224","0,51793687","1,01283335","17,09399986"
08/01/2010 17.00,,"22,41424216","0,53744246","1,24462799",
08/01/2010 18.00,,"18,6685921","0,39214017","1,63658183","34,67642975"
08/01/2010 19.00,,"26,94770888","0,48101219","1,19407496",
08/01/2010 20.00,,"25,612196","0,57204762","1,33072314","28,32722092"
08/01/2010 21.00,,"32,57267904","0,70539469","1,86407252",
08/01/2010 22.00,,"23,78608304","0,52285317","2,07820696","23,44322014"
08/01/2010 23.00,,"15,89633932","0,4397211","1,12597155",
09/01/2010 0.00,,"12,09356634","0,32155282","1,00113277","26,37360954"
09/01/2010 1.00,,"9,46538086","0,24951155","0,7868885",
09/01/2010 2.00,,"7,17593485","0,57090709",,"28,81562042"
09/01/2010 3.00,,"6,06885052","0,31066007",,
09/01/2010 4.00,,"4,58148851","0,2825824",,"51,28205109"
09/01/2010 5.00,,"4,74242538","0,27452177",,
09/01/2010 6.00,,"5,49908408","0,283095",,"53,72404099"
09/01/2010 7.00,,"8,13376463","0,37943817",,
09/01/2010 8.00,,"18,07415894","0,46457521",,"54,70085144"
09/01/2010 9.00,,"34,13401824","0,72898943","1,41703898",
09/01/2010 10.00,,"44,37553152","0,94967655","2,6624399","28,32722092"
09/01/2010 11.00,,"33,75505984","0,73142778","2,27247328",
09/01/2010 12.00,,"27,74329208","0,68998057","2,07301924","16,11721039"
09/01/2010 13.00,,"24,445398","0,53543633","2,14597882",
09/01/2010 14.00,,"33,08664376","0,60032217","1,76837384","26,86202049"
09/01/2010 15.00,,"23,98856384","0,47299","1,92742959",
09/01/2010 16.00,,"17,17344251","0,42316645","1,0935201","17,58241081"
09/01/2010 17.00,,"19,5134896","0,45336674","0,92077756",
09/01/2010 18.00,,"39,2969536","0,60417599","1,80137752","9,27960968"
09/01/2010 19.00,,"29,34877936","0,63048402","1,82168701",
09/01/2010 20.00,,"33,382564","0,66449853","1,97908709","9,27960968"
09/01/2010 21.00,,"51,39832664","0,78974535","2,50150778",
09/01/2010 22.00,,"61,03891744","0,95640093","3,09280582","5,86080599"
09/01/2010 23.00,,"46,794766","0,67747546","2,56541708",
10/01/2010 0.00,,"29,08660592","0,58097385","2,35128366","16,11721039"
10/01/2010 1.00,,"17,69129242","0,50441005","1,83007523",
10/01/2010 2.00,,"15,1124155","0,45745706","1,53679989","11,23320961"
10/01/2010 3.00,,"21,72766208","0,48930932","1,34507301",
10/01/2010 4.00,,,"0,40610036","1,34032667","5,86080599"
10/01/2010 5.00,,"17,78473759",,"0,87563293",
10/01/2010 6.00,,"10,5400109","0,336339","0,72761468","13,67521"
10/01/2010 7.00,,"10,18699642","0,34471535","0,72904967",
10/01/2010 8.00,"64,07355465","11,66526878","0,33598484",,"7,32600689"
10/01/2010 9.00,"49,29555225","14,11565548","0,42418932","0,80686644",
10/01/2010 10.00,"46,34562555","19,99630784","0,47810319","1,22597418","7,81440783"
10/01/2010 11.00,"46,57784355","19,80032784","0,50877531","1,31714721",
10/01/2010 12.00,"58,8770784","14,91644314","0,48514212","1,56406362","5,37240601"
10/01/2010 13.00,"71,243844","16,94891062","0,47456392","1,31284225",
10/01/2010 14.00,"72,62983035","19,72765272","0,48518056","1,40489804","2,93040299"
10/01/2010 15.00,"87,0833061","12,24931786","0,42080732","1,28469576",
10/01/2010 16.00,"87,83771535","9,24344546","0,4038589","0,90996075","1,95360196"
