,Comune Bari,,,,
03/01/2010 23.00,"1,8313536","36,69862208","0,98689477","0,33357562","7,53981781"
04/01/2010 0.00,"1,24799324","32,97374016","1,05680741","0,29879338","7,53791904"
04/01/2010 1.00,,"27,99248304","0,91973921","0,26428258",
04/01/2010 2.00,,"22,7646544","0,42191262","0,25373351",
04/01/2010 3.00,,,"0,40925911","0,20994116",
04/01/2010 4.00,,"40,42352312","0,44851429","0,26091107",
04/01/2010 5.00,,"32,65315512","0,95234423","0,25206173",
04/01/2010 6.00,,"37,58118216","0,92184846",,"8,67969131"
04/01/2010 7.00,,"45,06989344","0,85599059","0,35629195","8,68023396"
04/01/2010 8.00,,"51,35289752","0,89881341","0,3306969","8,6819973"
04/01/2010 9.00,,"54,387318","1,02144632","0,41656789","8,68186188"
04/01/2010 10.00,,"42,9063316","1,38074429","0,38800209","8,68091202"
04/01/2010 11.00,,"24,8776056","1,14050957","0,31129499","8,68281174"
04/01/2010 12.00,,"24,38310504","0,83668692","0,29170202","8,68213272"
04/01/2010 13.00,,"21,38373152","0,82289945","0,31252407","8,7083168"
04/01/2010 14.00,,"24,99570984","0,84885329","0,30286738","8,68633842"
04/01/2010 15.00,,"31,3280244","0,8999494","0,27761717","8,68525314"
04/01/2010 16.00,,"28,66564088",,"0,29520401","8,68756008"
04/01/2010 17.00,"1,51709755","22,73480808","0,93450096","0,28633603","8,6849823"
04/01/2010 18.00,"2,03002048","25,04762064","0,87934905","0,30744234","8,683218"
04/01/2010 19.00,"1,92526846","30,11711656","1,09200782","0,36289983","8,68525314"
04/01/2010 20.00,"2,044469","29,42015432","1,31099334","0,35795441","8,68484688"
04/01/2010 21.00,"2,01918434","22,4648528","1,21366644","0,29694452","8,68416786"
04/01/2010 22.00,"2,52307733","17,5809681",,"0,26437229","8,68403244"
04/01/2010 23.00,"1,26966653","19,66015912",,"0,3214468","8,68457508"
05/01/2010 0.00,"1,35455145","23,28770112",,"0,2953508","8,683218"
05/01/2010 1.00,"1,78078327","16,99173177",,"0,30011915",
05/01/2010 2.00,"1,90540238","15,91060858",,"0,27476991",
05/01/2010 3.00,"1,35997003","11,51341392","0,86069422","0,28136498",
05/01/2010 4.00,"0,93373719","27,56419504","0,91519728","0,26235218",
05/01/2010 5.00,"1,3093997","17,52645507","0,85436848","0,25679513",
05/01/2010 6.00,"2,37317357","27,63168864","0,40293337","0,26738381","10,8664999"
05/01/2010 7.00,"1,8837291","44,7129804","0,39709375","0,43043022","10,86623001"
05/01/2010 8.00,"1,08544715","35,72262256","1,48504577","0,36815515","10,86270046"
05/01/2010 9.00,"1,11615038","33,57982504","0,97651323","0,43163367","10,86555004"
05/01/2010 10.00,"1,85663825","41,7772","1,18154857","0,45220407","10,86703968"
05/01/2010 11.00,"2,41290776","34,05744264","1,24724372","0,40585338","10,86608982"
05/01/2010 12.00,"2,93847302","38,17818504","1,3794466","0,44290388","10,86540985"
05/01/2010 13.00,"4,24606653","40,30541888","1,25957281","0,46946937","10,86608982"
05/01/2010 14.00,"6,70051365","31,19823784","1,14505149","0,40137629","10,86744976"
05/01/2010 15.00,"2,1708943","25,70823576","1,31375043","0,27425731","10,86460018"
05/01/2010 16.00,,"23,05409296","0,48160645","0,23618278","10,86474037"
05/01/2010 17.00,"0,16435229","18,07675353",,"0,21428544","10,8700304"
05/01/2010 18.00,"0,28355282","22,16115072",,"0,25640485","10,86310959"
05/01/2010 19.00,,"18,70102918",,"0,22221443","10,8628397"
05/01/2010 20.00,"0,25465578","19,36035752",,"0,21970153","10,8640604"
05/01/2010 21.00,"0,05057033","18,66598986",,"0,22013957","10,86676979"
05/01/2010 22.00,,"20,49468976",,"0,21430408","10,86351967"
05/01/2010 23.00,"0,3937224","15,9456498",,"0,21397089","10,86106968"
06/01/2010 0.00,,"12,15976361",,"0,17911293","10,86664009"
06/01/2010 1.00,"0,05960027",,,"0,20050932",
06/01/2010 2.00,,,,"0,28983802",
06/01/2010 3.00,"0,16615848",,,"0,20339269",
06/01/2010 4.00,"0,14087382",,,"0,21155002",
06/01/2010 5.00,"0,09210969",,,"0,23207499",
06/01/2010 6.00,"0,13545525",,,,"10,03785038"
06/01/2010 7.00,"0,16977086",,,"0,19342262","10,0397501"
06/01/2010 8.00,"0,12281292",,,"0,27539552","10,04259968"
06/01/2010 9.00,"0,09752725",,,"0,23173714","10,04382038"
06/01/2010 10.00,,,,"0,24260077","10,03892994"
06/01/2010 11.00,"0,21672779",,,"0,23485585","10,03907013"
06/01/2010 12.00,"0,06501884",,,"0,23487915","10,04109955"
06/01/2010 13.00,"0,20408546",,,"0,2014984","10,03892994"
06/01/2010 14.00,"0,3594078",,,"0,22800448","10,03812027"
06/01/2010 15.00,"0,08488492",,"0,42304759","0,26192462","10,03880024"
06/01/2010 16.00,,,"0,58201486","0,22474598","10,04232025"
06/01/2010 17.00,,,"1,26492528","0,28430427","10,0434103"
06/01/2010 18.00,"0,22034017",,"0,80489346","0,48737775","10,04109955"
06/01/2010 19.00,,,"1,08000417","0,35836682",
06/01/2010 20.00,"0,20950403",,"1,14618646","0,49513782",
06/01/2010 21.00,"0,08669111",,"1,60702984","0,50881142",
06/01/2010 22.00,"0,09752725",,"1,5247881","0,60929617",
06/01/2010 23.00,"0,15170996",,"1,75220862","0,41961902",
07/01/2010 0.00,,,"1,13515608","0,31486106",
07/01/2010 1.00,,,"0,4090974","0,28554616",
07/01/2010 2.00,"0,15893371",,,"0,25825953",
07/01/2010 3.00,,,,"0,23914072",
07/01/2010 4.00,"0,07946736",,,"0,19945732",
07/01/2010 5.00,"0,20769784",,,"0,17852111",
07/01/2010 6.00,"0,09752725",,,"0,26519711",
07/01/2010 7.00,"0,13364906",,"0,39855416","0,20574017",
07/01/2010 8.00,,,,"0,25117866",
07/01/2010 9.00,"0,16977086",,"0,74244254","0,38340616",
07/01/2010 10.00,"0,20047409",,"0,91503558","0,41626033",
07/01/2010 11.00,,,"1,56680139","0,52418243",
07/01/2010 12.00,"0,07946736",,"1,91506897","0,26305933",
07/01/2010 13.00,,,"1,16743566","0,26310593",
07/01/2010 14.00,,,"1,4357345","0,24750425",
07/01/2010 15.00,,,"0,51567087","0,20966622",
07/01/2010 16.00,,,"0,98494823","0,29039839",
07/01/2010 17.00,"3,11366246","49,33470504","1,20263606","0,30974904",
07/01/2010 18.00,"2,93486165","49,43204496","0,8462579","0,36313516",
07/01/2010 19.00,"2,72174523","37,65125696","1,03344896","0,35946658",
07/01/2010 20.00,"3,15520182","49,13612472","0,97034919","0,41130558",
07/01/2010 21.00,"1,86025064","28,25205616","1,08227513","0,30501331",
07/01/2010 22.00,"2,75967221","35,87317344","1,09703688","0,30520321",
07/01/2010 23.00,"2,78676306","26,08851344","0,93352769","0,25838186",
08/01/2010 0.00,"3,16061938","16,97615853","0,84690573","0,24893487",
08/01/2010 1.00,"3,02877652","6,72687297","0,4540305","0,15909939",
08/01/2010 2.00,,"6,63212763",,"0,15551352",
08/01/2010 3.00,"2,24855547",,,"0,131412",
08/01/2010 4.00,"1,52793368","20,90481376",,"0,13422082",
08/01/2010 5.00,"2,21785224","10,42450889",,"0,14220689",
08/01/2010 6.00,"2,54475062","11,86514544",,,"13,96648979"
08/01/2010 7.00,"1,9198509","16,59588467",,"0,20302106","13,96471977"
08/01/2010 8.00,"2,18173044","13,50046374",,"0,18266967","13,96471977"
08/01/2010 9.00,"3,62839158","16,18316418",,"0,18510103","13,96539974"
08/01/2010 10.00,"3,45139697","12,6036325",,"0,18537131","13,96444988"
08/01/2010 11.00,"3,41708135","11,25903762",,"0,21507881","13,96539974"
08/01/2010 12.00,"3,14255949","12,24411914",,"0,21930892","13,96459007"
08/01/2010 13.00,"0,81995523","9,92872155",,"0,20212401","13,96485996"
08/01/2010 14.00,"3,47487543","9,79244566",,"0,19517245","13,96485996"
08/01/2010 15.00,"3,13894711","9,20450949",,"0,18848535","13,96432018"
08/01/2010 16.00,"2,81566112","9,88329626",,"0,17990047","13,96525955"
08/01/2010 17.00,"2,53933205","8,28691392",,"0,17541871","13,96459007"
08/01/2010 18.00,"2,82288487","9,19802016",,"0,17343239","13,96376991"
08/01/2010 19.00,"3,3538687","10,47902001",,"0,18146506","13,96594048"
08/01/2010 20.00,"3,05586736","10,3206739",,"0,16650064","13,96444988"
08/01/2010 21.00,"3,11727382","9,24214721",,"0,17235709","13,96553993"
08/01/2010 22.00,"2,58990237","10,83203257",,"0,19026897","13,96296024"
08/01/2010 23.00,"1,82412883","8,58672126",,"0,2155052","13,96525955"
09/01/2010 0.00,"2,75064227","6,68793509",,"0,17373529","13,9639101"
09/01/2010 1.00,"2,86442423","4,20900032",,"0,15556478",
09/01/2010 2.00,"3,48390639","3,68725376",,"0,149586",
09/01/2010 3.00,"2,96556386","2,66193611",,"0,14161624",
09/01/2010 4.00,"3,23286299","2,04284963",,"0,14911884",
09/01/2010 5.00,"3,21660828","3,89880891",,"0,16449451",
09/01/2010 6.00,"2,88067894","7,22655122",,"0,19220753","13,65839005"
09/01/2010 7.00,"2,17811907","7,67691518",,"0,19241839","13,65919971"
09/01/2010 8.00,"2,91680075","15,15394605",,"0,15304838","13,66001034"
09/01/2010 9.00,"2,9420854","27,8380508",,"0,27136695","13,66312981"
09/01/2010 10.00,"3,40082664","19,98072504",,"0,17409993","13,66014957"
09/01/2010 11.00,"3,26717759","13,17080435",,"0,18550528","13,66110039"
09/01/2010 12.00,"3,52183337","17,06960944",,"0,23839861","13,66082954"
09/01/2010 13.00,"3,3358078","20,14685872",,"0,296143","13,66285992"
09/01/2010 14.00,"3,23647436","17,22665347",,"0,2024304","13,66069031"
09/01/2010 15.00,"2,68923581","18,58941426",,"0,29688161","13,66407967"
09/01/2010 16.00,"3,13352853","16,13384031",,"0,21310297","13,66246033"
09/01/2010 17.00,"3,06489832","19,21756936",,"0,27597103","13,66327"
09/01/2010 18.00,"3,1028253","21,65238664",,"0,24590471","13,66178036"
09/01/2010 19.00,"1,91262614","23,242272",,"0,27457652","13,66191006"
09/01/2010 20.00,"1,70131693","23,47589928",,"0,23611055","13,66205025"
09/01/2010 21.00,"2,59351475","24,29484712",,"0,20789425","13,66285992"
09/01/2010 22.00,"3,04683742","21,5096176",,"0,2234004","13,66341019"
09/01/2010 23.00,"2,96737006","27,14757024",,"0,27823579","13,66380978"
10/01/2010 0.00,"2,66395116","17,96254403",,"0,26738265","13,65919971"
10/01/2010 1.00,"1,62184956","16,89439758",,"0,35399923",
10/01/2010 2.00,,"11,88720801",,"0,22467957",
10/01/2010 3.00,"2,30273717",,,"0,23418364",
10/01/2010 4.00,"2,36956118","26,29747592",,"0,20494098",
10/01/2010 5.00,"1,89456625","12,76586378",,"0,21773268",
10/01/2010 6.00,"1,57308543","8,14933978",,,"5,76285505"
10/01/2010 7.00,"2,59893231","11,52120532",,"0,2902248","5,76271915"
10/01/2010 8.00,"2,98001238","9,73793454",,"0,23743632","5,76163292"
10/01/2010 9.00,"3,19132261","11,58610242","0,40325779","0,2494766","5,76190519"
10/01/2010 10.00,"3,05767355","15,77303635","0,54048872","0,31402575","5,76299"
10/01/2010 11.00,"2,10587546","16,25843579","1,00052053","0,33220325","5,76258278"
10/01/2010 12.00,"2,54836199","9,94299846","1,10287548","0,29050207","5,7631259"
10/01/2010 13.00,"2,83733339","8,5166369","0,44056643","0,26085632","5,76231194"
10/01/2010 14.00,"1,98306356","8,5023619","0,39936471","0,24660604","5,76176882"
10/01/2010 15.00,"2,74161233","8,31027474",,"0,24929952","5,76217604"
10/01/2010 16.00,"2,11310023","9,1110624",,"0,25830147","5,76258278"
10/01/2010 17.00,"2,1907614","10,52055056",,"0,26147377","5,76285505"
10/01/2010 18.00,"2,16728192","18,93465646",,"0,33646598","5,7631259"
10/01/2010 19.00,"1,50445522","22,79061936","0,96418516","0,35884447","5,76204109"
10/01/2010 20.00,"1,95055413","21,60825768","1,13466995","0,35203388","5,76258278"
10/01/2010 21.00,"2,28648245","20,85290296","1,07838205","0,39112545","5,7632618"
10/01/2010 22.00,"2,19979134","24,13261392","1,13499437","0,36353825","5,76271915"
10/01/2010 23.00,"1,90901477","22,7893192","1,38398852","0,36948558","5,76299"
11/01/2010 0.00,"2,34608272","19,81589152","1,15316206","0,37362366","5,76217604"
11/01/2010 1.00,"2,40748918","18,76982294","1,19403936","0,39635863",
11/01/2010 2.00,"1,89095387","27,17483536",,"0,40251449",
11/01/2010 3.00,"2,47070183","19,596566","1,20231164","0,39825292",
11/01/2010 4.00,"1,86386302","21,49405392","1,22307471","0,40780476",
11/01/2010 5.00,"1,81871127","17,47065526",,"0,49539994",
11/01/2010 6.00,"1,74466248","13,412202",,"0,37897334","11,16563988"
11/01/2010 7.00,"2,17450669","18,55308053",,"0,4124834","11,16456032"
11/01/2010 8.00,"2,45264093","42,43261448",,"0,42412524","11,16333961"
11/01/2010 9.00,"2,40748918","58,68457624","1,44903584","0,59015522","11,16102982"
11/01/2010 10.00,"1,93249323","52,65076312","2,22700118","0,65875624","11,16090012"
11/01/2010 11.00,"2,41471395","41,75771672","1,63979656","0,45220058","11,16197968"
11/01/2010 12.00,"2,82649725","34,29237008","1,56517927","0,49728841","11,15872955"
11/01/2010 13.00,"2,54113824","26,21051816","1,60881366","0,35592032","11,16117001"
11/01/2010 14.00,"2,41832532","21,414878","1,07594837","0,34349326","11,16034985"
11/01/2010 15.00,"2,16547573","21,37074904","0,90887053","0,33696344","11,16075993"
11/01/2010 16.00,"2,22868838","21,647186","0,99581691","0,33349057","11,16170979"
11/01/2010 17.00,"1,56405549","33,11779024","1,00668457","0,35336431","11,15764046"
11/01/2010 18.00,"2,29190103","43,30739272","1,07935532","0,37364346","11,16320038"
11/01/2010 19.00,,"43,9628072","1,1437538","0,4124601","11,15886021"
11/01/2010 20.00,"2,7994064","58,37827384","1,79081496","0,59939134","11,16184998"
11/01/2010 21.00,"2,18534282","59,9071664","1,7758915","0,4369449","11,16347027"
11/01/2010 22.00,"1,98306356","61,56454536","1,43800444","0,45772967","11,16265965"
11/01/2010 23.00,"2,58448379","53,73320368","1,33808216","0,55997822","11,16415024"
12/01/2010 0.00,"2,00834821","50,45865512","1,58269811","0,48129296","11,16483021"
12/01/2010 1.00,"1,54960697","39,99651616","1,28990585","0,40405346",
12/01/2010 2.00,,"38,50007024","1,34538218","0,43893006",
12/01/2010 3.00,"2,2611978",,"1,50207849","0,38615207",
12/01/2010 4.00,"2,23771934","42,29634624","1,1044976","0,3252715",
12/01/2010 5.00,"1,75369243","22,15076856","0,96629441","0,28115644",
12/01/2010 6.00,"1,98125736","24,1455964","0,98949015",,"9,94166374"
12/01/2010 7.00,"2,36775601","24,42853416","0,98462381","0,343096","9,94139194"
12/01/2010 8.00,"1,98848111","33,35399872","0,96937592","0,42548596","9,94220638"
12/01/2010 9.00,"2,25758542","50,46775624","1,66461441","0,62688534","9,93650818"
12/01/2010 10.00,"2,85720048","50,2419108","3,203191","0,76520113","9,9369154"
12/01/2010 11.00,"2,54836199","37,51887008","3,15355428","0,54967263","9,94166374"
12/01/2010 12.00,"1,65255279","27,5317484","2,15043836","0,46635183","9,94098568"
12/01/2010 13.00,"2,29190103","19,8872856","1,57637136","0,37305747","9,94342709"
12/01/2010 14.00,"0,7531302","19,74711688","1,23507836","0,36236393","9,94478416"
12/01/2010 15.00,"2,29370722","16,35188288","1,12801877","0,32467269","9,9411211"
12/01/2010 16.00,"2,34969511","18,49726734","0,87983518","0,32467851","9,94166374"
12/01/2010 17.00,"2,47611939","41,84079312","0,98559707","0,44962709","9,94546223"
12/01/2010 18.00,"2,64950264","56,44833928","1,39404563","0,69913398","9,94586945"
12/01/2010 19.00,"2,40568299","59,63851128","2,0437032","0,60271159","9,94329166"
12/01/2010 20.00,"2,57184147","48,34962352","2,00558299","0,49530092","9,94274902"
12/01/2010 21.00,"1,8494145","59,43733064","1,64255365","0,52173244","9,94329166"
12/01/2010 22.00,"2,8517819","51,73187504","1,60054036","0,57147328","9,94342709"
12/01/2010 23.00,"1,63449189","32,9140284","1,8732184","0,45569791","9,94491959"
13/01/2010 0.00,"0,61406358","29,63041696","1,25486816","0,41974251","9,9399004"
13/01/2010 1.00,"1,68325602","38,18338568","1,52933002","0,47094077",
13/01/2010 2.00,"1,62907331","34,83228064","1,30272005","0,44739495",
13/01/2010 3.00,"2,25758542","21,02161784",,"0,42333537",
13/01/2010 4.00,"1,58934014","22,30131944","1,30564087","0,4064953",
13/01/2010 5.00,"1,34552151","20,3649032",,"0,38604838",
13/01/2010 6.00,"1,22270859","33,85238064",,"0,39462045","12,79012012"
13/01/2010 7.00,"2,11671261","39,29955392","1,3427868","0,51850189","12,78997993"
13/01/2010 8.00,"1,79884418","46,85705896","1,79405919","1,23907536","12,78903008"
13/01/2010 9.00,"3,14797705","54,81042448","1,93015515","0,98916539","12,79080009"
13/01/2010 10.00,"3,0504498","66,99745512","2,67876071","1,0364306","12,79160976"
13/01/2010 11.00,"2,41471395","57,99929632","5,64333809","0,74965537","12,79174995"
13/01/2010 12.00,"3,05947975","46,14713336","2,2821541","0,54604948","12,78917027"
13/01/2010 13.00,"2,12393636","27,01520248","1,90306532","0,39248617","12,79269981"
13/01/2010 14.00,"2,64589025","27,1060416","1,26265432","0,3808187","12,79242992"
13/01/2010 15.00,"3,11908001","30,63106216","1,42340642","0,3797201","12,79187965"
13/01/2010 16.00,"2,68562343","45,627968","1,27530681","0,4463616","12,79187965"
13/01/2010 17.00,"3,44056083","58,60149984","1,42875889","0,59031366","12,79133987"
13/01/2010 18.00,"3,24731049","63,69826088","1,57053174","0,57362387","12,78876019"
13/01/2010 19.00,"2,14199726","78,36419952","1,60751597","0,70323594","12,7906599"
13/01/2010 20.00,"3,04503123","69,7839848","2,12351126","0,70302042","12,79228973"
13/01/2010 21.00,"3,20577113","74,14091656","2,04581144","0,76890233","12,78997993"
13/01/2010 22.00,"2,72355143","72,00463896","2,41873517","0,72422575","12,78835964"
13/01/2010 23.00,"2,39123447","56,6404188","1,88927785","0,44570221","12,78931046"
14/01/2010 0.00,"2,38039834","49,38273448","1,55285018","0,4332868","12,78971004"
14/01/2010 1.00,"2,37678595","44,20421632","1,36144061","0,35895281",
14/01/2010 2.00,,"26,34548624","1,17230302","0,30522185",
14/01/2010 3.00,"2,12574255",,"1,09606361","0,29168571",
14/01/2010 4.00,"2,57364766","40,79599984","1,16419244","0,28476328",
14/01/2010 5.00,"1,89276006","23,39672336","1,09784743","0,26841367",
14/01/2010 6.00,"1,81690508","21,51221792","1,41853906",,
14/01/2010 7.00,"1,6706137","26,33640424","1,15689242","0,49166961",
14/01/2010 8.00,"1,89817762","38,60129152","1,1044976","0,5667958",
14/01/2010 9.00,"2,23230076","55,16733752","1,58642847","0,89606674",
14/01/2010 10.00,"1,71034687","50,15495304","2,69222477","0,82245622",
14/01/2010 11.00,"1,83677116","50,03294832","3,09272446","0,78315727",
14/01/2010 12.00,"2,28467626","35,55130736","2,63269265","0,68151335",
14/01/2010 13.00,"0,86871937","29,63299816","1,92382839","0,5978582",
14/01/2010 14.00,"1,90901477","28,14565336","1,60248792","0,5614403",
14/01/2010 15.00,"2,37317357","30,62198016","1,49429234","0,51445818",
14/01/2010 16.00,"2,10768165","20,9100144","1,19825584","0,47759874",
14/01/2010 17.00,"2,25397303","40,89724024","1,34667987","0,56827302",
14/01/2010 18.00,"2,61879941","58,94154904","1,39550604","0,70976926",
14/01/2010 19.00,"2,60976845","67,09349488","1,80054765","0,86079287",
14/01/2010 20.00,"2,62782935","71,93456416","2,32611291","1,02618676",
14/01/2010 21.00,"2,99084954","78,64195576","3,49127761","1,40029505",
14/01/2010 22.00,"1,18839298","58,22512264","3,59152431","1,24062714",
14/01/2010 23.00,"1,25521801","46,77140136","3,46824357","0,86618682",
15/01/2010 0.00,"2,39123447","52,57418752","2,60641438","0,78400772",
15/01/2010 1.00,"2,28648245","43,77980968","2,06284415","0,74105301",
15/01/2010 2.00,"2,27022774","47,03877544","1,82568992","0,79737726",
15/01/2010 3.00,"1,95958408","47,69028944","3,04795409","0,77488461",
15/01/2010 4.00,"1,76272237","29,1696632","2,83561974","0,65654624",
15/01/2010 5.00,"1,50084284","35,45266728","1,64466291","0,54552174",
15/01/2010 6.00,"1,90720858","30,6271808","1,29201511","0,58504087",
15/01/2010 7.00,"2,22868838","44,52998288","1,32705279","0,51102492",
15/01/2010 8.00,"2,36775601","57,41785712","1,6219533","0,70873474",
15/01/2010 9.00,"2,45805951","60,14987568","1,48537121","0,75811676",
15/01/2010 10.00,"2,32079807","76,0384236","2,41565366","1,07409039",
15/01/2010 11.00,"1,87831154","77,85803576","3,49419843","1,25063682",
15/01/2010 12.00,"1,34371532","52,74422168","3,53134436","0,76609468",
15/01/2010 13.00,"1,76091719","31,87443576","2,06673621","0,62467184",
15/01/2010 14.00,"1,90540238","34,64278232","1,73144555","0,62038697",
15/01/2010 15.00,"1,74466248","22,4804356","1,66218175","0,49432931",
15/01/2010 16.00,"2,48334416","18,63873813","1,14586204","0,49126419",
15/01/2010 17.00,"2,01918434","22,67121496","1,2258318","0,51534591",
15/01/2010 18.00,"1,95777788","21,65498696","1,29006857","0,58171712",
15/01/2010 19.00,"1,95777788","19,50180728","1,21788394","0,51083969",
15/01/2010 20.00,"1,77717089","17,0540362","1,13450723","0,49421863",
15/01/2010 21.00,"1,51348516","18,53361254","1,1466736","0,47689625",
15/01/2010 22.00,"1,47555818","17,41094542","1,00457633","0,43290468",
15/01/2010 23.00,"1,24438086","19,84705712","0,89540748","0,41004272",
16/01/2010 0.00,"1,11615038","24,1793432","0,83555195","0,40158599",
16/01/2010 1.00,,"23,15273304","0,83149615","0,41033863",
16/01/2010 2.00,,"26,25074664","1,04902228","0,50119931",
16/01/2010 3.00,,,,"0,44092105",
16/01/2010 4.00,,"23,019046",,"0,44151287",
16/01/2010 5.00,,"13,50175434",,"0,44391277",
16/01/2010 6.00,,"17,42393363",,,"14,06307983"
16/01/2010 7.00,,"36,10548144","1,19436378","0,39359525","14,06227016"
16/01/2010 8.00,,"39,98483384","1,43832886","0,45669398","14,06402969"
16/01/2010 9.00,,"46,83111312","1,82033745","0,67359485","14,06280994"
16/01/2010 10.00,,"43,21783464","3,09272446","0,71549873","14,06307983"
16/01/2010 11.00,,"38,45464112","3,63840395","0,62534637","14,06239986"
