,Provincia di TARANTO,,,,,,
,TA V. Machiavelli,,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE,PM2.5



06/01/2010 13.00,"2,257585","23,398023","0,777366",,"30,700001",,"7,6"
06/01/2010 14.00,"2,033633","35,646045","0,784667",,"30,700001",,"7,6"
06/01/2010 15.00,"1,84083","19,024301","0,731917",,"30,700001",,"7,6"
06/01/2010 16.00,"1,661583","11,01893","0,71545",,"30,700001",,"7,6"
06/01/2010 17.00,"2,165476","17,967741","0,735654",,"30,700001",,"7,6"
06/01/2010 18.00,"2,255779","14,691911","0,733799",,"30,700001",,"7,6"
06/01/2010 19.00,"2,299677","25,48736","0,759101",,"30,700001",,"7,6"
06/01/2010 20.00,"2,299125","34,228777","0,82251",,"30,700001",,"7,6"
06/01/2010 21.00,"2,061781","47,108085","0,935489",,"30,700001",,"7,6"
06/01/2010 22.00,"2,039051","24,232554","0,76166",,"30,700001",,"7,6"
06/01/2010 23.00,"1,920629","37,721464","0,806256",,"30,700001",,"7,6"
07/01/2010 0.00,,,,,"30,700001",,"7,6"
07/01/2010 1.00,"2,443611","67,280372","0,85992",,"22,200001",,"8,4"
07/01/2010 2.00,"1,898178","25,97689","0,730209",,"22,200001",,"8,4"
07/01/2010 3.00,,,,,"22,200001",,"8,4"
07/01/2010 4.00,"1,934299","23,825029","0,72575",,"22,200001",,"8,4"
07/01/2010 5.00,"2,577194","19,450718","0,762198",,"22,200001",,"8,4"
07/01/2010 6.00,"2,029227","22,423304","0,79291",,"22,200001",,"8,4"
07/01/2010 7.00,"2,257585","27,089177","0,805661",,"22,200001",,"8,4"
07/01/2010 8.00,"2,086009","25,060602","0,751636",,"22,200001",,"8,4"
07/01/2010 9.00,"4,009774","86,170168","1,263695",,"22,200001",,"8,4"
07/01/2010 10.00,"2,876025","54,356609","0,841619",,"22,200001",,"8,4"
07/01/2010 11.00,"2,188955","31,059368","0,770539",,"22,200001",,"8,4"
07/01/2010 12.00,"2,167282","24,846459","0,794058",,"22,200001",,"8,4"
07/01/2010 13.00,"2,320798","22,964535","0,785258",,"22,200001",,"8,4"
07/01/2010 14.00,"2,305529","24,205058","0,815502",,"22,200001",,"8,4"
07/01/2010 15.00,"2,080591","20,002789","0,794335",,"22,200001",,"8,4"
07/01/2010 16.00,"2,52669","17,708167","0,786876",,"22,200001",,"8,4"
07/01/2010 17.00,"2,149221","27,452571","0,850055",,"22,200001",,"8,4"
07/01/2010 18.00,"2,413935","49,763984","0,950501",,"22,200001",,"8,4"
07/01/2010 19.00,"2,286482","58,718322","1,029055",,"22,200001",,"8,4"
07/01/2010 20.00,"2,269768","57,102604","1,066644",,"22,200001",,"8,4"
07/01/2010 21.00,"2,465283","44,480672","1,049064",,"22,200001",,"8,4"
07/01/2010 22.00,"2,564415","37,256028","1,03786",,"22,200001",,"8,4"
07/01/2010 23.00,"2,300931","14,070227","0,815526",,"22,200001",,"8,4"
08/01/2010 0.00,"2,35658","5,528827","0,741894",,"22,200001",,"8,4"
08/01/2010 1.00,,"6,103891","0,735377",,"44,200001",,"10,9"
08/01/2010 2.00,"2,280619",,"0,723479",,"44,200001",,"10,9"
