, Brindisi,,,,
,ITC Valzani,,,,
Parm,NO2,SO2,CO,O3,NOX



07/01/2010 5.00,"9,30930812","13,7633661","0,24326598","39,3304275","12,84827481"
07/01/2010 6.00,"9,10782921","14,39775036","0,1941589","47,0491623","13,5305701"
07/01/2010 7.00,"15,65588811","14,68672074","0,37023234","45,4362447","28,78242584"
07/01/2010 8.00,"25,47135808","15,32279322","0,66263336","30,4935351","50,69360168"
07/01/2010 9.00,"39,45429208","17,31454704","1,42541362","20,666205","95,22121368"
07/01/2010 10.00,"58,78956416","24,51567996","1,52051839","25,31557245","173,7204386"
07/01/2010 11.00,"39,27842632","22,48893117","2,38159552","36,6449979","93,569456"
07/01/2010 12.00,"25,11381408","19,97285283","1,31745656","54,06591645","42,60176912"
07/01/2010 13.00,"17,65003146","16,20042354","0,75818783","65,12811165","31,73658056"
07/01/2010 14.00,"19,11240362","16,58364948","0,64258837","72,69546585","40,73160368"
07/01/2010 15.00,"16,57037286","16,42731624","0,33078544","79,39164345","38,19686528"
07/01/2010 16.00,"14,2892995","21,1456674","2,58104702","85,6852101","22,94853144"
07/01/2010 17.00,"19,15120384","17,78412645","0,45629555","75,35464125","28,68833632"
07/01/2010 18.00,"35,83592768","16,93244997","1,03208282","47,11685265","49,11222472"
07/01/2010 19.00,"33,83519176","15,99160293","0,5804065","40,55769165","45,13625896"
07/01/2010 20.00,"24,2162448","15,7760091","0,5034431","51,95732115","30,06683096"
07/01/2010 21.00,"12,85747918","15,04398267","0,20496661","75,659976","17,46072625"
07/01/2010 22.00,"12,22909655","14,78153565","0,15781906","77,33296305","16,76206806"
07/01/2010 23.00,"8,45797674","14,77476243","0,07825189","83,5563456","13,1706055"
08/01/2010 0.00,"7,09469397","14,77250469","0,08149991","84,2642913","11,70538828"
08/01/2010 1.00,"5,07742881","16,78232043","0,05924142","84,7176351","9,75421714"
08/01/2010 2.00,,"16,83311958","0,03706797","88,4991975",
08/01/2010 3.00,"8,1029126","16,84102167",,"88,9076937","13,63283342"
08/01/2010 4.00,"5,25826386",,"0,15868232","88,69372995","10,18780902"
08/01/2010 5.00,"4,58281544","16,9313211","0,15865436",,"9,27071822"
08/01/2010 6.00,"6,2334546","17,45000127","0,16075719","87,3438132","10,91755633"
08/01/2010 7.00,"4,71658278","16,76877399","0,17996221","89,73575835","9,37952632"
08/01/2010 8.00,"4,83136014","17,09386821","0,18012997","93,7431348","9,5235133"
08/01/2010 9.00,"7,21855333","16,9601022","0,20009225","92,3822256","13,3767669"
08/01/2010 10.00,"7,38700244","17,12886318","0,22131505","93,23734245","13,31622725"
08/01/2010 11.00,"6,29208226","16,98099138","0,21873574","96,02339985","11,89436845"
08/01/2010 12.00,"5,6513137","17,16215976","0,21839906","96,09785325","10,93964375"
08/01/2010 13.00,"5,23927196","17,09782434","0,2255207","97,5855846","10,09045572"
08/01/2010 14.00,"5,3218455","17,03178036","0,23449237","98,74350255","10,34243246"
08/01/2010 15.00,"5,05100497","16,88955291","0,23222062","101,5523828","10,50605186"
08/01/2010 16.00,"4,41601638","17,10008208","0,22218414","106,0816313","9,42370499"
08/01/2010 17.00,"4,91723762","17,0904816","0,23398676","107,2632099","9,8720231"
08/01/2010 18.00,"4,32683688","16,78909365","0,24307026","108,2257176","9,96774165"
08/01/2010 19.00,"3,99571863","16,69596696","0,23984671","108,766203","9,24535746"
08/01/2010 20.00,"3,68111433","17,4200913","0,23984671","109,0047053","8,94838753"
08/01/2010 21.00,"3,89167715","17,21464713","0,24284658","111,0566226","8,71113892"
08/01/2010 22.00,"3,52092314","17,10345852","0,23883782","112,5748376","8,76104212"
08/01/2010 23.00,"3,42183566","16,70725566","0,23942614","113,723399","8,33972145"
09/01/2010 0.00,"2,88428259","16,51592745","0,22462365","114,3831455","7,53225517"
09/01/2010 1.00,"3,04117175","15,68626902","0,21831518","114,6275729","7,57970527"
09/01/2010 2.00,"2,9453882","15,33633966","0,23452033","113,6608358","7,66069568"
09/01/2010 3.00,"2,75799308","16,12536894","0,2386421","111,531293","8,00763764"
09/01/2010 4.00,"2,98997795","15,96451005","0,23771592","110,136389","7,71960058"
09/01/2010 5.00,"2,50609855","15,68738772","0,23014575","104,7401933","7,65660591"
09/01/2010 6.00,"2,53995242","15,9413733","0,22395028","97,4079897","7,46762574"
09/01/2010 7.00,"3,25421062","15,97692762","0,21982851","97,7632194","8,26036389"
09/01/2010 8.00,"5,71902335","15,98201262","0,24870653","89,9691933","12,10625629"
09/01/2010 9.00,"7,08726202","16,04747691","0,24279066","86,25188985","13,92244023"
09/01/2010 10.00,"7,50012783","15,85445031","0,25806964","83,687457","13,81936049"
09/01/2010 11.00,"6,02619571","15,96282183","0,26984546","86,40753975","12,59057354"
09/01/2010 12.00,"5,62819188","15,91484994","0,35249522","86,7179418","14,11469566"
09/01/2010 13.00,"6,63558644","15,79518972","0,3921658","90,68218635","17,84932686"
09/01/2010 14.00,"11,88972038","16,4301435","0,52721376","90,2305383","28,75869792"
09/01/2010 15.00,"9,74942375","16,28904492","0,33516817","86,3288769","20,91391488"
09/01/2010 16.00,"6,10959524","15,82566921","0,23684683","91,32669105","13,79890782"
09/01/2010 17.00,"9,59005664","15,47743824","0,32754325","84,41904345","19,4086164"
09/01/2010 18.00,"11,74521906","17,56513584","0,68665333","83,0006583","21,96354552"
09/01/2010 19.00,"17,05880664","16,51423923","0,46906745","76,8161982","28,58279392"
09/01/2010 20.00,"28,80567576","17,15764428","0,5924258","52,7227827","43,22924928"
09/01/2010 21.00,"38,71033288","17,46185949","1,09008934","33,24745305","56,3106944"
09/01/2010 22.00,"24,72737976","17,12490705","0,55045551","40,7395359","40,97620584"
09/01/2010 23.00,"9,05580751","16,72361919","0,29670337","74,3955051","15,55864188"
10/01/2010 0.00,"5,66700166","16,5215718","0,22364156","83,62738755","12,1324373"
10/01/2010 1.00,"6,53980098","14,42088711","0,20583919","82,38154995","12,82864048"
10/01/2010 2.00,,"13,99194702","0,24536997","64,92342465",
10/01/2010 3.00,"10,61066312","13,86495423",,"56,16178365","15,96523824"
10/01/2010 4.00,"8,10786659",,"0,18681707","74,89539225","13,33667991"
10/01/2010 5.00,"6,69669014","14,37855957","0,17401139",,"12,31078293"
10/01/2010 6.00,"5,68681954","14,1330456","0,18423893","78,1204095","10,55022862"
10/01/2010 7.00,"7,93033548","14,3548533","0,216111","67,08867795","13,34976946"
10/01/2010 8.00,"6,72559002","13,89261663","0,22438366","87,7591323","13,63528651"
10/01/2010 9.00,"6,37217785","14,10482385","0,27965825","87,39709965","12,27887738"
10/01/2010 10.00,"11,11188245","14,99375304","0,55084579","73,9861311","19,01511915"
10/01/2010 11.00,"7,70986467","14,70365379","0,27968621","83,4777027","14,65873231"
10/01/2010 12.00,"7,16487966","14,17198653","0,20166267","91,4941713","14,55319756"
10/01/2010 13.00,"7,78418029","14,41354437","0,19270964","91,78765575","16,07486467"
10/01/2010 14.00,"8,29448353","14,07491388","0,21625313","94,16856855","15,13895597"
10/01/2010 15.00,"7,28130899","13,80739203","0,216111","93,8894481","14,07215366"
10/01/2010 16.00,"8,1219045","14,41354437","0,26560602","91,71830955","15,19376918"
10/01/2010 17.00,"13,33062461","14,11611255","0,40865055","79,4567802","21,115172"
10/01/2010 18.00,"19,17598336","14,47055739","0,65329239","65,5476003","30,01857208"
10/01/2010 19.00,"24,57709656","14,79395322","0,89229447","51,27056235","33,90373696"
10/01/2010 20.00,"27,82799368","15,21724896","1,0430746","46,68633165","40,3168144"
10/01/2010 21.00,"28,9617332","15,06824829","1,04083547","37,98138855","41,10056232"
10/01/2010 22.00,"16,41803808","14,28994836","0,51140821","53,10763815","24,28777272"
10/01/2010 23.00,"12,88142506","14,25552291","0,37674935","60,96255165","19,4437972"
11/01/2010 0.00,"15,61047238","14,94521163","0,46406727","57,37637955","23,71428744"
11/01/2010 1.00,"12,6072825","15,62474052","0,37989485","58,78209645","19,31699336"
11/01/2010 2.00,"12,43635735","15,80986503","0,4643224","51,23249775","18,94557971"
11/01/2010 3.00,"12,16138881","15,6631221","0,4745779","45,88789275","18,2649211"
11/01/2010 4.00,"12,49663506","15,5604051","0,41394897","39,65096415","18,58807013"
11/01/2010 5.00,"12,89546297","15,46614954","0,41216419","30,95703345","18,92185562"
11/01/2010 6.00,"11,92605411","15,24604023","0,43573563","28,57612065","18,16347611"
11/01/2010 7.00,"13,79799006","16,12988442","0,46732461","37,74115065","24,6763676"
11/01/2010 8.00,"19,3411228","16,17502905","0,57407705","32,3306109","34,69318264"
11/01/2010 9.00,"41,25753752","20,2008744","2,01041953","16,43469629","117,628477"
11/01/2010 10.00,"36,45688792","20,3662386","1,61426245","21,54669825","102,2740654"
11/01/2010 11.00,,,,,
11/01/2010 12.00,"27,1515472","7,3773597","0,26198287","70,9360155","38,9439028"
11/01/2010 13.00,"16,86640973","7,13171148","0,13377695","70,4803176","26,32730312"
11/01/2010 14.00,"23,63905024","7,00133717","0,54341775","60,6453666","33,20667912"
11/01/2010 15.00,"21,38893216","7,04310332","0,74459694","56,4942105","37,32093984"
11/01/2010 16.00,"20,18748872","6,34099195","0,73454182","62,5019136","35,78046056"
11/01/2010 17.00,"21,91905328","7,08543188","0,80444998","46,6651647","40,812596"
11/01/2010 18.00,"42,2023332","8,71936035","1,75601965","32,80169025","76,94645152"
11/01/2010 19.00,"44,58789736","8,81474275","1,97400047","35,43892065","66,37578744"
11/01/2010 20.00,"43,19984272","8,79442512","1,74495914","22,0846101","67,24951408"
11/01/2010 21.00,"43,03961712","9,51741551","2,00525043","16,40932188","67,79437672"
11/01/2010 22.00,"24,23112016","7,64700708","0,95765563","15,24042944","35,54320048"
11/01/2010 23.00,"29,81635896","8,0420831","1,2147455","8,34294836","46,7773668"
12/01/2010 0.00,"29,95178592","7,70175422","1,71751989","12,00356189","44,02936392"
12/01/2010 1.00,"19,49884368","7,35464805","1,44936951","21,6820191","26,7600652"
12/01/2010 2.00,,"7,07696739","0,83072539","35,7628488",
12/01/2010 3.00,"14,12663036","7,49348991",,"48,70100235","20,88282576"
12/01/2010 4.00,"10,81709411",,"0,38510473","58,7592537","17,14330557"
12/01/2010 5.00,"9,69905402","7,0346368","0,36504576",,"16,08140945"
12/01/2010 6.00,"11,42070486","7,31909373","0,45580043","45,6874551","18,54880147"
12/01/2010 7.00,"17,02409428","7,50378805","0,53390785","47,3682426","27,09548736"
12/01/2010 8.00,"24,99077688","8,00539991","0,84298235","43,3826316","43,76755376"
12/01/2010 9.00,"37,88624176","10,12131926","1,4444835","34,6988355","89,66874656"
12/01/2010 10.00,"22,24357704","8,42248585","0,77233908","46,04944785","37,35529848"
12/01/2010 11.00,"20,72173976","8,02684641","0,6217139","49,4140353","37,75125456"
12/01/2010 12.00,"14,45857459","7,60580536","0,53747392","66,01365225","27,1077624"
12/01/2010 13.00,"16,02498824","7,41165294","0,7556656","70,9674966","29,53261816"
12/01/2010 14.00,"17,7086572","7,89026127","0,84606145","73,047324","37,7267236"
12/01/2010 15.00,"16,15793342","7,85752608","0,83536442","74,14259895","30,21736272"
12/01/2010 16.00,"19,10662365","7,75367817","1,00517715","71,3041329","31,4306032"
12/01/2010 17.00,"26,80492072","8,56866536","1,2414007","57,64702125","43,18425992"
12/01/2010 18.00,"39,09344032","9,55071616","1,86421786","40,9755045","63,49279736"
12/01/2010 19.00,"39,2107224","9,56539147","1,58589936","32,8220193","62,17810616"
12/01/2010 20.00,"35,0209568","9,86903309","1,44920292","39,7406394","57,04369784"
12/01/2010 21.00,"33,26463184","9,38534687","1,58494988","43,1077605","51,16403016"
12/01/2010 22.00,"33,56187136","9,02300706","1,45684648","36,81503175","45,7604696"
12/01/2010 23.00,"24,2641404","8,50319497","1,0685613","42,0361263","34,24652032"
13/01/2010 0.00,"16,257019","7,79374899","0,72334501","48,10896615","24,56675264"
13/01/2010 1.00,"12,7815135","7,51437502","0,60132058","50,701329","20,37478824"
13/01/2010 2.00,"12,04908749","7,75367817","0,53098487","44,06182935","20,38379376"
13/01/2010 3.00,"9,14333505","7,63063846","0,45826207","45,2264904","16,82588106"
13/01/2010 4.00,"7,97657529","7,22878922","0,44723302","46,67787285","15,6183632"
13/01/2010 5.00,"8,92203826","7,15033784","0,44525718","41,11082535","16,19348898"
13/01/2010 6.00,"9,2729763","7,07019417","0,43376562","40,71162585","17,00341026"
13/01/2010 7.00,"19,7234272","7,83269297","1,18732723","30,1256172","30,7646536"
13/01/2010 8.00,"38,58565136","9,30012329","2,66341368","18,75810122","82,82942696"
13/01/2010 9.00,"47,23932512","12,37043205","1,74368113","8,8664982","128,0941532"
13/01/2010 10.00,"22,81251176","8,90222407","1,19007197","30,67114995","40,89192488"
13/01/2010 11.00,"21,46820368","9,00325082","1,01310264","45,42441435","39,76378752"
13/01/2010 12.00,"20,10079864","8,77918538","0,76015435","60,08714565","36,61491472"
13/01/2010 13.00,"16,96880115","8,70129843","0,49114769","70,38050775","27,55444384"
13/01/2010 14.00,"16,9762331","8,74870792","0,48009184","77,6628363","31,05755288"
13/01/2010 15.00,"17,39322882","8,24921753","0,45485095","75,2032407","26,85906856"
13/01/2010 16.00,"25,5233836","8,50319497","0,87012219","63,0931119","35,26995656"
13/01/2010 17.00,"25,77192448","8,38862483","1,10724396","58,5021381","35,28632328"
13/01/2010 18.00,"37,57410776","8,92310715","1,40277417","41,4314019","47,7664444"
13/01/2010 19.00,"41,72507888","10,91937645","1,35731937","34,23617505","53,00228432"
13/01/2010 20.00,"62,14789656","16,44029316","2,12350259","14,57140419","141,4823405"
13/01/2010 21.00,"55,9813524","14,52924846","1,98931905","3,38488259","144,0970005"
13/01/2010 22.00,"40,2238912","13,14365715","1,49873639","8,63897843","97,43251816"
13/01/2010 23.00,"36,64021048","9,2199786","1,40626218","12,43491879","50,64861232"
14/01/2010 0.00,"33,36120696","8,86948888","1,63491906","17,48179398","47,19787296"
14/01/2010 1.00,"21,29811216","8,31412247","1,3362084","33,11973315","30,0938284"
14/01/2010 2.00,,"7,72828063","0,85078086","45,31784145",
14/01/2010 3.00,"16,7648462","7,83664503",,"50,40361515","24,68537312"
14/01/2010 4.00,"12,51727702",,"0,57363668","51,4515687","20,4737916"
14/01/2010 5.00,"10,7667263","7,44890361","0,50835358",,"18,38845542"
14/01/2010 6.00,"11,68741739","7,47430115","0,52803858","48,00913635","19,55423432"
14/01/2010 7.00,"19,94638552","7,97097039","0,64507215","39,18325635","32,8451008"
14/01/2010 8.00,"31,93932904","8,56697206","0,918486","30,3649773","57,38401472"
14/01/2010 9.00,"38,5022308","10,50905763","1,71847636","31,673418","93,74862952"
14/01/2010 10.00,"25,4730024","8,83280264","1,0696098","44,5735269","45,5976628"
14/01/2010 11.00,"23,0048972","8,81756492","0,86365994","51,2553405","42,53303272"
14/01/2010 12.00,"25,69347512","9,7860703","0,95788164","51,7907187","53,11356272"
14/01/2010 13.00,"24,4779976","8,82828919","0,83556713","54,9599358","44,20280144"
14/01/2010 14.00,"16,64841878","8,3146869","0,60757313","71,82428925","29,10802032"
14/01/2010 15.00,"15,83094127","8,96543774","0,52039968","79,5531786","29,62668856"
14/01/2010 16.00,"20,64246824","8,73572795","0,65488961","76,811091","32,94899888"
