,Foggia,,
,Manfredonia - Scuola Elementare Ungaretti,,
Parm,SO2,NO2,PM10



08/01/2010 6.00,,,"22,39999962"
08/01/2010 7.00,,,"22,39999962"
08/01/2010 8.00,,,"22,39999962"
08/01/2010 9.00,,,"22,39999962"
08/01/2010 10.00,,,"22,39999962"
08/01/2010 11.00,,,"22,39999962"
08/01/2010 12.00,,,"22,39999962"
08/01/2010 13.00,,,"22,39999962"
08/01/2010 14.00,,,"22,39999962"
08/01/2010 15.00,,,"22,39999962"
08/01/2010 16.00,,,"22,39999962"
08/01/2010 17.00,"3,59949454",,"22,39999962"
08/01/2010 18.00,"3,80899858","15,4394803","22,39999962"
08/01/2010 19.00,"3,53266951","17,64456122","22,39999962"
08/01/2010 20.00,"3,57962745","18,52841573","22,39999962"
08/01/2010 21.00,"3,6049121","10,14936062","22,39999962"
08/01/2010 22.00,"3,50196628","18,13905796","22,39999962"
08/01/2010 23.00,"3,48751776","6,49455158","22,39999962"
09/01/2010 0.00,"3,69882798","14,13122872","22,39999962"
09/01/2010 1.00,"3,69160423","19,38760352","16,39999962"
09/01/2010 2.00,"3,50377247","4,94619104","16,39999962"
09/01/2010 3.00,"3,53989427","2,63727705","16,39999962"
09/01/2010 4.00,"3,40805141","2,76576536","16,39999962"
09/01/2010 5.00,"3,59226977","2,84493554","16,39999962"
09/01/2010 6.00,"3,63922772","6,28689309","16,39999962"
09/01/2010 7.00,"3,63561533","11,40569375","16,39999962"
09/01/2010 8.00,"3,65367623","27,34096904","16,39999962"
09/01/2010 9.00,"3,660901","27,4370088","16,39999962"
09/01/2010 10.00,"3,76745921","24,95936272","16,39999962"
09/01/2010 11.00,"3,63380914","21,0929928","16,39999962"
09/01/2010 12.00,"3,62658539","19,15009488","16,39999962"
09/01/2010 13.00,"3,74217354","20,21565248","16,39999962"
09/01/2010 14.00,"3,56698512","19,44469584","16,39999962"
09/01/2010 15.00,"3,8234471","15,1669247","16,39999962"
09/01/2010 16.00,"3,85776271","16,26882178","16,39999962"
09/01/2010 17.00,"3,44959078","18,13386879","16,39999962"
09/01/2010 18.00,"3,85415033","33,1710012","16,39999962"
09/01/2010 19.00,"3,65006385","21,09819344","16,39999962"
09/01/2010 20.00,"3,69160423","31,07623312","16,39999962"
09/01/2010 21.00,"3,42249993","40,4300048","16,39999962"
09/01/2010 22.00,"3,69340941","26,61674168","16,39999962"
09/01/2010 23.00,"3,25453526","35,22814112","16,39999962"
10/01/2010 0.00,"3,38999051","15,57835651","16,39999962"
10/01/2010 1.00,,"11,33042214","10,69999981"
10/01/2010 2.00,"3,6049121","14,68801459","10,69999981"
10/01/2010 3.00,"3,31594172","9,54195646","10,69999981"
10/01/2010 4.00,"3,41527516","10,0468277","10,69999981"
10/01/2010 5.00,"3,5705975","5,3121899","10,69999981"
10/01/2010 6.00,"3,25634145","4,88908342","10,69999981"
10/01/2010 7.00,"3,57782126","5,23691446","10,69999981"
10/01/2010 8.00,"3,33400262","12,03386606","10,69999981"
10/01/2010 9.00,"3,5344757","14,1701666","10,69999981"
10/01/2010 10.00,"3,40624522","11,42256906","10,69999981"
10/01/2010 11.00,"3,27981992","11,04878454","10,69999981"
10/01/2010 12.00,"3,24369913","9,64318921","10,69999981"
10/01/2010 13.00,"3,63200396","9,58089242","10,69999981"
10/01/2010 14.00,"3,59949454","9,5147009","10,69999981"
10/01/2010 15.00,"3,53628189","6,8332968","10,69999981"
10/01/2010 16.00,"3,55976137","8,39204142","10,69999981"
10/01/2010 17.00,"3,61574925","9,82359406","10,69999981"
10/01/2010 18.00,"3,4261113","14,23505223","10,69999981"
10/01/2010 19.00,"3,56517893","19,24483448","10,69999981"
10/01/2010 20.00,"3,54711803","28,38964368","10,69999981"
10/01/2010 21.00,"3,32677786","26,53238424","10,69999981"
10/01/2010 22.00,"3,47668162","23,29550208","10,69999981"
10/01/2010 23.00,"3,44597839","19,55503736","10,69999981"
11/01/2010 0.00,"3,45320316","15,07348718","10,69999981"
11/01/2010 1.00,"3,45139697","8,77751018","19,89999962"
11/01/2010 2.00,"3,75300968","6,52570189","19,89999962"
11/01/2010 3.00,"3,81080477","4,27778643","19,89999962"
11/01/2010 4.00,"3,69702179","3,70023433","19,89999962"
11/01/2010 5.00,"3,50196628","3,85857278","19,89999962"
11/01/2010 6.00,"3,62839158","8,08185001","19,89999962"
11/01/2010 7.00,"3,72230645","17,54463437","19,89999962"
11/01/2010 8.00,"3,57962745","40,81418296","19,89999962"
11/01/2010 9.00,"3,92278054","41,3605752","19,89999962"
11/01/2010 10.00,"3,31594172","27,48501912","19,89999962"
11/01/2010 11.00,"3,63380914","21,40839632","19,89999962"
11/01/2010 12.00,"3,77648915","17,67700978","19,89999962"
11/01/2010 13.00,"3,8234471","15,70943941","19,89999962"
11/01/2010 14.00,"3,4622331","27,74979288","19,89999962"
11/01/2010 15.00,"3,78010154","29,0593408","19,89999962"
11/01/2010 16.00,"3,3213603","34,81411664","19,89999962"
11/01/2010 17.00,"3,4821002","41,91606856","19,89999962"
11/01/2010 18.00,"3,78913148","31,52788576","19,89999962"
11/01/2010 19.00,"3,65006385","27,41622536","19,89999962"
11/01/2010 20.00,"3,75481587","35,11131792","19,89999962"
11/01/2010 21.00,"3,8216409","32,99708568","19,89999962"
11/01/2010 22.00,"3,54350666","29,63171712","19,89999962"
11/01/2010 23.00,"3,44236601","22,34156704","19,89999962"
12/01/2010 0.00,"3,6952156","17,38369368","19,89999962"
12/01/2010 1.00,,"11,72886382","14,30000019"
12/01/2010 2.00,"3,61574925","9,44331638","14,30000019"
12/01/2010 3.00,"3,55976137","7,27068018","14,30000019"
12/01/2010 4.00,"3,36831722","3,99095775","14,30000019"
12/01/2010 5.00,"3,59226977","4,76708444","14,30000019"
12/01/2010 6.00,"3,6952156","14,27269951","14,30000019"
