,Comune Bari,,NetC,
,Kennedy,,Stat,
Parm,O3,NO2,Parm,PM10



13/02/2010 16.00,"97,60750965","22,59918992",14/02/2010 16.00,"22,10000038"
13/02/2010 17.00,"92,7963078","29,53955872",14/02/2010 17.00,"22,10000038"
13/02/2010 18.00,"65,6556096","51,97326504",14/02/2010 18.00,"22,10000038"
13/02/2010 19.00,"28,088403","89,99931224",14/02/2010 19.00,"22,10000038"
13/02/2010 20.00,"46,2334467","67,8397676",14/02/2010 20.00,"22,10000038"
13/02/2010 21.00,"32,0650764","76,39113024",14/02/2010 21.00,"22,10000038"
13/02/2010 22.00,"48,3180621","51,7818356",14/02/2010 22.00,"22,10000038"
13/02/2010 23.00,"40,3039077","51,43953024",14/02/2010 23.00,"22,10000038"
14/02/2010 0.00,"53,8489203","39,10963496",15/02/2010 0.00,"22,10000038"
14/02/2010 1.00,"44,10827295","43,07149016",15/02/2010 1.00,
14/02/2010 2.00,"48,6525438","38,2271896",15/02/2010 2.00,
14/02/2010 3.00,"44,6589927","44,8982532",15/02/2010 3.00,
14/02/2010 4.00,"45,7317042","46,02092224",15/02/2010 4.00,
14/02/2010 5.00,"55,96902675","32,94647504",15/02/2010 5.00,
14/02/2010 6.00,"94,6309098","10,30834724",15/02/2010 6.00,
14/02/2010 7.00,"67,91085735","25,09109952",15/02/2010 7.00,
14/02/2010 8.00,"55,25106615","30,81147848",15/02/2010 8.00,
14/02/2010 9.00,"70,3046379","23,60666096",15/02/2010 9.00,
14/02/2010 10.00,"75,65979645","22,58620744",15/02/2010 10.00,
14/02/2010 11.00,"75,930099","24,27020144",15/02/2010 11.00,
14/02/2010 12.00,"73,7643669","24,43566592",15/02/2010 12.00,
14/02/2010 13.00,"69,083259","30,76442416",15/02/2010 13.00,
14/02/2010 14.00,"72,25748355","31,27221312",15/02/2010 14.00,
14/02/2010 15.00,"76,55850405","24,78447208",15/02/2010 15.00,
14/02/2010 16.00,"75,5263509","25,18518904",15/02/2010 16.00,
14/02/2010 17.00,"87,7063845","18,96677997",15/02/2010 17.00,
14/02/2010 18.00,"75,7577709","29,61743448",15/02/2010 18.00,
14/02/2010 19.00,"57,55529115","47,20521504",15/02/2010 19.00,
14/02/2010 20.00,"40,8917943","63,342648",15/02/2010 20.00,
14/02/2010 21.00,"21,8885814","81,00017832",15/02/2010 21.00,
14/02/2010 22.00,"34,96734255","62,87866296",15/02/2010 22.00,
14/02/2010 23.00,"41,5354212","50,78572184",15/02/2010 23.00,
15/02/2010 0.00,"55,44194775","38,24990416",16/02/2010 0.00,
15/02/2010 1.00,"80,55377085","20,33926328",16/02/2010 1.00,
15/02/2010 2.00,"77,4944184","19,60109744",16/02/2010 2.00,
15/02/2010 3.00,"84,61997985",,16/02/2010 3.00,
15/02/2010 4.00,"87,0644334","12,74510138",16/02/2010 4.00,
15/02/2010 5.00,"85,3886334","13,29669999",16/02/2010 5.00,
15/02/2010 6.00,,"12,85055391",16/02/2010 6.00,"18,20000076"
15/02/2010 7.00,"76,3929789","19,85581408",16/02/2010 7.00,"18,20000076"
15/02/2010 8.00,"56,8035552","38,72687168",16/02/2010 8.00,"18,20000076"
15/02/2010 9.00,"50,0107797","46,60981824",16/02/2010 9.00,"18,20000076"
15/02/2010 10.00,"60,80219355","39,77814664",16/02/2010 10.00,"18,20000076"
15/02/2010 11.00,"77,98261485","24,82179432",16/02/2010 11.00,"18,20000076"
15/02/2010 12.00,"87,50702415","19,97099296",16/02/2010 12.00,"18,20000076"
15/02/2010 13.00,"88,2655431","23,18973024",16/02/2010 13.00,"18,20000076"
15/02/2010 14.00,"91,46342835","23,44605296",16/02/2010 14.00,"18,20000076"
15/02/2010 15.00,"87,1505775","29,10964552",16/02/2010 15.00,"18,20000076"
15/02/2010 16.00,"99,4184709","19,96936776",16/02/2010 16.00,"18,20000076"
15/02/2010 17.00,"89,51395425","30,80822808",16/02/2010 17.00,"18,20000076"
15/02/2010 18.00,"62,91721275","55,55379096",16/02/2010 18.00,"18,20000076"
15/02/2010 19.00,"37,25129835","80,2522804",16/02/2010 19.00,"18,20000076"
15/02/2010 20.00,"37,3746093","73,92029088",16/02/2010 20.00,"18,20000076"
15/02/2010 21.00,"30,6105618","80,6367836",16/02/2010 21.00,"18,20000076"
15/02/2010 22.00,"33,62263275","76,41220048",16/02/2010 22.00,"18,20000076"
15/02/2010 23.00,"36,4454979","56,6115476",16/02/2010 23.00,"18,20000076"
16/02/2010 0.00,"51,33013305","34,82512976",17/02/2010 0.00,"18,20000076"
16/02/2010 1.00,"50,3097903","29,31405744",17/02/2010 1.00,
16/02/2010 2.00,"63,2567817","21,32241368",17/02/2010 2.00,
16/02/2010 3.00,"73,257597","12,36222529",17/02/2010 3.00,
16/02/2010 4.00,"73,0852689","11,88688488",17/02/2010 4.00,
16/02/2010 5.00,"69,9616974","12,18215122",17/02/2010 5.00,
16/02/2010 6.00,"54,01955265","25,6978536",17/02/2010 6.00,"8,69999981"
16/02/2010 7.00,"22,57105095","54,45546168",17/02/2010 7.00,"8,69999981"
16/02/2010 8.00,"15,63977457","74,04522096",17/02/2010 8.00,"8,69999981"
16/02/2010 9.00,"56,03322585","43,6003876",17/02/2010 9.00,"8,69999981"
16/02/2010 10.00,"72,4179813","35,60386824",17/02/2010 10.00,"8,69999981"
16/02/2010 11.00,"81,30552675","30,53892288",17/02/2010 11.00,"8,69999981"
16/02/2010 12.00,"88,50879345","24,13228888",17/02/2010 12.00,"8,69999981"
16/02/2010 13.00,"95,38436145","20,1186376",17/02/2010 13.00,"8,69999981"
16/02/2010 14.00,"94,8640455","21,22993024",17/02/2010 14.00,"8,69999981"
16/02/2010 15.00,"102,63151815","15,78374546",17/02/2010 15.00,"8,69999981"
16/02/2010 16.00,"96,3101013","20,1121368",17/02/2010 16.00,"8,69999981"
16/02/2010 17.00,"91,1509116","22,23902648",17/02/2010 17.00,"8,69999981"
16/02/2010 18.00,"76,34735325","34,9743996",17/02/2010 18.00,"8,69999981"
16/02/2010 19.00,"81,8376531","29,41625384",17/02/2010 19.00,"8,69999981"
16/02/2010 20.00,"89,00207715","23,7526804",17/02/2010 20.00,"8,69999981"
16/02/2010 21.00,"93,9366099","21,17962552",17/02/2010 21.00,"8,69999981"
16/02/2010 22.00,"94,26432855","19,52809728",17/02/2010 22.00,"8,69999981"
16/02/2010 23.00,"100,41180135","11,93068306",17/02/2010 23.00,"8,69999981"
17/02/2010 0.00,"86,61845115","16,57057744",18/02/2010 0.00,"8,69999981"
17/02/2010 1.00,"83,29553925","12,37683106",18/02/2010 1.00,
17/02/2010 2.00,"85,33794045","11,74898379",18/02/2010 2.00,
17/02/2010 3.00,"79,2040137",,18/02/2010 3.00,
17/02/2010 4.00,"81,65014305","9,65454649",18/02/2010 4.00,
17/02/2010 5.00,"76,0010412","13,56762657",18/02/2010 5.00,
17/02/2010 6.00,,"20,282496",18/02/2010 6.00,"11,10000038"
17/02/2010 7.00,"46,2537159","28,64078488",18/02/2010 7.00,"11,10000038"
17/02/2010 8.00,"48,29948865","33,97178504",18/02/2010 8.00,"11,10000038"
17/02/2010 9.00,"53,38773615","35,9445484",18/02/2010 9.00,"11,10000038"
17/02/2010 10.00,"59,14494705","31,62912616",18/02/2010 10.00,"11,10000038"
17/02/2010 11.00,"60,80726085","33,27256664",18/02/2010 11.00,"11,10000038"
17/02/2010 12.00,"72,1172949","25,9704092",18/02/2010 12.00,"11,10000038"
17/02/2010 13.00,"77,8863162","24,00575272",18/02/2010 13.00,"11,10000038"
17/02/2010 14.00,"64,84641765","41,88880344",18/02/2010 14.00,"11,10000038"
17/02/2010 15.00,"58,5114747","50,48397",18/02/2010 15.00,"11,10000038"
17/02/2010 16.00,"49,3941651","56,43958232",18/02/2010 16.00,"11,10000038"
17/02/2010 17.00,"60,57412515","46,31454808",18/02/2010 17.00,"11,10000038"
17/02/2010 18.00,"48,1863123","54,23969248",18/02/2010 18.00,"11,10000038"
17/02/2010 19.00,"25,6811163","79,52547184",18/02/2010 19.00,"11,10000038"
17/02/2010 20.00,"33,5803986","66,30502432",18/02/2010 20.00,"11,10000038"
17/02/2010 21.00,"20,952687","69,34854592",18/02/2010 21.00,"11,10000038"
17/02/2010 22.00,"41,81585835","41,4313192",18/02/2010 22.00,"11,10000038"
17/02/2010 23.00,"70,0884198","16,03195939",18/02/2010 23.00,"11,10000038"
18/02/2010 0.00,"82,5353445","10,88752072",19/02/2010 0.00,"11,10000038"
18/02/2010 1.00,"77,51805915","14,05270288",19/02/2010 1.00,
18/02/2010 2.00,"82,15695285","9,25707419",19/02/2010 2.00,
18/02/2010 3.00,"90,10184085","4,99518604",19/02/2010 3.00,
18/02/2010 4.00,"86,4309411","5,89396179",19/02/2010 4.00,
18/02/2010 5.00,"83,77362105","7,29566429",19/02/2010 5.00,
18/02/2010 6.00,"82,5438033","8,46699373",19/02/2010 6.00,"8,89999962"
18/02/2010 7.00,"71,3013399","15,82917267",19/02/2010 7.00,"8,89999962"
18/02/2010 8.00,"63,4071249","24,2864152",19/02/2010 8.00,"8,89999962"
18/02/2010 9.00,"57,9252639","33,05029664",19/02/2010 9.00,"8,89999962"
18/02/2010 10.00,"67,18276215","31,00778352",19/02/2010 10.00,"8,89999962"
18/02/2010 11.00,"86,42585385","14,76977554",19/02/2010 11.00,"8,89999962"
18/02/2010 12.00,"89,3686584","14,68055014",19/02/2010 12.00,"8,89999962"
18/02/2010 13.00,"94,47045195","13,97320957",19/02/2010 13.00,"8,89999962"
18/02/2010 14.00,"90,2437452","20,50637208",19/02/2010 14.00,"8,89999962"
18/02/2010 15.00,"92,8554396","16,77986305",19/02/2010 15.00,"8,89999962"
18/02/2010 16.00,"94,10385075","16,6825193",19/02/2010 16.00,"8,89999962"
18/02/2010 17.00,"92,4077616","20,64264032",19/02/2010 17.00,"8,89999962"
18/02/2010 18.00,"69,1077576","34,53637952",19/02/2010 18.00,"8,89999962"
18/02/2010 19.00,"48,30519435","58,63136528",19/02/2010 19.00,"8,89999962"
18/02/2010 20.00,"41,53041375","63,92668752",19/02/2010 20.00,"8,89999962"
18/02/2010 21.00,"41,13775785","61,04864952",19/02/2010 21.00,"8,89999962"
18/02/2010 22.00,"46,5044475","54,21860312",19/02/2010 22.00,"8,89999962"
18/02/2010 23.00,"57,17687955","38,25315456",19/02/2010 23.00,"8,89999962"
19/02/2010 0.00,"64,50846465","27,06061248",20/02/2010 0.00,"8,89999962"
19/02/2010 1.00,"65,11941345","20,5436752",20/02/2010 1.00,
19/02/2010 2.00,"78,75021105","12,69318484",20/02/2010 2.00,
19/02/2010 3.00,"89,2466442",,20/02/2010 3.00,
19/02/2010 4.00,"98,83251945","6,67268498",20/02/2010 4.00,
19/02/2010 5.00,"100,2270843","6,64510629",20/02/2010 5.00,
19/02/2010 6.00,,"11,3434027",20/02/2010 6.00,"14,69999981"
19/02/2010 7.00,"63,54547815","31,56910848",20/02/2010 7.00,"14,69999981"
19/02/2010 8.00,"76,49422515","29,328646",20/02/2010 8.00,"14,69999981"
19/02/2010 9.00,"91,7818902","21,99243584",20/02/2010 9.00,"14,69999981"
19/02/2010 10.00,"94,6454733","19,5183652",20/02/2010 10.00,"14,69999981"
19/02/2010 11.00,"93,0292041","15,74805225",20/02/2010 11.00,"14,69999981"
19/02/2010 12.00,"93,30337695","13,92778236",20/02/2010 12.00,"14,69999981"
19/02/2010 13.00,"92,21853585","11,94853541",20/02/2010 13.00,"14,69999981"
19/02/2010 14.00,"88,1990298","13,85153371",20/02/2010 14.00,"14,69999981"
19/02/2010 15.00,"89,00291505","11,31744348",20/02/2010 15.00,"14,69999981"
19/02/2010 16.00,"83,0473014","13,78989083",20/02/2010 16.00,"14,69999981"
19/02/2010 17.00,"80,79636285","15,90379421",20/02/2010 17.00,"14,69999981"
19/02/2010 18.00,"78,6656031","16,88531558",20/02/2010 18.00,"14,69999981"
19/02/2010 19.00,"73,12291455","20,41551384",20/02/2010 19.00,"14,69999981"
19/02/2010 20.00,"64,22920455","26,994094",20/02/2010 20.00,"14,69999981"
19/02/2010 21.00,"62,38953525","24,22639752",20/02/2010 21.00,"14,69999981"
19/02/2010 22.00,"53,66679675","28,20762128",20/02/2010 22.00,"14,69999981"
19/02/2010 23.00,"36,40912905","43,98812208",20/02/2010 23.00,"14,69999981"
20/02/2010 0.00,"29,17569795","50,4904708",21/02/2010 0.00,"14,69999981"
20/02/2010 1.00,"39,00023505","40,68179608",21/02/2010 1.00,
20/02/2010 2.00,"21,44132235","53,67511712",21/02/2010 2.00,
20/02/2010 3.00,"24,23212785","50,8603472",21/02/2010 3.00,
20/02/2010 4.00,"35,2904328","39,0983924",21/02/2010 4.00,
20/02/2010 5.00,"74,46838245","18,36489002",21/02/2010 5.00,
20/02/2010 6.00,"74,9981148","11,08382576",21/02/2010 6.00,"10,10000038"
20/02/2010 7.00,"76,922412","12,17403478",21/02/2010 7.00,"10,10000038"
20/02/2010 8.00,"67,62421575","22,31690224",21/02/2010 8.00,"10,10000038"
20/02/2010 9.00,"64,65062835","33,00649272",21/02/2010 9.00,"10,10000038"
20/02/2010 10.00,"81,5833305","19,98560064",21/02/2010 10.00,"10,10000038"
20/02/2010 11.00,"86,93138685","13,35023408",21/02/2010 11.00,"10,10000038"
20/02/2010 12.00,"88,95722955","12,98520842",21/02/2010 12.00,"10,10000038"
20/02/2010 13.00,"90,6361218","14,66919669",21/02/2010 13.00,"10,10000038"
20/02/2010 14.00,"76,97486055","25,10893848",21/02/2010 14.00,"10,10000038"
20/02/2010 15.00,"73,5511014","24,23938",21/02/2010 15.00,"10,10000038"
20/02/2010 16.00,"91,27246695","11,42775823",21/02/2010 16.00,"10,10000038"
20/02/2010 17.00,"95,76584535","12,0020695",21/02/2010 17.00,"10,10000038"
20/02/2010 18.00,"93,7281723","12,56664868",21/02/2010 18.00,"10,10000038"
20/02/2010 19.00,"84,8886465","18,85645757",21/02/2010 19.00,"10,10000038"
20/02/2010 20.00,"85,0629696","19,302596",21/02/2010 20.00,"10,10000038"
20/02/2010 21.00,"84,0712152","20,1656728",21/02/2010 21.00,"10,10000038"
20/02/2010 22.00,"83,57870955","21,27373416",21/02/2010 22.00,"10,10000038"
20/02/2010 23.00,"87,21571425","16,00924483",21/02/2010 23.00,"10,10000038"
21/02/2010 0.00,"86,53366365","16,13579246",22/02/2010 0.00,"10,10000038"
21/02/2010 1.00,"56,0209566","44,70194816",22/02/2010 1.00,
21/02/2010 2.00,"72,5660901","28,50287232",22/02/2010 2.00,
21/02/2010 3.00,"82,1790774",,22/02/2010 3.00,
21/02/2010 4.00,"89,4548025","11,89661696",22/02/2010 4.00,
21/02/2010 5.00,"101,95329795","4,72100906",22/02/2010 5.00,
21/02/2010 6.00,,"5,39428162",22/02/2010 6.00,"11,10000038"
21/02/2010 7.00,"98,08447425","7,07015918",22/02/2010 7.00,"11,10000038"
21/02/2010 8.00,"95,4324609","8,24635658",22/02/2010 8.00,"11,10000038"
21/02/2010 9.00,"92,9310501","9,96765943",22/02/2010 9.00,"11,10000038"
21/02/2010 10.00,"93,44893215","10,3667531",22/02/2010 10.00,"11,10000038"
21/02/2010 11.00,"96,7085427","8,73467946",22/02/2010 11.00,"11,10000038"
21/02/2010 12.00,"97,7239977","8,89204662",22/02/2010 12.00,"11,10000038"
21/02/2010 13.00,"95,8893957","10,95403346",22/02/2010 13.00,"11,10000038"
21/02/2010 14.00,"96,3717468","11,77006933",22/02/2010 14.00,"11,10000038"
21/02/2010 15.00,"99,2218038","8,24148671",22/02/2010 15.00,"11,10000038"
21/02/2010 16.00,"101,9194827","9,55558328",22/02/2010 16.00,"11,10000038"
21/02/2010 17.00,"98,11663365","16,8009505",22/02/2010 17.00,"11,10000038"
21/02/2010 18.00,"79,56257505","30,39452864",22/02/2010 18.00,"11,10000038"
21/02/2010 19.00,"57,6304428","52,68873544",22/02/2010 19.00,"11,10000038"
21/02/2010 20.00,"64,36969245","44,52510728",22/02/2010 20.00,"11,10000038"
21/02/2010 21.00,"44,1824271","60,6219676",22/02/2010 21.00,"11,10000038"
21/02/2010 22.00,"33,3881604","57,51842832",22/02/2010 22.00,"11,10000038"
21/02/2010 23.00,"35,05687815","47,24741288",22/02/2010 23.00,"11,10000038"
22/02/2010 0.00,"41,0819178","43,25483184",23/02/2010 0.00,"11,10000038"
22/02/2010 1.00,"61,333482","27,79554704",23/02/2010 1.00,
22/02/2010 2.00,"67,87299225","18,45249212",23/02/2010 2.00,
22/02/2010 3.00,"70,921053","12,15943857",23/02/2010 3.00,
22/02/2010 4.00,"76,6346931","10,53060194",23/02/2010 4.00,
22/02/2010 5.00,"71,97036315","11,3028358",23/02/2010 5.00,
22/02/2010 6.00,"67,2925071","14,90443196",23/02/2010 6.00,"8,39999962"
22/02/2010 7.00,"63,413469","21,61443344",23/02/2010 7.00,"8,39999962"
22/02/2010 8.00,"72,55593555","22,19359736",23/02/2010 8.00,"8,39999962"
22/02/2010 9.00,"51,2449266","40,18697048",23/02/2010 9.00,"8,39999962"
22/02/2010 10.00,"46,71093","44,88527072",23/02/2010 10.00,"8,39999962"
22/02/2010 11.00,"59,1773259","33,8257656",23/02/2010 11.00,"8,39999962"
22/02/2010 12.00,"74,9202699","24,40809488",23/02/2010 12.00,"8,39999962"
22/02/2010 13.00,"89,54619345","15,452784",23/02/2010 13.00,"8,39999962"
22/02/2010 14.00,"88,36826565","16,30614019",23/02/2010 14.00,"8,39999962"
22/02/2010 15.00,"87,66423015","15,72372205",23/02/2010 15.00,"8,39999962"
22/02/2010 16.00,"90,01162695","12,25191054",23/02/2010 16.00,"8,39999962"
22/02/2010 17.00,"86,6296431","16,23588375",23/02/2010 17.00,"8,39999962"
22/02/2010 18.00,"74,275446","24,5688176",23/02/2010 18.00,"8,39999962"
22/02/2010 19.00,"67,94916135","27,40456216",23/02/2010 19.00,"8,39999962"
22/02/2010 20.00,"70,03253985","27,430508",23/02/2010 20.00,"8,39999962"
22/02/2010 21.00,"73,41570075","23,43469568",23/02/2010 21.00,"8,39999962"
22/02/2010 22.00,"75,89001945","18,8889023",23/02/2010 22.00,"8,39999962"
22/02/2010 23.00,"69,65512575","20,1153872",23/02/2010 23.00,"8,39999962"
23/02/2010 0.00,"63,3169908","18,5368553",24/02/2010 0.00,"8,39999962"
23/02/2010 1.00,"67,73761155","13,10525526",24/02/2010 1.00,
23/02/2010 2.00,"76,94609265","8,2252653",24/02/2010 2.00,
23/02/2010 3.00,"69,5434257",,24/02/2010 3.00,
23/02/2010 4.00,"72,35116875","9,5718066",24/02/2010 4.00,
23/02/2010 5.00,"70,82120325","10,0244401",24/02/2010 5.00,
23/02/2010 6.00,,"8,95369715",24/02/2010 6.00,"8,5"
23/02/2010 7.00,"76,74978465","11,85929663",24/02/2010 7.00,"8,5"
23/02/2010 8.00,"64,64556105","20,57774704",24/02/2010 8.00,"8,5"
23/02/2010 9.00,"58,86592635","29,81048912",24/02/2010 9.00,"8,5"
23/02/2010 10.00,"63,3119235","28,142728",24/02/2010 10.00,"8,5"
23/02/2010 11.00,"83,84272785","14,51345664",24/02/2010 11.00,"8,5"
23/02/2010 12.00,"91,10999415","11,20225886",24/02/2010 12.00,"8,5"
23/02/2010 13.00,"91,174293","12,88948988",24/02/2010 13.00,"8,5"
23/02/2010 14.00,"83,93581455","19,21821944",24/02/2010 14.00,"8,5"
23/02/2010 15.00,"91,98328545","12,62179841",24/02/2010 15.00,"8,5"
23/02/2010 16.00,"94,63025145","11,70193903",24/02/2010 16.00,"8,5"
23/02/2010 17.00,"92,9835186","15,09587478",24/02/2010 17.00,"8,5"
23/02/2010 18.00,"88,84215795","20,78378416",24/02/2010 18.00,"8,5"
23/02/2010 19.00,"83,99335035","28,03726208",24/02/2010 19.00,"8,5"
23/02/2010 20.00,"62,72972265","44,42128568",24/02/2010 20.00,"8,5"
23/02/2010 21.00,"68,8156896","36,75248312",24/02/2010 21.00,"8,5"
23/02/2010 22.00,"67,73761155","31,57721536",24/02/2010 22.00,"8,5"
23/02/2010 23.00,"74,75270985","20,1737988",24/02/2010 23.00,"8,5"
24/02/2010 0.00,"79,0396257","18,09882566",25/02/2010 0.00,"8,5"
24/02/2010 1.00,"89,71205775","9,72268443",25/02/2010 1.00,
24/02/2010 2.00,"91,65327255","6,90954736",25/02/2010 2.00,
24/02/2010 3.00,"92,68564515","5,18499793",25/02/2010 3.00,
24/02/2010 4.00,"89,35495275","6,84465408",25/02/2010 4.00,
24/02/2010 5.00,"94,48130475","5,95561232",25/02/2010 5.00,
24/02/2010 6.00,"94,44746955","9,29763154",25/02/2010 6.00,"7,30000019"
24/02/2010 7.00,"77,77537425","24,1809684",25/02/2010 7.00,"7,30000019"
24/02/2010 8.00,"69,68389365","33,1849588",25/02/2010 8.00,"7,30000019"
24/02/2010 9.00,"63,6385449","43,23859896",25/02/2010 9.00,"7,30000019"
24/02/2010 10.00,"75,1334955","31,47337464",25/02/2010 10.00,"7,30000019"
24/02/2010 11.00,"89,5648068","17,38499575",25/02/2010 11.00,"7,30000019"
24/02/2010 12.00,"78,8856117","20,84544616",25/02/2010 12.00,"7,30000019"
24/02/2010 13.00,"83,3620725","19,42913216",25/02/2010 13.00,"7,30000019"
24/02/2010 14.00,"84,6669222","20,59397992",25/02/2010 14.00,"7,30000019"
24/02/2010 15.00,"84,69231855","25,95417632",25/02/2010 15.00,"7,30000019"
24/02/2010 16.00,"94,99242375","22,48563624",25/02/2010 16.00,"7,30000019"
24/02/2010 17.00,"85,56560985","32,56197184",25/02/2010 17.00,"7,30000019"
24/02/2010 18.00,"62,3015358","52,657914",25/02/2010 18.00,"7,30000019"
24/02/2010 19.00,"50,317491","64,75569248",25/02/2010 19.00,"7,30000019"
24/02/2010 20.00,"19,74213098","97,6681148",25/02/2010 20.00,"7,30000019"
24/02/2010 21.00,"14,93902883","112,01931912",25/02/2010 21.00,"7,30000019"
24/02/2010 22.00,"14,2739058","125,03367216",25/02/2010 22.00,"7,30000019"
24/02/2010 23.00,"19,65243578","82,57384992",25/02/2010 23.00,"7,30000019"
25/02/2010 0.00,"24,65355165","68,01083424",26/02/2010 0.00,"7,30000019"
25/02/2010 1.00,"19,52212238","60,93022024",26/02/2010 1.00,
25/02/2010 2.00,"40,6435764","37,0915572",26/02/2010 2.00,
25/02/2010 3.00,"50,6153445",,26/02/2010 3.00,
25/02/2010 4.00,"46,52306085","27,09145304",26/02/2010 4.00,
25/02/2010 5.00,"32,82966015","28,6845888",26/02/2010 5.00,
25/02/2010 6.00,,"20,84544616",26/02/2010 6.00,"18,7999897"
25/02/2010 7.00,"29,13340395","39,64673488",26/02/2010 7.00,"18,7999897"
25/02/2010 8.00,"25,8128661","50,79220352",26/02/2010 8.00,"18,7999897"
25/02/2010 9.00,"26,4475155","65,91080816",26/02/2010 9.00,"18,7999897"
25/02/2010 10.00,"61,8784362","43,45599336",26/02/2010 10.00,"18,7999897"
25/02/2010 11.00,"85,14251025","23,42982008",26/02/2010 11.00,"18,7999897"
25/02/2010 12.00,"82,1672271","25,9201236",26/02/2010 12.00,"18,7999897"
25/02/2010 13.00,"81,28717275","27,77608288",26/02/2010 13.00,"18,7999897"
25/02/2010 14.00,"88,8167616","23,04694208",26/02/2010 14.00,"18,7999897"
25/02/2010 15.00,"89,7069705","26,80266456",26/02/2010 15.00,"18,7999897"
25/02/2010 16.00,"97,3398006","21,34025264",26/02/2010 16.00,"18,7999897"
25/02/2010 17.00,"98,08786575","24,71147192",26/02/2010 17.00,"18,7999897"
25/02/2010 18.00,"76,0288116","41,48483608",26/02/2010 18.00,"18,7999897"
25/02/2010 19.00,"48,24087555","68,01010768",26/02/2010 19.00,"18,7999897"
25/02/2010 20.00,"23,2352862","100,24763224",26/02/2010 20.00,"18,7999897"
25/02/2010 21.00,"16,75838903","91,10735448",26/02/2010 21.00,"18,7999897"
25/02/2010 22.00,"17,9532444","69,54647616",26/02/2010 22.00,"18,7999897"
25/02/2010 23.00,"23,19636375","48,12507824",26/02/2010 23.00,"18,7999897"
26/02/2010 0.00,"37,1622615","37,28136144",27/02/2010 0.00,"18,7999897"
26/02/2010 1.00,"62,5130856","22,56511808",27/02/2010 1.00,
26/02/2010 2.00,"71,4474138","15,14941078",27/02/2010 2.00,
26/02/2010 3.00,"75,1656549","9,67563776",27/02/2010 3.00,
26/02/2010 4.00,"70,465794","11,33691338",27/02/2010 4.00,
26/02/2010 5.00,"71,14954035","11,53808063",27/02/2010 5.00,
26/02/2010 6.00,"83,5905399","10,22722682",27/02/2010 6.00,"10,39999962"
26/02/2010 7.00,"75,2164476","16,02385251",27/02/2010 7.00,"10,39999962"
26/02/2010 8.00,"55,03257375","28,402282",27/02/2010 8.00,"10,39999962"
26/02/2010 9.00,"50,15160675","36,23981856",27/02/2010 9.00,"10,39999962"
26/02/2010 10.00,"67,07587005","25,104082",27/02/2010 10.00,"10,39999962"
26/02/2010 11.00,"75,900174","23,86298368",27/02/2010 11.00,"10,39999962"
26/02/2010 12.00,"83,40777795","15,31326727",27/02/2010 12.00,"10,39999962"
26/02/2010 13.00,"87,1581984","14,90605907",27/02/2010 13.00,"10,39999962"
26/02/2010 14.00,"86,33228835","19,55404312",27/02/2010 14.00,"10,39999962"
26/02/2010 15.00,"87,3308058","19,20038048",27/02/2010 15.00,"10,39999962"
26/02/2010 16.00,"88,8167616","18,24158896",27/02/2010 16.00,"10,39999962"
26/02/2010 17.00,"85,550388","19,87202784",27/02/2010 17.00,"10,39999962"
26/02/2010 18.00,"79,6336569","24,11444992",27/02/2010 18.00,"10,39999962"
26/02/2010 19.00,"81,586722","20,871392",27/02/2010 19.00,"10,39999962"
26/02/2010 20.00,"72,5254719","28,63428408",27/02/2010 20.00,"10,39999962"
26/02/2010 21.00,"64,95019755","35,33454392",27/02/2010 21.00,"10,39999962"
26/02/2010 22.00,"86,52013755","21,34673432",27/02/2010 22.00,"10,39999962"
26/02/2010 23.00,"93,4353861","15,66693182",27/02/2010 23.00,"10,39999962"
27/02/2010 0.00,"96,4648335","13,23991168",28/02/2010 0.00,"10,39999962"
27/02/2010 1.00,"96,7982379","12,25839986",28/02/2010 1.00,
27/02/2010 2.00,"100,4132577","9,03967979",28/02/2010 2.00,
27/02/2010 3.00,"99,2844069",,28/02/2010 3.00,
27/02/2010 4.00,"98,83251945","7,50981211",28/02/2010 4.00,
27/02/2010 5.00,"96,3345201","8,37776451",28/02/2010 5.00,
27/02/2010 6.00,,"20,46904984",28/02/2010 6.00,"13,19999981"
27/02/2010 7.00,"69,31326255","29,58011224",28/02/2010 7.00,"13,19999981"
27/02/2010 8.00,"75,0302742","25,76437208",28/02/2010 8.00,"13,19999981"
27/02/2010 9.00,"72,94859145","30,02463312",28/02/2010 9.00,"13,19999981"
27/02/2010 10.00,"86,6183115","17,84086818",28/02/2010 10.00,"13,19999981"
27/02/2010 11.00,"94,2917598","12,56826432",28/02/2010 11.00,"13,19999981"
27/02/2010 12.00,"98,00156205","10,67499045",28/02/2010 12.00,"13,19999981"
27/02/2010 13.00,"97,7375238","11,91284219",28/02/2010 13.00,"13,19999981"
27/02/2010 14.00,"96,1161873","14,13220575",28/02/2010 14.00,"13,19999981"
27/02/2010 15.00,"101,5505673","10,19477635",28/02/2010 15.00,"13,19999981"
27/02/2010 16.00,"104,3819511","8,3161159",28/02/2010 16.00,"13,19999981"
27/02/2010 17.00,"106,10489295","10,93781014",28/02/2010 17.00,"13,19999981"
27/02/2010 18.00,"97,64445705","19,86715224",28/02/2010 18.00,"13,19999981"
27/02/2010 19.00,"78,897462","35,842352",28/02/2010 19.00,"13,19999981"
27/02/2010 20.00,"53,4095415","59,02720664",28/02/2010 20.00,"13,19999981"
27/02/2010 21.00,"32,9836542","68,654184",28/02/2010 21.00,"13,19999981"
