,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



21/07/2010 10.00,"5,46744","16,884664","41,26984"
21/07/2010 11.00,"7,106949","11,060461",
21/07/2010 12.00,"15,072469","13,20909","34,67643"
21/07/2010 13.00,"8,39707","5,308945",
21/07/2010 14.00,"4,739772","3,465318","28,571421"
21/07/2010 15.00,"3,771053","3,891669",
21/07/2010 16.00,"2,959423","4,706084","21,97802"
21/07/2010 17.00,"3,875779","4,976041",
21/07/2010 18.00,"2,936853","8,292753","29,79241"
21/07/2010 19.00,"1,903131","7,978669",
21/07/2010 20.00,"1,706318","14,782114","27,59462"
21/07/2010 21.00,"1,917576","41,398853",
21/07/2010 22.00,"1,628676","14,702937","29,05983"
21/07/2010 23.00,"1,715346","21,23188",
22/07/2010 0.00,"1,029208","17,258448","28,08301"
22/07/2010 1.00,"1,442696","13,354446",
22/07/2010 2.00,"1,377693","13,61987","20,757021"
22/07/2010 3.00,"1,166435","11,983252",
22/07/2010 4.00,"1,551034","11,565332","22,710621"
22/07/2010 5.00,"1,068931","11,763906",
22/07/2010 6.00,"1,048167","20,902213","18,55921"
22/07/2010 7.00,"1,858894","21,514817",
22/07/2010 8.00,"17,898274","37,759628","40,293041"
22/07/2010 9.00,"27,071766","31,580463",
22/07/2010 10.00,"12,82085","17,083239","35,89743"
22/07/2010 11.00,"10,995366","13,809351",
22/07/2010 12.00,"14,1525","15,397298","28,327221"
22/07/2010 13.00,"11,286971","13,29021",
22/07/2010 14.00,"3,229364","7,951413","25,39682"
22/07/2010 15.00,"3,34673","8,946232",
22/07/2010 16.00,"4,320867","9,113009","21,73382"
22/07/2010 17.00,"2,11439","4,09219",
22/07/2010 18.00,"1,867019","3,765776","21,24542"
22/07/2010 19.00,"1,44721","5,144766",
22/07/2010 20.00,"1,041847","6,799552","22,710621"
22/07/2010 21.00,"1,852573","11,209071",
22/07/2010 22.00,"1,685553","15,693216","17,582411"
22/07/2010 23.00,"1,179977","26,522001",
23/07/2010 0.00,"0,742113","15,68932","24,664221"
23/07/2010 1.00,,"12,224648",
23/07/2010 2.00,"1,625064",,"13,91941"
23/07/2010 3.00,"0,742113","7,116232",
23/07/2010 4.00,"0,66086","7,921561","15,38461"
23/07/2010 5.00,"0,785448","14,695155",
23/07/2010 6.00,"0,888369","30,5785","26,12941"
23/07/2010 7.00,"1,942855","27,469454",
23/07/2010 8.00,"4,124053","23,799065","45,421242"
23/07/2010 9.00,"2,917894","25,357804",
23/07/2010 10.00,"5,429522","17,983314","39,56044"
23/07/2010 11.00,"18,66025","19,137112",
23/07/2010 12.00,"7,712738","8,589968","38,58363"
23/07/2010 13.00,"3,66452","6,31285",
23/07/2010 14.00,"2,610035","5,225234","37,362621"
23/07/2010 15.00,"2,452042","5,800191",
23/07/2010 16.00,"1,776738","5,122701","26,86202"
23/07/2010 17.00,"2,036748","3,929957",
23/07/2010 18.00,"2,609132","5,175266","20,757021"
23/07/2010 19.00,"1,857991","5,241457",
23/07/2010 20.00,"1,724374","6,530893","21,24542"
23/07/2010 21.00,"1,585341","17,575128",
23/07/2010 22.00,"1,215187","12,353791","27,59462"
23/07/2010 23.00,"0,8342","15,60821",
24/07/2010 0.00,"1,236855","19,600446","25,39682"
24/07/2010 1.00,"1,647635","17,431716",
24/07/2010 2.00,"1,917576","14,318767","20,02442"
24/07/2010 3.00,"2,128835","13,440754",
24/07/2010 4.00,"1,904936","12,591954","22,46641"
24/07/2010 5.00,"1,809239","20,744531",
24/07/2010 6.00,"1,881464","22,566742","22,710621"
24/07/2010 7.00,"2,561283","23,270837",
24/07/2010 8.00,"4,855332","22,220862","33,699631"
24/07/2010 9.00,"7,127714","13,190272",
24/07/2010 10.00,"3,750288","8,629551","28,08301"
24/07/2010 11.00,"1,479712","3,904648",
24/07/2010 12.00,"2,584755","4,526327","29,54822"
24/07/2010 13.00,"1,855283","4,510106",
24/07/2010 14.00,"1,890492","3,469861","27,83882"
24/07/2010 15.00,"1,570896","2,005212",
24/07/2010 16.00,"1,784862","2,026628","22,954821"
24/07/2010 17.00,"1,695484","2,137597",
24/07/2010 18.00,"1,850768","4,105819","34,67643"
24/07/2010 19.00,"1,978968","8,552978",
24/07/2010 20.00,"3,671743","19,567349","36,38583"
24/07/2010 21.00,"1,881464","4,95268",
24/07/2010 22.00,"1,379499","4,342031","32,96703"
24/07/2010 23.00,"1,611523","5,533477",
25/07/2010 0.00,"4,479762","10,396597","22,710621"
25/07/2010 1.00,,"9,47252",
25/07/2010 2.00,"10,487985",,"15,14041"
25/07/2010 3.00,"10,07811","8,329095",
25/07/2010 4.00,"17,501928","24,421402","14,16361"
25/07/2010 5.00,"16,639757","23,375958",
25/07/2010 6.00,"15,206987","21,885362","15,87301"
25/07/2010 7.00,"14,187709","19,769181",
25/07/2010 8.00,"8,523464","10,278491","19,0476"
25/07/2010 9.00,"8,376306","8,808008",
25/07/2010 10.00,"3,895641","5,741137","16,36141"
25/07/2010 11.00,"1,854379","3,395882",
25/07/2010 12.00,"4,763245","6,280403","18,07081"
25/07/2010 13.00,"1,51131","2,554212",
25/07/2010 14.00,"0,915454","2,361479","12,94261"
25/07/2010 15.00,"1,038236","2,110339",
25/07/2010 16.00,"1,108655","2,126563","14,16361"
25/07/2010 17.00,"1,272968","2,353043",
25/07/2010 18.00,"1,274773","2,687245","14,65201"
25/07/2010 19.00,"1,000317","3,166807",
25/07/2010 20.00,"0,731279","4,188234","13,43101"
25/07/2010 21.00,"0,671693","4,038329",
25/07/2010 22.00,"1,002123","4,962414","11,47741"
25/07/2010 23.00,"8,680553","18,051445",
26/07/2010 0.00,"12,61862","13,754199","12,21001"
26/07/2010 1.00,"13,522337","12,821024",
26/07/2010 2.00,"14,29786","12,811941","9,523809"
26/07/2010 3.00,"7,245982","10,639947",
26/07/2010 4.00,"7,41842","12,217519","6,837607"
26/07/2010 5.00,"9,666426","14,174051",
26/07/2010 6.00,"12,694458","17,723739","13,43101"
26/07/2010 7.00,"12,398338","16,916461",
26/07/2010 8.00,"11,77269","17,787985","20,02442"
26/07/2010 9.00,"3,8505","8,655509",
26/07/2010 10.00,"1,950077","7,144136","35,89743"
26/07/2010 11.00,"1,700901","7,602286",
26/07/2010 12.00,"1,523949","7,34985","42,002441"
26/07/2010 13.00,"2,777055","9,324562",
26/07/2010 14.00,"1,935633","6,288839","39,072041"
26/07/2010 15.00,"0,917259","5,800191",
26/07/2010 16.00,"0,680722","5,37384","28,327221"
26/07/2010 17.00,"0,651832","5,525043",
26/07/2010 18.00,"0,650026","5,634064","15,87301"
26/07/2010 19.00,"0,650026","7,131808",
26/07/2010 20.00,"0,37196","8,172052","13,67521"
26/07/2010 21.00,"0,35932","12,917066",
26/07/2010 22.00,"0,705097","9,266157","12,94261"
26/07/2010 23.00,"0,63197","12,800905",
27/07/2010 0.00,"3,182419","21,063814","13,91941"
27/07/2010 1.00,,"28,795236",
27/07/2010 2.00,"15,694506",,"20,02442"
27/07/2010 3.00,"18,84984","35,156094",
27/07/2010 4.00,"16,92233","24,553139","22,954821"
27/07/2010 5.00,"11,857548","11,941719",
27/07/2010 6.00,"25,925191","32,14439","18,80341"
27/07/2010 7.00,"17,115529","25,058002",
27/07/2010 8.00,"15,559082","31,995121","20,02442"
27/07/2010 9.00,"12,226801","24,478494",
27/07/2010 10.00,"11,258078","18,706879","29,79241"
27/07/2010 11.00,"4,18093","6,912467",
27/07/2010 12.00,"0,615719","2,793021","21,001221"
27/07/2010 13.00,"1,195325","2,966286",
27/07/2010 14.00,"0,598565","2,412745","17,826611"
27/07/2010 15.00,"0,650026","2,331628",
27/07/2010 16.00,"0,713223","7,303777","17,582411"
27/07/2010 17.00,"0,771003","5,230425",
27/07/2010 18.00,"0,771003","9,207106","2,686203"
27/07/2010 19.00,"0,989484","9,362849",
27/07/2010 20.00,"0,901008","13,986513","10,25641"
27/07/2010 21.00,"0,935315","31,489606",
27/07/2010 22.00,"0,895592","25,860736","11,47741"
27/07/2010 23.00,"0,754752","17,322695",
28/07/2010 0.00,"0,597662","14,864526","11,47741"
28/07/2010 1.00,"0,591343","11,076686",
28/07/2010 2.00,"0,657248","10,270059","7,081807"
28/07/2010 3.00,"0,618427","9,001392",
28/07/2010 4.00,"0,650026","9,048765","7,814408"
28/07/2010 5.00,"0,622039","10,128594",
28/07/2010 6.00,"0,607593","18,436917","15,14041"
28/07/2010 7.00,"0,693361","21,608256",
28/07/2010 8.00,"0,86309","11,816473","17,582411"
28/07/2010 9.00,"2,472807","15,812623",
28/07/2010 10.00,"7,59808","19,05211","18,80341"
28/07/2010 11.00,"13,375177","13,70877",
28/07/2010 12.00,"2,953103","6,168787","18,07081"
28/07/2010 13.00,"6,806313","8,217477",
28/07/2010 14.00,"9,283633","10,791804","16,36141"
28/07/2010 15.00,"4,948322","10,219442",
28/07/2010 16.00,"2,628994","5,430296","15,87301"
28/07/2010 17.00,"1,62687","6,597732",
28/07/2010 18.00,"1,401167","3,055839","12,94261"
28/07/2010 19.00,"1,368665","3,666489",
28/07/2010 20.00,"0,808921","16,917763","13,91941"
28/07/2010 21.00,"0,655442","15,935265",
28/07/2010 22.00,"0,682527","11,959234","16,60561"
28/07/2010 23.00,"0,687944","25,667356",
29/07/2010 0.00,"0,463144","17,813291","20,757021"
29/07/2010 1.00,,"14,363542",
29/07/2010 2.00,"0,719543",,"12,94261"
29/07/2010 3.00,"0,643706","9,749615",
29/07/2010 4.00,"0,640998","9,501074","9,523809"
29/07/2010 5.00,"0,576898","19,089094",
29/07/2010 6.00,"0,529952","28,643365","19,0476"
29/07/2010 7.00,"0,727668","19,805527",
29/07/2010 8.00,"7,908649","33,039915","24,42001"
29/07/2010 9.00,"4,551084","17,810698",
29/07/2010 10.00,"1,922993","9,085105","24,664221"
29/07/2010 11.00,"1,39575","5,560084",
29/07/2010 12.00,"1,173658","5,284934","15,62881"
29/07/2010 13.00,"1,397555","6,077286",
29/07/2010 14.00,"1,121294","2,619107","18,07081"
29/07/2010 15.00,"1,025597","2,462063",
29/07/2010 16.00,"0,830589","2,643764","15,14041"
29/07/2010 17.00,"0,842325","2,102554",
29/07/2010 18.00,"0,657248","3,820935","11,23321"
29/07/2010 19.00,"0,913647","2,334871",
29/07/2010 20.00,"0,696972","4,15903","12,69841"
29/07/2010 21.00,"0,743918","6,066904",
29/07/2010 22.00,"0,746626","3,637936","19,2918"
29/07/2010 23.00,"0,669888","5,006541",
30/07/2010 0.00,"0,650026","12,718491","13,67521"
30/07/2010 1.00,"0,646263","10,864033",
30/07/2010 2.00,"0,622942","7,914426","8,058608"
30/07/2010 3.00,"0,79267","7,345307",
30/07/2010 4.00,"0,6094","8,345318","6,593407"
30/07/2010 5.00,"0,675304","16,635473",
30/07/2010 6.00,"0,687944","21,96777","12,94261"
30/07/2010 7.00,"0,8342","19,808109",
30/07/2010 8.00,"0,767392","10,158444","23,44322"
30/07/2010 9.00,"0,990387","4,739181",
30/07/2010 10.00,"0,958788","5,483509","15,62881"
30/07/2010 11.00,"0,743016","5,965669",
30/07/2010 12.00,"0,669888","2,526308","11,96581"
30/07/2010 13.00,"1,240466","1,995478",
30/07/2010 14.00,"3,742163","2,961745","9,27961"
30/07/2010 15.00,"4,464414","1,593138",
30/07/2010 16.00,"2,946784","1,592489","15,38461"
30/07/2010 17.00,"1,585341","1,552255",
30/07/2010 18.00,"1,435474","1,445181","13,43101"
30/07/2010 19.00,"1,328941","2,340712",
30/07/2010 20.00,"0,803504","3,221968","24,17581"
30/07/2010 21.00,"0,817047","2,806648",
30/07/2010 22.00,"0,640095","9,264859","23,93162"
30/07/2010 23.00,"0,653637","8,808658",
31/07/2010 0.00,"0,633775","10,165584","21,97802"
31/07/2010 1.00,,"7,835904",
31/07/2010 2.00,"0,774614",,"15,87301"
31/07/2010 3.00,"0,780031","3,723595",
31/07/2010 4.00,"0,640998","4,337488","20,02442"
31/07/2010 5.00,"0,650026","4,300499",
31/07/2010 6.00,"0,566967","4,972148","14,89621"
31/07/2010 7.00,"0,397238","7,703519",
31/07/2010 8.00,"0,520021","9,846955","9,523809"
31/07/2010 9.00,"0,495645","9,490689",
31/07/2010 10.00,"0,998512","8,663945","16,36141"
31/07/2010 11.00,"0,956983","7,360232",
31/07/2010 12.00,"0,572384","2,807298","12,69841"
31/07/2010 13.00,"0,682527","3,35435",
31/07/2010 14.00,"0,585926","4,939701","11,96581"
31/07/2010 15.00,"0,521827","3,25052",
31/07/2010 16.00,"0,440574","4,817701","12,69841"
31/07/2010 17.00,"0,525437","5,331009",
31/07/2010 18.00,"0,36564","7,027976","9,76801"
31/07/2010 19.00,"0,540786","10,974155",
31/07/2010 20.00,"0,239245","22,905472","13,18681"
31/07/2010 21.00,"0,126394","10,312882",
31/07/2010 22.00,"0,314179","7,324541","8,058608"
31/07/2010 23.00,"0,060488","7,346605",
01/08/2010 0.00,"4,868874","30,597984","7,570208"
01/08/2010 1.00,"8,033236",,
01/08/2010 2.00,"4,481567",,"4,395605"
01/08/2010 3.00,"0,615719",,
01/08/2010 4.00,"1,497767",,"7,814408"
01/08/2010 5.00,"4,536638",,
01/08/2010 6.00,"4,556501",,"9,76801"
01/08/2010 7.00,"2,8556",,
01/08/2010 8.00,"3,055122",,"14,89621"
01/08/2010 9.00,"0,901008",,
01/08/2010 10.00,"0,392724",,"12,69841"
01/08/2010 11.00,"0,443282",,
01/08/2010 12.00,"0,488422",,"11,47741"
01/08/2010 13.00,"0,2889",,
01/08/2010 14.00,"0,283484",,"7,326007"
01/08/2010 15.00,"0,467657",,
01/08/2010 16.00,"0,173341",,"9,523809"
01/08/2010 17.00,"0,167021",,
01/08/2010 18.00,"0,362931",,"5,860806"
01/08/2010 19.00,"0,122782",,
01/08/2010 20.00,"0,216675",,"7,814408"
01/08/2010 21.00,"0,02257",,
01/08/2010 22.00,"0,050557",,"8,058608"
01/08/2010 23.00,"0,140839",,
02/08/2010 0.00,"0,002708",,"14,89621"
02/08/2010 1.00,,,
02/08/2010 2.00,"2,48364",,"10,50061"
02/08/2010 3.00,"2,081888",,
02/08/2010 4.00,"0,536271",,"9,27961"
02/08/2010 5.00,"0,857673",,
02/08/2010 6.00,"2,575727",,"17,094"
02/08/2010 7.00,"7,165632",,
02/08/2010 8.00,"4,968184",,"26,12941"
02/08/2010 9.00,"5,11805",,
02/08/2010 10.00,"3,641048",,"26,12941"
02/08/2010 11.00,"0,653637",,
02/08/2010 12.00,"0,585926",,"16,60561"
02/08/2010 13.00,"0,979553",,
02/08/2010 14.00,"2,426763",,"21,73382"
02/08/2010 15.00,"1,920285",,
02/08/2010 16.00,"0,944343",,"19,0476"
02/08/2010 17.00,"0,937121",,
02/08/2010 18.00,"3,002758",,"12,69841"
02/08/2010 19.00,"2,474612",,
02/08/2010 20.00,"0,649123",,"21,48962"
02/08/2010 21.00,"0,343972",,
02/08/2010 22.00,"0,533563",,"19,78022"
02/08/2010 23.00,"0,534466",,
03/08/2010 0.00,"0,180562",,"13,91941"
03/08/2010 1.00,"0,037918",,
03/08/2010 2.00,"0,323208",,"7,814408"
03/08/2010 3.00,"0,212161",,
03/08/2010 4.00,"0,239245",,"8,302809"
03/08/2010 5.00,"0,334041",,
03/08/2010 6.00,"0,318693",,"12,69841"
03/08/2010 7.00,"0,956983",,
03/08/2010 8.00,"1,216993",,"40,781441"
03/08/2010 9.00,"0,935315",,
03/08/2010 10.00,"0,66086",,"27,35042"
03/08/2010 11.00,"2,522462",,
03/08/2010 12.00,"3,246518",,"21,001221"
03/08/2010 13.00,"1,966329",,
03/08/2010 14.00,"2,112585",,"26,37361"
03/08/2010 15.00,"0,789059",,
03/08/2010 16.00,"0,641901",,"20,26862"
03/08/2010 17.00,"0,618427",,
03/08/2010 18.00,"0,640095",,"16,11721"
03/08/2010 19.00,"1,213382",,
03/08/2010 20.00,"0,380084",,"18,31501"
03/08/2010 21.00,"0,641901",,
03/08/2010 22.00,"0,52634",,"18,31501"
03/08/2010 23.00,"0,604885",,
04/08/2010 0.00,"0,411683",,"22,710621"
04/08/2010 1.00,,,
04/08/2010 2.00,"0,681624",,"13,91941"
04/08/2010 3.00,"0,58051",,
04/08/2010 4.00,"0,630164",,"15,87301"
04/08/2010 5.00,"0,360222",,
04/08/2010 6.00,"0,426128",,"25,64102"
04/08/2010 7.00,"0,628359",,
04/08/2010 8.00,"6,689849",,"24,664221"
04/08/2010 9.00,"11,280655",,
04/08/2010 10.00,"10,876195",,"30,52503"
04/08/2010 11.00,"13,430248",,
04/08/2010 12.00,"1,980773",,"28,327221"
04/08/2010 13.00,"3,985923",,
04/08/2010 14.00,"2,340094",,"25,15262"
04/08/2010 15.00,"1,409292",,
04/08/2010 16.00,"1,614231",,"25,15262"
04/08/2010 17.00,"1,62687",,
04/08/2010 18.00,"0,650026",,"24,42001"
04/08/2010 19.00,"0,478491",,
04/08/2010 20.00,"0,34036",,"12,45421"
04/08/2010 21.00,"0,362931",,
04/08/2010 22.00,"0,562453",,"14,16361"
04/08/2010 23.00,"0,204036",,
05/08/2010 0.00,"0,585023",,"14,16361"
05/08/2010 1.00,"1,774931",,
05/08/2010 2.00,"0,593149",,"10,50061"
05/08/2010 3.00,"0,492936",,
05/08/2010 4.00,"0,699681",,"9,523809"
05/08/2010 5.00,"1,951883",,
05/08/2010 6.00,"1,729791",,"22,954821"
05/08/2010 7.00,"2,888101",,
05/08/2010 8.00,"12,903909",,"29,79241"
05/08/2010 9.00,"39,430381",,
05/08/2010 10.00,"24,774098",,"25,88522"
05/08/2010 11.00,"1,769515",,
05/08/2010 12.00,"0,899203",,"25,39682"
05/08/2010 13.00,"0,758364",,
05/08/2010 14.00,"0,560648",,"28,81562"
05/08/2010 15.00,"0,629262",,
05/08/2010 16.00,"0,780031",,"21,97802"
05/08/2010 17.00,"1,914868",,
05/08/2010 18.00,"0,504673",,"18,80341"
05/08/2010 19.00,"0,485714",,
05/08/2010 20.00,"0,53266",,"13,43101"
05/08/2010 21.00,"0,347583",,
05/08/2010 22.00,"0,260913",,"14,89621"
05/08/2010 23.00,"0,205842",,
06/08/2010 0.00,"0,307859",,"11,96581"
06/08/2010 1.00,,,
06/08/2010 2.00,"0,835102",,"8,791209"
06/08/2010 3.00,"0,486616",,
06/08/2010 4.00,"0,319596",,"11,47741"
06/08/2010 5.00,"0,113755",,
06/08/2010 6.00,"0,078545",,"15,87301"
06/08/2010 7.00,"0,127297",,
06/08/2010 8.00,"7,084379",,"29,54822"
06/08/2010 9.00,"3,468611","3,593206",
06/08/2010 10.00,"0,446893",,"22,954821"
06/08/2010 11.00,"0,403558","4,032375",
06/08/2010 12.00,"1,681039","3,869607","24,17581"
06/08/2010 13.00,"1,143865","4,273244",
06/08/2010 14.00,"0,112851","2,279064","19,2918"
06/08/2010 15.00,"0,016251","2,050637",
06/08/2010 16.00,"0,046947","1,86699","16,11721"
06/08/2010 17.00,"0,175146","1,601575",
06/08/2010 18.00,"0,095699","2,00651","11,96581"
06/08/2010 19.00,,"2,969531",
06/08/2010 20.00,"0,165215","6,523105","13,18681"
06/08/2010 21.00,"0,397238","11,479023",
06/08/2010 22.00,,"13,449197","17,094"
06/08/2010 23.00,"1,10685","18,248078",
07/08/2010 0.00,"8,102753","27,904894","24,664221"
07/08/2010 1.00,"6,795479","21,316237",
07/08/2010 2.00,"1,594369","14,067634","16,84981"
07/08/2010 3.00,"3,299785","22,267591",
07/08/2010 4.00,"6,156287","24,426583","24,17581"
07/08/2010 5.00,"4,396702","25,82959",
07/08/2010 6.00,"2,43218","25,991824","20,26862"
07/08/2010 7.00,"8,296857","27,132006",
07/08/2010 8.00,"3,328674","10,860586","23,44322"
07/08/2010 9.00,"2,972965","16,506333",
07/08/2010 10.00,"1,29012","9,231115","26,12941"
07/08/2010 11.00,"0,363834","4,661307",
07/08/2010 12.00,"0,027085","5,159043","21,001221"
07/08/2010 13.00,"0,959691","8,016306",
07/08/2010 14.00,"0,08667","5,31284","14,89621"
07/08/2010 15.00,,"5,364755",
07/08/2010 16.00,,"5,942957","13,91941"
07/08/2010 17.00,,"5,747627",
07/08/2010 18.00,,"9,008531","7,814408"
07/08/2010 19.00,,"15,08257",
07/08/2010 20.00,,"27,897093","10,01221"
07/08/2010 21.00,,"31,283245",
07/08/2010 22.00,,"41,412485","15,14041"
07/08/2010 23.00,,"25,88475",
08/08/2010 0.00,,"30,712837","12,21001"
08/08/2010 1.00,,"24,758851",
08/08/2010 2.00,,,"8,547009"
08/08/2010 3.00,,,
08/08/2010 4.00,,,"4,884005"
08/08/2010 5.00,,,
08/08/2010 6.00,,,"4,884005"
08/08/2010 7.00,,,
08/08/2010 8.00,,,"10,74481"
08/08/2010 9.00,,,
08/08/2010 10.00,,,"6,349206"
08/08/2010 11.00,,,
08/08/2010 12.00,"0,038821",,"9,523809"
08/08/2010 13.00,"0,062294",,
08/08/2010 14.00,,,"9,035409"
08/08/2010 15.00,,,
08/08/2010 16.00,,,"7,570208"
08/08/2010 17.00,,,
08/08/2010 18.00,,,"9,035409"
08/08/2010 19.00,,,
08/08/2010 20.00,,,"6,593407"
08/08/2010 21.00,"0,003611",,
08/08/2010 22.00,,,"9,523809"
08/08/2010 23.00,"0,081253",,
09/08/2010 0.00,"3,632019",,"18,31501"
09/08/2010 1.00,"6,999515",,
09/08/2010 2.00,"7,125908",,"21,001221"
09/08/2010 3.00,"0,469463",,
09/08/2010 4.00,"0,260913",,"15,14041"
09/08/2010 5.00,"0,449601",,
09/08/2010 6.00,"0,009028",,"15,38461"
09/08/2010 7.00,,,
09/08/2010 8.00,,,"12,21001"
09/08/2010 9.00,,,
09/08/2010 10.00,,,"12,69841"
09/08/2010 11.00,,,
09/08/2010 12.00,,,"7,326007"
09/08/2010 13.00,,,
09/08/2010 14.00,,,"13,67521"
09/08/2010 15.00,,,
09/08/2010 16.00,,,"10,25641"
09/08/2010 17.00,,,
09/08/2010 18.00,"0,020765",,"11,96581"
09/08/2010 19.00,"0,025279",,
09/08/2010 20.00,,,"12,94261"
09/08/2010 21.00,,,
09/08/2010 22.00,,,"11,47741"
09/08/2010 23.00,,,
10/08/2010 0.00,"0,333139",,"9,523809"
10/08/2010 1.00,,,
10/08/2010 2.00,"0,162506",,"9,76801"
10/08/2010 3.00,"0,111949","14,641937",
10/08/2010 4.00,"0,68343","20,364903","11,96581"
10/08/2010 5.00,"3,240199","47,234102",
10/08/2010 6.00,"0,981358","28,207296","20,26862"
10/08/2010 7.00,"4,696436","31,466893",
10/08/2010 8.00,"5,389798","30,33516","24,664221"
10/08/2010 9.00,"0,170632","11,216203",
10/08/2010 10.00,"0,265427","10,321975","20,26862"
10/08/2010 11.00,,,
10/08/2010 12.00,,"13,790533","19,2918"
10/08/2010 13.00,"3,053315","11,771046",
10/08/2010 14.00,"2,781569","7,752188","17,3382"
10/08/2010 15.00,"3,217628","9,05071",
10/08/2010 16.00,"2,621771","6,250552","18,55921"
10/08/2010 17.00,"2,696705","8,012413",
10/08/2010 18.00,"3,05783","8,453689","19,0476"
10/08/2010 19.00,"2,580242","25,673838",
10/08/2010 20.00,"2,652467","16,358371","21,24542"
10/08/2010 21.00,"2,423152","12,95341",
10/08/2010 22.00,"4,563723","31,99577","21,24542"
10/08/2010 23.00,"4,643171","20,83992",
11/08/2010 0.00,"2,954007","23,674478","20,51281"
11/08/2010 1.00,"10,460903","37,622058",
11/08/2010 2.00,"5,407854","12,388182","24,17581"
11/08/2010 3.00,"3,149014","19,03913",
11/08/2010 4.00,"5,895373","26,111227","13,43101"
11/08/2010 5.00,"6,37567","30,825109",
11/08/2010 6.00,"6,649223","43,489739","18,80341"
11/08/2010 7.00,"15,327969","51,400906",
11/08/2010 8.00,"11,585806","30,795245","23,93162"
11/08/2010 9.00,"10,98182","24,011928",
11/08/2010 10.00,"10,463608","16,9223","29,54822"
11/08/2010 11.00,"6,490327","12,202586",
11/08/2010 12.00,"2,439403","4,80602","20,26862"
11/08/2010 13.00,"2,05661","3,732031",
11/08/2010 14.00,"2,336482","5,925435","20,757021"
11/08/2010 15.00,"2,462876","5,488052",
11/08/2010 16.00,"1,978968","4,127882","19,0476"
11/08/2010 17.00,"1,962717","2,778096",
11/08/2010 18.00,"1,993412","4,440019","16,84981"
11/08/2010 19.00,"2,157725","7,976722",
11/08/2010 20.00,"1,930216","21,125457","20,02442"
11/08/2010 21.00,"3,195058","61,007768",
11/08/2010 22.00,"2,629896","41,766799","23,93162"
11/08/2010 23.00,"1,897715","32,224216",
12/08/2010 0.00,"1,861602","24,446697","23,68742"
12/08/2010 1.00,,"20,15724",
12/08/2010 2.00,"1,989801",,"19,78022"
12/08/2010 3.00,"1,970842","10,453061",
12/08/2010 4.00,"1,843545","9,895627","16,84981"
12/08/2010 5.00,"1,838129","10,024765",
12/08/2010 6.00,"1,370472","9,177254","14,16361"
12/08/2010 7.00,"2,010566","16,885315",
12/08/2010 8.00,"3,743968","21,776342","25,64102"
12/08/2010 9.00,"8,459364","14,984575",
12/08/2010 10.00,"22,66422","25,183257","24,42001"
12/08/2010 11.00,"10,961958","12,182466",
12/08/2010 12.00,"3,613963","4,688562","25,64102"
12/08/2010 13.00,"2,309397","4,282329",
12/08/2010 14.00,"3,248323","3,538649","16,11721"
12/08/2010 15.00,"3,238392","4,172011",
12/08/2010 16.00,"2,13064","4,138914","15,38461"
12/08/2010 17.00,"2,7915","3,842351",
12/08/2010 18.00,"2,22363","4,536711","15,87301"
12/08/2010 19.00,"2,167656","6,807987",
12/08/2010 20.00,"1,879658","18,104014","35,653221"
12/08/2010 21.00,"1,702707","14,142905",
12/08/2010 22.00,"1,856185","52,984328","30,036631"
12/08/2010 23.00,"1,757779","23,683561",
13/08/2010 0.00,"1,258522","21,272759","23,19902"
13/08/2010 1.00,"1,215187","22,00735",
13/08/2010 2.00,"1,599786","18,234446","14,40781"
13/08/2010 3.00,"1,704512","15,464147",
13/08/2010 4.00,"1,836323","16,514122","15,38461"
13/08/2010 5.00,"1,325331","27,897742",
13/08/2010 6.00,"1,516727","43,616926","23,44322"
13/08/2010 7.00,"3,87939","46,186712",
13/08/2010 8.00,"7,575509","45,431355","38,827831"
13/08/2010 9.00,"16,515164","46,466396",
13/08/2010 10.00,"9,131058","45,670165","42,735031"
13/08/2010 11.00,"5,794258","23,076807",
13/08/2010 12.00,"2,687677","8,322605","33,943821"
13/08/2010 13.00,"3,083109","4,100628",
13/08/2010 14.00,"2,379816","3,361489","26,86202"
13/08/2010 15.00,"1,993412","3,36733",
13/08/2010 16.00,"2,081888","3,009117","22,22221"
13/08/2010 17.00,"2,798723","4,007829",
13/08/2010 18.00,"3,780984","4,947489","20,26862"
13/08/2010 19.00,"2,954909","7,163604",
13/08/2010 20.00,"2,533295","10,731454","19,53602"
13/08/2010 21.00,"1,966329","62,529511",
13/08/2010 22.00,"2,491766","57,190081","28,08301"
13/08/2010 23.00,"2,215505","35,653828",
14/08/2010 0.00,"2,073764","37,61491","30,28083"
14/08/2010 1.00,,"30,364357",
14/08/2010 2.00,"3,055122",,"26,86202"
14/08/2010 3.00,"4,368716",,
14/08/2010 4.00,"6,661863",,"28,571421"
14/08/2010 5.00,"5,552304",,
14/08/2010 6.00,"6,044338",,"38,58363"
14/08/2010 7.00,"5,696755",,
14/08/2010 8.00,"7,245079",,"38,339432"
14/08/2010 9.00,"15,053511",,
14/08/2010 10.00,"10,871679",,"43,223431"
14/08/2010 11.00,"3,445137",,
14/08/2010 12.00,"3,148111",,"33,455421"
14/08/2010 13.00,"1,763195",,
14/08/2010 14.00,"1,038236",,"25,15262"
14/08/2010 15.00,"1,314497",,
14/08/2010 16.00,"1,42464",,"28,571421"
14/08/2010 17.00,"2,018691",,
14/08/2010 18.00,"1,822781",,"20,26862"
14/08/2010 19.00,"2,752679",,
