,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



12/01/2010 8.00,"2,461671","51,355495","12,69841"
12/01/2010 9.00,"2,338859","48,00179",
12/01/2010 10.00,"2,698266","31,671955","13,67521"
12/01/2010 11.00,"3,043225","19,812009",
12/01/2010 12.00,"2,196179","14,746422","13,67521"
12/01/2010 13.00,"2,456253","12,459567",
12/01/2010 14.00,"2,461671","9,432934","15,14041"
12/01/2010 15.00,"3,259954","9,14221",
12/01/2010 16.00,"2,403877","13,213627","8,791209"
12/01/2010 17.00,"2,201598","16,242862",
12/01/2010 18.00,"1,984869","23,87046","12,21001"
12/01/2010 19.00,"2,132966","28,385742",
12/01/2010 20.00,"2,407489","24,477845","7,326007"
12/01/2010 21.00,"2,660339","41,321646",
12/01/2010 22.00,"5,849855","59,19854","17,094"
12/01/2010 23.00,"3,570597","34,307932",
13/01/2010 0.00,"3,901107","45,202278","21,97802"
13/01/2010 1.00,"4,332759","52,811694",
13/01/2010 2.00,"3,581434","43,036136","23,44322"
13/01/2010 3.00,"3,568791","25,239699",
13/01/2010 4.00,"3,556149","16,037798","21,97802"
13/01/2010 5.00,"3,595882","11,435549",
13/01/2010 6.00,"3,604912","20,026154","19,53602"
13/01/2010 7.00,"4,027532","36,818026",
13/01/2010 8.00,"3,799968","41,19444","27,35042"
13/01/2010 9.00,"3,855956","41,526708",
13/01/2010 10.00,"2,548362","41,656492","30,76923"
13/01/2010 11.00,"1,95236","44,245745",
13/01/2010 12.00,"2,598932","40,185995","42,97924"
13/01/2010 13.00,"3,621167","34,807616",
13/01/2010 14.00,"3,577821","24,763382","42,002441"
13/01/2010 15.00,"3,323165","12,826864",
13/01/2010 16.00,"2,622412","15,321374","26,86202"
13/01/2010 17.00,"3,536282","28,746556",
13/01/2010 18.00,"2,804824","8,989063","22,46641"
13/01/2010 19.00,"3,184099","35,024359",
13/01/2010 20.00,"4,273157","54,606663","23,93162"
13/01/2010 21.00,"3,440561","45,842128",
13/01/2010 22.00,"3,45862","35,575971","28,81562"
13/01/2010 23.00,"3,456814","33,765423",
14/01/2010 0.00,"3,613943","27,39806","42,490841"
14/01/2010 1.00,,"13,663507",
14/01/2010 2.00,"3,158813",,"26,37361"
14/01/2010 3.00,"2,94931","12,093566",
14/01/2010 4.00,"2,391234","11,730166","23,93162"
14/01/2010 5.00,"2,840946","17,037161",
14/01/2010 6.00,"3,034195","40,627285","17,582411"
14/01/2010 7.00,"2,831915","25,38897",
14/01/2010 8.00,"2,59532","42,362537","10,74481"
14/01/2010 9.00,"3,24731","49,216599",
14/01/2010 10.00,"3,135335","41,212623","19,53602"
14/01/2010 11.00,"3,622973","35,26837",
14/01/2010 12.00,"3,875822","33,078859","23,93162"
14/01/2010 13.00,"4,043787","31,334523",
14/01/2010 14.00,"3,588658","18,079356","24,908421"
14/01/2010 15.00,"3,377348","19,130612",
14/01/2010 16.00,"2,900546","18,598496","23,93162"
14/01/2010 17.00,"2,842752","27,330568",
14/01/2010 18.00,"3,082959","50,454771","33,699631"
14/01/2010 19.00,"3,456814","67,928024",
14/01/2010 20.00,"3,400826","57,6333","52,25885"
14/01/2010 21.00,"3,827059","51,580021",
14/01/2010 22.00,"5,593394","67,04286","72,283272"
14/01/2010 23.00,"3,290657","42,21457",
15/01/2010 0.00,"2,703684","29,30465","63,492062"
15/01/2010 1.00,"2,902352","23,207244",
15/01/2010 2.00,"2,387622","11,480975","42,490841"
15/01/2010 3.00,"2,909576","7,971529",
15/01/2010 4.00,"3,388184","7,222658","33,211231"
15/01/2010 5.00,"2,725357","10,908606",
15/01/2010 6.00,"2,819272","16,86195","25,88522"
15/01/2010 7.00,"3,514608","26,202717",
15/01/2010 8.00,"3,754816","52,916836","19,53602"
15/01/2010 9.00,"2,918607","47,983628",
15/01/2010 10.00,"2,281064","46,123767","34,67643"
15/01/2010 11.00,"2,270228","27,026865",
15/01/2010 12.00,"1,941523","14,075415","30,76923"
15/01/2010 13.00,"1,912626","16,004057",
15/01/2010 14.00,"2,459865","13,457629","21,97802"
15/01/2010 15.00,"2,519465","14,159782",
15/01/2010 16.00,"2,004736","17,717249","15,14041"
15/01/2010 17.00,"1,876505","19,168258",
15/01/2010 18.00,"2,942085","19,103375","17,582411"
15/01/2010 19.00,"2,718133","17,427821",
15/01/2010 20.00,"1,874699","16,457009","13,67521"
15/01/2010 21.00,"2,521271","16,033911",
15/01/2010 22.00,"2,102263","8,907296","20,51281"
15/01/2010 23.00,"2,407489","5,578254",
16/01/2010 0.00,"2,470702","5,051318","16,11721"
16/01/2010 1.00,,"7,545828",
