,Provincia di TARANTO,,
,Massafra (TA) Via Frappietro,,
Parm,SO2,O3,BENZENE



10/04/2010 14.00,"8,938911","97,445473","0,470515"
10/04/2010 15.00,"8,823209","100,543643","0,610047"
10/04/2010 16.00,"8,688883","103,689902","0,492533"
10/04/2010 17.00,"8,772979","105,619262","0,482211"
10/04/2010 18.00,"8,91351","104,917028","0,444785"
10/04/2010 19.00,"9,143786","101,390108","0,42831"
10/04/2010 20.00,"9,401714","97,85452","0,433852"
10/04/2010 21.00,"9,428806","104,942248","0,421089"
10/04/2010 22.00,"9,455334","99,994314","0,307948"
10/04/2010 23.00,"9,445738","94,056483","0,579792"
11/04/2010 0.00,"9,4305","92,882941","0,31888"
11/04/2010 1.00,"9,489195","87,484187","0,271742"
11/04/2010 2.00,"9,577806","91,737778","0,331847"
11/04/2010 3.00,"9,516286","94,730339","0,266352"
11/04/2010 4.00,"9,619572","95,029044","0,415495"
11/04/2010 5.00,"9,608848","77,445664","0,355136"
11/04/2010 6.00,"9,552973","60,940464","0,16572"
11/04/2010 7.00,"9,660772","35,9675","0,072207"
11/04/2010 8.00,"9,550715","66,829433","0,082682"
11/04/2010 9.00,"9,494276","76,363552","0,265437"
11/04/2010 10.00,"9,327778","77,049227","0,273776"
11/04/2010 11.00,"8,933267","88,061894","0,378629"
11/04/2010 12.00,"8,355889","84,136962","0,349034"
11/04/2010 13.00,"8,246396","90,910232","0,443107"
11/04/2010 14.00,"7,799393","94,89664","0,426886"
11/04/2010 15.00,"8,300578","95,036137","0,392715"
11/04/2010 16.00,"9,265132","89,135345","0,361086"
11/04/2010 17.00,"9,406793","93,007469","0,276319"
11/04/2010 18.00,"9,479602","90,777827","0,31644"
11/04/2010 19.00,"9,556359","81,960913","0,335661"
11/04/2010 20.00,"9,506693","79,329317","0,345373"
11/04/2010 21.00,"9,554666","75,191585","0,079834"
11/04/2010 22.00,"9,605462","74,615461","0,164347"
11/04/2010 23.00,"9,524189","67,750777","0,07597"
12/04/2010 0.00,"9,608284","64,692006","0,185806"
12/04/2010 1.00,"9,563697","68,401771","0,166686"
12/04/2010 2.00,"9,591917","69,909482","0,221808"
12/04/2010 3.00,"9,48694","80,025243","0,329813"
12/04/2010 4.00,"9,60151","81,516402","0,260555"
12/04/2010 5.00,"9,506693","80,022876","0,272353"
12/04/2010 6.00,"9,617314","71,002636","0,177619"
12/04/2010 7.00,"9,512902","55,431375","0,089191"
12/04/2010 8.00,"9,470006","52,205524","0,062545"
12/04/2010 9.00,"9,436706","62,639693","0,097988"
12/04/2010 10.00,"9,365029","71,50074","0,098496"
12/04/2010 11.00,"9,401714",,"0,098395"
12/04/2010 12.00,,,
12/04/2010 13.00,"7,955166","85,890464","0,006966"
12/04/2010 14.00,"7,334895","88,220668",
12/04/2010 15.00,"7,311667",,
12/04/2010 16.00,"6,964088","92,323248","3,405018"
12/04/2010 17.00,"7,12494","88,720179",
12/04/2010 18.00,"6,903697","79,209196","0,348577"
12/04/2010 19.00,"6,933046","78,284549","0,00539"
12/04/2010 20.00,"6,982712","79,737443","0,002644"
12/04/2010 21.00,"7,021089","80,195539",
12/04/2010 22.00,"7,010932","73,643578","0,004221"
12/04/2010 23.00,"6,963523","68,290113",
13/04/2010 0.00,"6,962395","79,000429","0,003051"
13/04/2010 1.00,"6,986099","83,108922",
13/04/2010 2.00,"7,001336","86,121201",
13/04/2010 3.00,"6,991743","90,277875",
13/04/2010 4.00,"6,988921","87,925692",
13/04/2010 5.00,"6,989485","76,380325",
13/04/2010 6.00,"6,99005","57,687132",
13/04/2010 7.00,"6,992308","40,690252",
13/04/2010 8.00,"6,97481","29,705243",
13/04/2010 9.00,"6,983841","75,865601",
13/04/2010 10.00,"7,093898","74,119428",
13/04/2010 11.00,"7,179325","82,680415",
13/04/2010 12.00,,,
13/04/2010 13.00,,,"0,026493"
13/04/2010 14.00,,"43,334854","0,276421"
13/04/2010 15.00,,"65,374644","0,47977"
13/04/2010 16.00,,"81,256494","0,575876"
13/04/2010 17.00,,"74,675956","0,542773"
13/04/2010 18.00,,"70,136688","0,521009"
13/04/2010 19.00,,"64,896412",
13/04/2010 20.00,,"65,159744",
13/04/2010 21.00,,"79,216136",
13/04/2010 22.00,,"86,319701",
13/04/2010 23.00,,"83,614666",
14/04/2010 0.00,,"85,386242",
14/04/2010 1.00,,"84,399206",
14/04/2010 2.00,,"68,631161",
14/04/2010 3.00,,"66,944943",
14/04/2010 4.00,,,
14/04/2010 5.00,,"65,753448",
14/04/2010 6.00,,"59,305524",
14/04/2010 7.00,,"54,369256",
14/04/2010 8.00,,"55,362167",
14/04/2010 9.00,,"52,723832",
14/04/2010 10.00,,"59,809696",
14/04/2010 11.00,,,
14/04/2010 12.00,,"54,493582",
14/04/2010 13.00,,"60,297578",
14/04/2010 14.00,,"79,98777",
14/04/2010 15.00,,"76,672919","0,432022"
14/04/2010 16.00,,,"6,102"
14/04/2010 17.00,,"66,785811","3,561127"
14/04/2010 18.00,,"44,922865","0,817566"
14/04/2010 19.00,,"38,388335","0,909401"
14/04/2010 20.00,,"33,539526","1,013949"
14/04/2010 21.00,,"44,015696","0,653473"
14/04/2010 22.00,,"53,203142","0,524874"
14/04/2010 23.00,,"67,983645","0,405732"
15/04/2010 0.00,,"68,794783","0,335203"
15/04/2010 1.00,,"67,231677","0,284302"
15/04/2010 2.00,,"60,425337","0,265234"
15/04/2010 3.00,,"51,082697","0,26325"
15/04/2010 4.00,,"45,975799","0,28359"
15/04/2010 5.00,,"28,066501","0,401918"
15/04/2010 6.00,,"21,681164","0,594792"
15/04/2010 7.00,,"12,304228","0,884485"
15/04/2010 8.00,,"27,242505","0,686729"
15/04/2010 9.00,,"44,104014","0,443615"
15/04/2010 10.00,,"30,217813","0,541451"
15/04/2010 11.00,,"36,003801","0,442853"
15/04/2010 12.00,,"31,990993","0,438886"
15/04/2010 13.00,,"35,402738","0,612641"
15/04/2010 14.00,,"30,066902","0,495584"
15/04/2010 15.00,,,"0,73346"
15/04/2010 16.00,,"61,397669","0,564537"
15/04/2010 17.00,"3,209832",,
15/04/2010 18.00,,,
15/04/2010 19.00,"10,3122","31,638586","0,351933"
15/04/2010 20.00,"15,027391","32,712098","0,666135"
15/04/2010 21.00,"16,381042","31,006655","0,477227"
15/04/2010 22.00,"15,889337","27,850427","0,375578"
15/04/2010 23.00,"15,875793","35,884616","0,322338"
16/04/2010 0.00,"16,595961","43,167689","0,24286"
16/04/2010 1.00,"16,182373","50,625682","0,190586"
16/04/2010 2.00,"16,512882","63,102256","0,185602"
16/04/2010 3.00,"16,972979","70,739449","0,185958"
16/04/2010 4.00,"15,849605",,"0,177772"
16/04/2010 5.00,"16,408129","62,971742","0,22552"
16/04/2010 6.00,"16,567064","62,773688","0,275505"
16/04/2010 7.00,"16,469988","63,203846","0,301083"
16/04/2010 8.00,"17,263755","78,128583","0,320457"
16/04/2010 9.00,"16,811786","81,670229","0,265284"
16/04/2010 10.00,"15,938554","80,354656","0,261674"
16/04/2010 11.00,"16,340404","84,49136","0,249114"
16/04/2010 12.00,"16,153024","87,423609","0,235944"
16/04/2010 13.00,"15,930426","89,189949","0,264013"
16/04/2010 14.00,"15,626103","91,364941","0,207875"
16/04/2010 15.00,"16,219398","93,428814","0,201061"
16/04/2010 16.00,"16,310153","95,168267","0,183213"
16/04/2010 17.00,"16,075365","92,980726","0,181992"
16/04/2010 18.00,"15,336228","92,236018","0,207214"
16/04/2010 19.00,"16,376072","85,914467","0,210977"
16/04/2010 20.00,"16,161603","80,151224","0,254809"
16/04/2010 21.00,"16,600927","82,310988","0,223384"
16/04/2010 22.00,"16,039692","83,17399","0,178128"
16/04/2010 23.00,"15,716407","85,917153","0,168415"
17/04/2010 0.00,"15,846894","84,533475","0,173093"
17/04/2010 1.00,"16,347627","88,577866","0,135617"
17/04/2010 2.00,"15,724084","95,291935","0,116091"
17/04/2010 3.00,"16,135867","101,058762","0,118379"
17/04/2010 4.00,"15,769684","105,100467","0,118735"
17/04/2010 5.00,"15,859539","99,957374","0,121379"
17/04/2010 6.00,"16,015311","91,946552","0,145939"
17/04/2010 7.00,"16,082135","84,764684","0,182043"
17/04/2010 8.00,"15,928168","79,230862","0,281506"
17/04/2010 9.00,"15,573726","83,327239","0,238436"
17/04/2010 10.00,"14,583549","84,061194","0,251453"
17/04/2010 11.00,"13,892277","93,049737","0,157533"
17/04/2010 12.00,"14,212856","84,355143","0,307236"
17/04/2010 13.00,"14,740679","77,771012","0,39724"
17/04/2010 14.00,"14,465704","96,997339","0,261979"
17/04/2010 15.00,"14,149643","99,086304","0,175992"
17/04/2010 16.00,"13,222678","97,207042","0,21957"
17/04/2010 17.00,"14,605224","102,435272","0,25247"
17/04/2010 18.00,"14,53253","106,46085","0,240724"
17/04/2010 19.00,"14,759641","100,050577","0,289031"
17/04/2010 20.00,"14,841367","100,274618","0,279421"
17/04/2010 21.00,"14,755126","104,282266","0,277438"
17/04/2010 22.00,"14,931671","90,887287","0,36251"
17/04/2010 23.00,"15,166909","108,021072","0,251046"
18/04/2010 0.00,"14,92625","106,716252","0,198874"
18/04/2010 1.00,"14,596193","93,282734","0,225825"
18/04/2010 2.00,"14,698686","106,336276","0,163178"
18/04/2010 3.00,"14,82466","101,395725","0,145177"
18/04/2010 4.00,"14,523046",,"0,152347"
18/04/2010 5.00,"14,781767","61,162233","0,198823"
18/04/2010 6.00,"14,77951","31,225886","0,407308"
18/04/2010 7.00,"15,428338","35,937865","0,602318"
18/04/2010 8.00,"14,733453","59,831728","0,445904"
18/04/2010 9.00,"15,513677","69,150604","0,532755"
18/04/2010 10.00,"18,582186","59,150444","0,51745"
18/04/2010 11.00,"27,158753","68,577075","0,530315"
18/04/2010 12.00,"18,29502","85,55303","0,391138"
18/04/2010 13.00,"15,291077","104,284283","0,382697"
18/04/2010 14.00,"14,477895","110,913649","0,208892"
18/04/2010 15.00,"13,441664","110,469259","0,259538"
18/04/2010 16.00,"13,955038","113,340443","0,215502"
18/04/2010 17.00,"14,252588","109,197529","0,215502"
18/04/2010 18.00,"14,183957","92,975003","0,218452"
18/04/2010 19.00,"14,177637","92,332905","0,301134"
18/04/2010 20.00,"14,396622","66,991868","0,269708"
18/04/2010 21.00,"14,660308","65,328297","0,3081"
18/04/2010 22.00,"14,31851","90,650629","0,188298"
18/04/2010 23.00,"14,362308","84,588544","0,164601"
19/04/2010 0.00,"14,432292","81,721819","0,133532"
19/04/2010 1.00,"14,032248","76,956404","0,128447"
19/04/2010 2.00,"14,26523","68,619822","0,166076"
19/04/2010 3.00,"14,366821","66,540355","0,159872"
19/04/2010 4.00,"13,85435","71,522178","0,134193"
19/04/2010 5.00,"14,191633","70,500698","0,136736"
19/04/2010 6.00,"14,498212","76,678551","0,162517"
19/04/2010 7.00,"13,799717","72,229283","0,175178"
19/04/2010 8.00,"13,996578","80,774258","0,233096"
19/04/2010 9.00,"13,990707","83,01581","0,203858"
19/04/2010 10.00,"13,730183","71,739475","0,238639"
19/04/2010 11.00,"14,032248","79,2131","0,20818"
19/04/2010 12.00,"13,893179","79,950487","0,184331"
19/04/2010 13.00,"13,559059","88,66021","0,223994"
19/04/2010 14.00,"13,652973","95,817679","0,173398"
19/04/2010 15.00,"13,638977","100,054991","0,160228"
19/04/2010 16.00,"13,311175","97,747542","0,162415"
19/04/2010 17.00,,"94,700027","0,18967"
19/04/2010 18.00,,,"1,439157"
19/04/2010 19.00,"2,193018","58,548422","0,486889"
19/04/2010 20.00,"1,578504","61,825704","0,216672"
19/04/2010 21.00,"1,713056","50,512855","0,293303"
19/04/2010 22.00,"1,822776","55,130433","0,289336"
19/04/2010 23.00,"1,521612","53,662782","0,165415"
20/04/2010 0.00,"1,408735","65,867976","0,145736"
20/04/2010 1.00,"1,187491","89,036921","0,122548"
20/04/2010 2.00,,"85,94933","0,119192"
