,Bari,,,,,
,Caldarola,,,,,
Parm,SO2,NO2,CO,O3,BENZENE,PM10



06/01/2010 23.00,"7,23149851","63,68137792","0,85703575","8,51419916","2,3080815","22,89999962"
07/01/2010 0.00,"7,38681983","55,56707936","0,70983217","19,06774716","2,1687525","22,89999962"
07/01/2010 1.00,"6,22190532","49,191936","0,57799262","20,87869245","1,5788925","19,2999897"
07/01/2010 2.00,"6,96419938","39,16198552","0,53351991","24,74117205","1,161414","19,2999897"
07/01/2010 3.00,"6,81429561","35,12820088","0,53197978","35,15551095","1,0714095","19,2999897"
07/01/2010 4.00,"6,68606513","27,91332624","0,40882879","50,37297195","0,731223","19,2999897"
07/01/2010 5.00,"6,16591743","29,42145448","0,39172659","55,67743755","0,55472265","19,2999897"
07/01/2010 6.00,"5,90584409","29,9354192","0,41870333","50,72030145","0,52736535","19,2999897"
07/01/2010 7.00,"6,22371253","35,40075648","0,44090008","41,71550985","0,564435","19,2999897"
07/01/2010 8.00,"5,91668023","50,53134936","0,56985626","31,75658955","0,71327295","19,2999897"
07/01/2010 9.00,"5,50489693","71,9358452","1,00360789","21,44630985","1,3226085","19,2999897"
07/01/2010 10.00,"7,66314788","72,86253424","1,02659567","23,74379175","2,864889","19,2999897"
07/01/2010 11.00,"7,69023975","60,24201496","0,69553529","39,03287325","2,889297","19,2999897"
07/01/2010 12.00,"6,53435518","58,77801568","0,61452702","45,0157785","1,7995815","19,2999897"
07/01/2010 13.00,"5,66202444","57,75270568","0,58265262","50,145921","1,367865","19,2999897"
07/01/2010 14.00,"3,5344757","63,25567112","0,70307867","51,37845195","1,364814","19,2999897"
07/01/2010 15.00,"5,05518563","58,70144008","0,54473653","51,6244155","1,541772","19,2999897"
07/01/2010 16.00,"5,1509077","55,05053344","0,5740421","40,01265765","1,0419165","19,2999897"
07/01/2010 17.00,"6,02143224","73,95533784","0,84941315","19,14207887","1,41032475","19,2999897"
07/01/2010 18.00,"5,02809478","71,96179104","0,80667746","22,81264545","2,1016305","19,2999897"
07/01/2010 19.00,"5,90584409","60,53923536","0,71405763","31,0727634","1,8656865","19,2999897"
07/01/2010 20.00,"7,15203114","68,40044248","1,03093879","15,16203192",,"19,2999897"
07/01/2010 21.00,"7,29471014","64,6586776","0,83776082","21,53281305","2,890314","19,2999897"
07/01/2010 22.00,"7,17189722","70,4354988","1,06988241","14,45116355","2,038068","19,2999897"
07/01/2010 23.00,"7,38320745","51,59430664","0,65031116","29,79833745","2,738781","19,2999897"
08/01/2010 0.00,"7,93225219","32,47143864","0,48327928","47,72816055","1,232604","19,2999897"
08/01/2010 1.00,,"28,73227408","0,41048775","57,94655055","0,93564","33,40000153"
08/01/2010 2.00,"6,52171285",,"0,39792789","54,8422308","0,62021745","33,40000153"
08/01/2010 3.00,"6,94975086","35,7823152",,"55,85718705","0,5745033","33,40000153"
08/01/2010 4.00,"7,70107588","26,3013764","0,36885881","52,6623342","0,41051205","33,40000153"
08/01/2010 5.00,"7,34889183","26,67905376","0,40294438",,"0,43390305","33,40000153"
08/01/2010 6.00,"6,32304495","23,76661888","0,39532178","45,50229915","0,4970079","33,40000153"
08/01/2010 7.00,"4,90708805","31,86665392","0,43860852","40,6492023","0,5089068","33,40000153"
08/01/2010 8.00,"4,19007865","42,98810784","0,4886511","45,2252535","0,56214675","33,40000153"
08/01/2010 9.00,"3,83247704","53,68777456","0,63261597","42,7155834","0,9372672","33,40000153"
08/01/2010 10.00,"4,73009344","48,40931616","0,53683666","45,4022898","1,345491","33,40000153"
