, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,NOX,PM10
,,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
09/01/2009 5.00,"1,5","12,3","14,9","15,0"
09/01/2009 6.00,"1,5","11,4","14,6","15,0"
09/01/2009 7.00,"1,4","15,3","20,4","15,0"
09/01/2009 8.00,"1,5","15,4","19,8","15,0"
09/01/2009 9.00,"2,0","15,2","20,1","15,0"
09/01/2009 10.00,,,,"15,0"
09/01/2009 11.00,,,,"15,0"
09/01/2009 12.00,"0,5","8,3","11,6","15,0"
09/01/2009 13.00,"0,6","14,9","20,0","15,0"
09/01/2009 14.00,"0,4","12,9","17,1","15,0"
09/01/2009 15.00,"0,5","8,7","11,8","15,0"
09/01/2009 16.00,"0,5","10,9","14,3","15,0"
09/01/2009 17.00,"0,4","10,9","14,1","15,0"
09/01/2009 18.00,"0,5","13,0","16,5","15,0"
09/01/2009 19.00,"0,5","15,9","19,4","15,0"
09/01/2009 20.00,"0,5","15,0","18,0","15,0"
09/01/2009 21.00,"0,6","13,7","16,6","15,0"
09/01/2009 22.00,"0,7","17,1","21,5","15,0"
09/01/2009 23.00,"0,6","14,7","18,3","15,0"
10/01/2009 0.00,"0,4","10,0","12,8","15,0"
10/01/2009 1.00,,"7,7","10,2","24,7"
10/01/2009 2.00,,,,"24,7"
10/01/2009 3.00,,"8,5","11,2","24,7"
10/01/2009 4.00,,"9,6","12,1","24,7"
10/01/2009 5.00,,"8,7","11,3","24,7"
10/01/2009 6.00,,"8,2","10,8","24,7"
10/01/2009 7.00,,"8,2","11,1","24,7"
10/01/2009 8.00,,"14,2","19,0","24,7"
10/01/2009 9.00,,"17,5","23,8","24,7"
10/01/2009 10.00,,"19,8","25,5","24,7"
10/01/2009 11.00,,"25,0","36,2","24,7"
10/01/2009 12.00,,"20,0","24,5","24,7"
10/01/2009 13.00,,"16,1","20,6","24,7"
10/01/2009 14.00,,"16,9","23,4","24,7"
10/01/2009 15.00,,"14,7","18,4","24,7"
10/01/2009 16.00,,"18,9","23,8","24,7"
10/01/2009 17.00,,"24,2","32,0","24,7"
10/01/2009 18.00,,"24,0","29,9","24,7"
10/01/2009 19.00,,"28,9","36,6","24,7"
10/01/2009 20.00,,"29,4","35,3","24,7"
10/01/2009 21.00,,"27,1","32,9","24,7"
10/01/2009 22.00,,"32,5","42,5","24,7"
10/01/2009 23.00,,"28,6","37,3","24,7"
11/01/2009 0.00,,"18,3","21,5","24,7"
11/01/2009 1.00,,"14,9","17,7","32,3"
11/01/2009 2.00,,"16,6","19,4","32,3"
11/01/2009 3.00,,"16,8","19,7","32,3"
11/01/2009 4.00,,"22,1","28,3","32,3"
11/01/2009 5.00,,"20,7","24,7","32,3"
11/01/2009 6.00,,"14,6","17,3","32,3"
11/01/2009 7.00,,"14,2","17,2","32,3"
11/01/2009 8.00,,"17,9","23,3","32,3"
11/01/2009 9.00,,"15,5","18,9","32,3"
11/01/2009 10.00,,"15,6","19,7","32,3"
11/01/2009 11.00,,"13,5","17,2","32,3"
11/01/2009 12.00,,"8,8","12,1","32,3"
11/01/2009 13.00,,"9,5","12,8","32,3"
