GROTTAGLIE,,,,,
,,,,,,
,SO2,NO2,CO,O3,PM10
09/07/2011 17.00,"1,088793","2,404957","0,265819","120,620933","21,700001"
09/07/2011 18.00,"0,612108","4,193425","0,247624","117,700229","21,700001"
09/07/2011 19.00,"0,247371","8,918977","0,198076","104,291657","21,700001"
09/07/2011 20.00,"0,108338","17,043651","0,154144","88,130745","21,700001"
09/07/2011 21.00,"2,57663","14,643889","0,164146","89,920296","21,700001"
09/07/2011 22.00,"4,138498","15,913203","0,165378","78,498103","21,700001"
09/07/2011 23.00,"3,022621","13,980674","0,134141","80,453126","21,700001"
10/07/2011 0.00,"1,222409","10,166232","0,115445","76,727303","21,700001"
10/07/2011 1.00,"2,703024","10,246694","0,166262","86,102701","18,6"
10/07/2011 2.00,"0,940732","32,400064","0,165031","38,999798","18,6"
10/07/2011 3.00,"0,845033","29,854941","0,193691","36,52889","18,6"
10/07/2011 4.00,"1,15199","33,124292","0,256663","35,587528","18,6"
10/07/2011 5.00,"1,614231","25,736801","0,288324","48,918877","18,6"
10/07/2011 6.00,"2,650661","36,673957","0,328639","37,169223","18,6"
10/07/2011 7.00,"4,506845","21,562828","0,285669","77,006122","18,6"
10/07/2011 8.00,"4,461705","21,876931","0,266282","88,408126","18,6"
10/07/2011 9.00,"11,467539","20,993071","0,373032","105,296303","18,6"
10/07/2011 10.00,"10,59181","8,743765","0,240739","137,557786","18,6"
10/07/2011 11.00,"7,103338","4,299851","0,202231","154,28754","18,6"
10/07/2011 12.00,"5,994683","4,399787","0,193998","141,66739","18,6"
10/07/2011 13.00,"3,61306","3,671681","0,202231","140,39018","18,6"
10/07/2011 14.00,"3,936268","2,537341","0,261165","136,202068","18,6"
10/07/2011 15.00,"1,377693","1,007148","0,243931","129,888561","18,6"
10/07/2011 16.00,"2,462876","1,06685","0,268358","136,797865","18,6"
10/07/2011 17.00,"1,448113","1,940319","0,279745","132,507486","18,6"
10/07/2011 18.00,"0,523632","2,225851","0,244624","128,185173","18,6"
10/07/2011 19.00,"0,075837","3,130468","0,185612","112,317624","18,6"
10/07/2011 20.00,"0,016251","10,607498","0,184382","101,339697","18,6"
10/07/2011 21.00,"0,684333","21,564128","0,163416","77,466349","18,6"
10/07/2011 22.00,"1,211576","11,556248","0,151991","78,696245","18,6"
10/07/2011 23.00,"0,651832","38,648019","0,208231","41,278127","18,6"
11/07/2011 0.00,"0,650026","45,487797","0,3236","41,169657","18,6"
11/07/2011 1.00,,"53,127081","0,361223","23,819342","28,29999"
11/07/2011 2.00,"0,725862",,"0,257818","36,824369","28,29999"
11/07/2011 3.00,"0,633775","28,71151",,"33,765994","28,29999"
11/07/2011 4.00,"0,619331","19,333092","0,184904",,"28,29999"
11/07/2011 5.00,"0,628359","27,234528","0,208055","62,175471","28,29999"
11/07/2011 6.00,"0,597662","19,06444","0,205123","81,386562","28,29999"
11/07/2011 7.00,"1,397555","81,093635","0,299659","20,47285","28,29999"
11/07/2011 8.00,"1,388527","54,419762","0,221522","68,430797","28,29999"
11/07/2011 9.00,"0,837811","14,515398","0,145237","119,559415","28,29999"
11/07/2011 10.00,"0,646414","8,414104","0,105725","142,796746","28,29999"
11/07/2011 11.00,"1,724374","3,147339","0,125983","154,569274","28,29999"
11/07/2011 12.00,"2,697608","4,902064","0,128722","156,944196","28,29999"
11/07/2011 13.00,"7,200842","10,327165","0,243632","168,972187","28,29999"
11/07/2011 14.00,"7,143062","5,229127","0,215155","153,197148","28,29999"
11/07/2011 15.00,"2,406901","2,568489","0,207051","127,797306","28,29999"
11/07/2011 16.00,"0,922675","2,236235","0,232712","120,228796","28,29999"
11/07/2011 17.00,"0,267233","2,992894","0,246719","118,212205","28,29999"
11/07/2011 18.00,"0,009028","3,64053","0,24969","119,378205","28,29999"
11/07/2011 19.00,,"4,465979","0,195322","118,818512","28,29999"
11/07/2011 20.00,,"8,968297","0,133623","109,973713","28,29999"
11/07/2011 21.00,"0,252788","12,954061","0,125172","83,908706","28,29999"
11/07/2011 22.00,"0,453213","12,445286","0,12417","76,381885","28,29999"
11/07/2011 23.00,"0,393627","2,877382","0,143502","113,483304","28,29999"
12/07/2011 0.00,"0,077642","3,401723","0,16152","120,089306","28,29999"
12/07/2011 1.00,"0,234732","2,852723","0,133199","118,74282","19,6"
12/07/2011 2.00,"0,104727","1,209617","0,11514","109,89242","19,6"
12/07/2011 3.00,,"4,224574","0,140954","87,659262","19,6"
12/07/2011 4.00,"0,007223","4,101276","0,144619","99,340763","19,6"
12/07/2011 5.00,"0,007223","3,796276","0,167693","103,18571","19,6"
12/07/2011 6.00,"0,041529","5,544509","0,169624","101,393464","19,6"
12/07/2011 7.00,"0,117366","15,198083","0,136671","90,630674","19,6"
12/07/2011 8.00,"0,290706","6,408892","0,080065","114,340812","19,6"
12/07/2011 9.00,"0,101115","3,060382","0,065076","117,972709","19,6"
12/07/2011 10.00,"0,269038","2,324489","0,076554","118,473392","19,6"
12/07/2011 11.00,"0,594051","1,10449","0,107462","120,00659","19,6"
12/07/2011 12.00,"0,832394","2,425724","0,147282","114,577676","19,6"
12/07/2011 13.00,"0,794476","2,019489","0,169894","115,498471","19,6"
12/07/2011 14.00,"0,901008","2,273873","0,169778","122,98842","19,6"
12/07/2011 15.00,"1,408389","2,517873","0,198718","126,799387","19,6"
12/07/2011 16.00,"1,016568","2,598341","0,188839","123,001647","19,6"
12/07/2011 17.00,"0,373765","2,419234","0,226615","114,17904","19,6"
12/07/2011 18.00,"0,065003","3,558765","0,206435","115,974139","19,6"
12/07/2011 19.00,,"4,963064","0,147746","111,504879","19,6"
12/07/2011 20.00,,"7,453679","0,063155","96,536717","19,6"
12/07/2011 21.00,"0,173341","4,459487","0,053026","88,407152","19,6"
12/07/2011 22.00,"0,149867","3,586021","0,086899","89,455717","19,6"
12/07/2011 23.00,"0,35932","6,565934","0,119848","96,181863","19,6"
13/07/2011 0.00,"0,406266","2,808596","0,068656","102,350386","19,6"
13/07/2011 1.00,,"7,868998","0,080452","84,537151","28,1"
13/07/2011 2.00,"0,375571",,"0,06824","95,257597","28,1"
13/07/2011 3.00,"0,270844","2,764469",,"97,750548","28,1"
13/07/2011 4.00,"0,315985","2,027276","0,105585",,"28,1"
13/07/2011 5.00,"0,070419","3,621064","0,079765","96,155851","28,1"
13/07/2011 6.00,"0,368348","71,787894","0,200257","31,341271","28,1"
13/07/2011 7.00,"0,382793","69,398507","0,175422","36,846252","28,1"
13/07/2011 8.00,"0,648221","31,420162","0,109016","78,264869","28,1"
13/07/2011 9.00,"0,772808","14,001436","0,107089","106,622539","28,1"
13/07/2011 10.00,"0,604885","3,663893","0,08665","121,268731","28,1"
13/07/2011 11.00,"1,542006","3,916979","0,112411","123,603075","28,1"
13/07/2011 12.00,"2,571214","3,733977","0,157682","124,821883","28,1"
13/07/2011 13.00,"1,906743","4,456893","0,197982","129,683859","28,1"
13/07/2011 14.00,"2,071054","3,889723","0,213291","125,332544","28,1"
13/07/2011 15.00,"1,774931","4,016915","0,246532","127,319705","28,1"
13/07/2011 16.00,"2,110778","5,319977","0,241866","142,096947","28,1"
13/07/2011 17.00,"1,61062","5,926085","0,226132","139,141053","28,1"
13/07/2011 18.00,"0,547105","6,212914","0,192699","135,18816","28,1"
13/07/2011 19.00,,,,,"28,1"
13/07/2011 20.00,,"18,332442","0,004746","124,478186","28,1"
13/07/2011 21.00,,,,,"28,1"
13/07/2011 22.00,,,,,"28,1"
13/07/2011 23.00,,,,,"28,1"
14/07/2011 0.00,,,,,"28,1"
14/07/2011 1.00,,"21,786073","0,027379",,"33,299992"
14/07/2011 2.00,,"41,456612","0,13389",,"33,299992"
14/07/2011 3.00,,"25,87695","0,18514",,"33,299992"
14/07/2011 4.00,,"46,04199","0,194665",,"33,299992"
14/07/2011 5.00,,"72,626305","0,235618",,"33,299992"
14/07/2011 6.00,,"68,626264","0,190153",,"33,299992"
14/07/2011 7.00,"0,696972","38,690848","0,032841",,"33,299992"
14/07/2011 8.00,"0,050557","17,827563",,,"33,299992"
14/07/2011 9.00,"0,752946","16,103996",,,"33,299992"
14/07/2011 10.00,"1,220604","19,198104",,,"33,299992"
14/07/2011 11.00,"1,785766","19,359038",,,"33,299992"
14/07/2011 12.00,"3,407219","42,633794","0,000786",,"33,299992"
14/07/2011 13.00,"2,269673","35,278749","0,007584",,"33,299992"
14/07/2011 14.00,"2,508017","53,494373","0,033925",,"33,299992"
14/07/2011 15.00,"2,946784","64,82869","0,070839",,"33,299992"
14/07/2011 16.00,"2,609132","71,876148","0,058381",,"33,299992"
14/07/2011 17.00,"2,964841","74,897585","0,07994",,"33,299992"
14/07/2011 18.00,"2,529684","62,781953","0,069914",,"33,299992"
14/07/2011 19.00,"1,384916","41,130846","0,025788",,"33,299992"
14/07/2011 20.00,"0,870312","18,669883","0,00131",,"33,299992"
14/07/2011 21.00,"2,370789","18,619267","0,0007",,"33,299992"
14/07/2011 22.00,"1,170046","16,100099",,,"33,299992"
14/07/2011 23.00,"2,213699","14,559524",,,"33,299992"
15/07/2011 0.00,"2,423152","4,802128",,,"33,299992"
15/07/2011 1.00,,"10,51406",,,"31,700001"
15/07/2011 2.00,"3,015398",,,,"31,700001"
15/07/2011 3.00,"3,100262","8,363487",,,"31,700001"
15/07/2011 4.00,"4,11683","7,004616","0,135406",,"31,700001"
15/07/2011 5.00,"4,077107","25,497991","0,263931",,"31,700001"
15/07/2011 6.00,"4,033772","52,68711","0,308721",,"31,700001"
15/07/2011 7.00,"3,037065","34,635","0,20903",,"31,700001"
15/07/2011 8.00,"2,845669","18,950229","0,184732",,"31,700001"
15/07/2011 9.00,"2,598297","21,980753",,,"31,700001"
15/07/2011 10.00,"2,508017","24,411669",,,"31,700001"
15/07/2011 11.00,"3,325966","15,783419","0,251418",,"31,700001"
15/07/2011 12.00,"2,90706","15,994973","0,256361",,"31,700001"
15/07/2011 13.00,"3,112902","31,762813","0,240123",,"31,700001"
15/07/2011 14.00,"3,293464","64,779377","0,258679",,"31,700001"
15/07/2011 15.00,"3,840569","61,160921","0,264612",,"31,700001"
15/07/2011 16.00,"3,896544","86,029443","0,298377",,"31,700001"
15/07/2011 17.00,"3,779178","117,284753","0,279669",,"31,700001"
15/07/2011 18.00,"2,657884","103,542925","0,295183",,"31,700001"
15/07/2011 19.00,"2,137863","54,414583","0,32412",,"31,700001"
15/07/2011 20.00,"0,624747","23,449934","0,309671",,"31,700001"
15/07/2011 21.00,"2,468292","23,020346","0,264003",,"31,700001"
15/07/2011 22.00,"2,7915","14,872308","0,164456",,"31,700001"
15/07/2011 23.00,"2,632605","15,4927","0,135975",,"31,700001"
16/07/2011 0.00,"2,742748","16,93593","0,153656",,"31,700001"
16/07/2011 1.00,"4,532125","18,040419","0,137115",,16
16/07/2011 2.00,"3,019009","11,917052","0,152098",,16
16/07/2011 3.00,"3,542641","8,154531","0,201188",,16
16/07/2011 4.00,"3,685285","4,502318","0,255676",,16
16/07/2011 5.00,"3,892932","15,970308","0,240428",,16
16/07/2011 6.00,"4,198083","15,72242","0,27427",,16
16/07/2011 7.00,"3,934462","29,438318","0,30066",,16
16/07/2011 8.00,"2,916088","23,517426","0,327581",,16
16/07/2011 9.00,"3,658201","10,233716","0,166662",,16
16/07/2011 10.00,"3,508333","14,05206","0,151413",,16
16/07/2011 11.00,"2,587465","10,224632","0,24001",,16
16/07/2011 12.00,"3,354856","18,636143","0,274384",,16
16/07/2011 13.00,"3,136375","56,235474","0,272102",,16
16/07/2011 14.00,"3,889321","157,821159","0,309747",,16
16/07/2011 15.00,"4,185444","69,168799","0,318644",,16
16/07/2011 16.00,"3,900155","86,490194","0,18822",,16
16/07/2011 17.00,"3,600421","78,835352","0,088331",,16
16/07/2011 18.00,"3,734037","70,304428","0,094795",,16
16/07/2011 19.00,"2,215505","29,525275","0,111678",,16
16/07/2011 20.00,"2,623576","20,189686","0,152631",,16
16/07/2011 21.00,"3,614866","26,389615","0,186092",,16
16/07/2011 22.00,"2,995536","20,434977","0,168068",,16
16/07/2011 23.00,"3,528196","16,481676","0,099244",,16
17/07/2011 0.00,"3,183321","15,806785","0,049823",,16
17/07/2011 1.00,,"13,388846","0,039442",,"21,200001"
17/07/2011 2.00,"3,945296",,"0,044663",,"21,200001"
17/07/2011 3.00,"3,750288","6,916361",,,"21,200001"
17/07/2011 4.00,"3,910989","6,125958","0,110751",,"21,200001"
17/07/2011 5.00,"5,839399","7,980617","0,106854",,"21,200001"
17/07/2011 6.00,"7,363348","11,029316","0,15868",,"21,200001"
17/07/2011 7.00,"7,316402","25,385068","0,161728",,"21,200001"
17/07/2011 8.00,"4,927557","16,396019","0,165239",,"21,200001"
17/07/2011 9.00,"3,430692","10,015681","0,191211",,"21,200001"
17/07/2011 10.00,"3,74126","10,319372","0,191558",,"21,200001"
17/07/2011 11.00,"3,022621","9,369339","0,16852",,"21,200001"
17/07/2011 12.00,"3,766539","7,480935","0,186117",,"21,200001"
17/07/2011 13.00,"2,782471","5,121403","0,142704",,"21,200001"
17/07/2011 14.00,"4,093357","6,808637","0,174617",,"21,200001"
17/07/2011 15.00,"3,45236","7,649657","0,114997",,"21,200001"
17/07/2011 16.00,"4,03016","11,526394","0,113221",,"21,200001"
17/07/2011 17.00,"2,856503","8,75934","0,093463",,"21,200001"
17/07/2011 18.00,"3,811679","10,687969","0,121787",,"21,200001"
17/07/2011 19.00,"2,861919","8,869659","0,155245",,"21,200001"
17/07/2011 20.00,"3,12193","10,502375","0,194221",,"21,200001"
17/07/2011 21.00,"3,315132","14,533564","0,236514",,"21,200001"
17/07/2011 22.00,"3,464999","12,850226","0,197733",,"21,200001"
17/07/2011 23.00,"3,374717","12,99429","0,184766",,"21,200001"
18/07/2011 0.00,"4,988948","11,493956","0,160764",,"21,200001"
18/07/2011 1.00,"3,876682","12,14419","0,141855",,"19,6"
18/07/2011 2.00,"4,804775","9,582188","0,102031",,"19,6"
18/07/2011 3.00,"3,307909","3,550978","0,099869",,"19,6"
18/07/2011 4.00,"4,089746","8,214233","0,117042",,"19,6"
18/07/2011 5.00,"6,536372","32,976321","0,194606",,"19,6"
18/07/2011 6.00,"5,980237","55,464555","0,384582",,"19,6"
18/07/2011 7.00,"4,15836","59,554151","0,372156",,"19,6"
18/07/2011 8.00,"3,161654","14,819099","0,181602",,"19,6"
18/07/2011 9.00,"2,753581","11,368058","0,180637",,"19,6"
18/07/2011 10.00,"2,491766","6,961787","0,141314",,"19,6"
18/07/2011 11.00,"3,242907","12,964438","0,119782",,"19,6"
18/07/2011 12.00,"3,802651","9,229168","0,160417",,"19,6"
18/07/2011 13.00,"3,74126","8,232405","0,165279",,"19,6"
18/07/2011 14.00,"3,809874","15,753564","0,139116",,"19,6"
18/07/2011 15.00,"3,986825","31,196935","0,13379",,"19,6"
18/07/2011 16.00,"3,910989","50,209462","0,121209",,"19,6"
18/07/2011 17.00,"4,134887","74,435551","0,087482",,"19,6"
18/07/2011 18.00,"3,79904","83,70365","0,079301",,"19,6"
18/07/2011 19.00,"3,558892","86,395441","0,044181",,"19,6"
18/07/2011 20.00,"3,037065","30,205354","0,096181",,"19,6"
18/07/2011 21.00,"2,804139","18,24938","0,121557",,"19,6"
18/07/2011 22.00,"2,710247","10,516655","0,113685",,"19,6"
18/07/2011 23.00,"2,594686","5,95853","0,088331",,"19,6"
19/07/2011 0.00,"2,591075","4,497127","0,101605",,"19,6"
19/07/2011 1.00,,"9,775574","0,102494",,"21,200001"
19/07/2011 2.00,"4,064467",,"0,126959",,"21,200001"
19/07/2011 3.00,"3,239295","4,904658",,,"21,200001"
19/07/2011 4.00,"4,772273","9,042276","0,007092",,"21,200001"
19/07/2011 5.00,"4,022938","8,71651","0,150721",,"21,200001"
19/07/2011 6.00,"6,614014","19,721152","0,097208",,"21,200001"
19/07/2011 7.00,"2,54774","8,264849","0,000185",,"21,200001"
19/07/2011 8.00,"2,93595","23,97298","0,011959",,"21,200001"
19/07/2011 9.00,"3,038871","21,96777","0,08098",,"21,200001"
19/07/2011 10.00,"3,98502","31,272213","0,228866","52,730921","21,200001"
19/07/2011 11.00,"4,795746","6,934531","0,211301","95,324614","21,200001"
19/07/2011 12.00,"3,977797","3,440659","0,235261","92,974722","21,200001"
19/07/2011 13.00,"3,060538","2,398468","0,199644","89,973645","21,200001"
19/07/2011 14.00,"3,405413","2,325787","0,184586","95,166867","21,200001"
19/07/2011 15.00,"3,64195","1,387426","0,190815","92,003219","21,200001"
19/07/2011 16.00,"3,089428","2,207681","0,153363","94,348202","21,200001"
19/07/2011 17.00,"2,46107","2,517873","0,131618","92,423362","21,200001"
19/07/2011 18.00,"2,697608","3,753447","0,145185","97,070794","21,200001"
19/07/2011 19.00,"2,982896","4,412764","0,117134","84,539662","21,200001"
19/07/2011 20.00,"2,513433","5,20836","0,063068","68,982332","21,200001"
19/07/2011 21.00,"2,513433","5,245998","0,003421","55,920091","21,200001"
19/07/2011 22.00,"2,264257","4,847553",,"47,266578","21,200001"
19/07/2011 23.00,"1,987996","4,214191",,"45,82118","21,200001"
20/07/2011 0.00,"1,99883","2,857914",,"47,37684","21,200001"
20/07/2011 1.00,"2,072861","2,950063","0,005007","48,486539","18,5"
20/07/2011 2.00,"2,03133","3,029233","0,021628","44,024044","18,5"
20/07/2011 3.00,"2,318425","2,411447","0,103076","49,334515","18,5"
20/07/2011 4.00,"2,430375","2,526956","0,231822","57,791199","18,5"
20/07/2011 5.00,"2,372595","10,188286","0,271186","48,76919","18,5"
20/07/2011 6.00,"2,428569","28,013265","0,317313","34,387175","18,5"
20/07/2011 7.00,"2,408706","14,932016","0,236409","59,356638","18,5"
20/07/2011 8.00,"2,526072","7,519871","0,194981","71,250566","18,5"
20/07/2011 9.00,"2,598297","2,536042","0,18558","83,995966","18,5"
20/07/2011 10.00,"2,583853","1,928638","0,211911","90,10904","18,5"
20/07/2011 11.00,"2,513433","2,061021","0,236485","87,747984","18,5"
20/07/2011 12.00,"2,397873","2,271276","0,249555","86,246764","18,5"
20/07/2011 13.00,"2,177586","2,057128","0,313415","87,550496","18,5"
20/07/2011 14.00,"1,906743","1,654788","0,392676","91,602596","18,5"
20/07/2011 15.00,"2,033136","1,107084","0,397912","89,302962","18,5"
20/07/2011 16.00,"1,881464","1,674256","0,391108","86,003888","18,5"
20/07/2011 17.00,"1,114072","0,366001","0,455199","87,699125","18,5"
20/07/2011 18.00,"1,316302","0,347831","0,468575","90,470576","18,5"
20/07/2011 19.00,"1,352415","1,240766","0,465593","87,835921","18,5"
20/07/2011 20.00,"1,10685","2,109043","0,44102","82,85766","18,5"
20/07/2011 21.00,"0,761975","3,088935","0,440026","75,255231","18,5"
20/07/2011 22.00,"0,850451","5,194084","0,420651","66,207404","18,5"
20/07/2011 23.00,"1,005735","6,589297","0,388205","58,75712","18,5"
21/07/2011 0.00,"0,743918","3,274531","0,347466","62,74712","18,5"
21/07/2011 1.00,,"3,087637","0,309057","57,43176","15,1"
21/07/2011 2.00,"2,170364",,"0,277567","59,04326","15,1"
21/07/2011 3.00,"1,166435","4,573701",,"51,518301","15,1"
21/07/2011 4.00,"0,666276","6,009148","0,132257",,"15,1"
21/07/2011 5.00,"0,866702","6,203828","0,114865","61,019448","15,1"
21/07/2011 6.00,"0,94976","4,76449","0,123368","58,727093","15,1"
21/07/2011 7.00,"0,769197","5,162935","0,125184","57,377099","15,1"
21/07/2011 8.00,"1,236855","4,463382","0,136934","71,871111","15,1"
21/07/2011 9.00,"1,477003","5,783318","0,150461","75,357095","15,1"
21/07/2011 10.00,"5,169511","12,149378","0,232357","76,971647","15,1"
21/07/2011 11.00,"9,672745","15,233123","0,255044","84,53276","15,1"
21/07/2011 12.00,"10,537635","12,98001","0,417679","93,616295","15,1"
21/07/2011 13.00,"8,668818","9,840467","0,354103","99,645221","15,1"
21/07/2011 14.00,"2,879976","3,929957","0,209246","102,6083","15,1"
21/07/2011 15.00,"0,971427","2,414041","0,192317","96,183659","15,1"
21/07/2011 16.00,"0,897397","2,015596","0,170172","97,033884","15,1"
21/07/2011 17.00,"1,469781","2,154468","0,132489","93,206562","15,1"
21/07/2011 18.00,"0,74753","3,056489","0,133803","93,191897","15,1"
21/07/2011 19.00,"0,680722","5,949446","0,06779","83,945015","15,1"
21/07/2011 20.00,"0,738502","9,579594","0,037528","76,048142","15,1"
21/07/2011 21.00,"0,637386","8,536104","0,029373","71,353153","15,1"
21/07/2011 22.00,"0,592246","8,420595","0,016387","65,846355","15,1"
21/07/2011 23.00,"0,888369","14,355762","0,058476","56,574351","15,1"
22/07/2011 0.00,"0,691555","15,133185","0,11216","54,954908","15,1"
22/07/2011 1.00,"0,650026","8,020849","0,09241","62,06369","14,1"
22/07/2011 2.00,"0,476685","3,083744","0,095502","68,871648","14,1"
22/07/2011 3.00,"0,395432","2,44649","0,093491","67,752695","14,1"
22/07/2011 4.00,"0,44599","4,295956","0,069877","61,392194","14,1"
22/07/2011 5.00,"0,648221","7,789829","0,089589","61,346829","14,1"
22/07/2011 6.00,"0,662665","6,815127","0,076989","55,898642","14,1"
22/07/2011 7.00,"0,624747","6,921553","0,059288","52,009889","14,1"
22/07/2011 8.00,"1,197131","9,946893","0,078109","58,295017","14,1"
22/07/2011 9.00,"7,847257","16,980055","0,112854","61,510161","14,1"
22/07/2011 10.00,"18,79838","16,896992","0,156259","70,684449","14,1"
22/07/2011 11.00,"12,299933","16,525801","0,154326","81,885114","14,1"
22/07/2011 12.00,"7,15209","10,17661","0,157842","93,832694","14,1"
22/07/2011 13.00,"2,957618","4,772275","0,071308","95,26574","14,1"
22/07/2011 14.00,"2,03133","2,807298","0,074399","97,362643","14,1"
22/07/2011 15.00,"2,347315","4,957871","0,061452","96,584335","14,1"
22/07/2011 16.00,"0,709612","6,011743","0,025083","96,477539","14,1"
22/07/2011 17.00,"0,550717","4,09868","0,002435","88,591146","14,1"
22/07/2011 18.00,"0,752946","3,874148","0,006454","87,139927","14,1"
22/07/2011 19.00,"0,698778","5,944255","0,016697","83,46338","14,1"
22/07/2011 20.00,"0,54891","10,151955","0,02091","75,757771","14,1"
22/07/2011 21.00,"0,281677","12,32589","0,001545","68,687348","14,1"
22/07/2011 22.00,"0,27265","8,896912",,"65,469416","14,1"
22/07/2011 23.00,"0,245566","7,724935",,"61,386608","14,1"
23/07/2011 0.00,"0,350291","6,568531",,"59,793703","14,1"
23/07/2011 1.00,,"4,040276",,"60,333967","16,79999"
23/07/2011 2.00,"0,232926",,,"52,479671","16,79999"
23/07/2011 3.00,"0,382793","3,196659",,"43,887565","16,79999"
23/07/2011 4.00,"0,238343","5,780723","0,056036",,"16,79999"
23/07/2011 5.00,"0,516409","9,369339","0,026619","35,602969","16,79999"
23/07/2011 6.00,"0,40085","10,048126","0,012493","37,133812","16,79999"
23/07/2011 7.00,"0,350291","11,527696","0,008333","43,100939","16,79999"
23/07/2011 8.00,"0,326819","11,528996","0,015508","39,894136","16,79999"
23/07/2011 9.00,"0,386404","10,75676","0,02129","47,868071","16,79999"
23/07/2011 10.00,"0,122782","4,606149","0,031879","65,411942","16,79999"
23/07/2011 11.00,"1,563673","14,083208","0,302074","72,651976","16,79999"
23/07/2011 12.00,"6,725962","10,163637","0,3489","92,537737","16,79999"
23/07/2011 13.00,"3,407219","5,149956","0,297157","102,352296","16,79999"
23/07/2011 14.00,"1,588953","1,656084","0,300825","107,51749","16,79999"
23/07/2011 15.00,"0,810727","2,902043","0,321429","106,327273","16,79999"
23/07/2011 16.00,"0,671693","4,626914","0,27624","98,769814","16,79999"
23/07/2011 17.00,"0,5778","4,279084","0,11461","74,922348","16,79999"
23/07/2011 18.00,"0,267233","4,140212","0,068485","69,225086","16,79999"
23/07/2011 19.00,"0,458629","3,849489","0,06288","69,858714","16,79999"
23/07/2011 20.00,"0,23112","10,462145","0,067095","56,405535","16,79999"
23/07/2011 21.00,"0,21487","7,998785","0,041879","49,103812","16,79999"
23/07/2011 22.00,"0,4171","10,867076","0,054699","41,495082","16,79999"
23/07/2011 23.00,"0,26001","15,848317","0,151993","42,90048","16,79999"
24/07/2011 0.00,"0,662665","17,042358","0,188947","50,941686","16,79999"
24/07/2011 1.00,"0,518215","16,999525","0,21638","27,291878","13,8"
24/07/2011 2.00,"2,045776","7,431615","0,2986","67,987907","13,8"
24/07/2011 3.00,"1,159213","4,311531","0,293645","75,760662","13,8"
24/07/2011 4.00,"0,599469","8,471212","0,295323","56,826815","13,8"
24/07/2011 5.00,"1,079765","6,555552","0,337115","72,302913","13,8"
24/07/2011 6.00,"0,650026","6,844977","0,391123","70,347989","13,8"
24/07/2011 7.00,"0,635581","8,537401","0,394673","67,065475","13,8"
24/07/2011 8.00,"0,650026","6,73985","0,330482","73,535184","13,8"
24/07/2011 9.00,"1,090599","4,330999","0,344568","91,197514","13,8"
24/07/2011 10.00,"0,570579","1,819618","0,314833","94,818581","13,8"
24/07/2011 11.00,"0,44599","1,512021","0,333603","96,558323","13,8"
24/07/2011 12.00,"0,171534","0,648937","0,343983","99,023565","13,8"
24/07/2011 13.00,"0,21487","0,29332","0,366031","99,707664","13,8"
24/07/2011 14.00,"0,225704","0,206362","0,393776","100,372882","13,8"
24/07/2011 15.00,"0,164312","0,107724","0,401269","100,772401","13,8"
24/07/2011 16.00,"0,422517","0,700851","0,395845","97,445017","13,8"
24/07/2011 17.00,"0,429739","1,403001","0,389132","97,67564","13,8"
24/07/2011 18.00,"1,415612","5,025361","0,38765","92,223705","13,8"
24/07/2011 19.00,"0,864895","3,605489","0,294581","101,763516","13,8"
24/07/2011 20.00,"0,326819","1,913063","0,273391","88,500994","13,8"
24/07/2011 21.00,"0,193203","2,499703","0,328569","81,851857","13,8"
24/07/2011 22.00,"0,120977","1,926042","0,343398","81,032454","13,8"
24/07/2011 23.00,"0,11556","2,44649","0,376997","72,984242","13,8"
25/07/2011 0.00,"0,113755","2,724233","0,422849","76,423042","13,8"
25/07/2011 1.00,,"1,191447","0,416449","80,958854","13,4"
25/07/2011 2.00,"0,397238",,"0,370011","78,257426","13,4"
25/07/2011 3.00,"0,083058","2,168743",,"76,9025","13,4"
25/07/2011 4.00,"0,05778","0,674894","0,113635",,"13,4"
25/07/2011 5.00,"0,059586","3,81834","0,101735","72,538559","13,4"
25/07/2011 6.00,"0,063197","14,153291","0,065647","64,484069","13,4"
25/07/2011 7.00,"0,048752","3,566553","0,019126","84,832051","13,4"
25/07/2011 8.00,"0,025279","2,634681","0,019349","92,532067","13,4"
25/07/2011 9.00,"0,191396","2,629489","0,0373","97,551211","13,4"
25/07/2011 10.00,"8,378111","13,46542","0,251112","89,892367","13,4"
25/07/2011 11.00,"8,717569","12,856718","0,273724","91,434461","13,4"
25/07/2011 12.00,"3,620283","6,512723","0,169033","97,011122","13,4"
25/07/2011 13.00,"1,419223","3,758636","0,147035","99,444986","13,4"
25/07/2011 14.00,"0,250982","2,214169","0,130528","101,528586","13,4"
25/07/2011 15.00,"0,258205","3,325148","0,127227","100,030441","13,4"
25/07/2011 16.00,"0,126394","3,453638","0,05843","95,701408","13,4"
25/07/2011 17.00,"0,411683","10,767146","0,026828","101,960479","13,4"
25/07/2011 18.00,"0,034306","6,859254","0,000146","91,342353","13,4"
25/07/2011 19.00,"0,007223","5,58085",,"84,73228","13,4"
25/07/2011 20.00,,"6,041595","0,000023","90,089832","13,4"
25/07/2011 21.00,,"7,630189",,"89,486965","13,4"
25/07/2011 22.00,,"3,881936",,"89,921674","13,4"
25/07/2011 23.00,,"3,423786","0,000262","83,240421","13,4"
26/07/2011 0.00,,"3,541892","0,000008","68,200433","13,4"
26/07/2011 1.00,,"3,426382",,"79,080246","13,1"
26/07/2011 2.00,,"4,491936",,"78,841602","13,1"
26/07/2011 3.00,,"3,905296",,"77,321829","13,1"
