GROTTAGLIE,,,,,
,,,,,,
,SO2,NO2,CO,O3,PM10
14/01/2011 4.00,"0,339458","17,592656","0,2822",,"25,79999"
14/01/2011 5.00,"0,269038","11,84697","0,245001","55,471992","25,79999"
14/01/2011 6.00,"0,162506","39,295671","0,329903","16,255269","25,79999"
14/01/2011 7.00,"0,47488","47,136093","0,423582","15,162325","25,79999"
14/01/2011 8.00,"0,877535","57,372427","0,451321","13,778531","25,79999"
14/01/2011 9.00,"0,778226","60,155054","0,547405","10,163948","25,79999"
14/01/2011 10.00,"0,413489","43,355403","0,395321","28,876587","25,79999"
14/01/2011 11.00,"0,628359","33,913372","0,312304","41,67134","25,79999"
14/01/2011 12.00,"1,310885","20,798391","0,306172","65,093595","25,79999"
14/01/2011 13.00,"0,650026","7,146085","0,267008","85,827032","25,79999"
14/01/2011 14.00,"0,581412","7,562702","0,294427","89,344895","25,79999"
14/01/2011 15.00,"0,433351","9,721063","0,309299","89,365626","25,79999"
14/01/2011 16.00,"0,460435","15,194186","0,32393","75,234066","25,79999"
14/01/2011 17.00,"0,148061","15,809379","0,259914","65,533677","25,79999"
14/01/2011 18.00,"0,18598","42,993307","0,532414","39,775613","25,79999"
14/01/2011 19.00,"0,099309","28,451936","0,374757","46,465904","25,79999"
14/01/2011 20.00,"0,061391","35,158045","0,434686","38,864376","25,79999"
14/01/2011 21.00,"0,812532","72,419944","0,865122","15,978229","25,79999"
14/01/2011 22.00,"0,40085","54,06415","0,63872","22,162815","25,79999"
14/01/2011 23.00,"0,043335","19,561518","0,411997","60,42821","25,79999"
15/01/2011 0.00,"0,213064","22,214361","0,430757","58,518677","25,79999"
15/01/2011 1.00,"0,223898","15,030652","0,358042","55,091308","30,79999"
15/01/2011 2.00,"0,254594","29,248838","0,443424","33,506044","30,79999"
15/01/2011 3.00,"0,193203","31,098295","0,513334","23,675104","30,79999"
15/01/2011 4.00,"0,084865","22,55051","0,415926","31,986176","30,79999"
15/01/2011 5.00,"0,491131","19,286363","0,369145","42,342856","30,79999"
15/01/2011 6.00,"0,527243","44,701295","0,383256","21,655665","30,79999"
15/01/2011 7.00,"0,566967","60,51847","0,509164","4,320368","30,79999"
15/01/2011 8.00,"0,678916","70,813193","0,625251","5,350028","30,79999"
15/01/2011 9.00,"0,850451","66,627535","0,85446","12,254493","30,79999"
15/01/2011 10.00,"0,866702","50,672798","0,555423","32,43453","30,79999"
15/01/2011 11.00,"0,337652","18,324652","0,255103","58,535953","30,79999"
15/01/2011 12.00,"3,92724","21,940525","0,303647","55,195646","30,79999"
15/01/2011 13.00,"3,900155","13,491379","0,249812","78,800286","30,79999"
15/01/2011 14.00,"0,67711","8,750252","0,213776","76,4562","30,79999"
15/01/2011 15.00,"0,447795","7,255107","0,227685","73,304477","30,79999"
15/01/2011 16.00,"0,568773","7,913125","0,207161","74,597798","30,79999"
15/01/2011 17.00,"0,048752","7,094168","0,212252","70,321353","30,79999"
15/01/2011 18.00,"0,052363","7,846934","0,203754","63,197191","30,79999"
15/01/2011 19.00,"0,108338","8,748956","0,177418","58,094501","30,79999"
15/01/2011 20.00,"0,003611","5,993573","0,12242","59,253754","30,79999"
15/01/2011 21.00,,"6,493255","0,140058","59,005038","30,79999"
15/01/2011 22.00,"0,046947","7,356339","0,13645","55,86371","30,79999"
15/01/2011 23.00,"0,010834","11,604268","0,1599","48,614499","30,79999"
16/01/2011 0.00,"0,050557","12,177931","0,175012","44,282099","30,79999"
16/01/2011 1.00,,"13,976779","0,168639","37,799765","21,200001"
16/01/2011 2.00,,,"0,162506","37,334808","21,200001"
16/01/2011 3.00,"0,032501","19,073522",,"37,456406","21,200001"
16/01/2011 4.00,,"16,222101","0,296062",,"21,200001"
16/01/2011 5.00,,"14,379116","0,268904","35,137956","21,200001"
16/01/2011 6.00,"0,005417","14,826891","0,28311","31,468152","21,200001"
16/01/2011 7.00,,"14,263615","0,29072","31,57726","21,200001"
16/01/2011 8.00,,"12,968332","0,297195","33,795438","21,200001"
16/01/2011 9.00,"0,065003","11,86125","0,282543","38,30017","21,200001"
16/01/2011 10.00,"0,093892","10,577656","0,271373","45,188127","21,200001"
16/01/2011 11.00,"0,261815","8,982574","0,27882","54,294941","21,200001"
16/01/2011 12.00,"0,642803","8,698337","0,2617","59,57521","21,200001"
16/01/2011 13.00,"0,722251","9,216189","0,263642","56,816983","21,200001"
16/01/2011 14.00,"0,650026","8,743765","0,265949","62,108979","21,200001"
16/01/2011 15.00,"0,35932","7,839149","0,264573","64,144854","21,200001"
16/01/2011 16.00,,"8,040317","0,261457","62,964634","21,200001"
16/01/2011 17.00,,"8,192168","0,259879","61,33001","21,200001"
16/01/2011 18.00,,"8,356998","0,249437","57,876347","21,200001"
16/01/2011 19.00,,"8,992956","0,253686","53,6969","21,200001"
