, TARANTO,,,,,
,TA V.Archimede,,,,,
,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


05/01/2009 17.00,"3,499899","24,291022","21,423959","0,581831","0,810605",
05/01/2009 18.00,"2,785867","15,011184","12,66982","0,57599","0,798135","32,234421"
05/01/2009 19.00,"3,17725","16,101941","13,831413","0,626463","0,641769",
05/01/2009 20.00,"2,529706","15,374338","13,358992","0,55989","0,520898","19,53602"
05/01/2009 21.00,"2,51542","13,676596","12,116929","0,451368","0,602438",
05/01/2009 22.00,"2,366541","13,430172","11,769103","0,461668","0,506508","30,28083"
05/01/2009 23.00,"2,234551","10,72987","9,587381","0,411353","0,621624",
06/01/2009 0.00,"2,36088","7,414805","6,263532","0,409025","0,659037","19,0476"
06/01/2009 1.00,"2,258361","5,337049","4,402382","0,404842","0,706042",
06/01/2009 2.00,"1,963746","5,637949","4,648978","0,352713","0,556392","18,55921"
06/01/2009 3.00,,"5,77024","4,719062","0,384757","0,5986",
06/01/2009 4.00,"1,537403","12,430204","11,356381","0,514784","0,799095","15,62881"
06/01/2009 5.00,"1,487041","11,470443","10,442674","0,516087",,
06/01/2009 6.00,"1,592176","6,950487","5,984489","0,40358","1,045633","21,97802"
06/01/2009 7.00,"1,667939","21,968153","19,878203","0,881625","1,095517",
06/01/2009 8.00,"1,352891","35,093536","30,015875","1,110268","1,74496","25,39682"
06/01/2009 9.00,"1,905018","75,598051","43,415113","1,112952","3,425647",
06/01/2009 10.00,"2,168823","36,356776","26,925643","0,756845","1,547344","32,722832"
06/01/2009 11.00,"2,030879","50,971088","36,34689","0,901791","1,752635",
06/01/2009 12.00,"1,914985","44,726152","32,332568","0,762686","1,350689","45,421242"
06/01/2009 13.00,"1,478046","24,804624","20,720515","0,624253","1,100312",
06/01/2009 14.00,"1,586177","17,209557","14,102676","0,581554","0,91229","42,002441"
06/01/2009 15.00,"1,951852","7,872635","5,615892","0,445134","0,960256",
06/01/2009 16.00,"1,906871","9,759735","7,482233","0,469323","0,748251","32,234421"
06/01/2009 17.00,"1,460053","9,988","7,915721","0,495408","0,754966",
06/01/2009 18.00,"1,759401","19,876119","17,209777","0,58779","1,07729","22,954821"
06/01/2009 19.00,"1,691929","19,913747","16,913868","0,647259","1,080168",
06/01/2009 20.00,"1,556013","24,646406","21,050183","0,724447","0,91421","15,62881"
06/01/2009 21.00,"1,57524","33,062456","26,938626","0,805542","0,983278",
06/01/2009 22.00,"1,321492","42,876656","35,735604","0,739956","1,069615","18,07081"
06/01/2009 23.00,"1,401047","32,240182","27,939271","0,661583","1,069615",
