NetC,SIMAGE Brindisi,,
Stat,Via Dei Mille,,
Parm,SO2,NO2,PM10
PtId,1,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver
,,,,,,,
,,,,,,,,
20/01/2006 23.00,"3,314216","48,383371",
21/01/2006 0.00,"3,370145","52,462581","48,84005"
21/01/2006 1.00,"4,609593","53,2361",
21/01/2006 2.00,"3,252876","44,802535","58,608051"
21/01/2006 3.00,"3,453135","40,516961",
21/01/2006 4.00,"2,688358","37,583763","64,95726"
21/01/2006 5.00,"1,358282","18,048199",
21/01/2006 6.00,"1,463764","19,217569","41,025631"
21/01/2006 7.00,"2,742302","34,533759",
21/01/2006 8.00,"4,035875","51,201044","35,653221"
21/01/2006 9.00,"5,547749","59,046688",
21/01/2006 10.00,"4,346188","44,371649","68,37606"
21/01/2006 11.00,"3,788706","30,913998",
21/01/2006 12.00,"4,032267","23,468117","46,88644"
21/01/2006 13.00,"5,082279","24,838677",
21/01/2006 14.00,"7,277924","31,187854","28,81562"
21/01/2006 15.00,"5,484603","21,666668",
21/01/2006 16.00,"3,98175","25,97559","20,02442"
21/01/2006 17.00,"3,323236","38,135374",
21/01/2006 18.00,"3,270917","52,632597","22,46641"
21/01/2006 19.00,"4,591551","71,983854",
21/01/2006 20.00,"6,686164","86,704344","41,025631"
21/01/2006 21.00,"7,514268","81,846411",
21/01/2006 22.00,"14,059709","99,772614","70,329674"
21/01/2006 23.00,"7,945459","74,196741",
22/01/2006 0.00,"6,420955","63,006475","68,37606"
22/01/2006 1.00,,"60,245915",
22/01/2006 2.00,"2,090691",,"72,77166"
22/01/2006 3.00,"1,487777","40,531224",
22/01/2006 4.00,"0,211019","27,813385","75,213661"
22/01/2006 5.00,"0,012414","15,740587",
22/01/2006 6.00,"0,007094","12,296036","61,05006"
22/01/2006 7.00,"0,001774","14,567315",
22/01/2006 8.00,"0,007094","18,039117","48,35165"
22/01/2006 9.00,"0,00532","16,410291",
22/01/2006 10.00,"0,023053","13,443358","39,072041"
22/01/2006 11.00,"0,070932","12,477734",
22/01/2006 12.00,"0,342242","14,695796","32,234421"
22/01/2006 13.00,"1,677518","24,189725",
22/01/2006 14.00,"2,737935","22,730927","28,81562"
22/01/2006 15.00,"3,110323","12,700975",
22/01/2006 16.00,"3,188347","14,7594","20,51281"
22/01/2006 17.00,"3,645851","19,448595",
22/01/2006 18.00,"4,161874","23,087838","16,60561"
22/01/2006 19.00,"3,617479","20,170223",
22/01/2006 20.00,"3,938442","20,405131","33,211231"
22/01/2006 21.00,"4,635338","22,594638",
22/01/2006 22.00,"4,167194","17,58876","27,83882"
22/01/2006 23.00,"4,848131","16,372654",
23/01/2006 0.00,"5,530841","18,506351","36,141621"
23/01/2006 1.00,"4,99354","11,114974",
23/01/2006 2.00,"5,029006","5,901424","33,699631"
23/01/2006 3.00,"5,49183","4,193425",
23/01/2006 4.00,"5,422672","5,125297","32,722832"
23/01/2006 5.00,"6,156808","5,813168",
23/01/2006 6.00,"3,777074","5,880658","31,25762"
23/01/2006 7.00,"1,824699","25,49409",
23/01/2006 8.00,"1,540976","12,929395","22,46641"
23/01/2006 9.00,"3,496896","23,192961",
23/01/2006 10.00,"3,085498","16,527103","22,954821"
23/01/2006 11.00,"5,507789","19,100782",
23/01/2006 12.00,"8,297149","19,146193","20,02442"
23/01/2006 13.00,"11,510314","16,730866",
23/01/2006 14.00,"13,780105","17,492718","21,48962"
23/01/2006 15.00,"14,677384","18,911292",
23/01/2006 16.00,"14,656109","14,232459","22,46641"
23/01/2006 17.00,"15,223554","19,133212",
23/01/2006 18.00,"14,975294","17,299329","22,46641"
23/01/2006 19.00,"13,443183","12,908634",
23/01/2006 20.00,"11,437609","14,59067","30,28083"
