"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10
03/01/2011 8.00,"19,534904","31,22596184","40,04883957"
03/01/2011 9.00,"27,95355472","60,8255",
03/01/2011 10.00,"18,34801662","34,76669904","28,08300972"
03/01/2011 11.00,"17,47843519","28,81812288",
03/01/2011 12.00,"24,10016728","41,48890864","17,09399986"
03/01/2011 13.00,"21,68095192","32,20192312",
03/01/2011 14.00,"25,98597288","37,29839736","12,45421028"
03/01/2011 15.00,"28,89320712","40,93574792",
03/01/2011 16.00,"27,42857688","37,09411928","24,17580986"
03/01/2011 17.00,"22,09170688","30,18902688",
03/01/2011 18.00,"26,0956452","32,92108368","21,73381996"
03/01/2011 19.00,"31,80434184","41,43636688",
03/01/2011 20.00,"38,37806552","54,43142784","26,61782074"
03/01/2011 21.00,"35,1580472","58,3534752",
03/01/2011 22.00,"20,47650664","30,48926824","24,66422081"
03/01/2011 23.00,"14,44076814","17,36973226",
04/01/2011 0.00,"11,46150886","16,75561506","26,61782074"
04/01/2011 1.00,"5,75865911","6,77150478",
04/01/2011 2.00,,,"13,91940975"
04/01/2011 3.00,"10,59192743","11,49378915",
04/01/2011 4.00,"6,3102539","6,48941213","10,01220989"
04/01/2011 5.00,"5,06364902","5,11008003",
04/01/2011 6.00,"5,8547027","6,28319337","8,79120922"
04/01/2011 7.00,"11,13054548","14,78875405",
04/01/2011 8.00,"29,7361888","48,73963328","7,57020807"
04/01/2011 9.00,"49,59037768","104,5426152",
04/01/2011 10.00,"41,06725528","81,83841824","13,18680954"
04/01/2011 11.00,"25,91719824","51,18575048",
04/01/2011 12.00,"19,50570776","38,01367656","37,85102081"
04/01/2011 13.00,"18,97618701","34,36917512",
04/01/2011 14.00,"19,2292708","28,92641856","20,02441978"
04/01/2011 15.00,"22,01450032","36,15119736",
04/01/2011 16.00,"30,72840208","41,78524952","17,82661057"
04/01/2011 17.00,"46,43785296","60,3858356",
04/01/2011 18.00,"52,65854496","70,1883728","21,0012207"
04/01/2011 19.00,"61,51718512","138,47925768",
04/01/2011 20.00,"63,83387904","175,27185456","31,50181961"
04/01/2011 21.00,"64,85725792","158,11287824",
04/01/2011 22.00,"55,20821608","82,89286712","41,02563095"
04/01/2011 23.00,"32,05418288","38,50066296",
05/01/2011 0.00,"18,44795303","19,13361344","61,78266144"
05/01/2011 1.00,"32,82642056","33,61498672",
05/01/2011 2.00,"22,51481336","23,05696096","44,4444313"
05/01/2011 3.00,"13,45374402","14,28487895",
05/01/2011 4.00,"8,03966938","8,07237031","45,66543961"
05/01/2011 5.00,"14,31357998","14,35037642",
05/01/2011 6.00,"21,63292248","22,36890864","23,93161964"
05/01/2011 7.00,"37,2612472","45,11524608",
05/01/2011 8.00,"25,9094164","28,70787696","21,48962021"
05/01/2011 9.00,"28,01584768","33,49693984",
05/01/2011 10.00,"28,85622904","39,56159352","24,90842056"
05/01/2011 11.00,"15,26557243","19,44163664",
05/01/2011 12.00,"15,70295008","20,43706208","29,7924099"
05/01/2011 13.00,"20,0371864","23,67885808",
05/01/2011 14.00,"32,6687188","39,61413528","22,71062088"
05/01/2011 15.00,"39,46633768","48,4432924",
05/01/2011 16.00,"36,98284088","42,6749796","22,46640968"
05/01/2011 17.00,"39,64803504","45,82469368",
05/01/2011 18.00,"37,42738088","40,65107024","24,90842056"
05/01/2011 19.00,"39,35991576","42,19705608",
05/01/2011 20.00,"36,61296448","39,09988376","34,18803024"
05/01/2011 21.00,"55,05376472","62,54786784",
05/01/2011 22.00,"44,09194368","56,39375168","46,64223099"
05/01/2011 23.00,"34,13011776","37,74454344",
06/01/2011 0.00,"19,44601512","19,96367","52,7472496"
06/01/2011 1.00,"16,61535457","18,72117974",
06/01/2011 2.00,,,"45,66543961"
06/01/2011 3.00,"16,8392383","16,85548265",
06/01/2011 4.00,"11,68604075","11,76420905","29,54821968"
06/01/2011 5.00,"10,2752467","10,52754274",
06/01/2011 6.00,"11,22983373","12,46457465","35,40903091"
06/01/2011 7.00,"21,55504672","37,05000944",
06/01/2011 8.00,"27,41104384","40,51357832","19,04759979"
06/01/2011 9.00,"41,01274416","83,30079232",
06/01/2011 10.00,"21,7023472","30,41144984","45,90964127"
06/01/2011 11.00,"21,64980544","32,66818344",
06/01/2011 12.00,"20,23706688","32,29920568","22,95482063"
06/01/2011 13.00,"22,8016516","34,81792152",
06/01/2011 14.00,"18,88403052","26,80715776","11,47741032"
06/01/2011 15.00,"20,14360832","24,2825912",
06/01/2011 16.00,"23,8977056","26,18526064","6,34920597"
06/01/2011 17.00,"35,52729264","37,11224504",
06/01/2011 18.00,"26,0618984","27,1502088","10,25640965"
06/01/2011 19.00,"18,12867198","18,59731847",
06/01/2011 20.00,"14,49723141","14,99237822","24,17580986"
06/01/2011 21.00,"11,92484382","12,5910305",
06/01/2011 22.00,"10,56792036","11,10664166","29,30401993"
06/01/2011 23.00,"7,88587192","7,93100086",
07/01/2011 0.00,"7,18826534","7,28316172","27,8388195"
07/01/2011 1.00,"8,96375427","8,9698765",
07/01/2011 2.00,"9,91639298","10,01718406","26,86202049"
07/01/2011 3.00,"6,83459505","6,90833515",
07/01/2011 4.00,"7,06042519","7,05619011","22,71062088"
07/01/2011 5.00,"6,21421223","6,22872049",
07/01/2011 6.00,"9,5075634","9,88748545","29,30401993"
07/01/2011 7.00,"10,12859438","10,27268844",
07/01/2011 8.00,"11,59193976","12,47041198","29,7924099"
07/01/2011 9.00,"15,74253995","19,39364544",
07/01/2011 10.00,"13,13641321","16,85937357","39,56044006"
07/01/2011 11.00,"17,76721411","24,9531296",
07/01/2011 12.00,"15,76070778","22,16528064","19,78022003"
07/01/2011 13.00,"13,04620887","14,87694696",
07/01/2011 14.00,"19,43756408","23,92204536","9,76801014"
07/01/2011 15.00,"26,67385312","34,08057784",
07/01/2011 16.00,"27,8438824","32,098178","16,60560989"
07/01/2011 17.00,"29,7971816","32,75768416",
07/01/2011 18.00,"25,70758568","28,12942048","10,50061035"
07/01/2011 19.00,"21,5647788","22,57253664",
07/01/2011 20.00,"19,67637288","20,49025392","21,97801971"
07/01/2011 21.00,"20,63290824","21,6367656",
07/01/2011 22.00,"20,98397056","21,83001144","25,88521957"
07/01/2011 23.00,"10,40828366","10,4983618",
08/01/2011 0.00,"7,07859493","7,10028848","42,00244141"
08/01/2011 1.00,"6,88456326","6,91676516",
08/01/2011 2.00,,,"40,04883957"
08/01/2011 3.00,"19,77826336","19,84499216",
08/01/2011 4.00,"17,19420492","17,22771463","35,40903091"
08/01/2011 5.00,"17,27791993","17,29256394",
08/01/2011 6.00,"18,63355087","18,78991997","40,78144073"
08/01/2011 7.00,"14,04492104","14,08449562",
08/01/2011 8.00,"13,61856798","14,16750127","43,46763992"
08/01/2011 9.00,"18,61797572","23,02453344",
08/01/2011 10.00,"19,56995096","26,26307904","55,18925095"
08/01/2011 11.00,"17,29608393","24,01217704",
08/01/2011 12.00,"17,03132355","22,00771272","27,59461975"
08/01/2011 13.00,"18,53555322","23,9713176",
08/01/2011 14.00,"14,01765974","15,49625141","13,67521"
08/01/2011 15.00,"14,31227791","15,13634226",
08/01/2011 16.00,"17,72373906","18,80094456","16,11721039"
08/01/2011 17.00,"20,36555328","21,41887408",
08/01/2011 18.00,"21,98853536","22,77356432","18,07081032"
08/01/2011 19.00,"16,99758249","17,47349076",
08/01/2011 20.00,"16,15136762","18,05712876","23,44322014"
08/01/2011 21.00,"11,89304726","12,20972034",
08/01/2011 22.00,"12,44658846","12,95288606","36,38582993"
08/01/2011 23.00,"10,5075719","10,97564862",
09/01/2011 0.00,"10,24540229","10,25323384","34,4322319"
09/01/2011 1.00,"7,96633844","8,03086653",
09/01/2011 2.00,"6,62758472","6,76631753","47,13063049"
09/01/2011 3.00,"6,28105193","6,3344235",
09/01/2011 4.00,"5,65288154","5,68010077","35,16482162"
09/01/2011 5.00,"5,90401891","5,94857425",
09/01/2011 6.00,"7,26548719","7,55033695","23,44322014"
09/01/2011 7.00,"9,92028581","11,16176462",
09/01/2011 8.00,"16,45831054","18,57786387","18,31501007"
09/01/2011 9.00,"17,65949394","20,54017624",
09/01/2011 10.00,"15,7496698","18,52015015","51,5262413"
09/01/2011 11.00,"19,525822","23,5225712",
09/01/2011 12.00,"18,45573487","21,69123848","25,64101982"
09/01/2011 13.00,"22,91845568","27,4556508",
09/01/2011 14.00,"18,13127421","20,75028592","12,69841003"
09/01/2011 15.00,"16,82366314","18,20239105",
09/01/2011 16.00,"24,56417144","26,132738","18,31501007"
09/01/2011 17.00,"32,8374528","34,64997144",
09/01/2011 18.00,"32,9049464","34,73232128","21,97801971"
09/01/2011 19.00,"22,36556264","23,71776728",
09/01/2011 20.00,"17,9450282","19,31389592","38,33943176"
09/01/2011 21.00,"15,3259228","16,28286924",
09/01/2011 22.00,"13,65491128","14,64803085","42,73503113"
09/01/2011 23.00,"11,75222846","12,5261812",
10/01/2011 0.00,"9,7294988","9,80966705","42,49084091"
10/01/2011 1.00,"11,00270534","11,20326649",
10/01/2011 2.00,,,"30,52503014"
10/01/2011 3.00,"16,56214552","16,59414284",
10/01/2011 4.00,"12,58156993","12,5864895","32,96702957"
10/01/2011 5.00,"8,45628653","8,50037151",
10/01/2011 6.00,"6,3868295","6,38435729","32,96702957"
10/01/2011 7.00,"7,50559615","7,70662383",
10/01/2011 8.00,"9,3284568","9,95752392","31,50181961"
10/01/2011 9.00,"18,28246752","24,50891464",
10/01/2011 10.00,"14,18638992","18,7438771","31,99023056"
10/01/2011 11.00,"13,07670527","17,94040307",
10/01/2011 12.00,"12,89110934","16,84445806","16,60560989"
10/01/2011 13.00,"11,56144527","13,8406659",
10/01/2011 14.00,"20,60889352","26,40315216","8,30280876"
10/01/2011 15.00,"17,91971906","21,85985776",
10/01/2011 16.00,"18,04625713","22,16139928","16,11721039"
10/01/2011 17.00,"23,4719988","26,85644912",
10/01/2011 18.00,"12,92745264","13,54365774","16,36141014"
10/01/2011 19.00,"10,65617254","10,96267762",
10/01/2011 20.00,"13,090986","13,70253729","26,37360954"
10/01/2011 21.00,"10,4543533","10,80509631",
10/01/2011 22.00,"7,79177475","8,096364","29,54821968"
10/01/2011 23.00,"6,594488","6,68979546",
11/01/2011 0.00,"6,22134973","6,21704773","24,90842056"
11/01/2011 1.00,"5,55748803","5,63989332",
11/01/2011 2.00,"4,65351929","4,67235058","33,94382095"
11/01/2011 3.00,"4,50621307","4,52644203",
11/01/2011 4.00,"4,32775464","4,33384054","31,50181961"
11/01/2011 5.00,"4,38226576","4,43046537",
11/01/2011 6.00,"4,43677688","4,52644203","27,59461975"
11/01/2011 7.00,"5,57955251","5,68658436",
11/01/2011 8.00,"7,9819155","8,16250964","35,16482162"
11/01/2011 9.00,"18,22146707","22,49796864",
11/01/2011 10.00,"21,19618344","28,39660336","23,19902039"
11/01/2011 11.00,"22,19036608","30,95940992",
11/01/2011 12.00,"16,66467843","20,72759048","17,58241081"
11/01/2011 13.00,"16,52450015","21,39877896",
11/01/2011 14.00,"17,2999825","21,03433264","10,01220989"
11/01/2011 15.00,"23,15531424","29,22017824",
11/01/2011 16.00,"17,72373906","21,6607612","15,38461018"
11/01/2011 17.00,"27,38639816","31,4483848",
11/01/2011 18.00,"19,14554432","19,8916832","10,98900986"
11/01/2011 19.00,"19,79967776","20,97400904",
11/01/2011 20.00,"21,50248584","22,31898632","19,53602028"
11/01/2011 21.00,"20,17022336","21,1549416",
11/01/2011 22.00,"21,05146416","23,61920368","18,55920982"
11/01/2011 23.00,"20,40383152","25,18788496",
12/01/2011 0.00,"16,28245051","20,1283888","19,53602028"
12/01/2011 1.00,"7,8170839","8,04708029",
12/01/2011 2.00,,,"12,45421028"
12/01/2011 3.00,"14,63869073","14,95087444",
12/01/2011 4.00,"8,61332865","8,62877187","11,23320961"
12/01/2011 5.00,"7,13050955","7,12752492",
12/01/2011 6.00,"7,96828486","7,99066099","12,21000957"
12/01/2011 7.00,"32,5772296","57,86580048",
12/01/2011 8.00,"79,4609036","216,8468032","9,52380943"
12/01/2011 9.00,"90,46362232","266,4423624",
12/01/2011 10.00,"51,31785056","100,0265668","33,45542145"
12/01/2011 11.00,"39,10877456","57,6978504",
12/01/2011 12.00,"32,13400888","49,9211728","41,75823975"
12/01/2011 13.00,"32,59344336","50,37642",
12/01/2011 14.00,"43,06208312","71,36213048","46,39804077"
12/01/2011 15.00,"42,46116064","70,53658624",
12/01/2011 16.00,"42,15810864","67,77730256","46,64223099"
12/01/2011 17.00,"40,54810904","55,78286768",
12/01/2011 18.00,"47,5144428","63,36302992","38,82783127"
12/01/2011 19.00,"49,65527096","70,73375168",
12/01/2011 20.00,"30,36760768","46,99522008","52,99145126"
12/01/2011 21.00,"31,22743408","50,00352264",
12/01/2011 22.00,"26,6926672","39,2665528","36,8742218"
12/01/2011 23.00,"20,9314288","23,6723764",
13/01/2011 0.00,"17,52126782","20,67181744","34,18803024"
13/01/2011 1.00,"12,95665653","15,07862854",
13/01/2011 2.00,"11,26098021","11,58003756","31,01342964"
13/01/2011 3.00,"11,20322251","11,37122613",
13/01/2011 4.00,"10,20321974","10,30835489","24,17580986"
13/01/2011 5.00,"9,2544777","9,3246003",
13/01/2011 6.00,"10,34857572","11,21493925","19,78022003"
13/01/2011 7.00,"18,17020062","23,4356708",
13/01/2011 8.00,"35,89133744","78,73541432","21,97801971"
13/01/2011 9.00,"49,48850632","132,82639144",
13/01/2011 10.00,"34,34753128","74,01506872","43,9560318"
13/01/2011 11.00,"26,87308352","49,91276",
13/01/2011 12.00,"38,23594656","62,54463656","21,97801971"
13/01/2011 13.00,"36,3455904","61,25935192",
13/01/2011 14.00,"34,54221112","55,33993376","10,98900986"
13/01/2011 15.00,"39,85827856","60,6640316",
13/01/2011 16.00,"48,71886896","67,21114024","21,0012207"
13/01/2011 17.00,"64,41013672","83,37731056",
13/01/2011 18.00,"86,60310312","130,46138128","26,37360954"
13/01/2011 19.00,"75,9157688","182,08679616",
13/01/2011 20.00,"47,96804568","64,19115536","57,87545013"
13/01/2011 21.00,"57,73324152","98,61998488",
13/01/2011 22.00,"47,50276048","65,81821","87,17948151"
13/01/2011 23.00,"41,12046624","63,97003256",
14/01/2011 0.00,"30,81017832","36,78475768","81,31867981"
14/01/2011 1.00,"16,28828976","18,05972334",
14/01/2011 2.00,,,"59,8290596"
14/01/2011 3.00,"18,99176025","20,05705208",
14/01/2011 4.00,"12,15976361","12,21879852","38,82783127"
14/01/2011 5.00,"10,50821242","11,22726018",
14/01/2011 6.00,"11,58414836","12,80243652","24,66422081"
14/01/2011 7.00,"35,44746664","52,16821256",
14/01/2011 8.00,"53,85000776","102,1724044","12,69841003"
14/01/2011 9.00,"76,28178296","232,1458624",
14/01/2011 10.00,"51,90124","96,11230128","26,61782074"
14/01/2011 11.00,"32,68950224","51,53723344",
14/01/2011 12.00,"35,5500072","51,16953672","47,37483978"
14/01/2011 13.00,"47,81812576","64,94211248",
14/01/2011 14.00,"39,01726624","59,35341296","43,46763992"
14/01/2011 15.00,"39,7966548","54,88145528",
14/01/2011 16.00,"50,61830712","68,40243096","42,24663162"
14/01/2011 17.00,"68,84626352","93,06895176",
14/01/2011 18.00,"80,64521552","99,75225216","38,82783127"
14/01/2011 19.00,"80,94048568","165,9135132",
14/01/2011 20.00,"63,22452464","118,3502188","55,18925095"
14/01/2011 21.00,"60,70536904","116,03578104",
14/01/2011 22.00,"58,43213488","87,4407312","83,51647186"
14/01/2011 23.00,"37,09771384","42,14839568",
15/01/2011 0.00,"32,36048528","39,25875184","79,12088013"
15/01/2011 1.00,"23,43502072","25,19371656",
15/01/2011 2.00,"14,53032048","15,12661592","56,89865112"
15/01/2011 3.00,"12,90798466","12,95093965",
15/01/2011 4.00,"13,55497486","14,10913938","47,61904144"
15/01/2011 5.00,"12,48552634","13,38153543",
15/01/2011 6.00,"10,87162244","11,00482957","39,07204056"
15/01/2011 7.00,"15,57705444","17,00074494",
15/01/2011 8.00,"34,28456912","60,92666392","32,96702957"
15/01/2011 9.00,"31,43056496","46,2487944",
15/01/2011 10.00,"24,4733132","32,450942","43,71184158"
15/01/2011 11.00,"32,66418736","51,59944992",
15/01/2011 12.00,"43,2282168","60,47078576","22,22220993"
15/01/2011 13.00,"27,25206104","36,6771312",
15/01/2011 14.00,"28,23974288","46,15996288","38,0952301"
15/01/2011 15.00,"20,46029288","27,12298192",
15/01/2011 16.00,"21,83668432","27,7221836","35,40903091"
15/01/2011 17.00,"24,44476704","30,98082432",
15/01/2011 18.00,"26,36755072","34,17591016","28,81562042"
15/01/2011 19.00,"26,84321808","34,22715176",
15/01/2011 20.00,"31,59537936","42,95124448","35,89743042"
15/01/2011 21.00,"32,23913064","41,47722632",
15/01/2011 22.00,"23,98791376","31,43865272","43,71184158"
15/01/2011 23.00,"18,7938281","22,0498532",
16/01/2011 0.00,"19,94697824","23,27355232","61,29425049"
16/01/2011 1.00,"20,43627816","23,34098856",
16/01/2011 2.00,,,"46,64223099"
16/01/2011 3.00,"26,95809104","28,829136",
16/01/2011 4.00,"20,12024368","20,51553056","49,57265091"
16/01/2011 5.00,"16,75098611","17,37816418",
16/01/2011 6.00,"13,6159734","14,15064126","40,04883957"
16/01/2011 7.00,"16,78797184","22,1276716",
16/01/2011 8.00,"21,26367704","28,69814488","29,30401993"
16/01/2011 9.00,"22,41099176","32,51839736",
16/01/2011 10.00,"19,5199904","30,96396048","57,14284134"
16/01/2011 11.00,"21,74582608","32,88089344",
16/01/2011 12.00,"20,3649032","30,66890064","28,57142067"
16/01/2011 13.00,"21,52195","31,87636688",
16/01/2011 14.00,"20,09947936","26,74555312","14,16361046"
16/01/2011 15.00,"18,17474926","22,11793952",
16/01/2011 16.00,"18,62900222","22,390954","22,46640968"
16/01/2011 17.00,"21,75037664","24,72097456",
16/01/2011 18.00,"35,30209728","44,51344408","21,24542046"
16/01/2011 19.00,"31,50389016","38,01042616",
16/01/2011 20.00,"33,106758","40,06613208","38,58362961"
16/01/2011 21.00,"35,9082204","49,92832368",
16/01/2011 22.00,"26,4019476","34,93269888","47,61904144"
16/01/2011 23.00,"24,44669816","31,71556768",
17/01/2011 0.00,"19,28506296","23,88701752","37,36262131"
17/01/2011 1.00,"20,19618832","28,82720488",
17/01/2011 2.00,"9,80607249","9,79929254","29,7924099"
17/01/2011 3.00,"13,65360921","13,65130716",
17/01/2011 4.00,"11,70031192","11,74410437","21,73381996"
17/01/2011 5.00,"8,94558262","8,96533741",
17/01/2011 6.00,"10,95662805","11,15722553","20,02441978"
17/01/2011 7.00,"21,46743888","32,47621864",
17/01/2011 8.00,"44,72596288","117,30487104","42,24663162"
17/01/2011 9.00,"59,72416888","175,32567736",
17/01/2011 10.00,"45,083526","93,81340808","95,48229218"
17/01/2011 11.00,"34,31636568","69,84983408",
17/01/2011 12.00,"25,54082104","42,91623576","47,86323166"
17/01/2011 13.00,"28,97498336","44,55493448",
17/01/2011 14.00,"45,14971944","71,26094744",
17/01/2011 15.00,"38,88877984","56,77246152",
17/01/2011 16.00,"41,34631168","58,05063352","18,55920982"
17/01/2011 17.00,"46,78113344","67,8259056",
17/01/2011 18.00,"71,00592488","92,29463","19,78022003"
17/01/2011 19.00,"74,85606192","124,901878",
17/01/2011 20.00,"54,2036704","75,72709264","51,28205109"
17/01/2011 21.00,"44,14322352","53,84843992",
17/01/2011 22.00,"35,63761504","40,20880552","81,56288147"
17/01/2011 23.00,"29,11905256","31,96198624",
18/01/2011 0.00,"23,78090152","25,20539888","105,98290253"
18/01/2011 1.00,"19,48947488","20,95844536",
18/01/2011 2.00,,,"64,71305084"
18/01/2011 3.00,"20,30389128","20,5265628",
18/01/2011 4.00,"16,05013678","16,20829168","45,1770401"
18/01/2011 5.00,"15,22987922","15,81984785",
18/01/2011 6.00,"17,43496205","20,82227272","38,82783127"
18/01/2011 7.00,"20,63680872","24,95703008",
18/01/2011 8.00,"35,2041264","70,6040416","69,10865021"
18/01/2011 9.00,"53,32696104","176,8450864",
18/01/2011 10.00,"79,97291808","220,0780832","64,22466278"
18/01/2011 11.00,"32,26702672","51,01973152",
18/01/2011 12.00,"38,9601548","61,80213048","32,23442078"
18/01/2011 13.00,"46,68834408","65,28126304",
18/01/2011 14.00,"50,07124568","78,79120648","16,11721039"
18/01/2011 15.00,"55,00965488","82,32414272",
18/01/2011 16.00,"58,66706232","81,75346808","33,94382095"
18/01/2011 17.00,"57,95388632","85,01925968",
18/01/2011 18.00,"47,2237232","50,45425752","69,35285187"
18/01/2011 19.00,"55,60342648","82,04529664",
18/01/2011 20.00,"51,53459488","76,25625776","65,93405151"
18/01/2011 21.00,"45,4261564","67,9167256",
18/01/2011 22.00,"39,06787688","50,44192512","77,41146088"
18/01/2011 23.00,"32,17098696","38,68161464",
19/01/2011 0.00,"28,76927128","29,36608296","104,02919769"
19/01/2011 1.00,"26,47982336","27,31945904",
19/01/2011 2.00,"22,14428688","23,187302","105,98290253"
19/01/2011 3.00,"17,28246475","17,86388101",
19/01/2011 4.00,"15,85934403","15,87367256","93,77288055"
19/01/2011 5.00,"15,00275274","15,27706546",
19/01/2011 6.00,"16,40445141","16,97869575","76,19046021"
19/01/2011 7.00,"24,10796824","41,64387624",
19/01/2011 8.00,"37,7421152","85,3694616","66,66664886"
19/01/2011 9.00,"47,59424968","116,62005",
19/01/2011 10.00,"39,6584172","73,72197824","53,47985077"
19/01/2011 11.00,"45,4871492","80,20618208",
19/01/2011 12.00,"34,53441016","43,53878296","28,08300972"
19/01/2011 13.00,"43,42679712","49,82976008",
19/01/2011 14.00,"35,45589856","39,71202968","15,38461018"
19/01/2011 15.00,"37,60127728","43,9778164",
19/01/2011 16.00,"41,91411832","49,14430808","28,32722092"
19/01/2011 17.00,"50,82465016","64,567284",
19/01/2011 18.00,"58,41527104","70,62608696","51,0378418"
19/01/2011 19.00,"34,11260384","36,3989352",
19/01/2011 20.00,"23,70560696","24,46157352","81,31867981"
19/01/2011 21.00,"19,74386648","20,10244296",
19/01/2011 22.00,"17,98850326","18,24519117","70,08547211"
19/01/2011 23.00,"16,17861553","16,73162138",
20/01/2011 0.00,"11,60426834","11,60792408","69,59706116"
20/01/2011 1.00,"13,30837849","13,84909591",
20/01/2011 2.00,,,"59,3406601"
20/01/2011 3.00,"19,8412064","19,82814744",
20/01/2011 4.00,"14,19417176","14,18955046","62,27106094"
20/01/2011 5.00,"11,89369925","11,89131307",
20/01/2011 6.00,"15,88336066","15,96835098","38,58362961"
20/01/2011 7.00,"20,59593016","21,05182744",
20/01/2011 8.00,"22,3759448","25,18723488","40,04883957"
20/01/2011 9.00,"25,40195248","30,12612208",
20/01/2011 10.00,"23,77440072","26,42454744","58,11965179"
20/01/2011 11.00,"19,55503736","22,61079576",
20/01/2011 12.00,"15,53941863","16,76599149","30,28083038"
20/01/2011 13.00,"15,19353592","15,81984785",
20/01/2011 14.00,"18,24352964","19,6971372","15,14041042"
20/01/2011 15.00,"24,33769504","26,53739368",
20/01/2011 16.00,"23,99504552","25,5516812","12,45421028"
20/01/2011 17.00,"29,55642256","33,09360344",
20/01/2011 18.00,"27,8964624","28,70592672","16,60560989"
20/01/2011 19.00,"24,7491192","25,22419384",
20/01/2011 20.00,"26,6868356","28,0451204","26,12940979"
20/01/2011 21.00,"38,53251688","41,17763504",
20/01/2011 22.00,"24,7672832","25,7734732","34,67642975"
20/01/2011 23.00,"16,10789065","16,42099594",
21/01/2011 0.00,"11,63412422","11,69092974","44,20024109"
21/01/2011 1.00,"15,71658073","16,06367947",
21/01/2011 2.00,"18,28117692","18,58305304","26,12940979"
21/01/2011 3.00,"15,41417307","15,40416758",
21/01/2011 4.00,"14,92293438","14,91326349","38,82783127"
21/01/2011 5.00,"14,34602662","14,41198298",
21/01/2011 6.00,"16,80354508","17,3321213","38,82783127"
21/01/2011 7.00,"26,24361488","30,18707664",
21/01/2011 8.00,"36,58309904","72,49502872","40,29304123"
21/01/2011 9.00,"35,61815088","60,74833168",
21/01/2011 10.00,"26,84711856","42,36567536","53,47985077"
21/01/2011 11.00,"40,44556848","73,51963128",
21/01/2011 12.00,"43,27882744","78,1822536","33,69963074"
21/01/2011 13.00,"36,9549448","62,37215504",
21/01/2011 14.00,"35,30146632","60,81643712","19,53602028"
21/01/2011 15.00,"51,33666464","71,914622",
21/01/2011 16.00,"54,14397776","71,1967616","25,88521957"
21/01/2011 17.00,"48,43138064","63,52061696",
21/01/2011 18.00,"48,74286456","72,8484428","37,6068306"
21/01/2011 19.00,"47,67927632","75,00015024",
21/01/2011 20.00,"39,66814928","73,19541344","49,81684113"
