,ILVA 1 ARIA,ILVA 1 ARIA
Stazione,COKERIA,COKERIA
,IPA2,IPA
Unit,ng/m3,ng/m3
19/09/2013 06.00.00,,27
19/09/2013 07.00.00,,
19/09/2013 08.00.00,,
19/09/2013 09.00.00,,
19/09/2013 10.00.00,,
19/09/2013 11.00.00,,
19/09/2013 12.00.00,,
19/09/2013 13.00.00,,
19/09/2013 14.00.00,,6
19/09/2013 15.00.00,,14
19/09/2013 16.00.00,,28
19/09/2013 17.00.00,,12
19/09/2013 18.00.00,,20
19/09/2013 19.00.00,,26
19/09/2013 20.00.00,,11
19/09/2013 21.00.00,,13
19/09/2013 22.00.00,,21
19/09/2013 23.00.00,,13
20/09/2013 00.00.00,,16
20/09/2013 01.00.00,,9
20/09/2013 02.00.00,,11
20/09/2013 03.00.00,,12
20/09/2013 04.00.00,,11
20/09/2013 05.00.00,,24
20/09/2013 06.00.00,,18
20/09/2013 07.00.00,,33
20/09/2013 08.00.00,,11
20/09/2013 09.00.00,,18
20/09/2013 10.00.00,,12
20/09/2013 11.00.00,,
20/09/2013 12.00.00,,54
20/09/2013 13.00.00,,56
20/09/2013 14.00.00,,
20/09/2013 15.00.00,,12
20/09/2013 16.00.00,,7
20/09/2013 17.00.00,,14
20/09/2013 18.00.00,,17
20/09/2013 19.00.00,,10
20/09/2013 20.00.00,,12
20/09/2013 21.00.00,,17
20/09/2013 22.00.00,,24
20/09/2013 23.00.00,,14
21/09/2013 00.00.00,,10
21/09/2013 01.00.00,,15
21/09/2013 02.00.00,,19
21/09/2013 03.00.00,,25
21/09/2013 04.00.00,,23
21/09/2013 05.00.00,,12
21/09/2013 06.00.00,,15
21/09/2013 07.00.00,,16
21/09/2013 08.00.00,,19
21/09/2013 09.00.00,,64
21/09/2013 10.00.00,,63
21/09/2013 11.00.00,,28
21/09/2013 12.00.00,,75
21/09/2013 13.00.00,,49
21/09/2013 14.00.00,,27
21/09/2013 15.00.00,,26
21/09/2013 16.00.00,,50
21/09/2013 17.00.00,,28
21/09/2013 18.00.00,,13
21/09/2013 19.00.00,,8
21/09/2013 20.00.00,,23
21/09/2013 21.00.00,,133
21/09/2013 22.00.00,,192
21/09/2013 23.00.00,,258
22/09/2013 00.00.00,,199
22/09/2013 01.00.00,,157
22/09/2013 02.00.00,,21
22/09/2013 03.00.00,,207
22/09/2013 04.00.00,,226
22/09/2013 05.00.00,,178
22/09/2013 06.00.00,,210
22/09/2013 07.00.00,,374
22/09/2013 08.00.00,,384
22/09/2013 09.00.00,,235
22/09/2013 10.00.00,,197
22/09/2013 11.00.00,,187
22/09/2013 12.00.00,,292
22/09/2013 13.00.00,,392
22/09/2013 14.00.00,,156
22/09/2013 15.00.00,,197
22/09/2013 16.00.00,,216
22/09/2013 17.00.00,,236
22/09/2013 18.00.00,,494
22/09/2013 19.00.00,,365
22/09/2013 20.00.00,,45
22/09/2013 21.00.00,,31
22/09/2013 22.00.00,,91
22/09/2013 23.00.00,,109
23/09/2013 00.00.00,,408
23/09/2013 01.00.00,,153
23/09/2013 02.00.00,,155
23/09/2013 03.00.00,,104
23/09/2013 04.00.00,,425
23/09/2013 05.00.00,,279
23/09/2013 06.00.00,,44
23/09/2013 07.00.00,,30
23/09/2013 08.00.00,,57
23/09/2013 09.00.00,,158
23/09/2013 10.00.00,,167
23/09/2013 11.00.00,,102
23/09/2013 12.00.00,,103
23/09/2013 13.00.00,,142
23/09/2013 14.00.00,,126
23/09/2013 15.00.00,,143
23/09/2013 16.00.00,,339
23/09/2013 17.00.00,,194
23/09/2013 18.00.00,,202
23/09/2013 19.00.00,,99
23/09/2013 20.00.00,,362
23/09/2013 21.00.00,,186
23/09/2013 22.00.00,,6
23/09/2013 23.00.00,,7
24/09/2013 00.00.00,,25
24/09/2013 01.00.00,,33
24/09/2013 02.00.00,,11
24/09/2013 03.00.00,,8
24/09/2013 04.00.00,,22
24/09/2013 05.00.00,,51
24/09/2013 06.00.00,,18
24/09/2013 07.00.00,,43
24/09/2013 08.00.00,,58
24/09/2013 09.00.00,,94
24/09/2013 10.00.00,,51
24/09/2013 11.00.00,,49
24/09/2013 12.00.00,,12
24/09/2013 13.00.00,,13
24/09/2013 14.00.00,,21
24/09/2013 15.00.00,,32
24/09/2013 16.00.00,,8
24/09/2013 17.00.00,,8
24/09/2013 18.00.00,,8
24/09/2013 19.00.00,,36
24/09/2013 20.00.00,,45
24/09/2013 21.00.00,,14
24/09/2013 22.00.00,,13
24/09/2013 23.00.00,,17
25/09/2013 00.00.00,,18
25/09/2013 01.00.00,,13
25/09/2013 02.00.00,,10
25/09/2013 03.00.00,,12
25/09/2013 04.00.00,,13
25/09/2013 05.00.00,,8
25/09/2013 06.00.00,,31
25/09/2013 07.00.00,,50
25/09/2013 08.00.00,,54
25/09/2013 09.00.00,,24
25/09/2013 10.00.00,,13
25/09/2013 11.00.00,,6
25/09/2013 12.00.00,,6
25/09/2013 13.00.00,,7
25/09/2013 14.00.00,,7
25/09/2013 15.00.00,,4
25/09/2013 16.00.00,,6
25/09/2013 17.00.00,,7
25/09/2013 18.00.00,,7
25/09/2013 19.00.00,,9
25/09/2013 20.00.00,,15
25/09/2013 21.00.00,,8
25/09/2013 22.00.00,,7
25/09/2013 23.00.00,,8
26/09/2013 00.00.00,,7
26/09/2013 01.00.00,,7
26/09/2013 02.00.00,,6
26/09/2013 03.00.00,,7
26/09/2013 04.00.00,,8
26/09/2013 05.00.00,,12
26/09/2013 06.00.00,,16
26/09/2013 07.00.00,,26
26/09/2013 08.00.00,,26
26/09/2013 09.00.00,,14
26/09/2013 10.00.00,,9
26/09/2013 11.00.00,,6
26/09/2013 12.00.00,,4
26/09/2013 13.00.00,,9
26/09/2013 14.00.00,,16
26/09/2013 15.00.00,,5
26/09/2013 16.00.00,,10
26/09/2013 17.00.00,,11
26/09/2013 18.00.00,,11
26/09/2013 19.00.00,,8
26/09/2013 20.00.00,,6
26/09/2013 21.00.00,,11
26/09/2013 22.00.00,,12
26/09/2013 23.00.00,,14
27/09/2013 00.00.00,,27
27/09/2013 01.00.00,,19
27/09/2013 02.00.00,,19
27/09/2013 03.00.00,,11
27/09/2013 04.00.00,,22
27/09/2013 05.00.00,,19
27/09/2013 06.00.00,,30
27/09/2013 07.00.00,,55
27/09/2013 08.00.00,,50
27/09/2013 09.00.00,,30
27/09/2013 10.00.00,,20
27/09/2013 11.00.00,,10
27/09/2013 12.00.00,,10
27/09/2013 13.00.00,,10
27/09/2013 14.00.00,,7
27/09/2013 15.00.00,,6
27/09/2013 16.00.00,,5
27/09/2013 17.00.00,,7
27/09/2013 18.00.00,,8
27/09/2013 19.00.00,,4
27/09/2013 20.00.00,,10
27/09/2013 21.00.00,,11
27/09/2013 22.00.00,,12
27/09/2013 23.00.00,,12
28/09/2013 00.00.00,,14
28/09/2013 01.00.00,,13
28/09/2013 02.00.00,,15
28/09/2013 03.00.00,,11
28/09/2013 04.00.00,,12
28/09/2013 05.00.00,,20
28/09/2013 06.00.00,,15
28/09/2013 07.00.00,,16
28/09/2013 08.00.00,,21
28/09/2013 09.00.00,,23
28/09/2013 10.00.00,,9
28/09/2013 11.00.00,,6
28/09/2013 12.00.00,,5
28/09/2013 13.00.00,,5
28/09/2013 14.00.00,,5
28/09/2013 15.00.00,,4
28/09/2013 16.00.00,,4
28/09/2013 17.00.00,,3
28/09/2013 18.00.00,,4
28/09/2013 19.00.00,,7
28/09/2013 20.00.00,,10
28/09/2013 21.00.00,,14
28/09/2013 22.00.00,,15
28/09/2013 23.00.00,,8
29/09/2013 00.00.00,,12
29/09/2013 01.00.00,,11
29/09/2013 02.00.00,,14
29/09/2013 03.00.00,,8
29/09/2013 04.00.00,,7
29/09/2013 05.00.00,,6
29/09/2013 06.00.00,,8
29/09/2013 07.00.00,,11
29/09/2013 08.00.00,,11
29/09/2013 09.00.00,,4
29/09/2013 10.00.00,,3
29/09/2013 11.00.00,,4
29/09/2013 12.00.00,,6
29/09/2013 13.00.00,,7
