Stat,TAMBURI-Via Orsini,,,,,,,,
,,,,,,,
Parm,H2S,BENZENE,PM10 giornaliero,PM2.5 giornaliero,PM10 biorario,IPA,IPA 2,NOX,NO2
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3,ng/m3,ng/m3,ug/m3 293K,ug/m3 293K
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,
06/01/2014 21.00,"1,2","0,5","12,8","7,2","10,7","28,2","29,9",,
06/01/2014 22.00,"1,3","0,8","12,8","7,2","15,7","44,5","46,2",,
06/01/2014 23.00,"1,5","1,4","12,8","7,2","15,7","30,4","31,3",,
07/01/2014 0.00,"1,8","1,1","12,8","7,2","15,6","21,2","21,7",,
07/01/2014 1.00,"1,4","1,9","39,1","19,8","15,6","64,7","66,9",,
07/01/2014 2.00,"1,9","2,2","39,1","19,8","31,9","35,7","36,7",,
07/01/2014 3.00,"1,5","1,1","39,1","19,8","31,9","10,2","10,5",,
07/01/2014 4.00,"1,7","0,9","39,1","19,8","28,3","13,3","13,8",,
07/01/2014 5.00,"1,3","0,7","39,1","19,8","28,3","11,7","12,0",,
07/01/2014 6.00,"1,6","3,4","39,1","19,8","32,5","36,3","36,9",,
07/01/2014 7.00,"2,0","6,2","39,1","19,8","32,5","116,8","121,7",,
07/01/2014 8.00,"2,0","6,2","39,1","19,8","39,3","178,1","179,8",,
07/01/2014 9.00,"1,8","3,7","39,1","19,8","39,3","120,7","124,7",,
07/01/2014 10.00,"1,5","2,2","39,1","19,8","52,7","61,7","63,2",,
07/01/2014 11.00,"3,7","2,8","39,1","19,8","52,7","87,0","73,8",,
07/01/2014 12.00,"3,5","3,2","39,1","19,8","44,5","28,2","29,2",,
07/01/2014 13.00,"2,8","1,6","39,1","19,8","44,5","31,1","32,8",,
07/01/2014 14.00,"2,5","1,3","39,1","19,8","35,2","24,3","23,4",,
07/01/2014 15.00,"2,3","1,2","39,1","19,8","35,2","16,1","16,6",,
07/01/2014 16.00,"1,8","0,9","39,1","19,8","26,5","22,9","24,3",,
07/01/2014 17.00,"1,2","1,5","39,1","19,8","26,5","52,0","54,4",,
07/01/2014 18.00,"2,0","2,8","39,1","19,8","23,5","196,6","204,3",,
07/01/2014 19.00,"2,3","5,5","39,1","19,8","23,5","244,0","253,4",,
07/01/2014 20.00,"2,1","3,1","39,1","19,8","39,0","157,3","164,3",,
07/01/2014 21.00,"2,2","6,3","39,1","19,8","39,0","199,4","208,3",,
07/01/2014 22.00,"1,6","5,0","39,1","19,8","46,4","133,5","139,8",,
07/01/2014 23.00,"1,5","3,4","39,1","19,8","46,4","124,0","124,5",,
08/01/2014 0.00,"1,5","3,0","39,1","19,8","49,0","82,9","86,2",,
08/01/2014 1.00,,"3,2","32,2","17,6","49,0","62,7","65,3",,
08/01/2014 2.00,"1,4","4,2","32,2","17,6","45,9","40,6","42,0",,
08/01/2014 3.00,"1,8","2,2","32,2","17,6","45,9","26,2","27,5",,
08/01/2014 4.00,"1,7","1,5","32,2","17,6","36,6","17,3","18,4",,
08/01/2014 5.00,"1,3","1,0","32,2","17,6","36,6","22,8","18,1",,
08/01/2014 6.00,"1,4","1,2","32,2","17,6","26,6","31,7","33,1",,
08/01/2014 7.00,"1,8","2,2","32,2","17,6","26,6","103,0","108,3",,
08/01/2014 8.00,"2,4","5,4","32,2","17,6","21,7","278,3","287,0",,
08/01/2014 9.00,"2,2","5,7","32,2","17,6","21,7","295,8","305,4",,
08/01/2014 10.00,"2,1","3,6","32,2","17,6","37,8","166,4","205,2",,
08/01/2014 11.00,"1,4","5,5","32,2","17,6","37,8","33,3","44,7",,
08/01/2014 12.00,"0,8","3,2","32,2","17,6","56,3","32,6","44,4",,
08/01/2014 13.00,"0,9","1,4","32,2","17,6","56,3","38,9","51,6",,
08/01/2014 14.00,"1,0","1,3","32,2","17,6","39,1","42,0","59,0",,
08/01/2014 15.00,"0,8","1,2","32,2","17,6","39,1","28,3","38,5",,
08/01/2014 16.00,"0,9","1,0","32,2","17,6","28,2","32,1","43,2",,
08/01/2014 17.00,"1,1","1,0","32,2","17,6","28,2","33,6","45,7",,
08/01/2014 18.00,"0,8","1,0","32,2","17,6","21,8","45,9","63,9",,
08/01/2014 19.00,"2,6","1,8","32,2","17,6","21,8","59,6","81,5",,
08/01/2014 20.00,"3,2","3,4","32,2","17,6","21,9","42,1","56,6",,
08/01/2014 21.00,"1,1","3,1","32,2","17,6","21,9","13,8","18,3",,
08/01/2014 22.00,"0,8","1,3","32,2","17,6","31,8","8,3","10,8",,
08/01/2014 23.00,"1,0","0,9","32,2","17,6","31,8","7,9","10,5",,
09/01/2014 0.00,"0,4","1,7","32,2","17,6","33,1","6,2","7,8",,
09/01/2014 1.00,"2,7","1,8","42,0","26,1","33,1","21,0","27,7",,
09/01/2014 2.00,"1,6","2,7","42,0","26,1","27,3","4,2","5,2",,
09/01/2014 3.00,"1,0","1,4","42,0","26,1","27,3","3,6","4,1",,
09/01/2014 4.00,"1,0","0,7","42,0","26,1","32,0","8,8","11,7",,
09/01/2014 5.00,"1,1","0,8","42,0","26,1","32,0","12,0","15,7",,
09/01/2014 6.00,"1,4","1,3","42,0","26,1","16,4","14,4","18,6",,
09/01/2014 7.00,"2,1","1,4","42,0","26,1","16,4","98,0","130,8",,
09/01/2014 8.00,"2,3","4,5","42,0","26,1","13,8","144,6","189,3",,
09/01/2014 9.00,"2,1","4,1","42,0","26,1","13,8","174,1","232,2",,
09/01/2014 10.00,"1,7","7,4","42,0","26,1","28,8","101,2","136,7",,
09/01/2014 11.00,"1,8","3,4","42,0","26,1","28,8","39,7","53,0",,
09/01/2014 12.00,"2,3","11,3","42,0","26,1","40,5","39,8","49,8",,
09/01/2014 13.00,"2,1","4,0","42,0","26,1","40,5","27,5","38,0",,
09/01/2014 14.00,"1,4","1,7","42,0","26,1","34,8","19,5","25,9",,
09/01/2014 15.00,"1,8","1,2","42,0","26,1","34,8","10,8","14,8",,
09/01/2014 16.00,"1,5","0,9","42,0","26,1","33,8","17,4","22,7",,
09/01/2014 17.00,"1,3","0,9","42,0","26,1","33,8","36,0","48,1",,
09/01/2014 18.00,"1,9","1,9","42,0","26,1","27,7","187,4","229,1",,
09/01/2014 19.00,"1,9","4,5","42,0","26,1","27,7","277,3","369,6",,
09/01/2014 20.00,"2,0","6,1","42,0","26,1","34,6","195,1","260,2",,
09/01/2014 21.00,"1,9","4,4","42,0","26,1","34,6","151,6","196,5",,
09/01/2014 22.00,"1,7","4,3","42,0","26,1","49,2","118,7","158,6",,
09/01/2014 23.00,"1,3","3,4","42,0","26,1","49,2","119,3","159,5",,
10/01/2014 0.00,"1,3","2,7","42,0","26,1","44,9","101,2","136,4",,
10/01/2014 1.00,,"2,8","35,0","26,3","44,9","36,6","48,3",,
10/01/2014 2.00,"1,6","1,9","35,0","26,3","45,1","21,8","28,1",,
10/01/2014 3.00,"1,7",,"35,0","26,3","45,1","18,2","23,4",,
10/01/2014 4.00,"1,3","1,2","35,0","26,3","32,0","17,9","24,0",,
10/01/2014 5.00,"1,0","1,1","35,0","26,3","32,0","13,4","17,8",,
10/01/2014 6.00,"1,3","0,9","35,0","26,3","23,9","21,0","26,1",,
10/01/2014 7.00,"1,7","1,1","35,0","26,3","23,9","94,5","120,7",,
10/01/2014 8.00,"1,9","3,5","35,0","26,3","28,7","171,3","214,9",,
10/01/2014 9.00,"2,2","3,3","35,0","26,3","28,7","102,3","135,0",,
10/01/2014 10.00,"1,3","2,8","35,0","26,3","38,1","46,6","61,9",,
10/01/2014 11.00,"1,2","1,9","35,0","26,3","38,1","43,2","57,6",,
10/01/2014 12.00,"1,2","2,1","35,0","26,3","33,7","33,7","45,3",,
10/01/2014 13.00,"1,3","1,7","35,0","26,3","33,7","25,3","35,6",,
10/01/2014 14.00,"1,6","1,5","35,0","26,3","26,8","18,6","24,7",,
10/01/2014 15.00,"1,3","1,4","35,0","26,3","26,8","23,1","30,0",,
10/01/2014 16.00,"1,3","1,2","35,0","26,3","24,6","17,1","22,9",,
10/01/2014 17.00,"1,0","1,1","35,0","26,3","24,6","32,4","42,1",,
10/01/2014 18.00,"1,0","1,8","35,0","26,3","19,2","57,4","76,7",,
10/01/2014 19.00,"1,5","3,5","35,0","26,3","19,2","107,0","142,7",,
10/01/2014 20.00,"1,5","2,6","35,0","26,3","30,8","99,4","132,1",,
10/01/2014 21.00,"1,5","2,3","35,0","26,3","30,8","108,5","142,9",,
10/01/2014 22.00,"1,3","4,2","35,0","26,3","34,3","93,9","126,5",,
10/01/2014 23.00,"1,1","1,6","35,0","26,3","34,3","69,7","79,5",,
11/01/2014 0.00,"2,0","2,1","35,0","26,3","42,3","97,0","128,0",,
11/01/2014 1.00,"0,9","1,8","41,7","30,1","42,3","56,3","73,9",,
11/01/2014 2.00,"1,0","1,3","41,7","30,1","37,3","27,1","35,4",,
11/01/2014 3.00,"1,2","0,7","41,7","30,1","37,3","14,6","19,3",,
11/01/2014 4.00,"1,3","0,7","41,7","30,1","22,4","14,3","18,8",,
11/01/2014 5.00,"1,1","0,7","41,7","30,1","22,4","10,6","13,1",,
11/01/2014 6.00,"1,1","0,5","41,7","30,1","16,0","28,9","38,0",,
11/01/2014 7.00,"2,0","1,0","41,7","30,1","16,0","125,8","162,1",,
11/01/2014 8.00,"2,1","1,7","41,7","30,1","26,8","114,2","149,0",,
11/01/2014 9.00,"2,0","2,3","41,7","30,1","26,8","120,0","158,2",,
11/01/2014 10.00,"1,7","6,3","41,7","30,1","40,1","88,4","116,3",,
11/01/2014 11.00,"2,2","4,3","41,7","30,1","40,1","129,6","172,6",,
11/01/2014 12.00,"1,5","6,2","41,7","30,1","46,9","64,3","83,5",,
11/01/2014 13.00,"1,1","3,1","41,7","30,1","46,9","73,0","97,8",,
11/01/2014 14.00,"1,1","2,9","41,7","30,1","47,1","39,4","50,9",,
11/01/2014 15.00,"0,9","0,9","41,7","30,1","47,1","21,7","28,1",,
11/01/2014 16.00,"0,5","1,3","41,7","30,1","37,0","24,7","22,8",,
11/01/2014 17.00,"1,3","1,3","41,7","30,1","37,0","33,1","37,0",,
11/01/2014 18.00,"1,6","3,6","41,7","30,1","31,2","70,4","94,3",,
11/01/2014 19.00,"1,9","3,4","41,7","30,1","31,2","145,6","196,9",,
11/01/2014 20.00,"1,3","5,5","41,7","30,1","36,5","172,2","223,0",,
11/01/2014 21.00,"1,8","4,9","41,7","30,1","36,5","132,9","176,6",,
11/01/2014 22.00,"1,5","4,3","41,7","30,1","46,5","82,0","109,7",,
11/01/2014 23.00,"1,1","3,4","41,7","30,1","46,5","85,4","108,4",,
12/01/2014 0.00,"1,6","2,9","41,7","30,1","40,8","77,1","91,2",,
12/01/2014 1.00,,"2,6","39,2","30,3","40,8","50,3","66,0",,
12/01/2014 2.00,"1,4","2,7","39,2","30,3","41,9","37,8","49,5",,
12/01/2014 3.00,"1,8","2,5","39,2","30,3","41,9","48,9","64,1",,
12/01/2014 4.00,"1,9","2,0","39,2","30,3","29,5","27,8","35,8",,
12/01/2014 5.00,"1,4","1,9","39,2","30,3","29,5","21,6","28,8",,
12/01/2014 6.00,"1,8","1,5","39,2","30,3","32,6","18,1","23,1",,
12/01/2014 7.00,"1,3","1,7","39,2","30,3","32,6","53,6","71,3",,
12/01/2014 8.00,"1,0","2,3","39,2","30,3","25,0","66,6","87,4",,
12/01/2014 9.00,"1,2","2,2","39,2","30,3","25,0","156,3","208,3",,
12/01/2014 10.00,"1,4","2,5","39,2","30,3","25,9","43,6","57,6",,
12/01/2014 11.00,"1,5","2,7","39,2","30,3","25,9","36,7","48,8",,
12/01/2014 12.00,"0,8","2,4","39,2","30,3","29,9","21,6","29,2",,
12/01/2014 13.00,"1,1","1,2","39,2","30,3","29,9","18,3","24,1",,
12/01/2014 14.00,"1,0","1,4","39,2","30,3","30,5","19,5","26,6",,
12/01/2014 15.00,"0,9","0,9","39,2","30,3","30,5","9,0","12,2",,
12/01/2014 16.00,"1,2","0,7","39,2","30,3","27,2","5,3","6,8",,
12/01/2014 17.00,"1,1","0,8","39,2","30,3","27,2","6,9","8,7",,
12/01/2014 18.00,"1,3","1,0","39,2","30,3","19,3","11,4","14,6",,
12/01/2014 19.00,"1,4","1,7","39,2","30,3","19,3","42,9","56,7",,
12/01/2014 20.00,"1,3","1,8","39,2","30,3","27,7","53,7","70,8",,
12/01/2014 21.00,"1,3","2,5","39,2","30,3","27,7","49,8","66,4",,
12/01/2014 22.00,"1,2","2,5","39,2","30,3","31,2","42,8","56,7",,
12/01/2014 23.00,"1,3","2,9","39,2","30,3","31,2","38,6","51,0",,
13/01/2014 0.00,"1,2","2,4","39,2","30,3","38,8","37,5","49,2",,
13/01/2014 1.00,"1,3","2,6","39,2","28,0","38,8","44,9","58,9",,
13/01/2014 2.00,"1,2","2,2","39,2","28,0","43,8","14,2","18,2",,
13/01/2014 3.00,"1,0","1,6","39,2","28,0","43,8","7,6","9,5",,
13/01/2014 4.00,"1,3","0,8","39,2","28,0","29,5","8,7","10,7",,
13/01/2014 5.00,"1,4","1,1","39,2","28,0","29,5","28,2","37,4",,
13/01/2014 6.00,"1,3","1,5","39,2","28,0","32,3","33,7","42,8",,
13/01/2014 7.00,"0,4","1,2","39,2","28,0","32,3","41,6","54,0",,
13/01/2014 8.00,"1,7","1,9","39,2","28,0","28,8","153,3","200,4",,
13/01/2014 9.00,"1,7","4,4","39,2","28,0","28,8","157,4","203,0",,
13/01/2014 10.00,"1,3","8,8","39,2","28,0","41,8","67,4","88,6",,
13/01/2014 11.00,"1,4","2,3","39,2","28,0","41,8","35,6","46,6",,
13/01/2014 12.00,"1,3","1,9","39,2","28,0","48,4","25,0","33,2",,
13/01/2014 13.00,"1,2","1,5","39,2","28,0","48,4","23,5","30,9",,
13/01/2014 14.00,"0,9","1,3","39,2","28,0","36,6","19,6","26,3",,
13/01/2014 15.00,"1,1","1,0","39,2","28,0","36,6","9,7","12,3",,
13/01/2014 16.00,"1,5","1,2","39,2","28,0","30,6","17,0","17,6",,
13/01/2014 17.00,,"1,0","39,2","28,0","30,6","40,6","10,4",,
13/01/2014 18.00,,"1,5","39,2","28,0","27,1","66,2","88,9",,
13/01/2014 19.00,"3,8","2,0","39,2","28,0","27,1","82,7","108,0",,
13/01/2014 20.00,"3,7","2,2","39,2","28,0","84,3","58,6","76,2",,
13/01/2014 21.00,"3,9","2,1","39,2","28,0","84,3","63,0","75,2",,
13/01/2014 22.00,"3,8","2,6","39,2","28,0","67,8","33,8","43,8",,
13/01/2014 23.00,"3,6","1,9","39,2","28,0","67,8","17,9","21,6",,
14/01/2014 0.00,"3,8","1,4","39,2","28,0","55,0","35,1","45,1",,
14/01/2014 1.00,,"1,9","24,7","14,6","55,0","15,6","19,5",,
14/01/2014 2.00,"3,5","1,6","24,7","14,6","45,9","8,4","10,3",,
14/01/2014 3.00,"3,7","1,4","24,7","14,6","45,9","3,2","3,6",,
14/01/2014 4.00,"3,6","1,3","24,7","14,6","34,4","5,6","6,9",,
14/01/2014 5.00,"3,8","1,1","24,7","14,6","34,4","3,4","4,1",,
14/01/2014 6.00,"4,1","1,2","24,7","14,6","36,1","19,6","25,4",,
14/01/2014 7.00,"4,5","1,7","24,7","14,6","36,1","98,7","125,3",,
