, Brindisi,,,,
,Via Taranto,,,,
Parm,SO2,NO2,CO,O3,BENZENE
,,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
12/01/2008 6.00,"0,580843",,"0,372653","46,487349","1,06846"
12/01/2008 7.00,"0,748315",,"0,360011","34,998923","0,813193"
12/01/2008 8.00,"0,584381",,"0,330178","39,991971","0,490499"
12/01/2008 9.00,"0,77485",,"0,389263","36,395763","0,956692"
12/01/2008 10.00,"0,536617",,"0,346393","57,677246","1,228536"
12/01/2008 11.00,"0,611507",,"0,4409","61,273454","1,015983"
12/01/2008 12.00,"0,484725",,"0,370625","72,134474","1,276335"
12/01/2008 13.00,"0,244131",,"0,353046","75,273587","0,934928"
12/01/2008 14.00,"0,070763",,"0,342295","73,941545","0,658152"
12/01/2008 15.00,"0,043637",,"0,288366","78,189999","0,822194"
12/01/2008 16.00,"0,040099",,"0,283169","77,610146","0,498533"
12/01/2008 17.00,"0,339071",,"0,301936","70,002678","0,445599"
12/01/2008 18.00,"0,475289",,"0,335423","70,352921","0,682"
12/01/2008 19.00,"0,463496",,"0,34507","67,815038","0,623421"
12/01/2008 20.00,"0,47352",,"0,350622","67,144896","0,374612"
12/01/2008 21.00,"0,313714",,"0,3582","66,605728","0,687492"
12/01/2008 22.00,"0,306049",,"0,332558","69,231867","0,53006"
12/01/2008 23.00,"0,310176",,"0,330488","69,456623","0,600691"
13/01/2008 0.00,"0,451702",,"0,3163","72,388895","0,441836"
13/01/2008 1.00,,,"0,307312","72,466801","0,120718"
13/01/2008 2.00,"0,147731",,"0,26616","76,43601","0,445599"
13/01/2008 3.00,"0,136241",,"0,257789","74,144253","0,280031"
13/01/2008 4.00,"0,09286",,"0,248185","77,426767","0,269302"
13/01/2008 5.00,"0,076445",,"0,227918","76,994455","0,225011"
13/01/2008 6.00,"0,037519",,"0,228976","79,534423",0
13/01/2008 7.00,"0,040333",,"0,231575","75,302552","0,211078"
13/01/2008 8.00,"0,046195",,"0,258803","66,198949","0,234927"
13/01/2008 9.00,"0,075273",,"0,259156","65,09374","0,251911"
13/01/2008 10.00,"0,032829",,"0,323354","62,222834","0,265132"
13/01/2008 11.00,"0,119123",,"0,347802","67,222103","0,335661"
13/01/2008 12.00,"0,179857",,"0,361593","64,132647","0,797786"
13/01/2008 13.00,"0,394185",,"0,378732","60,903219","0,574249"
13/01/2008 14.00,"0,183375",,"0,345512","59,712523","0,343034"
13/01/2008 15.00,"0,045961",,"0,292729","78,967005","0,30871"
13/01/2008 16.00,"0,019697",,"0,295196","73,427909","0,21718"
13/01/2008 17.00,"0,098487",,"0,376706","54,60365","0,249826"
13/01/2008 18.00,"0,478134",,"0,608853","32,061145","0,698272"
13/01/2008 19.00,"0,956739",,"0,795002","24,888722","1,691271"
13/01/2008 20.00,"0,162504",,"0,588188","19,692973","1,385713"
13/01/2008 21.00,"0,095674",,"0,614447","28,255345","1,157905"
13/01/2008 22.00,"0,147498",,"0,624837","23,375356","1,531348"
