Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
06/01/2014 3.00,"4,8","7,1",,"41,2","1,3",,,
06/01/2014 4.00,"7,0","9,7","0,4","36,5","1,4",,,
06/01/2014 5.00,"3,8","6,1","0,4","42,3","1,4",,,
06/01/2014 6.00,"4,2","6,7","0,4","36,6","0,9",,,
06/01/2014 7.00,"5,4","7,9","0,4","27,6","0,8",,,
06/01/2014 8.00,"5,7","8,3","0,3","31,9","0,9",,,
06/01/2014 9.00,"9,5","12,2","0,4","41,3","0,9",,,
06/01/2014 10.00,"15,7","20,4","0,7","39,4","2,8",,,
06/01/2014 11.00,"4,0","6,8","0,3","61,3","4,3",,,
06/01/2014 12.00,"6,5","9,5","0,3","67,1","0,6",,,
06/01/2014 13.00,"6,8","10,3","0,2","69,5","0,7",,,
06/01/2014 14.00,"3,5","5,9","0,2","76,4","0,4",,,
06/01/2014 15.00,"3,0","5,3","0,2","80,0","0,4",,,
06/01/2014 16.00,"3,0","5,3","0,2","79,0","0,3",,,
06/01/2014 17.00,"6,3","8,7","0,2","72,7","0,3",,,
06/01/2014 18.00,"11,5","14,1","0,3","57,2","1,1",,,
06/01/2014 19.00,"16,4","19,8","0,4","45,8","3,4",,,
06/01/2014 20.00,"14,3","16,9","0,5","43,8","4,1",,,
06/01/2014 21.00,"25,1","28,0","1,1","32,9","4,5",,,
06/01/2014 22.00,"37,1","42,2","2,0","18,6","10,9",,,
06/01/2014 23.00,"19,9","22,8","1,2","21,3","8,7",,,
07/01/2014 0.00,"16,0","18,4","1,0","28,4","4,8",,,
07/01/2014 1.00,"8,9","11,3","0,7","35,8","4,6",,,
07/01/2014 2.00,"3,9","6,3","0,3","56,4","2,3",,,
07/01/2014 3.00,"3,9","6,2","0,3","55,5","0,9",,,
07/01/2014 4.00,"6,1","8,4","0,3","54,1","0,7",,,
07/01/2014 5.00,"3,8","6,1","0,3","53,0","0,7",,,
07/01/2014 6.00,"5,5","7,9","0,2","46,5","0,9",,,
07/01/2014 7.00,"11,0","13,8","0,2","37,5","0,9",,,
07/01/2014 8.00,"22,7","29,4","0,3","19,1","1,1",,,
07/01/2014 9.00,"21,7","32,3","0,4","15,3","2,3",,,
07/01/2014 10.00,"13,5","19,8","0,3","28,1","2,6",,,
07/01/2014 11.00,"5,7","8,5","0,3","47,5","1,2",,,
07/01/2014 12.00,"5,1","8,4","0,2","54,3","0,9",,,
07/01/2014 13.00,"5,2","8,9","0,2","59,3","0,7",,,
07/01/2014 14.00,"5,0","8,3","0,2","62,0","0,8",,,
07/01/2014 15.00,"4,6","7,5","0,2","64,6","0,7",,,
07/01/2014 16.00,"6,8","10,1","0,3","62,9","0,7",,,
07/01/2014 17.00,"8,6","11,5","0,3","57,8","0,9",,,
07/01/2014 18.00,"14,7","18,0","0,5","46,1","1,7",,,
07/01/2014 19.00,"21,2","24,4","0,9","35,8","4,3",,,
07/01/2014 20.00,"33,6","39,8","1,4","23,3","4,9",,,
07/01/2014 21.00,"37,1","45,5","2,2","17,5","9,2",,,
07/01/2014 22.00,"36,9","46,2","2,4","13,5","12,4",,,
07/01/2014 23.00,"23,5","27,0","1,8","17,0","10,2",,,
08/01/2014 0.00,"19,8","22,7","1,7","16,3","7,3",,,
08/01/2014 1.00,"12,3","14,7","1,0","19,3","4,8",,,
08/01/2014 2.00,"8,8","11,1","0,7","29,7","3,3",,,
08/01/2014 3.00,"6,5","8,8",,"35,0","1,4",,,
08/01/2014 4.00,"5,1","7,4","0,5","24,9","1,7",,,
08/01/2014 5.00,"5,0","7,4","0,4","28,7","1,3",,,
08/01/2014 6.00,"5,6","7,9","0,3","29,8","1,3",,,
08/01/2014 7.00,"15,8","20,0","0,4","21,6","1,2",,,
08/01/2014 8.00,"27,8","38,8","0,4","10,4","2,0",,,
08/01/2014 9.00,"21,6","29,8","0,3","25,4","1,5",,,
08/01/2014 10.00,"11,3","17,3","0,3","42,0","1,1",,,
08/01/2014 11.00,"7,1","11,0","0,3","51,7","0,9",,,
08/01/2014 12.00,"6,9","11,8","0,3","51,3","0,8",,,
08/01/2014 13.00,"7,4","12,4","0,3","53,9","0,7",,,
08/01/2014 14.00,"8,0","12,1","0,3","56,8","0,9",,,
08/01/2014 15.00,"6,1","9,2","0,3","62,5","1,1",,,
08/01/2014 16.00,"4,6","7,3","0,2","63,7","0,8",,,
08/01/2014 17.00,"5,6","8,9","0,3","61,6","0,8",,,
08/01/2014 18.00,"6,9","9,8","0,3","59,8","0,8",,,
08/01/2014 19.00,"6,6","9,1","0,3","59,4","0,9",,,
08/01/2014 20.00,"9,3","12,0","0,3","52,3","1,4",,,
08/01/2014 21.00,"8,4","10,9","0,3","51,2","1,7",,,
08/01/2014 22.00,"7,9","10,3","0,3","51,8","1,3",,,
08/01/2014 23.00,"8,0","10,3","0,4","49,7","1,3",,,
09/01/2014 0.00,"7,7","10,0","0,3","48,7","1,0",,,
09/01/2014 1.00,"6,3","8,7","0,3","49,0","0,9",,,
