,Provincia di TARANTO,,
,MARTINA FRANCA,,
Parm,NO2,CO,O3
,,,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
16/01/2010 21.00,"61,511332","0,854293","28,118567"
16/01/2010 22.00,"57,010313","0,810295","29,571605"
16/01/2010 23.00,"41,017943","0,617793","40,720104"
17/01/2010 0.00,"34,757005","0,563051","44,438065"
17/01/2010 1.00,"23,732871","0,479084","51,604267"
17/01/2010 2.00,"16,116975","0,471343","55,694993"
17/01/2010 3.00,"15,883359","0,44567","49,960125"
17/01/2010 4.00,"14,951486","0,389349","51,537851"
17/01/2010 5.00,"13,526421","0,383978","52,24947"
17/01/2010 6.00,"16,680251","0,409255","44,509906"
17/01/2010 7.00,"20,475206","0,452938","41,45203"
17/01/2010 8.00,"29,531776","0,587461","16,631238"
17/01/2010 9.00,"39,694115","0,679565","8,329175"
17/01/2010 10.00,"42,113348","0,88115","26,643863"
17/01/2010 11.00,"39,865429","0,752079","39,852618"
17/01/2010 12.00,"34,157383","0,659499","50,72459"
17/01/2010 13.00,"25,365605","0,555863","62,423392"
17/01/2010 14.00,"21,277308","0,489195","69,97726"
17/01/2010 15.00,"17,529059","0,480664","66,203713"
17/01/2010 16.00,"26,393515","0,533824","55,082328"
17/01/2010 17.00,"38,341717","0,774828","41,18095"
17/01/2010 18.00,"48,794794","0,94932","32,845"
17/01/2010 19.00,"55,538531","0,893868","26,288733"
17/01/2010 20.00,"65,391968","1,157147","18,36078"
17/01/2010 21.00,"59,266014","1,407392","15,883035"
17/01/2010 22.00,"54,570314","1,259362","13,730599"
17/01/2010 23.00,"46,494962","0,823171","17,482456"
18/01/2010 0.00,"42,549416","0,907691","18,611531"
18/01/2010 1.00,"22,045647","0,546385","40,294493"
18/01/2010 2.00,,"0,547254","49,877435"
18/01/2010 3.00,"20,763345",,"52,652041"
18/01/2010 4.00,"11,187651","0,428268",
18/01/2010 5.00,"8,020849","0,378499","63,738155"
18/01/2010 6.00,"10,183101","0,356219","60,905297"
18/01/2010 7.00,"30,43248","0,565575","38,75064"
18/01/2010 8.00,"53,404817","0,756285","25,509347"
18/01/2010 9.00,"67,284275","0,996767","18,875845"
18/01/2010 10.00,"51,1699","0,7329","31,606128"
18/01/2010 11.00,"44,659769","0,671594","32,413963"
18/01/2010 12.00,"37,736912","0,606024","40,013915"
18/01/2010 13.00,"43,538398","0,622298","41,491333"
18/01/2010 14.00,"40,223641","0,600492","48,668403"
18/01/2010 15.00,"35,813479","0,473458","57,687482"
18/01/2010 16.00,"34,128835","0,514697","60,196392"
18/01/2010 17.00,"45,534546","0,624193","50,964509"
18/01/2010 18.00,"50,186118","0,917448","44,828429"
18/01/2010 19.00,"58,087552","0,905045","34,415946"
18/01/2010 20.00,"55,920109","0,888929","32,190322"
18/01/2010 21.00,"42,5676","0,672937","31,62917"
18/01/2010 22.00,"35,039942","0,540609","33,202826"
18/01/2010 23.00,"27,828968","0,492181","35,608734"
19/01/2010 0.00,"18,253265","0,424555","43,792885"
19/01/2010 1.00,"11,377141","0,346423","49,553487"
19/01/2010 2.00,"10,050722","0,354718","45,937188"
19/01/2010 3.00,"8,786596","0,329043","44,030068"
19/01/2010 4.00,"6,481575","0,310715","52,353826"
19/01/2010 5.00,"4,983829","0,267659","61,141144"
19/01/2010 6.00,"7,888467","0,293334","63,510447"
19/01/2010 7.00,"14,834672","0,353849","59,368229"
19/01/2010 8.00,"42,866102","0,470535","45,948021"
19/01/2010 9.00,"44,976454","0,577504","41,828847"
19/01/2010 10.00,"39,172367","0,475749","48,146552"
19/01/2010 11.00,"31,782276","0,430639","54,293465"
19/01/2010 12.00,"25,731599","0,334257","61,034071"
19/01/2010 13.00,"27,431808","0,410019","58,773201"
19/01/2010 14.00,"39,348864","0,542189","50,754415"
19/01/2010 15.00,"24,215689","0,429769","65,97465"
19/01/2010 16.00,"32,641471","0,486888","60,026978"
19/01/2010 17.00,"35,120399","0,502926","57,747131"
19/01/2010 18.00,"36,140529","0,596623","53,440885"
19/01/2010 19.00,"31,353987","0,491392","60,482395"
19/01/2010 20.00,"32,667418","0,523703","55,963383"
19/01/2010 21.00,"26,684235","0,415629","57,410972"
19/01/2010 22.00,"19,507007","0,373678","64,516185"
19/01/2010 23.00,"10,811271","0,309214","72,369602"
20/01/2010 0.00,"7,647063","0,280535","74,753825"
20/01/2010 1.00,"4,867021","0,254701","73,982579"
20/01/2010 2.00,,"0,259521","71,850464"
20/01/2010 3.00,"10,588042",,"71,556341"
20/01/2010 4.00,"5,89234","0,22306",
20/01/2010 5.00,"4,192127","0,228672","73,106974"
20/01/2010 6.00,"6,183062","0,245113","69,978614"
20/01/2010 7.00,"16,441435","0,345183","57,874551"
20/01/2010 8.00,"51,673461","0,512042","32,591539"
20/01/2010 9.00,"52,85194","0,68499","40,758049"
20/01/2010 10.00,"31,029523","0,421459","56,662767"
20/01/2010 11.00,"33,552578","0,404939","61,429861"
20/01/2010 12.00,"31,172271","0,411342","65,494811"
20/01/2010 13.00,"38,995852","0,552749","61,69416"
20/01/2010 14.00,"48,693553","0,631635","59,528167"
20/01/2010 15.00,"34,793331","0,496155","66,669989"
20/01/2010 16.00,"43,273644","0,572036","61,421722"
20/01/2010 17.00,"62,162864","0,656692","46,018504"
20/01/2010 18.00,"96,738194","1,384206","21,453872"
20/01/2010 19.00,"89,319552","1,126605","13,123356"
20/01/2010 20.00,"99,411802","1,204145","8,715475"
20/01/2010 21.00,"85,368831","1,151502","6,190291"
20/01/2010 22.00,"82,401885","1,127948","3,984991"
20/01/2010 23.00,"66,121374","0,998159","8,441677"
21/01/2010 0.00,"60,304305","0,881174","14,546572"
21/01/2010 1.00,"50,131605","0,859121","5,772818"
21/01/2010 2.00,"32,729728","0,598516","22,913693"
21/01/2010 3.00,"27,805603","0,572274","14,988443"
21/01/2010 4.00,"19,213687","0,489989","12,768233"
21/01/2010 5.00,"20,358402","0,489989","18,307913"
21/01/2010 6.00,"75,704874","0,598912","19,237752"
21/01/2010 7.00,"106,861581","0,836911","9,927238"
21/01/2010 8.00,"99,892019","1,038471","11,579516"
21/01/2010 9.00,"111,02775","1,571143","6,441047"
21/01/2010 10.00,"102,01531","1,253153","6,813793"
21/01/2010 11.00,"91,499982","1,131821","11,365353"
21/01/2010 12.00,"82,4206","1,040526","23,350297"
21/01/2010 13.00,"72,478352","0,91548","33,944247"
21/01/2010 14.00,"76,828826","0,998475","39,689967"
21/01/2010 15.00,"49,407377","0,608475","59,769441"
21/01/2010 16.00,"52,89087","0,655032","56,619396"
21/01/2010 17.00,"64,356277","0,865682","47,228911"
21/01/2010 18.00,"59,621647","0,854696","42,200235"
21/01/2010 19.00,"57,186828","0,876353","38,47956"
21/01/2010 20.00,"59,907163","0,790433","41,530652"
21/01/2010 21.00,"55,930491","0,692498","44,659012"
21/01/2010 22.00,"35,1282","0,481137","63,219036"
21/01/2010 23.00,"17,762678","0,375851","77,449788"
22/01/2010 0.00,"11,146118","0,354431","80,91836"
22/01/2010 1.00,"8,153233","0,335618","80,972583"
22/01/2010 2.00,,"0,322496","79,743204"
22/01/2010 3.00,"11,125358",,"77,25326"
22/01/2010 4.00,"5,863786","0,165682",
22/01/2010 5.00,"5,12919","0,17916","71,019585"
22/01/2010 6.00,"5,443276","0,188196","67,74892"
22/01/2010 7.00,"13,617266","0,263267","58,922287"
22/01/2010 8.00,"33,962703","0,391454","43,837611"
22/01/2010 9.00,"38,684368","0,538031","39,767234"
22/01/2010 10.00,"35,997777","0,467319","40,564237"
