,Regione Puglia,,,,,,,,
,S.Barbara Galatina,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10


10/01/2007 0.00,"1,03114952",,,"22,19619768",,,,,
10/01/2007 1.00,,,,"18,66469544",,,,,
10/01/2007 2.00,"0,52032873",,,,,,,,
10/01/2007 3.00,"0,52926511",,,"14,69450392",,,,,
10/01/2007 4.00,"0,4950278",,,"9,54974403",,,,,
10/01/2007 5.00,"0,41084563",,,"7,72104031",,,,,
10/01/2007 6.00,"0,5364136",,,"8,33233922",,,,,
10/01/2007 7.00,"0,41902841",,,"9,19672191",,,,,
10/01/2007 8.00,"0,37811348",,,"13,0436162",,,,,
10/01/2007 9.00,"0,54854641",,,"18,8009675",,,,,
10/01/2007 10.00,"0,69226783",,,"17,77824826",,,,,
10/01/2007 11.00,"0,58692189",,,"13,64842195",,,,,
10/01/2007 12.00,"0,45100797",,,"10,03125446",,,,,
10/01/2007 13.00,"0,35807858",,,"10,1091264",,,,,
10/01/2007 14.00,"0,44696438",,,"7,4562742",,,,,
10/01/2007 15.00,"0,44103832",,,"7,34595562",,,,,
10/01/2007 16.00,"0,39758395",,,"11,91705242",,,,,
10/01/2007 17.00,"0,43360812",,,"12,21556724",,,,,
10/01/2007 18.00,"0,42871635",,,"13,09941792",,,,,
10/01/2007 19.00,"0,37914777",,,"13,17988635",,,,,
10/01/2007 20.00,"0,50828948",,,"12,08578259",,,,,
10/01/2007 21.00,"0,46775084",,,"13,87555034",,,,,
10/01/2007 22.00,"0,54506624",,,"15,06310119",,,,,
10/01/2007 23.00,"0,51365111",,,"18,35320387",,,,,
11/01/2007 0.00,"0,53970563",,,"16,15461037",,,,,
11/01/2007 1.00,"0,66705945",,,"14,29476208",,,,,
11/01/2007 2.00,"0,53725974",,,"14,94628946",,,,,
11/01/2007 3.00,"0,48364655",,,"13,99106",,,,,
11/01/2007 4.00,"0,4438605",,,"11,66657086",,,,,
11/01/2007 5.00,"0,31424792",,,"10,78272018",,,,,
11/01/2007 6.00,"0,45862734",,,"12,09356634",,,,,
11/01/2007 7.00,"0,47480476",,,"11,79245694",,,,,
11/01/2007 8.00,"0,35459841",,,"9,9274233",,,,,
11/01/2007 9.00,"0,42495447",,,"8,03383013",,,,,
11/01/2007 10.00,"0,5584225",,,"15,24349839",,,,,
11/01/2007 11.00,"0,52550221",,,"17,82886464",,,,,
11/01/2007 12.00,"0,50763148",,,"8,51274406",,,,,
11/01/2007 13.00,"0,56124467",,,"8,36997885",,,,,
11/01/2007 14.00,"0,56331427",,,"8,86965902",,,,,
11/01/2007 15.00,"0,4238256",,,"8,34531787",,,,,
11/01/2007 16.00,"0,43247925",,,"8,77880651",,,,,
11/01/2007 17.00,"0,46107221",,,"12,34795221",,,,,
11/01/2007 18.00,"0,43050424",,,"14,53356514",,,,,
11/01/2007 19.00,"0,59604641",,,"13,16431502",,,,,
11/01/2007 20.00,"0,58541774",,,"14,81520466",,,,,
11/01/2007 21.00,"0,4719836",,,"11,59128968",,,,,
11/01/2007 22.00,"0,4970974",,,"8,7554457",,,,,
11/01/2007 23.00,"0,42044",,,"11,03060715",,,,,
12/01/2007 0.00,"0,54120977",,,"8,97608476",,,,,
12/01/2007 1.00,,,,"9,02540289",,,,,
12/01/2007 2.00,"0,37203894",,,,,,,,
12/01/2007 3.00,"0,38448194",,,"7,96893494",,,,,
12/01/2007 4.00,"0,37342104",,,"8,3375303",,,,,
12/01/2007 5.00,"0,3865556",,,"6,1791691",,,,,
12/01/2007 6.00,"0,38297372",,,"9,3927",,,,,
12/01/2007 7.00,"0,28776422",,,"10,15584994",,,,,
12/01/2007 8.00,"0,48635279",,,"15,3538227",,,,,
12/01/2007 9.00,"0,54599171",,,"15,9196944",,,,,
12/01/2007 10.00,"0,45989452",,,"17,64845788",,,,,
12/01/2007 11.00,"0,7670153",,,"15,75615913",,,,,
12/01/2007 12.00,"0,66187682",,,"10,18828702",,,,,
12/01/2007 13.00,"0,63516837",,,"12,6490597",,,,,
12/01/2007 14.00,"0,45819816",,,"7,80280699",,,,,
12/01/2007 15.00,"0,46680809",,,"6,04159496",,,,,
12/01/2007 16.00,"0,57521418",,,"7,24342462",,,,,
12/01/2007 17.00,"0,46655689",,,"8,00657457",,,,,
12/01/2007 18.00,"0,39541672",,,"9,50561698",,,,,
12/01/2007 19.00,"0,59645626",,,"8,44914903",,,,,
12/01/2007 20.00,"0,60500313",,,"8,8437017",,,,,
12/01/2007 21.00,"0,55259",,,"8,37127518",,,,,
12/01/2007 22.00,"0,61348694",,,"7,2369353",,,,,
12/01/2007 23.00,"0,34866014",,,"7,7145529",,,,,
13/01/2007 0.00,"0,53738178",,,"6,30376458",,,,,
13/01/2007 1.00,"0,54492386",,,"5,08895626",,,,,
