,Comune Lecce,,,,,,
,Via Garilliano,,,,,,
Parm,NOX,NO2,CO,Benzene,SO2,PM10,PM2.5



06/01/2010 16.00,"43,57704208","34,52934336","0,34117957","0,69602972","2,19299473","47,88237","13,83963966"
06/01/2010 17.00,"51,55214704","42,29433864","0,39203299","0,90470693","1,45865361","47,88237","13,83963966"
06/01/2010 18.00,"81,2956588","64,50632944","0,51579327","1,18217402","2,26307213","47,88237","13,83963966"
06/01/2010 19.00,"110,2674874","80,58881152","0,63016365","1,52238696","2,1898522","47,88237","13,83963966"
06/01/2010 20.00,"111,6202274","76,93002744","0,65584724","1,77996357","2,51473387","47,88237","13,83963966"
06/01/2010 21.00,"86,80130104","65,60743112","0,55623158","1,79985406","1,70464048","47,88237","13,83963966"
06/01/2010 22.00,"79,1349076","63,214544","0,57157813","1,57260541","2,05501834","47,88237","13,83963966"
06/01/2010 23.00,"76,80811832","61,08750136","0,53129825","1,5421666","2,28783506","47,88237","13,83963966"
07/01/2010 0.00,"58,41701096","48,75196568","0,44166315","1,49381638","2,06939567","47,88237","13,83963966"
07/01/2010 1.00,"39,09470224","31,73954416","0,34761037","1,18459143","2,07469424","20,4573307","9,65011597"
07/01/2010 2.00,"30,66174976","24,43759704","0,34946389","1,00261759","1,66392489","20,4573307","9,65011597"
07/01/2010 3.00,"28,652754","23,29106624","0,26547088","0,93360702","1,56473078","20,4573307","9,65011597"
07/01/2010 4.00,"27,512724","21,93572592","0,21382876","0,69690942","1,7108035","20,4573307","9,65011597"
07/01/2010 5.00,"20,7930956","15,52608434","0,21260551","0,56713107","1,85010911","20,4573307","9,65011597"
07/01/2010 6.00,"32,50086432","26,0069284","0,24404886","0,54779078","1,76299696","20,4573307","9,65011597"
07/01/2010 7.00,"71,64097656","50,1552972","0,34662362","0,65679996","1,66911972","20,4573307","9,65011597"
07/01/2010 8.00,"148,3777582","80,17765504","0,81834959","1,10371349","2,59254352","20,4573307","9,65011597"
07/01/2010 9.00,"146,9316361","78,72763248","0,82138675","2,10501203","2,51352872","20,4573307","9,65011597"
07/01/2010 10.00,"104,9823178","62,25477736","0,57970517","2,03809037","2,00813972","20,4573307","9,65011597"
07/01/2010 11.00,"75,56174288","48,44459256","0,46091594","1,66238413","1,85739897","20,4573307","9,65011597"
07/01/2010 12.00,"69,80706264","46,18395848","0,39317702","1,38458753","2,05497257","20,4573307","9,65011597"
07/01/2010 13.00,"66,5996444","43,82087944","0,45657632","1,15591101","1,94579661","20,4573307","9,65011597"
07/01/2010 14.00,"54,20055384","35,26603696","0,3380632","1,43304758","1,95968984","20,4573307","9,65011597"
07/01/2010 15.00,"38,97795552","28,04058896","0,30732933","0,85855445","1,84539633","20,4573307","9,65011597"
07/01/2010 16.00,"70,22080032","55,91645912","0,48304861","0,94525574","1,90399282","20,4573307","9,65011597"
07/01/2010 17.00,"128,6883837","91,2629148","0,86044454","1,52974903","2,04136511","20,4573307","9,65011597"
07/01/2010 18.00,"84,42135816","60,71267288","0,56135991","2,16556014","2,0234832","20,4573307","9,65011597"
07/01/2010 19.00,"65,54647656","49,13847648","0,45744424","1,67304331","2,11933647","20,4573307","9,65011597"
