,Regione Puglia,,
,Enaip,,
Parm,SO2,NO2,CO
,,,,
,,,,
,,,,
,,,,
,,,,
09/01/2008 21.00,"9,97155762","32,84641701","0,79681775"
09/01/2008 22.00,"9,86145306","40,37589072","0,97492515"
09/01/2008 23.00,"9,05342865","41,39734896","0,94088975"
10/01/2008 0.00,"6,81227016","34,25859657","0,8630267"
10/01/2008 1.00,,"29,76159582","0,87075815"
10/01/2008 2.00,"4,57821512",,"0,8788392"
10/01/2008 3.00,"8,52066517",,
10/01/2008 4.00,"8,06959248",,"0,7937484"
10/01/2008 5.00,"9,87565994",,"0,70236365"
10/01/2008 6.00,"11,1898098",,"0,6735343"
10/01/2008 7.00,"11,67284966",,"0,71118415"
10/01/2008 8.00,"8,36261177",,"0,64761905"
10/01/2008 9.00,"10,14914036",,"0,80171445"
10/01/2008 10.00,"6,48373222",,"0,73437965"
10/01/2008 11.00,"8,1868",,"0,9650179"
10/01/2008 12.00,"4,86413097",,"1,0416378"
10/01/2008 13.00,"4,9422698",,"1,53492915"
10/01/2008 14.00,"9,6057272",,"1,10205535"
10/01/2008 15.00,"9,52048492",,"0,60212045"
10/01/2008 16.00,"8,31288719",,"0,5824221"
10/01/2008 17.00,"12,09906006",,"0,73220385"
10/01/2008 18.00,"11,44731045",,"1,03814065"
10/01/2008 19.00,"9,98576546",,"1,17257565"
10/01/2008 20.00,"9,36243153",,"1,2026884"
10/01/2008 21.00,"8,50290585",,"1,03891805"
10/01/2008 22.00,"7,06444502",,"1,0970448"
10/01/2008 23.00,"9,22213745",,"1,12431935"
11/01/2008 0.00,"5,86039877",,"1,02081245"
11/01/2008 1.00,"7,36279202",,"0,9359551"
11/01/2008 2.00,"7,58832884",,"0,8647356"
11/01/2008 3.00,"6,75189018",,"0,78885285"
11/01/2008 4.00,"5,95096922",,"0,7422675"
11/01/2008 5.00,"5,82133007",,"0,71557485"
11/01/2008 6.00,"4,11470985",,"0,7340312"
11/01/2008 7.00,"4,11293507",,"1,07862755"
11/01/2008 8.00,"3,90693307",,"0,97173965"
11/01/2008 9.00,"5,03639078",,"0,83225385"
11/01/2008 10.00,"6,78030396",,"0,90456125"
11/01/2008 11.00,"5,831985",,"0,48703535"
11/01/2008 12.00,"2,56259298",,"0,3691523"
11/01/2008 13.00,"5,24594498",,"0,39906955"
11/01/2008 14.00,"5,16602993",,"0,4160493"
11/01/2008 15.00,"5,93498611",,"0,3497633"
11/01/2008 16.00,"4,47699022",,"0,36417855"
11/01/2008 17.00,"2,12217498",,"0,5445779"
11/01/2008 18.00,"4,07876587",,"0,89826845"
11/01/2008 19.00,"2,35339904","13,81273225","1,6728222"
11/01/2008 20.00,"2,16124392","13,28284515","0,3789825"
11/01/2008 21.00,"2,15414095","12,66869112","0,16874295"
11/01/2008 22.00,"1,39761603","10,36785004","0,21311455"
11/01/2008 23.00,"1,52903104","7,85633132","0,1005537"
12/01/2008 0.00,"2,58390307","6,14154776","0,0718405"
12/01/2008 1.00,"2,45426393","5,21967719","0,04025345"
12/01/2008 2.00,"2,27134895","4,49954574","0,0392035"
12/01/2008 3.00,"3,44165301","4,25822473","0,05466755"
12/01/2008 4.00,"1,73148203","4,06286971","0,0465865"
12/01/2008 5.00,"1,267977","3,95944669","0,0287132"
12/01/2008 6.00,"3,12377","5,03326068","0,0712977"
12/01/2008 7.00,"2,24648595","8,20618227","0,0193499"
12/01/2008 8.00,"1,24844301","17,60236414","0,016629"
12/01/2008 9.00,"3,17882299","20,14835031","0,02750915"
12/01/2008 10.00,"1,12590694","11,64340129","0,0313559"
12/01/2008 11.00,"1,914397","8,88800903","0,57142695"
12/01/2008 12.00,"1,58941102","8,88417743","1,1282834"
12/01/2008 13.00,"3,62634397","8,36578512","1,199657"
12/01/2008 14.00,"4,65280199","9,36554226","1,22063875"
12/01/2008 15.00,"3,89450097","10,38445175","1,17506195"
12/01/2008 16.00,"3,22321892","8,83055201","1,1142166"
12/01/2008 17.00,"3,29247904","9,07315022","1,1186855"
12/01/2008 18.00,"4,69897509","10,83261128","1,12925285"
