TARANTO - TALSANO,,,,
,,,,,,,
,SO2,NO2,PM10,O3
09/01/2011 17.00,"0,611205","6,369956","31,4","56,231072"
09/01/2011 18.00,"0,372862","6,787871","31,4","55,099425"
09/01/2011 19.00,"0,137228","6,194744","31,4","50,346676"
09/01/2011 20.00,"0,014445","7,955308","31,4","47,598685"
09/01/2011 21.00,"0,039724","9,780114","31,4","40,875396"
09/01/2011 22.00,,"14,894371","31,4","36,301018"
09/01/2011 23.00,,"16,486864","31,4","30,896166"
10/01/2011 0.00,"0,026182","16,075443","31,4","26,775453"
10/01/2011 1.00,,"11,891745","37,900002","29,244266"
10/01/2011 2.00,"0,478491",,"37,900002","22,286384"
10/01/2011 3.00,"0,395432","21,813319","37,900002",
10/01/2011 4.00,"0,360222","21,911959","37,900002",
10/01/2011 5.00,"0,565161","23,097572","37,900002",
10/01/2011 6.00,"0,427031","17,707514","37,900002",
10/01/2011 7.00,"0,229314","10,545207","37,900002",
10/01/2011 8.00,,"16,091668","37,900002",
10/01/2011 9.00,"0,279872","28,993147","37,900002",
10/01/2011 10.00,,"36,502639","37,900002",
10/01/2011 11.00,,"24,942499","37,900002",
10/01/2011 12.00,"0,523632","18,081953","37,900002",
10/01/2011 13.00,"0,277164","12,323285","37,900002",
10/01/2011 14.00,"0,177854","11,775593","37,900002",
10/01/2011 15.00,"0,074934","6,820968","37,900002",
10/01/2011 16.00,"0,077642","8,296","37,900002",
10/01/2011 17.00,"0,092087","12,233092","37,900002",
10/01/2011 18.00,"0,210355","15,963176","37,900002",
10/01/2011 19.00,"0,014445","17,665986","37,900002",
10/01/2011 20.00,"0,137228","21,311687","37,900002",
10/01/2011 21.00,"0,385501","22,385045","37,900002",
10/01/2011 22.00,,"19,163707","37,900002",
10/01/2011 23.00,"0,065003","13,689304","37,900002",
11/01/2011 0.00,"0,05778","9,969604","37,900002",
11/01/2011 1.00,"0,015348","7,650307","37,299992",
11/01/2011 2.00,"0,127297","4,66001","37,299992",
11/01/2011 3.00,"0,044237","4,37383","37,299992",
11/01/2011 4.00,"0,08667","4,784606","37,299992",
11/01/2011 5.00,"0,030696","4,239501","37,299992",
11/01/2011 6.00,"0,029793","3,604841","37,299992",
11/01/2011 7.00,"0,138131","5,201223","37,299992",
11/01/2011 8.00,"0,091184","16,851564","37,299992",
11/01/2011 9.00,"0,292512","23,032678","37,299992",
11/01/2011 10.00,"0,177854","15,954734","37,299992",
11/01/2011 11.00,"0,221189","9,08186","37,299992",
11/01/2011 12.00,"0,386404","10,180507","37,299992",
11/01/2011 13.00,"0,619331","10,634759","37,299992",
11/01/2011 14.00,"0,617524","8,978679","37,299992",
11/01/2011 15.00,"0,493839","8,234999","37,299992",
11/01/2011 16.00,"0,371057","8,284967","37,299992",
11/01/2011 17.00,"0,516409","14,399237","37,299992",
11/01/2011 18.00,"0,432448","21,205914","37,299992",
11/01/2011 19.00,"0,508284","35,069788","37,299992",
11/01/2011 20.00,"0,649123","32,83095","37,299992",
11/01/2011 21.00,"0,318693","28,630402","37,299992",
11/01/2011 22.00,"0,488422","28,349414","37,299992",
11/01/2011 23.00,"0,379181","29,908804","37,299992",
12/01/2011 0.00,"0,366542","24,630996","37,299992",
12/01/2011 1.00,,"20,820456","18,29999",
12/01/2011 2.00,"0,66086",,"18,29999",
12/01/2011 3.00,"0,60308","16,028063","18,29999",
12/01/2011 4.00,"0,23112","11,052669","18,29999",
12/01/2011 5.00,"0,438767","7,589307","18,29999",
12/01/2011 6.00,"0,527243","6,588","18,29999",
12/01/2011 7.00,"0,446893","8,275882","18,29999",
12/01/2011 8.00,"0,408072","10,148062","18,29999",
12/01/2011 9.00,"0,462241","22,629035","18,29999",
12/01/2011 10.00,"1,045459","31,07428","18,29999",
12/01/2011 11.00,"0,683078","28,943415","18,29999",
12/01/2011 12.00,"0,649123","13,865164","18,29999",
12/01/2011 13.00,"0,650026","19,856769","18,29999",
12/01/2011 14.00,"0,650026","7,532199","18,29999",
12/01/2011 15.00,"0,55523","5,491946","18,29999",
12/01/2011 16.00,"0,368348","7,772956","18,29999",
12/01/2011 17.00,"0,216675","6,929988","18,29999",
12/01/2011 18.00,"0,069517","7,885222","18,29999",
12/01/2011 19.00,"0,298831","8,733381","18,29999",
12/01/2011 20.00,"0,646414","11,150015","18,29999",
12/01/2011 21.00,"0,650026","18,150092","18,29999",
12/01/2011 22.00,"0,650026","22,486267","18,29999",
12/01/2011 23.00,"0,685235","22,519364","18,29999",
13/01/2011 0.00,"1,912159","24,483045","18,29999",
13/01/2011 1.00,"2,53781","20,078063","32,900002",
13/01/2011 2.00,"2,405998","20,770476","32,900002",
13/01/2011 3.00,"2,207379","15,501131","32,900002",
13/01/2011 4.00,"1,128517","10,291469","32,900002",
13/01/2011 5.00,"0,650026","6,281052","32,900002",
13/01/2011 6.00,"0,650026","6,217457","32,900002",
13/01/2011 7.00,"0,589538","9,39335","32,900002",
13/01/2011 8.00,"0,624747","13,612728","32,900002",
13/01/2011 9.00,"0,650026","20,379817","32,900002",
13/01/2011 10.00,"0,532254","16,545452","32,900002",
13/01/2011 11.00,"0,551619","8,009169","32,900002",
13/01/2011 12.00,"0,647317","6,540627","32,900002",
13/01/2011 13.00,"0,650026","6,158403","32,900002",
13/01/2011 14.00,"0,650026","6,538678","32,900002",
13/01/2011 15.00,"0,650026","6,020828","32,900002",
13/01/2011 16.00,"0,650026","6,99034","32,900002",
13/01/2011 17.00,"0,446893","12,49461","32,900002",
13/01/2011 18.00,"0,508284","25,719267","32,900002",
13/01/2011 19.00,"0,490228","25,358453","32,900002",
13/01/2011 20.00,"0,50377","38,12044","32,900002",
13/01/2011 21.00,"1,064418","58,284183","32,900002",
13/01/2011 22.00,"1,646732","61,73263","32,900002",
13/01/2011 23.00,"0,617524","44,200966","32,900002",
14/01/2011 0.00,"0,278067","31,156057","32,900002",
14/01/2011 1.00,,"28,735524","62,400002",
14/01/2011 2.00,"0,241051",,"62,400002",
14/01/2011 3.00,"0,063197","20,227984","62,400002",
14/01/2011 4.00,"0,076739","16,078037","62,400002",
14/01/2011 5.00,,"14,073472","62,400002",
14/01/2011 6.00,,"14,192879","62,400002",
14/01/2011 7.00,,"14,564711","62,400002",
14/01/2011 8.00,"0,431545","23,313666","62,400002",
14/01/2011 9.00,"1,817364","41,39692","62,400002",
14/01/2011 10.00,"0,790865","35,522741","62,400002",
14/01/2011 11.00,"0,81795","32,395531","62,400002",
14/01/2011 12.00,"7,627873","23,901606","62,400002",
14/01/2011 13.00,"6,99145","18,177239","62,400002",
14/01/2011 14.00,"11,470244","21,935324","62,400002",
14/01/2011 15.00,"3,180612","17,274673","62,400002","60,309488"
14/01/2011 16.00,"0,790865","18,944389","62,400002","60,182925"
14/01/2011 17.00,"0,620233","28,938636","62,400002","51,481554"
14/01/2011 18.00,"0,623844","27,921108","62,400002","43,602821"
14/01/2011 19.00,"0,195911","29,903621","62,400002","32,42727"
14/01/2011 20.00,"1,66208","69,863787","62,400002","16,983428"
14/01/2011 21.00,"2,107167","68,529579","62,400002","9,171639"
14/01/2011 22.00,"1,206159","47,239284","62,400002","2,513915"
14/01/2011 23.00,"0,195911","38,239197","62,400002","1,229421"
15/01/2011 0.00,"0,05778","38,449441","62,400002","0,149832"
15/01/2011 1.00,,"33,840048","42,5","7,413516"
15/01/2011 2.00,,"29,916586","42,5","7,222981"
15/01/2011 3.00,,"23,084589","42,5","15,957726"
15/01/2011 4.00,,"16,473885","42,5","22,369197"
15/01/2011 5.00,,"16,920998","42,5","8,40027"
15/01/2011 6.00,,"17,155917","42,5","15,402118"
