TARANTO - TALSANO,,,,
,,,,,,,
,SO2,NO2,PM10,O3
07/02/2011 22.00,"4,022034","34,289118","27,1","53,647965"
07/02/2011 23.00,"3,900155","16,650396","27,1","73,950304"
08/02/2011 0.00,"3,849598","14,54265","27,1","78,650065"
08/02/2011 1.00,"2,962131","14,914491","42,799992","71,731424"
08/02/2011 2.00,"0,650026","13,179236","42,799992","65,730663"
08/02/2011 3.00,"0,703292","11,486814","42,799992","55,55281"
08/02/2011 4.00,"3,88571","10,396597","42,799992","43,138264"
08/02/2011 5.00,"3,790012","8,545191","42,799992","18,996362"
08/02/2011 6.00,"3,544446","11,458262","42,799992","19,403678"
08/02/2011 7.00,"2,856503","13,497869","42,799992","20,127136"
08/02/2011 8.00,"2,715663","16,514764","42,799992","15,352608"
08/02/2011 9.00,"3,363884","22,098207","42,799992","10,935521"
08/02/2011 10.00,"2,963035","23,901606","42,799992","31,047009"
08/02/2011 11.00,"2,972965","30,244952","42,799992","38,057519"
08/02/2011 12.00,"3,12193","27,913325","42,799992","47,270509"
08/02/2011 13.00,"4,29649","25,978841","42,799992","56,900072"
08/02/2011 14.00,"4,6847","19,695186","42,799992","64,421862"
08/02/2011 15.00,"3,826125","17,46157","42,799992","79,87344"
08/02/2011 16.00,"3,74126","15,693867","42,799992","82,522418"
08/02/2011 17.00,"3,900155","13,612728","42,799992","72,885034"
08/02/2011 18.00,"3,542641","15,416125","42,799992","70,455363"
08/02/2011 19.00,"3,587782","24,06772","42,799992","50,336045"
08/02/2011 20.00,"3,898349","20,15594","42,799992","45,859144"
08/02/2011 21.00,"3,900155","30,838723","42,799992","27,615768"
08/02/2011 22.00,"3,889321","36,986091","42,799992","14,798066"
08/02/2011 23.00,"3,699731","38,061398","42,799992","11,102159"
09/02/2011 0.00,"3,900155","33,286504","42,799992","10,182853"
09/02/2011 1.00,,"33,475352","57,299992","2,059359"
09/02/2011 2.00,"3,892932",,"57,299992","5,165484"
09/02/2011 3.00,"3,786401","24,137163","57,299992",
09/02/2011 4.00,"3,628408","25,008673","57,299992","10,255194"
09/02/2011 5.00,"3,900155","19,033945","57,299992","3,845343"
09/02/2011 6.00,"3,900155","20,890549","57,299992","8,546476"
09/02/2011 7.00,"3,929948","34,718075","57,299992","3,363249"
09/02/2011 8.00,"3,900155","35,197625","57,299992","7,78126"
09/02/2011 9.00,"3,935365","29,594069","57,299992","10,022712"
09/02/2011 10.00,"4,359687","43,626656","57,299992","24,30724"
09/02/2011 11.00,"3,894739","18,898313","57,299992","66,870605"
09/02/2011 12.00,"3,775567","16,277261","57,299992","78,513628"
09/02/2011 13.00,"4,130372","13,319405","57,299992","91,148618"
09/02/2011 14.00,"3,900155","7,122074","57,299992","103,84847"
09/02/2011 15.00,"3,900155","6,790468","57,299992","103,682306"
09/02/2011 16.00,"3,89203","6,814477","57,299992","103,88917"
09/02/2011 17.00,"3,900155","8,940393","57,299992","92,932949"
09/02/2011 18.00,"3,887516","18,109851","57,299992","77,962328"
09/02/2011 19.00,"3,699731","24,634245","57,299992","68,227746"
09/02/2011 20.00,"3,197766","35,626582","57,299992","57,940445"
09/02/2011 21.00,"2,600104","16,540722","57,299992","74,670415"
09/02/2011 22.00,"2,612743","13,367425","57,299992","74,6861"
09/02/2011 23.00,"2,802334","10,425149","57,299992","66,151749"
10/02/2011 0.00,"2,600104","17,259099","57,299992","60,097043"
10/02/2011 1.00,"2,600104","23,400623","60,400002","58,943851"
10/02/2011 2.00,"2,616354","19,00409","60,400002","65,431455"
10/02/2011 3.00,"2,600104","9,135723","60,400002","76,782782"
10/02/2011 4.00,"3,436109","12,042951","60,400002","70,718802"
10/02/2011 5.00,"4,219752","11,721724","60,400002","72,013896"
10/02/2011 6.00,"3,891127","10,521191","60,400002","72,454632"
10/02/2011 7.00,"3,047899","15,235718","60,400002","59,365333"
10/02/2011 8.00,"3,000952","28,122937","60,400002","45,818208"
10/02/2011 9.00,"4,023841","35,644094","60,400002","40,937359"
10/02/2011 10.00,"5,376255","23,850326","60,400002","63,197849"
10/02/2011 11.00,"4,96367","20,236417","60,400002","76,083173"
10/02/2011 12.00,"3,900155","11,290184","60,400002","92,676907"
10/02/2011 13.00,"3,900155","11,235021","60,400002","99,694376"
10/02/2011 14.00,"5,395214","15,74967","60,400002","104,520286"
10/02/2011 15.00,"4,261281","8,092882","60,400002","110,535751"
10/02/2011 16.00,"4,850817","10,346633","60,400002","109,838295"
10/02/2011 17.00,"3,900155","11,292776","60,400002","101,448046"
10/02/2011 18.00,"3,488473","17,303877","60,400002","84,906343"
10/02/2011 19.00,"3,336799","22,834098","60,400002","72,171498"
10/02/2011 20.00,"2,82039","32,745293","60,400002","59,940156"
10/02/2011 21.00,"2,600104","27,083326","60,400002","69,636934"
10/02/2011 22.00,"2,879976","36,256681","60,400002","53,017522"
10/02/2011 23.00,"3,022621","42,088031","60,400002","38,894878"
11/02/2011 0.00,"3,165265","59,669654","60,400002","16,779165"
11/02/2011 1.00,,"44,186681","53,299992","16,27282"
11/02/2011 2.00,"1,560965",,"53,299992","15,163147"
11/02/2011 3.00,"1,679234","29,412372","53,299992",
11/02/2011 4.00,"1,613328","21,614739","53,299992","2,276054"
11/02/2011 5.00,"1,054487","21,245512","53,299992","14,097522"
11/02/2011 6.00,"1,148379","19,747766","53,299992","20,850742"
11/02/2011 7.00,"1,048167","14,456341","53,299992","17,968217"
11/02/2011 8.00,"1,07796","16,620541","53,299992","20,485877"
11/02/2011 9.00,"1,659372","22,975566","53,299992","15,365813"
11/02/2011 10.00,"2,600104","26,615461","53,299992","30,078217"
11/02/2011 11.00,"2,600104","19,578401","53,299992","66,226163"
11/02/2011 12.00,"2,600104","17,89246","53,299992","77,147012"
11/02/2011 13.00,"3,158042","16,163695","53,299992","83,807101"
11/02/2011 14.00,"2,581144","11,400506","53,299992","97,375892"
11/02/2011 15.00,"2,600104","11,532884","53,299992","100,754943"
11/02/2011 16.00,"2,600104","12,195445","53,299992","106,391794"
11/02/2011 17.00,"2,573019","12,638675","53,299992","97,334911"
11/02/2011 18.00,"2,600104","23,804266","53,299992","79,671683"
11/02/2011 19.00,"2,009663","25,328607","53,299992","56,824304"
11/02/2011 20.00,"1,951883","20,682888","53,299992","55,506984"
11/02/2011 21.00,"2,175781","21,605025","53,299992","46,136651"
11/02/2011 22.00,"2,326551","19,887286","53,299992","37,656424"
11/02/2011 23.00,"2,46107","13,279826","53,299992","42,925658"
12/02/2011 0.00,"2,597395","11,976762","53,299992","41,529218"
12/02/2011 1.00,"2,834834","12,979369","72,300003","36,726393"
12/02/2011 2.00,"3,612157","14,178598","72,300003","32,884403"
12/02/2011 3.00,"3,139986","17,153324","72,300003","25,115015"
12/02/2011 4.00,"1,618745","19,002788","72,300003","23,771802"
12/02/2011 5.00,"2,017789","13,90345","72,300003","32,155368"
12/02/2011 6.00,"1,486934","11,745087","72,300003","21,178502"
12/02/2011 7.00,"1,107752","17,255855","72,300003","16,309846"
12/02/2011 8.00,"2,600104","31,566182","72,300003","25,463082"
12/02/2011 9.00,"2,519753","21,559597","72,300003","13,185003"
12/02/2011 10.00,"3,260964","15,36615","72,300003","47,075776"
12/02/2011 11.00,"3,847792","11,109134","72,300003","72,911465"
12/02/2011 12.00,"5,828565","10,620479","72,300003","82,605332"
12/02/2011 13.00,"5,655224","6,081829","72,300003","98,656062"
12/02/2011 14.00,"4,17461","8,407616","72,300003","95,933226"
12/02/2011 15.00,"5,850232","9,861881","72,300003","88,865536"
12/02/2011 16.00,"5,850232","9,723009","72,300003","86,32407"
12/02/2011 17.00,"5,84933","10,99946","72,300003","87,904688"
12/02/2011 18.00,"5,072008","9,122094","72,300003","87,356341"
12/02/2011 19.00,"4,458095","21,157254","72,300003","68,677995"
12/02/2011 20.00,"5,175831","35,46045","72,300003","54,270923"
12/02/2011 21.00,"5,132496","68,159052","72,300003","31,304483"
12/02/2011 22.00,"5,833983","76,445294","72,300003","2,980231"
12/02/2011 23.00,"5,28146","55,301023","72,300003","14,680195"
13/02/2011 0.00,"5,11805","23,263055","72,300003","21,929937"
13/02/2011 1.00,,"20,285077","38,099991","34,874734"
13/02/2011 2.00,"2,311203",,"38,099991","33,256989"
13/02/2011 3.00,"2,684968","20,462243","38,099991",
13/02/2011 4.00,"2,275993","18,016404","38,099991","29,200456"
13/02/2011 5.00,"1,063515","13,728892","38,099991","32,140087"
13/02/2011 6.00,"0,71232","11,504332","38,099991","40,369245"
13/02/2011 7.00,"2,276896","20,799691","38,099991","20,396241"
13/02/2011 8.00,"2,699413","15,356415","38,099991","20,861456"
13/02/2011 9.00,"2,104459","12,456322","38,099991","46,419918"
13/02/2011 10.00,"3,093943","13,850241","38,099991","54,087301"
13/02/2011 11.00,"2,795112","8,772316","38,099991","71,726515"
13/02/2011 12.00,"2,889906","9,766488","38,099991","71,297666"
13/02/2011 13.00,"3,759316","9,116904","38,099991","78,442479"
13/02/2011 14.00,"2,331968","6,842382","38,099991","85,399804"
13/02/2011 15.00,"4,015715","6,101297","38,099991","88,126772"
13/02/2011 16.00,"3,316937","6,813181","38,099991","88,853611"
13/02/2011 17.00,"3,571531","7,865753","38,099991","84,728908"
13/02/2011 18.00,"3,360273","14,732139","38,099991","77,515526"
13/02/2011 19.00,"4,324478","18,109202","38,099991","76,242297"
13/02/2011 20.00,"4,895959","15,879463","38,099991","76,479465"
13/02/2011 21.00,"4,014813","19,717251","38,099991","72,507935"
13/02/2011 22.00,"4,659421","16,146819","38,099991","52,79658"
13/02/2011 23.00,"3,464999","14,918387","38,099991","31,572031"
14/02/2011 0.00,"4,019326","17,554368","38,099991","34,387137"
14/02/2011 1.00,"6,090381","16,549167",30,"33,954802"
14/02/2011 2.00,"5,951347","12,071502",30,"34,068835"
14/02/2011 3.00,"2,422249","7,857318",30,"36,581717"
14/02/2011 4.00,"2,769832","6,17787",30,"39,56472"
14/02/2011 5.00,"5,040408","5,636658",30,"38,558023"
14/02/2011 6.00,"3,855015","5,939062",30,"34,098919"
14/02/2011 7.00,"4,156554","6,3427",30,"32,848752"
14/02/2011 8.00,"4,867069","10,938462",30,"24,961699"
14/02/2011 9.00,"4,400314","25,276696",30,"6,76074"
14/02/2011 10.00,"4,800331","45,178628",30,
14/02/2011 11.00,"5,598348","21,705596",30,"3,821105"
14/02/2011 12.00,"5,443966","17,896355",30,"18,919431"
14/02/2011 13.00,"6,394629","14,586784",30,"65,445679"
14/02/2011 14.00,"6,195107","13,963149",30,"74,297472"
14/02/2011 15.00,"6,752143","12,254503",30,"83,008641"
14/02/2011 16.00,"6,088576","14,481008",30,"78,877614"
14/02/2011 17.00,"5,387991","11,474485",30,"81,848029"
14/02/2011 18.00,"5,407854","11,05852",30,"77,662459"
14/02/2011 19.00,"5,48369","11,540023",30,"72,84164"
14/02/2011 20.00,"5,494524","15,930077",30,"69,350048"
14/02/2011 21.00,"4,768662","17,066363",30,"73,320162"
14/02/2011 22.00,"3,661812","34,19698",30,"47,062827"
14/02/2011 23.00,"4,911306","38,729147",30,"30,184052"
15/02/2011 0.00,"2,914282","41,220406",30,"21,766009"
15/02/2011 1.00,,"28,707628","37,799992","29,240317"
15/02/2011 2.00,"2,600104",,"37,799992","25,413626"
15/02/2011 3.00,"2,600104","20,632908","37,799992",
15/02/2011 4.00,"4,254961","24,022291","37,799992",
15/02/2011 5.00,"3,446942","17,381752","37,799992",
15/02/2011 6.00,"3,399093","21,285091","37,799992",
15/02/2011 7.00,"3,480347","23,079407","37,799992",
15/02/2011 8.00,"4,556501","37,154824","37,799992",
15/02/2011 9.00,"2,963035","28,234542","37,799992",
15/02/2011 10.00,"4,493304","12,562752","37,799992",
15/02/2011 11.00,"3,435206","10,447864","37,799992",
15/02/2011 12.00,"4,068078","10,13703","37,799992",
15/02/2011 13.00,"6,028989","15,214306","37,799992",
15/02/2011 14.00,"6,228511","12,102648","37,799992",
15/02/2011 15.00,,"9,684071","37,799992",
15/02/2011 16.00,"5,007907","10,7626","37,799992",
15/02/2011 17.00,"1,105044","7,725023","37,799992",
15/02/2011 18.00,"7,343486","17,443393","37,799992",
15/02/2011 19.00,"7,624262","43,528016","37,799992",
15/02/2011 20.00,"8,08921","34,818666","37,799992",
15/02/2011 21.00,"8,336582","34,591522","37,799992",
15/02/2011 22.00,"8,664303","36,93548","37,799992",
15/02/2011 23.00,"8,696805","34,954285","37,799992",
16/02/2011 0.00,"8,40971","31,571383","37,799992",
16/02/2011 1.00,"8,510825","30,690774","37,099991",
16/02/2011 2.00,"8,429572","27,849082","37,099991",
16/02/2011 3.00,"8,304983","19,896366","37,099991",
16/02/2011 4.00,"8,144283","13,822981","37,099991",
16/02/2011 5.00,"8,546937","10,252534","37,099991",
16/02/2011 6.00,"7,961914","9,89368","37,099991",
16/02/2011 7.00,"8,205673","11,01893","37,099991",
16/02/2011 8.00,"8,12081","18,514143","37,099991",
16/02/2011 9.00,"8,784377","22,575175","37,099991",
16/02/2011 10.00,"8,55416","14,699691","37,099991",
16/02/2011 11.00,"8,78528","9,328457","37,099991",
16/02/2011 12.00,"8,778058","9,90536","37,099991",
16/02/2011 13.00,"8,782572","9,450456","37,099991",
16/02/2011 14.00,"8,746459","10,684724","37,099991",
16/02/2011 15.00,"8,773543","8,708074","37,099991",
16/02/2011 16.00,"8,774446","10,19673","37,099991",
16/02/2011 17.00,"8,755487","10,366753","37,099991",
16/02/2011 18.00,"8,760904","13,358342","37,099991",
16/02/2011 19.00,"8,766321","14,945637","37,099991",
16/02/2011 20.00,"8,80153","10,033849","37,099991",
16/02/2011 21.00,"8,747362","9,972849","37,099991",
16/02/2011 22.00,"8,784377","9,939105","37,099991",
16/02/2011 23.00,"8,69229","6,567232","37,099991",
17/02/2011 0.00,"8,713958","4,979936","37,099991",
17/02/2011 1.00,,"3,375116","35,099991",
17/02/2011 2.00,,,"35,099991",
17/02/2011 3.00,,"4,867021","35,099991",
17/02/2011 4.00,,"4,944893","35,099991",
17/02/2011 5.00,,"4,5127","35,099991",
17/02/2011 6.00,,"4,39135","35,099991",
17/02/2011 7.00,,"7,394625","35,099991",
17/02/2011 8.00,,"12,705513","35,099991",
17/02/2011 9.00,,,"35,099991",
17/02/2011 10.00,,,"35,099991",
17/02/2011 11.00,,"9,631138","35,099991",
17/02/2011 12.00,,"11,157806","35,099991","81,103694"
17/02/2011 13.00,,"11,288239","35,099991","90,389701"
17/02/2011 14.00,,"9,026051","35,099991","91,839186"
17/02/2011 15.00,,"6,939722","35,099991","90,401969"
17/02/2011 16.00,,"7,4102","35,099991","87,926689"
17/02/2011 17.00,,"6,97736","35,099991","89,318944"
17/02/2011 18.00,,"6,271966","35,099991","87,39335"
17/02/2011 19.00,,"6,632125","35,099991","83,638897"
17/02/2011 20.00,,"6,13569","35,099991","81,561409"
17/02/2011 21.00,,"6,271966","35,099991","85,477992"
17/02/2011 22.00,,"5,496489","35,099991","89,692908"
17/02/2011 23.00,,"3,631446","35,099991","90,688733"
18/02/2011 0.00,,"3,101266","35,099991","90,917599"
18/02/2011 1.00,,"2,55551","39,5","91,265664"
18/02/2011 2.00,,"2,405606","39,5","87,653578"
18/02/2011 3.00,,"1,683988","39,5","91,573532"
18/02/2011 4.00,,"1,437394","39,5","93,027111"
18/02/2011 5.00,,"1,571723","39,5","88,449145"
18/02/2011 6.00,,"0,997416","39,5","85,785183"
18/02/2011 7.00,,"1,507478","39,5","87,836096"
18/02/2011 8.00,,"2,517873","39,5","85,520899"
18/02/2011 9.00,,"6,152564","39,5","76,937134"
18/02/2011 10.00,"0,650929","4,251181","39,5","76,986175"
18/02/2011 11.00,"0,671693","3,944234","39,5","79,231228"
18/02/2011 12.00,"0,650026","2,97667","39,5","78,847051"
18/02/2011 13.00,"0,650026","3,263499","39,5","77,899581"
18/02/2011 14.00,"0,874826","3,319308","39,5","74,355607"
18/02/2011 15.00,"0,693361","3,595105","39,5","75,440664"
18/02/2011 16.00,"0,859479","3,225861","39,5","74,333803"
18/02/2011 17.00,"0,650026","2,295935","39,5","72,516512"
18/02/2011 18.00,"0,769197","2,685297","39,5","76,078211"
18/02/2011 19.00,"0,650026","3,292053","39,5","73,186776"
18/02/2011 20.00,"0,650026","4,607445","39,5","66,252715"
18/02/2011 21.00,"0,650026","7,430317","39,5","53,172058"
18/02/2011 22.00,"0,650026","8,661998","39,5","55,53222"
18/02/2011 23.00,"0,650026","7,67302","39,5","60,165349"
19/02/2011 0.00,"0,650026","4,327106","39,5","64,836625"
19/02/2011 1.00,,"1,991585","18,9","71,356524"
19/02/2011 2.00,"1,270258",,"18,9","79,602459"
19/02/2011 3.00,"2,729206","12,419338","18,9",
19/02/2011 4.00,"10,006787","28,650516","18,9","40,706599"
19/02/2011 5.00,"7,242371","14,962512","18,9","53,778098"
19/02/2011 6.00,"6,697975","10,523795","18,9","56,248488"
19/02/2011 7.00,"9,956231","11,915109","18,9","51,505534"
19/02/2011 8.00,"8,502699","12,736019","18,9","50,22189"
19/02/2011 9.00,"7,176466","9,407627","18,9","54,036031"
19/02/2011 10.00,"6,51019","7,832659","18,9","55,107845"
19/02/2011 11.00,"30,46996","10,75676","18,9","59,76994"
19/02/2011 12.00,"20,760193","10,090957","18,9","66,452037"
19/02/2011 13.00,"10,849111","8,663945","18,9","74,481231"
19/02/2011 14.00,"7,449116","6,210967","18,9","78,046118"
19/02/2011 15.00,"9,205991","6,538678","18,9","76,802592"
19/02/2011 16.00,"9,012789","7,987752","18,9","72,357654"
19/02/2011 17.00,"9,28905","8,06303","18,9","73,770914"
19/02/2011 18.00,"4,885125","8,493274","18,9","72,774608"
19/02/2011 19.00,"3,022621","6,338807","18,9","79,510169"
19/02/2011 20.00,"2,600104","5,667158","18,9","78,741054"
19/02/2011 21.00,"2,600104","5,981242","18,9","75,576424"
19/02/2011 22.00,"2,388845","5,890392","18,9","75,454134"
19/02/2011 23.00,"2,123418","4,715818","18,9","77,928531"
20/02/2011 0.00,"1,037333","4,767735","18,9","74,675682"
20/02/2011 1.00,"0,804407","5,22783","24,200001","73,426113"
20/02/2011 2.00,"0,650026","5,001998","24,200001","72,213332"
20/02/2011 3.00,"0,836909","6,663924","24,200001","64,530926"
20/02/2011 4.00,"0,650026","6,265478","24,200001","63,614803"
20/02/2011 5.00,"0,650026","6,317393","24,200001","60,186236"
20/02/2011 6.00,"0,650026","4,74567","24,200001","60,649297"
20/02/2011 7.00,"0,650026","5,255734","24,200001","61,360953"
20/02/2011 8.00,"0,650026","4,136319","24,200001","61,851404"
20/02/2011 9.00,"2,469196","10,114317","24,200001","56,31931"
20/02/2011 10.00,"1,636801","4,525031","24,200001","65,88003"
20/02/2011 11.00,"1,329844","4,608096","24,200001","71,231738"
20/02/2011 12.00,"2,499891","5,503627","24,200001","75,38864"
20/02/2011 13.00,"3,743968","5,647042","24,200001","74,962325"
20/02/2011 14.00,"3,414441","4,559424","24,200001","76,239945"
20/02/2011 15.00,"2,600104","3,98317","24,200001","80,265234"
20/02/2011 16.00,"2,461973","4,993563","24,200001","77,233594"
20/02/2011 17.00,"1,384013","8,714563","24,200001","74,69037"
20/02/2011 18.00,"0,650026","11,839837","24,200001","73,182902"
20/02/2011 19.00,"0,650026","19,098178","24,200001","70,955087"
20/02/2011 20.00,"0,650026","15,804181","24,200001","72,170562"
20/02/2011 21.00,"0,650026","19,704287","24,200001","65,555283"
20/02/2011 22.00,"0,650026","20,275345","24,200001","50,823284"
20/02/2011 23.00,"0,650026","11,218157","24,200001","26,702276"
21/02/2011 0.00,"0,650026","6,550361","24,200001","64,646519"
21/02/2011 1.00,,"4,640542","16,29999","73,69943"
21/02/2011 2.00,"0,650026",,"16,29999","73,968713"
21/02/2011 3.00,"0,650026","7,567243","16,29999",
21/02/2011 4.00,"0,650026","7,630189","16,29999","23,364582"
21/02/2011 5.00,"0,650026","5,705446","16,29999","42,074828"
21/02/2011 6.00,"0,650026","6,077934","16,29999","41,754434"
21/02/2011 7.00,"0,650026","11,511471","16,29999","36,746306"
21/02/2011 8.00,"0,650026","14,087743","16,29999","68,022579"
21/02/2011 9.00,"0,650026","14,593274","16,29999","64,419511"
21/02/2011 10.00,"0,650026","8,552976","16,29999","69,772732"
21/02/2011 11.00,"0,650026","6,27002","16,29999","79,361121"
21/02/2011 12.00,"0,650026","6,615254","16,29999","80,812241"
21/02/2011 13.00,"1,895909","6,725575","16,29999","81,395618"
21/02/2011 14.00,"2,495377","6,624988","16,29999","81,772755"
21/02/2011 15.00,"0,682527","5,462094","16,29999","87,093922"
21/02/2011 16.00,"0,650026","8,364135","16,29999","82,731914"
21/02/2011 17.00,"2,539615","9,789849","16,29999","75,876872"
21/02/2011 18.00,"1,931118","14,830137","16,29999","60,801755"
21/02/2011 19.00,"0,650026","12,802857","16,29999","60,39324"
21/02/2011 20.00,"0,650026","17,625744","16,29999","47,351943"
21/02/2011 21.00,"0,842325","14,366137","16,29999","59,580914"
21/02/2011 22.00,"0,839617","9,133127","16,29999","67,402475"
21/02/2011 23.00,"0,650026","4,346574","16,29999","68,691405"
22/02/2011 0.00,"2,121612","6,601627","16,29999","63,033801"
22/02/2011 1.00,"5,888151","13,235699","22,700001","50,64064"
22/02/2011 2.00,"3,61306","6,896892","22,700001","59,678372"
22/02/2011 3.00,"4,69734","9,907307","22,700001","55,714845"
22/02/2011 4.00,"3,392774","4,372532","22,700001","62,627318"
22/02/2011 5.00,"2,600104","3,332935","22,700001","63,223385"
22/02/2011 6.00,"2,600104","4,345924","22,700001","60,128241"
22/02/2011 7.00,"3,422567","12,60298","22,700001","45,9489"
22/02/2011 8.00,"3,570628","19,688704","22,700001","39,054459"
22/02/2011 9.00,"5,048534","15,920995","22,700001","47,270509"
22/02/2011 10.00,"5,4548","13,109151","22,700001","53,777139"
22/02/2011 11.00,"7,006737","13,205195","22,700001","58,80129"
22/02/2011 12.00,"8,494574","8,566605","22,700001","72,993321"
22/02/2011 13.00,"7,876147","6,058466","22,700001","79,949185"
22/02/2011 14.00,"6,816243","5,142169","22,700001","85,94452"
22/02/2011 15.00,"5,479177","4,703489","22,700001","87,69599"
22/02/2011 16.00,"5,308545","6,083775","22,700001","81,647253"
22/02/2011 17.00,"3,900155","6,491957","22,700001","71,711096"
22/02/2011 18.00,"3,58417","8,258359","22,700001","71,086997"
22/02/2011 19.00,"2,601909","9,792445","22,700001","60,402597"
22/02/2011 20.00,"2,600104","11,579613","22,700001","56,525173"
22/02/2011 21.00,"2,600104","10,474473","22,700001","59,844574"
22/02/2011 22.00,"2,600104","10,529634","22,700001","58,676481"
22/02/2011 23.00,"2,272382","10,777523","22,700001","58,567672"
23/02/2011 0.00,"3,262769","17,955401","22,700001","52,902074"
23/02/2011 1.00,,"11,459555","25,200001","57,5037"
23/02/2011 2.00,"5,140621",,"25,200001","41,79914"
23/02/2011 3.00,"8,210188","30,867289","25,200001",
23/02/2011 4.00,"10,427494","30,614197","25,200001","37,701371"
23/02/2011 5.00,"7,586344","15,02157","25,200001","59,233108"
23/02/2011 6.00,"5,516192","7,182424","25,200001","65,709232"
23/02/2011 7.00,"4,062662","6,813829","25,200001","62,925152"
23/02/2011 8.00,"4,693729","8,792435","25,200001","58,95309"
23/02/2011 9.00,"6,997709","10,03255","25,200001","58,26146"
23/02/2011 10.00,"9,132817","7,094491","25,200001","68,649403"
23/02/2011 11.00,"11,630046","5,501681","25,200001","75,156639"
23/02/2011 12.00,"11,227385","4,7275","25,200001","80,204763"
23/02/2011 13.00,"11,368229","5,3057","25,200001","83,753052"
23/02/2011 14.00,"10,813903","4,867671","25,200001","83,130596"
23/02/2011 15.00,"10,461797","4,89103","25,200001","82,247084"
23/02/2011 16.00,,,"25,200001",
23/02/2011 17.00,"9,16717","8,062381","25,200001","77,567817"
23/02/2011 18.00,"7,200842","6,533487","25,200001","78,82492"
23/02/2011 19.00,"6,119272","6,678851","25,200001","79,272445"
23/02/2011 20.00,"6,142744","5,953341","25,200001","81,28899"
23/02/2011 21.00,"7,236051","4,993563","25,200001","86,909402"
23/02/2011 22.00,"8,103655","4,038978","25,200001","88,870346"
23/02/2011 23.00,"8,286927","3,295298","25,200001","89,359226"
24/02/2011 0.00,"7,638707","2,661936","25,200001","90,669236"
24/02/2011 1.00,"7,687459","3,75799","35,700001","83,15501"
24/02/2011 2.00,"12,227705","12,024132","35,700001","68,173302"
24/02/2011 3.00,"11,506358","11,985194","35,700001","65,905205"
24/02/2011 4.00,"12,021865","14,013774","35,700001","64,596542"
24/02/2011 5.00,"13,332748","15,71658","35,700001","65,834681"
24/02/2011 6.00,"13,85457","15,558235","35,700001","63,20178"
24/02/2011 7.00,"15,026429","15,274655","35,700001","59,989828"
24/02/2011 8.00,"16,380646","16,969029","35,700001","57,84309"
24/02/2011 9.00,"12,345973","9,345976","35,700001","71,660556"
24/02/2011 10.00,"11,730251","5,919594","35,700001","75,740434"
24/02/2011 11.00,"10,512363","6,051329","35,700001","74,768094"
24/02/2011 12.00,"10,529509","7,535446","35,700001","73,128557"
24/02/2011 13.00,"8,862922","7,255107","35,700001","78,988337"
24/02/2011 14.00,"12,489523","13,585469","35,700001","71,636142"
24/02/2011 15.00,"16,201887","16,614052","35,700001","71,593449"
24/02/2011 16.00,"16,832957","17,05144","35,700001","73,98968"
24/02/2011 17.00,"19,421322","19,170209","35,700001","73,298754"
24/02/2011 18.00,"21,527591","20,682237","35,700001","73,41606"
24/02/2011 19.00,"18,519417","18,527122","35,700001","78,232989"
24/02/2011 20.00,"15,395681","15,765894","35,700001","79,4901"
24/02/2011 21.00,"14,947886","17,085832","35,700001","78,178743"
24/02/2011 22.00,"17,637363","18,640679","35,700001","74,108348"
24/02/2011 23.00,"14,183193","12,803507","35,700001","77,824787"
25/02/2011 0.00,"20,661788","19,37137","35,700001","67,959056"
25/02/2011 1.00,,"19,927514","29,6","64,480591"
25/02/2011 2.00,"11,983941",,"29,6","67,588144"
25/02/2011 3.00,"13,126907","18,136462","29,6",
25/02/2011 4.00,"14,168751","16,754229","29,6","65,765777"
25/02/2011 5.00,"13,769712","15,203919","29,6","65,261319"
25/02/2011 6.00,"14,316817","16,091017","29,6","62,715979"
25/02/2011 7.00,"13,537683","16,483618","29,6","61,783573"
25/02/2011 8.00,"13,832908","16,684137","29,6","62,535869"
25/02/2011 9.00,"13,033017","18,303238","29,6","60,729278"
25/02/2011 10.00,"11,919839","17,298037","29,6","64,739928"
25/02/2011 11.00,"11,455803","15,100736","29,6","68,896845"
25/02/2011 12.00,"14,40258","16,209773","29,6","68,997058"
25/02/2011 13.00,"16,854618","18,248078","29,6","68,237997"
25/02/2011 14.00,"14,676133","14,155234","29,6","76,163157"
25/02/2011 15.00,"14,187709","12,586757","29,6","81,544986"
25/02/2011 16.00,"10,29027","9,146753","29,6","87,974375"
25/02/2011 17.00,"7,658569","8,710668","29,6","87,437399"
25/02/2011 18.00,"17,094762","18,601755","29,6","75,304545"
25/02/2011 19.00,"14,319522","19,001495","29,6","74,37891"
25/02/2011 20.00,"4,603447","6,402402","29,6","90,038264"
25/02/2011 21.00,"5,323892","9,690561","29,6","80,542836"
25/02/2011 22.00,"7,54662","12,972879","29,6","75,197575"
25/02/2011 23.00,"6,949859","9,737284","29,6","77,52959"
26/02/2011 0.00,"4,13579","6,515968","29,6","79,451995"
26/02/2011 1.00,"2,638022","4,319967","29,29999","79,942222"
26/02/2011 2.00,"2,489058","3,098669","29,29999","82,276992"
26/02/2011 3.00,"4,347048","6,0072","29,29999","75,613311"
26/02/2011 4.00,"11,841297","12,793773","29,29999","66,924349"
26/02/2011 5.00,"9,974285","9,529626","29,29999","69,485268"
26/02/2011 6.00,"10,390475","21,904827","29,29999","50,43821"
26/02/2011 7.00,"7,324527","24,446048","29,29999","45,435565"
26/02/2011 8.00,"7,236051","24,693308","29,29999","47,059996"
