,bari,,,
,ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
11/01/2010 5.00,"2,57906522","5,18759442","50,17670385","14,39999962"
11/01/2010 6.00,"2,64408406","2,28814776","55,7345544","14,39999962"
11/01/2010 7.00,"3,00349186","9,57959418","46,29056355","14,39999962"
11/01/2010 8.00,"2,69645956","13,26554395","41,2803804","14,39999962"
11/01/2010 9.00,"4,21175193","23,39414216","30,6263622","14,39999962"
11/01/2010 10.00,"5,71981852","27,73811056","24,9037047","14,39999962"
11/01/2010 11.00,"6,10089961","14,10916615","40,92732525","14,39999962"
11/01/2010 12.00,"5,00822769","11,17986934","48,36025635","14,39999962"
11/01/2010 13.00,"5,96725055","11,26293427","46,23067365","14,39999962"
11/01/2010 14.00,"5,1509077","8,00787282","52,01685195","14,39999962"
11/01/2010 15.00,"4,53503793","7,60423241","50,8528692","14,39999962"
11/01/2010 16.00,"3,8740164","9,54844578","47,7077916","14,39999962"
11/01/2010 17.00,"3,86679265","10,04034029","48,07955985","14,39999962"
11/01/2010 18.00,"3,88304736","8,99295625","47,63168235","14,39999962"
11/01/2010 19.00,"3,7132765","9,24604195","43,8316263","14,39999962"
11/01/2010 20.00,"3,57601506","8,8722536","42,141183","14,39999962"
11/01/2010 21.00,"3,56337274","11,57701851","37,5264687","14,39999962"
11/01/2010 22.00,"3,3213603","14,05335296","32,1158292","14,39999962"
11/01/2010 23.00,"3,05767355","9,83787096","33,269817","14,39999962"
12/01/2010 0.00,"2,94750398","14,12604146","26,5666968","14,39999962"
12/01/2010 1.00,,"24,4428168","11,254196",25
12/01/2010 2.00,"2,95834011",,"12,92592021",25
12/01/2010 3.00,"2,78856925","8,72040256",,25
12/01/2010 4.00,"3,06670451","3,98576476","27,9173916",25
12/01/2010 5.00,"3,24369913","6,25444645","32,26758885",25
12/01/2010 6.00,"3,46945787","5,70933907","38,46274215",25
12/01/2010 7.00,"3,47306924","15,14357154","26,9008593",25
12/01/2010 8.00,"3,70605275","22,04174632","19,03391396",25
12/01/2010 9.00,"3,71147031","23,45253464","20,3220276",25
12/01/2010 10.00,"4,62714762","25,9119976","21,2550891",25
12/01/2010 11.00,"4,02572636","31,13334456","19,02893643",25
12/01/2010 12.00,"3,86859884","20,89573176","38,61472125",25
12/01/2010 13.00,"3,86679265","19,64587648","44,95187865",25
12/01/2010 14.00,"3,8758226","22,68159712","44,44111875",25
12/01/2010 15.00,"3,87221021","15,76784718","53,450439",25
12/01/2010 16.00,"3,88304736","28,27413976","39,44065125",25
12/01/2010 17.00,"3,88485356","39,26450696","23,70050025",25
12/01/2010 18.00,"3,90291344","34,20411216","15,63673818",25
12/01/2010 19.00,"3,91013821","35,2709508","19,45249289",25
12/01/2010 20.00,"3,89207731","22,66213296","28,09803885",25
12/01/2010 21.00,"3,61574925","13,2032529","30,1547841",25
12/01/2010 22.00,"2,48334416","11,92225114","34,5448215",25
12/01/2010 23.00,"2,88429133","10,43618547","35,66850525",25
13/01/2010 0.00,"2,82288487","8,01695482","39,045741",25
