,Provincia di BARI,,
,VERDI,,
Parm,SO2,NO2,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
10/01/2005 9.00,"1,32466691","76,30837888",
10/01/2005 10.00,"1,40262199","80,54074384",
10/01/2005 11.00,"1,78150839","76,57573384",
10/01/2005 12.00,"2,55533149","79,68284856",
10/01/2005 13.00,"3,64040337","82,95607784",
10/01/2005 14.00,"2,87689875","82,34999296",
10/01/2005 15.00,"1,79870485","64,34849384",
10/01/2005 16.00,"1,48745505","59,10638256",
10/01/2005 17.00,"1,45363675","75,12471704",
10/01/2005 18.00,"2,02225365","85,31950104",
10/01/2005 19.00,"2,83390813","90,26699224",
10/01/2005 20.00,"2,28191409","89,2027348",
10/01/2005 21.00,"1,71100487","87,31304784",
10/01/2005 22.00,"2,75824536","86,8483936",
10/01/2005 23.00,"1,58031427","72,49913952",
11/01/2005 0.00,"1,4456116","59,47757824",
11/01/2005 1.00,"1,47656501","41,49166192",
11/01/2005 2.00,"0,90966887","24,26111944",
11/01/2005 3.00,"0,31812472","16,96838051",
11/01/2005 4.00,"0,31067316","14,74252571",
11/01/2005 5.00,"0,42531347","14,47386677",
11/01/2005 6.00,"0,18342307","16,9592966",
11/01/2005 7.00,"0,19775362","26,18065272",
11/01/2005 8.00,"0,24131579","58,30559872",
11/01/2005 9.00,"1,06328672","76,2772324",
11/01/2005 10.00,"2,04116883","82,77178016",
11/01/2005 11.00,"2,11855135","80,13190088",
11/01/2005 12.00,"2,40744545","80,28377104",
11/01/2005 13.00,"2,50374315","82,41486712",
11/01/2005 14.00,"2,50030467","82,6238296",
11/01/2005 15.00,"2,26127916","73,83593344",
11/01/2005 16.00,"1,62502362","70,78332984",
11/01/2005 17.00,"1,64222007","78,15785648",
11/01/2005 18.00,"2,03601061","89,74394552",
11/01/2005 19.00,"2,55705124","90,43312592",
11/01/2005 20.00,"2,52953732","90,24882824",
11/01/2005 21.00,"2,77200232","98,94326584",
11/01/2005 22.00,"2,8906547","94,43966456",
11/01/2005 23.00,"1,57515503","67,57109336",
12/01/2005 0.00,"1,31377586","59,21800512",
12/01/2005 1.00,,"43,51115456",
12/01/2005 2.00,"0,06284857",,
12/01/2005 3.00,"0,08713656","21,17996968",
12/01/2005 4.00,"0,04811529","21,87043112",
12/01/2005 5.00,"0,03844565","14,13122872",
12/01/2005 6.00,"0,02463276","16,75422886",
12/01/2005 7.00,"0,03269045","26,5181016",
12/01/2005 8.00,"0,07528037","55,09854376",
12/01/2005 9.00,"0,11510813","78,74187688",
12/01/2005 10.00,"0,54342073","79,83341856",
12/01/2005 11.00,"1,76977221","75,43622008",
12/01/2005 12.00,"1,55567337","73,41412712",
12/01/2005 13.00,"1,62209059","65,70217072",
12/01/2005 14.00,"5,33866624","78,97290384",
12/01/2005 15.00,"1,22289877","57,65924712",
12/01/2005 16.00,"0,19015764","55,7345132",
12/01/2005 17.00,"0,13260358","60,77544384",
12/01/2005 18.00,"0,14100705","92,28128424",
12/01/2005 19.00,"1,24108578","99,90498272",
12/01/2005 20.00,"1,32603477","100,02310608",
12/01/2005 21.00,"1,22853905","89,2027348",
12/01/2005 22.00,"1,11389264","86,98468096",
12/01/2005 23.00,"0,41714899","73,19478248",
13/01/2005 0.00,"0,20972574","61,04281792",
13/01/2005 1.00,"0,16863284","45,20228032",
13/01/2005 2.00,"0,10106438","30,55190536",
13/01/2005 3.00,"0,03476208","30,11711656",
13/01/2005 4.00,"0,04558296","17,91062558",
13/01/2005 5.00,"0,10589919","16,30126842",
13/01/2005 6.00,"0,09001467","20,05340016",
13/01/2005 7.00,"0,10244546","30,593434",
13/01/2005 8.00,"0,1236255","60,57296304",
13/01/2005 9.00,"0,77213894","75,90345552",
13/01/2005 10.00,"1,22704304","77,68672056",
13/01/2005 11.00,"1,41063799","74,5289952",
13/01/2005 12.00,"2,41034288","69,52831216",
13/01/2005 13.00,"1,41236485","63,54769088",
13/01/2005 14.00,"1,68229089","59,54117136",
13/01/2005 15.00,"0,82267164","52,78315",
13/01/2005 16.00,"0,38583963","63,01428112",
13/01/2005 17.00,"1,58675188","81,48429672",
13/01/2005 18.00,"1,14911542","84,50443456",
13/01/2005 19.00,"1,54485351","85,00931728",
13/01/2005 20.00,"0,63355032","80,70557736",
13/01/2005 21.00,"1,31740146","75,00271232",
13/01/2005 22.00,"0,77121856","71,11689736",
