, Brindisi,,,
,P.za San Giusto Casale,,,
Parm,SO2,NO2,NOX,PM10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,,
08/01/2009 11.00,"3,5","97,0","292,2",
08/01/2009 12.00,"3,2","94,9","254,7","31,7"
08/01/2009 13.00,"0,8","72,9","141,8",
08/01/2009 14.00,"0,1","38,0","50,2","35,7"
08/01/2009 15.00,"1,0","37,6","47,9",
08/01/2009 16.00,"1,2","25,9","31,5","24,9"
08/01/2009 17.00,"0,1","17,9","21,0",
08/01/2009 18.00,"0,0","18,0","20,4","22,0"
08/01/2009 19.00,"0,0","15,3","16,8",
08/01/2009 20.00,"0,0","35,9","44,6","17,1"
08/01/2009 21.00,"0,0","40,6","48,0",
08/01/2009 22.00,"0,0","45,2","54,5","25,9"
08/01/2009 23.00,"0,0","26,0","28,8",
09/01/2009 0.00,"0,0","23,7","26,4","27,4"
09/01/2009 1.00,"0,0","13,3","15,6",
09/01/2009 2.00,"0,0","5,7","7,8","16,1"
09/01/2009 3.00,"0,0","7,4","9,1",
09/01/2009 4.00,"0,0","5,8","7,7","13,7"
09/01/2009 5.00,"0,0","6,1","8,2",
09/01/2009 6.00,"0,0","5,9","8,2","9,8"
09/01/2009 7.00,"0,0","9,1","11,9",
09/01/2009 8.00,"0,9","12,3","39,0","10,3"
09/01/2009 9.00,"0,0","22,1","31,1",
09/01/2009 10.00,"0,0","22,0","30,4","10,7"
09/01/2009 11.00,"0,0","11,2","15,6",
09/01/2009 12.00,"0,0","11,9","16,9","15,6"
09/01/2009 13.00,"0,0","6,6","10,6",
09/01/2009 14.00,"0,0","10,0","14,4","14,2"
09/01/2009 15.00,"0,0","10,1","13,8",
09/01/2009 16.00,"0,0","12,3","16,1","20,0"
09/01/2009 17.00,"0,0","15,8","20,2",
09/01/2009 18.00,"0,0","16,1","20,5","22,5"
09/01/2009 19.00,"0,0","12,8","16,3",
09/01/2009 20.00,"0,0","18,8","24,9","29,8"
09/01/2009 21.00,"0,0","16,7","21,6",
09/01/2009 22.00,"0,0","10,6","14,1","26,4"
09/01/2009 23.00,"0,0","4,2","6,4",
10/01/2009 0.00,"0,0","5,7","7,5","27,8"
10/01/2009 1.00,,"7,1","9,3",
10/01/2009 2.00,"0,1",,,"17,1"
10/01/2009 3.00,"0,2","14,3","16,3",
10/01/2009 4.00,"0,9","13,5","15,8","12,2"
10/01/2009 5.00,"0,5","11,8","14,0",
10/01/2009 6.00,"3,3","25,7","29,4","16,1"
10/01/2009 7.00,"2,0","13,5","16,9",
10/01/2009 8.00,"8,6","44,1","70,0","11,2"
10/01/2009 9.00,"7,4","45,6","59,6",
10/01/2009 10.00,"5,2","32,6","41,5","20,5"
10/01/2009 11.00,"2,5","16,4","20,4",
10/01/2009 12.00,"2,3","20,9","26,7","8,8"
10/01/2009 13.00,"0,9","22,8","30,0",
10/01/2009 14.00,"1,1","13,8","17,8","6,3"
10/01/2009 15.00,"1,0","11,0","14,7",
10/01/2009 16.00,"1,1","16,4","19,8","13,2"
10/01/2009 17.00,"0,6","22,1","26,2",
10/01/2009 18.00,"0,2","19,1","22,7","21,0"
10/01/2009 19.00,"0,1","13,3","16,7",
10/01/2009 20.00,"0,1","9,1","12,6","14,7"
10/01/2009 21.00,"0,0","9,4","12,6",
10/01/2009 22.00,"0,1","12,0","15,2","11,7"
10/01/2009 23.00,"0,0","12,6","14,8",
11/01/2009 0.00,"0,0","15,8","17,9","14,7"
