,SIMAGE Brindisi,,,,
,SISRI.,,,,
Parm,SO2,NO2,PM10,CO,NOX



05/01/2010 23.00,"1,60589995","1,24985146",,"0,179064","4,25407763"
06/01/2010 0.00,"1,5836724","0,78261793","31,25761986","0,18584197","3,16850904"
06/01/2010 1.00,,"0,81506266",,"0,21147197","3,11663074"
06/01/2010 2.00,"0,15197133",,"21,48962021","0,19499537",
06/01/2010 3.00,"0,09207918","9,04357262",,,"11,65591146"
06/01/2010 4.00,"0,10151694","5,70933907","31,74603081","0,14815771","9,38231402"
06/01/2010 5.00,"0,10272717","4,73982888",,"0,13762495","6,2241814"
06/01/2010 6.00,"0,09607192","4,56072228","42,00244141","0,13719623","7,75720579"
06/01/2010 7.00,"0,09740318","7,84953054",,"0,15521878","11,28238314"
06/01/2010 8.00,"0,10442048","9,61982839","34,67642975","0,14925048","12,14616738"
06/01/2010 9.00,"0,10986549","6,11687231",,"0,18026162","9,90759013"
06/01/2010 10.00,"0,09945955","3,44714862","45,90964127","0,21345946","6,50562589"
06/01/2010 11.00,"0,09135304","2,7527867",,"0,21841304","6,3538781"
06/01/2010 12.00,"0,10188001","2,28425493","49,32844162","0,26885288","6,33053258"
06/01/2010 13.00,"0,10066978","2,92410573",,"0,19996177","6,47449662"
06/01/2010 14.00,"0,15451281","2,38159676","35,65322113","0,21146964","5,72743998"
06/01/2010 15.00,"0,0943776","2,96174345",,"0,15194163","6,5873333"
06/01/2010 16.00,"0,10514661","2,78004226","32,72283173","0,16095291","6,82208674"
06/01/2010 17.00,"0,10091183","4,7800631",,"0,18314965","8,39531667"
06/01/2010 18.00,"0,10139592","5,34074371","29,7924099","0,21794587","9,62744389"
06/01/2010 19.00,"0,10151694","5,52374506",,"0,25461425","9,48477618"
06/01/2010 20.00,"0,10345229","4,22327531","22,46640968","0,19715295","8,04772846"
06/01/2010 21.00,"0,10103285","4,40368016",,"0,19754323","8,7364213"
06/01/2010 22.00,"0,10490457","4,99031809","26,37360954","0,21115742","9,1968481"
06/01/2010 23.00,"0,09582988","5,2576807",,"0,28593877","8,27210548"
07/01/2010 0.00,"0,09824932","9,14091254","13,18680954","0,28878719","13,61434246"
07/01/2010 1.00,"0,08772337","11,55884113",,"0,25340498","16,63888746"
07/01/2010 2.00,"0,11506847","6,20902115","6,83760691","0,19340864","9,65468033"
07/01/2010 3.00,"0,09365146","3,52372231",,"0,20358958","6,90639065"
07/01/2010 4.00,"0,14410687","2,85012662","4,39560509","0,19570952","7,24749336"
07/01/2010 5.00,"0,26715878","5,1525532",,"0,24529075","9,82458256"
07/01/2010 6.00,"0,22892467","10,70225174","10,25640965","0,2536007","15,50144249"
07/01/2010 7.00,"0,09945955","10,74767895",,"0,25274209","14,40031022"
07/01/2010 8.00,"0,09909648","12,13639897","12,69841003","0,24813918","17,08245426"
07/01/2010 9.00,"0,0997016","18,38046517",,"0,30403937","24,61657936"
07/01/2010 10.00,"0,0926843","16,99822301","15,14041042","0,28757792","25,76569136"
07/01/2010 11.00,"0,08300449","14,73733846",,"0,27298863","24,21450488"
07/01/2010 12.00,"0,09256327","9,94818954","16,11721039","0,24720252","17,49618811"
07/01/2010 13.00,"0,09607192","8,07665893",,"0,26963343","14,70250564"
07/01/2010 14.00,"0,10272717","6,00525358","11,23320961","0,19578874","11,55734021"
07/01/2010 15.00,"0,09788727","7,0098069",,"0,17187595","14,27580078"
07/01/2010 16.00,"0,08034198","7,13699888","12,69841003","0,47396394","11,98534332"
07/01/2010 17.00,"0,09002179","10,67110526",,"0,59017386","15,24982902"
07/01/2010 18.00,"0,08433574","16,41288524","13,18680954","0,52666505","20,89035904"
07/01/2010 19.00,"0,07985789","12,57767327",,"0,4120174","16,13047328"
07/01/2010 20.00,"0,08542393","5,19668025","24,42000961","0,26046604","8,34603105"
07/01/2010 21.00,"0,06158749","9,10457307",,"0,29725208","13,15651215"
07/01/2010 22.00,"0,05928907","7,24083004","16,60560989","0,30361065","11,33815235"
07/01/2010 23.00,"0,08179426","5,22653039",,"0,16032847","9,46013433"
08/01/2010 0.00,"0,09328839","5,24989312","13,18680954","0,15225385","9,40306686"
08/01/2010 1.00,,"3,99744517",,"0,14807966","7,74812762"
08/01/2010 2.00,"0,46481883",,"6,83760691","0,11273705",
08/01/2010 3.00,"0,50587207","13,66009854",,,"16,72708229"
08/01/2010 4.00,"0,51805878","7,36672186","16,60560989","0,17716155","10,64945951"
08/01/2010 5.00,"0,46851156","5,47312677",,"0,21823013","8,03086653"
08/01/2010 6.00,"0,48445304","4,28297751","23,93161964","0,17895682","8,44719688"
08/01/2010 7.00,"0,47312772","5,10582966",,"0,23490128","8,781816"
08/01/2010 8.00,"0,47989789","5,14087088","23,44322014","0,25668445","9,14237522"
08/01/2010 9.00,"0,45269314","5,33555263",,"0,24645692","9,4756961"
08/01/2010 10.00,"0,48291431","4,91893548","27,35042","0,22240782","9,22019362"
08/01/2010 11.00,"0,48962346","4,3621477",,"0,27109084","7,51207783"
08/01/2010 12.00,"0,32399484","4,04806346","29,7924099","0,25555207","8,5224207"
08/01/2010 13.00,"0,35723142","3,73527746",,"0,21452194","7,71829659"
08/01/2010 14.00,"0,52876779","3,68465918","29,30401993","0,22947355","7,2358206"
08/01/2010 15.00,"0,50999601","3,48478634",,"0,22100167","7,55747062"
08/01/2010 16.00,"0,48008299","3,58342451","34,67642975","0,19703179","7,50559233"
08/01/2010 17.00,"0,48291431","4,35306378",,"0,19855445","7,67419822"
08/01/2010 18.00,"0,49270091","3,45882903","28,32722092","0,22607757","7,86096238"
08/01/2010 19.00,"0,48408386","2,67231827",,"0,19933616","6,57566054"
08/01/2010 20.00,"0,47589803","3,06427636","29,30401993","0,18059714","6,05816818"
08/01/2010 21.00,"0,4986707","2,43740422",,"0,26297079","6,12561206"
08/01/2010 22.00,"0,48962346","2,81897823","36,63003159","0,37110842","6,63791717"
08/01/2010 23.00,"0,48746844","2,2037865",,"0,25180427","6,01666439"
09/01/2010 0.00,"0,49220766","2,00521191","34,67642975","0,1447198","5,37596084"
09/01/2010 1.00,"0,47688249","1,46270103",,"0,19289371","4,96871058"
09/01/2010 2.00,"0,48457609","1,77678718","23,93161964","0,17149965","5,77931827"
09/01/2010 3.00,"0,48562259","2,12851106",,"0,18547616","6,340909"
09/01/2010 4.00,"0,47872936","2,40495758","47,37483978","0,21717697","4,81955737"
09/01/2010 5.00,"0,46057184","1,37444694",,"0,1992185","4,57442941"
09/01/2010 6.00,"0,48211394","1,10838258","42,00244141","0,16271555","5,50695387"
09/01/2010 7.00,"0,48894614","2,30891399",,"0,13511554","6,27087244"
09/01/2010 8.00,"0,48814576","3,01495632","59,09645081","0,14600829","6,76112836"
09/01/2010 9.00,"0,51565866","3,56655302",,"0,25691862","7,51207783"
09/01/2010 10.00,"0,48599176","9,10327482","76,67887115","0,17735611","22,49731856"
09/01/2010 11.00,"0,04129935","3,03312606",,"0,20917342","6,69368638"
09/01/2010 12.00,"0,41188703","1,96368136","91,81929016","0,14022989","6,86877778"
09/01/2010 13.00,"0,2372722","1,74953162",,"0,39342749","5,63276156"
09/01/2010 14.00,"0,48851493","2,25959586","27,35042","0,48526095","7,60675625"
09/01/2010 15.00,"0,49823949","2,51267966",,"0,31309608","7,50040507"
09/01/2010 16.00,"0,47675943","2,55291387","17,58241081","0,21799597","7,44852486"
09/01/2010 17.00,"0,4867301","2,64376446",,"0,24969678","7,50818691"
09/01/2010 18.00,"0,48211394","3,70542541","13,67521","0,23833687","8,3862385"
09/01/2010 19.00,"0,48728436","4,04287238",,"0,221237","8,96079832"
09/01/2010 20.00,"0,47226632","6,97087094","10,7448101","0,20753427","12,35368438"
09/01/2010 21.00,"0,39797651","7,36542361",,"0,24508921","12,68570892"
09/01/2010 22.00,"0,46463374","11,88071868","16,60560989","0,41276416","17,05910874"
09/01/2010 23.00,"0,48826882","7,64706312",,"0,32188018","11,80895367"
10/01/2010 0.00,"0,46721895","3,42638239","13,67521","0,25547402","9,18647168"
10/01/2010 1.00,,"2,61910731",,"0,25402942","7,65604187"
10/01/2010 2.00,"0,04655521",,"7,32600689","0,27019263",
10/01/2010 3.00,"0,04561347","17,81978073",,,"22,71779128"
10/01/2010 4.00,"0,11287683","10,79958402","4,39560509","0,10222992","16,75820965"
10/01/2010 5.00,"0,16550251","9,69510574",,"0,00430817","15,37304213"
10/01/2010 6.00,"0,20157855","13,15133446","2,93040299","0,01043957","18,79964822"
10/01/2010 7.00,"0,35529607","12,16235628",,"0,02352834","18,11095538"
10/01/2010 8.00,"0,31836982","6,36735961","7,32600689","0,24867624","11,55474754"
10/01/2010 9.00,"0,06340893","4,15968028",,"0,17865858","9,86089718"
10/01/2010 10.00,"0,06878378","5,46533919","5,37240601","0,18387195","10,91793299"
10/01/2010 11.00,"0,13838522","5,22004106",,"0,1884073","11,83748645"
10/01/2010 12.00,"0,18153653","3,28880826","3,41880298","0,07356393","9,26429008"
10/01/2010 13.00,"0,31338957","2,38938242",,"0,09087233","8,22281986"
10/01/2010 14.00,"0,33513201","2,63208406","2,44200301","0,22760256","7,83891511"
10/01/2010 15.00,"0,43182023","3,20574333",,"0,06285292","8,63655371"
10/01/2010 16.00,"0,41542213","4,11036024","1,95360196","0,14414545","9,85700817"
10/01/2010 17.00,"0,51381077","9,5432547",,"0,21398487","15,06306295"
10/01/2010 18.00,"0,462795","19,80940984","3,41880298","0,19993963","26,35062952"
10/01/2010 19.00,"0,2987529","18,56865186",,"0,32171708","24,8214884"
10/01/2010 20.00,"0,26355758","21,64200448","13,67521","0,24444846","27,19754992"
10/01/2010 21.00,"0,02292928","19,69260576",,"0,28156536","25,0160344"
10/01/2010 22.00,"0,03370948","18,15593136","10,25640965","0,20783717","28,53992688"
10/01/2010 23.00,"0,02957945","21,77179104",,"0,12959693","31,50868928"
11/01/2010 0.00,"0,02059018","8,45823294","8,79120922","0,08336158","13,59488786"
11/01/2010 1.00,"0,03544042","10,59712425",,"0,22086536","17,25495107"
11/01/2010 2.00,"0,02915434","6,94491362","4,88400507","0,16858133","12,89322593"
11/01/2010 3.00,"0,1555115","6,4465317",,"0,1280801","12,21620394"
11/01/2010 4.00,"0,14521641","6,34399879","3,90720391","0,13625025","12,0916945"
11/01/2010 5.00,"0,23209669","10,1234033",,"0,21674709","15,61687184"
11/01/2010 6.00,"0,20586012","17,59525074","11,23320961","0,23301049","24,15615064"
11/01/2010 7.00,"0,02326388","20,53361808",,"0,19293682","28,04188912"
11/01/2010 8.00,"0,04649419","32,36243552","10,7448101","0,25258016","50,08916112"
11/01/2010 9.00,"0,23398017","37,33197208",,"0,29347049","87,35123048"
11/01/2010 10.00,"0,10063825","25,28252896","17,09399986","0,26635279","40,6043792"
11/01/2010 11.00,"0,04467274","15,5043755",,"0,14644633","23,6360484"
11/01/2010 12.00,"0,03717135","5,86767944","13,67521","0,13146443","11,94254129"
11/01/2010 13.00,"0,02790953","5,04742379",,"0,1093003","10,29019662"
11/01/2010 14.00,"0,04130139","9,02799938","10,25640965","0,14753211","14,89445706"
11/01/2010 15.00,"0,01822159","17,52516447",,"0,1858175","24,42461456"
11/01/2010 16.00,"0,04054271","16,80225257","15,14041042","0,13006643","23,82283168"
