,Foggia,,,
,Monte Sant'Angelo - Suolo Giuffreda,,,
Parm,SO2,NO2,PM10,O3



07/01/2010 9.00,"5,19967082","2,30891399","3,5","52,0873752"
07/01/2010 10.00,"5,90042552","1,80144625","3,5","55,54971765"
07/01/2010 11.00,"5,14910151","1,58989301","3,5","60,391044"
07/01/2010 12.00,"5,00822769","1,78197826","3,5","58,77874485"
07/01/2010 13.00,"5,73426704","2,24272246","3,5","58,2807729"
07/01/2010 14.00,"5,58075089","2,80470133","3,5","58,89577155"
07/01/2010 15.00,"4,91250561","9,99880782","3,5","52,82754015"
07/01/2010 16.00,"5,77400123","12,35703612","3,5","52,4765199"
07/01/2010 17.00,"5,40736866","11,16299403","3,5","49,7879781"
07/01/2010 18.00,"5,5825581","4,58927609","3,5","50,8057074"
07/01/2010 19.00,"5,53018158","3,78459559","3,5","51,9050721"
07/01/2010 20.00,"4,85651773","2,36082862","3,5","57,91479015"
07/01/2010 21.00,"5,87875325","2,52565831","3,5","57,8576334"
07/01/2010 22.00,"5,77219504","2,28814776","3,5","55,93239855"
07/01/2010 23.00,"5,28636193","2,75019021","3,5","54,94052445"
08/01/2010 0.00,"5,71259477","2,86700002","3,5","59,5882959"
08/01/2010 1.00,,"5,68468001","24,10000038","60,80466735"
08/01/2010 2.00,"5,34234982",,"24,10000038","54,80175225"
08/01/2010 3.00,"5,23940501","16,88011686","24,10000038",
08/01/2010 4.00,"5,46335756","6,74244621","24,10000038","67,84254855"
08/01/2010 5.00,"5,11117351","5,05780786","24,10000038","68,33854545"
08/01/2010 6.00,"5,42542956","4,07661726","24,10000038","63,18789435"
08/01/2010 7.00,"4,87638482","3,85857278","24,10000038","59,2212957"
08/01/2010 8.00,"5,38750258","5,04612746","24,10000038","55,9164984"
08/01/2010 9.00,"5,65480069","6,44133871","24,10000038","54,93278385"
08/01/2010 10.00,"5,32609612","5,7469787","24,10000038","55,11791985"
08/01/2010 11.00,"5,61145412","4,99550917","24,10000038","53,81091555"
08/01/2010 12.00,"5,29719908","4,8683191","24,10000038","50,81282955"
08/01/2010 13.00,"5,19786463","4,61393515","24,10000038","53,197473"
08/01/2010 14.00,"5,35860554","5,31089166","24,10000038","55,6373979"
08/01/2010 15.00,"5,65118831","5,34074371","24,10000038","54,4229616"
08/01/2010 16.00,"5,0949188","3,56136194","24,10000038","57,31190115"
08/01/2010 17.00,"5,49225358","3,35499978","24,10000038","53,2264803"
08/01/2010 18.00,"4,44834681","3,50295608","24,10000038","60,2201922"
08/01/2010 19.00,"5,05337944","1,19793492","24,10000038","70,23686775"
08/01/2010 20.00,"5,1129797","1,47048861","24,10000038","63,73915275"
08/01/2010 21.00,"5,30442284","3,1109999","24,10000038","56,85045765"
08/01/2010 22.00,"4,94501504","5,79629683","24,10000038","52,9087167"
08/01/2010 23.00,"5,37305305","18,1053169","24,10000038","47,2634652"
09/01/2010 0.00,"4,02030779","18,9891561","24,10000038","45,20348805"
09/01/2010 1.00,"4,06184817","17,21108023","16,39999962","44,6867631"
09/01/2010 2.00,"4,46460152","12,66722562","16,39999962","47,52044115"
09/01/2010 3.00,"4,86554869","2,90074491","16,39999962","51,42210255"
09/01/2010 4.00,"5,03712473","2,40885041","16,39999962","50,25877815"
09/01/2010 5.00,"5,08950124","3,36927478","16,39999962","49,7171955"
09/01/2010 6.00,"4,98474923","1,02661781","16,39999962","66,89336745"
09/01/2010 7.00,"4,54226168","0,99157467","16,39999962","65,15392695"
09/01/2010 8.00,"4,66688079","1,84168046","16,39999962","63,28736505"
09/01/2010 9.00,"4,86735488","2,76446902","16,39999962","63,53606175"
09/01/2010 10.00,"5,10394874","3,22651147","16,39999962","60,84193395"
09/01/2010 11.00,"5,32428993","3,93904313","16,39999962","61,39319235"
09/01/2010 12.00,"5,28636193","2,3374678","16,39999962","66,00639045"
09/01/2010 13.00,"5,55546623","1,8741271","16,39999962","66,3655902"
09/01/2010 14.00,"5,45613279","6,00525358","16,39999962","62,17654905"
09/01/2010 15.00,"5,26468966","6,19863708","16,39999962","59,731098"
09/01/2010 16.00,"5,38027781","2,73980805","16,39999962","64,65793005"
09/01/2010 17.00,"5,44349047","2,84753204","16,39999962","64,9480629"
09/01/2010 18.00,"4,96307594","3,31216907","16,39999962","61,7648409"
09/01/2010 19.00,"5,22495649","1,97666002","16,39999962","65,4261048"
09/01/2010 20.00,"4,54587406","4,63080855","16,39999962","61,1099622"
09/01/2010 21.00,"5,17980474","3,18108426","16,39999962","57,9654033"
09/01/2010 22.00,"5,21231315","2,43350947","16,39999962","60,65679795"
09/01/2010 23.00,"5,2935867","2,14538254","16,39999962","60,8612655"
10/01/2010 0.00,"4,69397164","2,70087208","16,39999962","56,90847225"
10/01/2010 1.00,,"3,18108426","14,19999981","54,62052645"
10/01/2010 2.00,"4,36707326",,"14,19999981","56,0145726"
10/01/2010 3.00,"5,26288347","14,89826576","14,19999981",
10/01/2010 4.00,"4,79511127","7,03187138","14,19999981","43,46492535"
10/01/2010 5.00,"4,83123308","4,56850986","14,19999981","54,0731583"
10/01/2010 6.00,"5,19064088","3,06557461","14,19999981","59,676435"
10/01/2010 7.00,"4,51878322","2,38548959","14,19999981","60,1169709"
10/01/2010 8.00,"4,51697702","1,90138266","14,19999981","61,909239"
10/01/2010 9.00,"4,1810487","1,87542535","14,19999981","51,28181415"
10/01/2010 10.00,"5,05337944","2,26219045","14,19999981","50,84403135"
10/01/2010 11.00,"5,40556247","2,20508474","14,19999981","55,52920905"
10/01/2010 12.00,"2,06614229","2,25570303","14,19999981","56,89606335"
10/01/2010 13.00,"5,04615467","2,36731794","14,19999981","58,97517255"
10/01/2010 14.00,"5,67827915","2,62689298","14,19999981","58,39055775"
10/01/2010 15.00,"5,29539289","2,85402137","14,19999981","59,7560355"
10/01/2010 16.00,"5,02087001","2,72682939","14,19999981","59,60782695"
10/01/2010 17.00,"4,97030071","3,01885106","14,19999981","57,8265114"
10/01/2010 18.00,"5,38027781","2,87997868","14,19999981","57,91435125"
10/01/2010 19.00,"4,78788752","2,38419134","14,19999981","61,75967385"
10/01/2010 20.00,"5,0949188","2,19989366","14,19999981","62,04511845"
10/01/2010 21.00,"5,55185487","2,52176548","14,19999981","57,4573566"
10/01/2010 22.00,"5,43084712","2,88257518","14,19999981","52,33301955"
10/01/2010 23.00,"5,24482257","3,70931824","14,19999981","48,8678442"
11/01/2010 0.00,"5,39653253","3,26414919","14,19999981","55,09417935"
11/01/2010 1.00,"4,92153657","2,80470133","28,5","54,45741525"
11/01/2010 2.00,"3,28704468","2,49450992","28,5","54,2831121"
11/01/2010 3.00,"4,63437137","2,26478694","28,5","51,8170128"
11/01/2010 4.00,"4,7914999","2,09346792","28,5","55,3316043"
11/01/2010 5.00,"4,67229937","2,04934087","28,5","54,1431429"
11/01/2010 6.00,"5,12562203","1,73395647","28,5","50,95243965"
11/01/2010 7.00,"4,52058941","1,77029786","28,5","52,2026463"
11/01/2010 8.00,"4,32734009","1,57302152","28,5","57,10055085"
11/01/2010 9.00,"5,00100394","2,82287106","28,5","52,4867343"
11/01/2010 10.00,"5,07324653","2,39197892","28,5","52,88745"
11/01/2010 11.00,"5,72704329","21,38503168","28,5","35,3090661"
11/01/2010 12.00,"6,01962605","12,8645096","28,5","39,61824615"
11/01/2010 13.00,"6,20023305","8,86316969","28,5","47,64919845"
11/01/2010 14.00,"4,65423846","4,54514904","28,5","46,76130375"
11/01/2010 15.00,"5,75955271","6,9552977","28,5","42,9667539"
11/01/2010 16.00,"5,36944168","4,10387091","28,5","41,8290852"
11/01/2010 17.00,"5,41459343","3,79238317","28,5","39,42748425"
11/01/2010 18.00,"5,65118831","5,92867989","28,5","47,90858835"
11/01/2010 19.00,"5,70717619","9,04746737","28,5","42,8693181"
11/01/2010 20.00,"5,50670312","4,39848908","28,5","53,69576415"
11/01/2010 21.00,"5,48683602","3,77680802","28,5","54,236469"
11/01/2010 22.00,"5,38569639","2,9150199","28,5","55,5758721"
11/01/2010 23.00,"4,60908671","2,35563754","28,5","58,45232295"
12/01/2010 0.00,"5,21050695","1,34329663","28,5","58,7473635"
12/01/2010 1.00,,"1,17327586","17,2999897","56,3237976"
12/01/2010 2.00,"5,63312741",,"17,2999897","54,08826045"
12/01/2010 3.00,"5,72884948","14,71656649","17,2999897",
12/01/2010 4.00,"5,71801233","6,06885052","17,2999897","53,38226985"
12/01/2010 5.00,"5,83721286","4,55163837","17,2999897","57,37414515"
12/01/2010 6.00,"5,4019511","4,30893674","17,2999897","52,2466161"
12/01/2010 7.00,"5,37124787","2,88127693","17,2999897","58,60158885"
12/01/2010 8.00,"5,03170717","4,80602041","17,2999897","57,1083912"
12/01/2010 9.00,"5,14729532","3,56914761","17,2999897","55,5754731"
12/01/2010 10.00,"5,71078858","3,88842484","17,2999897","46,7642763"
12/01/2010 11.00,"5,62590264","9,72755238","17,2999897","48,9684321"
12/01/2010 12.00,"0,88858544","20,23511664","17,2999897","43,161426"
12/01/2010 13.00,"0,25646198","3,34851046","17,2999897","61,1865702"
12/01/2010 14.00,"4,55309883","4,18044651","17,2999897","62,2838601"
12/01/2010 15.00,"6,17675357","3,08374434","17,2999897","63,94966515"
12/01/2010 16.00,"6,22732389","2,86440353","17,2999897","68,07580395"
12/01/2010 17.00,"6,43321554","2,70346666","17,2999897","68,25527415"
12/01/2010 18.00,"6,17494839","2,78782984","17,2999897","65,3771076"
12/01/2010 19.00,"5,66924819","2,6930845","17,2999897","65,13190215"
12/01/2010 20.00,"6,05213547","2,36861619","17,2999897","65,2908039"
12/01/2010 21.00,"5,2032832","2,49061709","17,2999897","65,262036"
12/01/2010 22.00,"5,28636295","3,0941265","17,2999897","63,08251845"
12/01/2010 23.00,"5,3658293","2,19989366","17,2999897","65,24422065"
13/01/2010 0.00,"4,59102581","2,08178751","17,2999897","58,59061635"
13/01/2010 1.00,"3,44778458","1,92733998","17,70000076","57,16044075"
13/01/2010 2.00,"5,06782796","2,16355228","17,70000076","57,59195925"
13/01/2010 3.00,"4,92334277","2,44649004","17,70000076","58,6002123"
13/01/2010 4.00,"4,93237271","1,97146702","17,70000076","58,70844105"
13/01/2010 5.00,"5,28094437","1,60416991","17,70000076","58,38513135"
13/01/2010 6.00,"5,20147701","1,81312666","17,70000076","58,56184845"
