, Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NOX,NO,NO2,PM10



07/01/2009 19.00,"0,5","44,2","10,8","27,6",
07/01/2009 20.00,"1,0","80,4","16,0","55,8",
07/01/2009 21.00,"0,8","82,0","17,6","55,0",
07/01/2009 22.00,"0,4","64,7","12,9","45,0",
07/01/2009 23.00,"0,7","49,9","11,0","33,0",
08/01/2009 0.00,"0,5","42,7","11,1","25,7",
08/01/2009 1.00,,"35,6","11,5","18,0",
08/01/2009 2.00,"1,5",,,,
08/01/2009 3.00,"1,6","30,1","11,9","11,8",
08/01/2009 4.00,"1,2","29,1","12,6","9,9",
08/01/2009 5.00,"1,5","33,0","12,6","13,7",
08/01/2009 6.00,"1,6","40,0","13,7","19,0",
08/01/2009 7.00,"1,2","59,3","17,6","32,2",
08/01/2009 8.00,"1,6","89,7","30,6","42,8",
08/01/2009 9.00,"1,6","162,2","70,3","54,3",
08/01/2009 10.00,"1,9","161,4","68,4","56,4",
08/01/2009 11.00,"2,1","172,1","60,4","79,5",
08/01/2009 12.00,"1,9","164,8","45,8","94,6",
08/01/2009 13.00,"1,8","145,6","39,2","85,5",
08/01/2009 14.00,"1,8","133,3","25,9","93,7",
08/01/2009 15.00,"1,9","95,1","17,0","69,1",
08/01/2009 16.00,"0,9","43,2","13,1","23,1",
08/01/2009 17.00,"1,1","43,5","13,1","23,3",
08/01/2009 18.00,"0,9","59,9","15,8","35,7",
08/01/2009 19.00,"1,2","53,3","14,5","31,1",
08/01/2009 20.00,"1,1","61,4","15,2","38,1",
08/01/2009 21.00,"1,0","41,5","12,7","22,0",
08/01/2009 22.00,"1,0","38,4","12,0","20,0",
08/01/2009 23.00,"1,0","34,0","11,7","16,1",
09/01/2009 0.00,"1,0","38,2","12,1","19,7",
09/01/2009 1.00,"0,7","44,9","12,6","25,6",
09/01/2009 2.00,"0,7","44,9","12,8","25,3",
09/01/2009 3.00,"1,2","30,3","12,5","11,1",
09/01/2009 4.00,"1,4","28,0","12,3","9,1",
09/01/2009 5.00,"1,0","25,9","12,5","6,8",
09/01/2009 6.00,"1,0","29,2","12,3","10,4",
09/01/2009 7.00,"1,0","41,2","13,6","20,3",
09/01/2009 8.00,"1,4","67,8","18,7","39,1",
09/01/2009 9.00,"1,2","78,6","19,9","48,0",
09/01/2009 10.00,"1,0","67,9","18,0","40,4",
09/01/2009 11.00,"1,3","57,6","15,1","34,5",
09/01/2009 12.00,"1,0","44,5","13,3","24,0",
09/01/2009 13.00,"0,8","39,1","12,8","19,5",
09/01/2009 14.00,"0,6","34,5","12,2","15,8",
09/01/2009 15.00,"0,5","33,2","11,5","15,6",
09/01/2009 16.00,"0,8","34,6","11,1","17,5",
09/01/2009 17.00,"0,7","34,1","11,0","17,2",
09/01/2009 18.00,"1,1","33,0","10,5","16,9",
09/01/2009 19.00,"0,7","39,4","11,0","22,5",
09/01/2009 20.00,"1,3","34,1","11,1","17,0",
09/01/2009 21.00,"0,8","34,8","11,6","17,0",
09/01/2009 22.00,"0,9","28,6","11,1","11,6",
09/01/2009 23.00,"0,8","25,9","11,2","8,8",
10/01/2009 0.00,"0,8","23,9","11,3","6,6",
10/01/2009 1.00,,"25,5","11,8","7,4",
10/01/2009 2.00,"1,2","23,8","11,9","5,5",
10/01/2009 3.00,"1,2","24,3","12,2","5,6",
10/01/2009 4.00,"1,2","29,9","12,5","10,8",
10/01/2009 5.00,"1,0","28,9","12,6","9,6",
10/01/2009 6.00,"1,1","28,4","12,6","9,1",
10/01/2009 7.00,"1,4","28,2","12,7","8,7",
10/01/2009 8.00,"1,1","41,9","14,9","19,1",
10/01/2009 9.00,"1,3","45,9","14,8","23,3",
10/01/2009 10.00,"0,8","46,0","14,8","23,4",
10/01/2009 11.00,"1,0","43,7","13,9","22,3",
10/01/2009 12.00,"1,1","49,1","13,1","29,1",
10/01/2009 13.00,"1,0","52,2","13,5","31,5",
10/01/2009 14.00,"0,8","41,6","12,3","22,7",
10/01/2009 15.00,"1,0","35,2","11,4","17,7",
10/01/2009 16.00,"1,1","47,1","12,3","28,3",
10/01/2009 17.00,"1,0","56,8","15,0","33,8",
10/01/2009 18.00,"1,2","45,5","13,5","24,8",
10/01/2009 19.00,"1,0","46,5","13,1","26,5",
10/01/2009 20.00,"1,0","49,6","14,7","27,1",
10/01/2009 21.00,"1,0","48,1","13,4","27,6",
10/01/2009 22.00,"0,9","37,0","11,7","19,0",
10/01/2009 23.00,"0,8","31,3","11,3","14,0",
11/01/2009 0.00,"1,3","31,2","12,1","12,7",
11/01/2009 1.00,"0,9","34,6","12,4","15,5",
11/01/2009 2.00,"1,2","33,9","12,7","14,4",
11/01/2009 3.00,"1,4","35,4","12,0","17,1",
11/01/2009 4.00,"1,1","37,6","12,1","19,0",
11/01/2009 5.00,"1,2","33,8","11,7","15,8",
11/01/2009 6.00,"1,3","30,3","11,6","12,5",
11/01/2009 7.00,"1,1","30,9","11,4","13,4",
11/01/2009 8.00,"0,9","30,3","11,5","12,6",
11/01/2009 9.00,"1,0","34,9","12,0","16,5",
11/01/2009 10.00,"1,0","31,7","12,0","13,3",
11/01/2009 11.00,"1,2","30,8","12,4","11,7",
11/01/2009 12.00,"0,9","28,9","11,9","10,7",
11/01/2009 13.00,"1,1","34,9","12,8","15,3",
11/01/2009 14.00,"1,2","31,2","12,4","12,1",
11/01/2009 15.00,"1,1","28,3","11,8","10,2",
11/01/2009 16.00,"1,1","30,3","12,1","11,7",
11/01/2009 17.00,"0,9","34,8","12,3","15,9",
11/01/2009 18.00,"1,3","36,5","12,4","17,4",
11/01/2009 19.00,"1,0","37,0","11,9","18,6",
11/01/2009 20.00,"1,1","34,5","11,6","16,7",
11/01/2009 21.00,"0,9","38,7","11,9","20,5",
11/01/2009 22.00,"1,6","44,7","11,8","26,5",
11/01/2009 23.00,"1,4","31,8","11,3","14,4",
12/01/2009 0.00,"1,5","37,9","12,0","19,5",
12/01/2009 1.00,,"35,9","11,8","17,8",
12/01/2009 2.00,"1,4",,,,
12/01/2009 3.00,"2,1","32,1","12,0","13,7",
12/01/2009 4.00,"1,5","31,5","12,0","13,0",
12/01/2009 5.00,"1,5","28,8","11,5","11,2",
12/01/2009 6.00,"2,1","31,1","11,9","12,8",
12/01/2009 7.00,"2,0","60,0","18,7","31,3",
12/01/2009 8.00,"2,1","104,8","38,0","46,6",
12/01/2009 9.00,"2,6","125,9","49,0","50,7",
12/01/2009 10.00,"2,9","147,9","62,4","52,2",
12/01/2009 11.00,"2,3","85,8","29,8","40,1",
12/01/2009 12.00,"1,4","40,1","13,5","19,4",
12/01/2009 13.00,,,,,
12/01/2009 14.00,,,,,
12/01/2009 15.00,"1,1","29,1","5,6","20,5",
12/01/2009 16.00,"1,6","47,6","7,6","35,9",
12/01/2009 17.00,"1,9","38,5","7,0","27,8",
12/01/2009 18.00,"1,8","96,5","27,8","53,9",
12/01/2009 19.00,"2,0","143,5","57,7","55,0",
12/01/2009 20.00,"2,5","110,8","39,4","50,3",
12/01/2009 21.00,"2,7","89,0","28,4","45,3",
12/01/2009 22.00,"2,4","80,5","25,5","41,4",
12/01/2009 23.00,"1,6","59,3","14,6","37,0",
13/01/2009 0.00,"2,4","53,6","14,4","31,6",
13/01/2009 1.00,"2,5","40,4","8,2","27,9",
13/01/2009 2.00,"2,3","36,2","7,5","24,7",
13/01/2009 3.00,"2,2","33,4","8,3","20,7",
13/01/2009 4.00,"1,4","28,7","5,7","20,0",
13/01/2009 5.00,"1,1","27,7","4,5","20,8",
13/01/2009 6.00,"1,3","30,9","5,4","22,7",
13/01/2009 7.00,"1,3","57,7","14,6","35,3",
13/01/2009 8.00,"1,8","78,3","22,3","44,0",
13/01/2009 9.00,"1,8","87,2","23,3","51,4",
13/01/2009 10.00,"2,3","113,6","40,0","52,4",
13/01/2009 11.00,"1,5","38,3","7,2","27,3",
13/01/2009 12.00,"1,3","24,1","3,7","18,4",
13/01/2009 13.00,"1,1","21,8","2,7","17,6",
13/01/2009 14.00,"1,1","22,6","2,1","19,4",
13/01/2009 15.00,"1,0","25,9","0,7","24,9",
13/01/2009 16.00,"1,1","12,2","0,1","12,5",
13/01/2009 17.00,"1,4","9,9","0,0","11,4",
13/01/2009 18.00,"1,0","7,9","0,0","10,1",
13/01/2009 19.00,"0,7","6,3","0,0","9,1",
13/01/2009 20.00,"0,7","5,8","0,0","9,4",
13/01/2009 21.00,"1,0","6,5","0,0","10,3",
13/01/2009 22.00,"0,9","6,7","0,0","10,5",
13/01/2009 23.00,"1,1","4,7","0,0","8,1",
14/01/2009 0.00,"1,4","4,0","0,0","6,6",
14/01/2009 1.00,,"2,9","0,0","4,6",
14/01/2009 2.00,"0,3","3,7","0,0","4,7",
14/01/2009 3.00,"0,5","4,4","0,1","4,4",
14/01/2009 4.00,"0,3","5,9","0,4","5,2",
14/01/2009 5.00,"0,4","6,4","0,7","5,4",
14/01/2009 6.00,"0,4","7,9","1,0","6,4",
14/01/2009 7.00,"0,3","12,5","1,4","10,4",
14/01/2009 8.00,"0,3","20,9","1,5","18,6",
14/01/2009 9.00,"0,3","31,1","2,6","27,1",
14/01/2009 10.00,"0,4","20,1","1,5","17,8",
14/01/2009 11.00,"0,1","18,4","1,9","15,5",
14/01/2009 12.00,"0,2","18,9","3,0","14,3",
14/01/2009 13.00,"0,1","18,6","3,9","12,6",
14/01/2009 14.00,"0,2","20,0","4,2","13,5",
14/01/2009 15.00,"0,2","18,1","4,1","11,8",
14/01/2009 16.00,"0,2","20,8","4,7","13,7",
14/01/2009 17.00,"0,1","22,3","4,8","15,0",
14/01/2009 18.00,"0,1","26,2","4,7","19,0",
14/01/2009 19.00,"0,2","26,9","5,2","19,0",
14/01/2009 20.00,"0,1","25,7","4,9","18,2",
14/01/2009 21.00,"0,2","28,2","5,0","20,6",
14/01/2009 22.00,"0,1","30,4","4,9","22,9",
14/01/2009 23.00,"0,1","21,8","5,1","13,9",
15/01/2009 0.00,"0,1","20,2","5,4","11,9",
15/01/2009 1.00,"0,2","16,9","5,5","8,5",
15/01/2009 2.00,"0,1","16,1","6,0","6,9",
15/01/2009 3.00,"0,3","16,3","6,3","6,6",
15/01/2009 4.00,"0,2","14,8","5,8","6,0",
15/01/2009 5.00,"0,3","15,3","6,0","6,1",
15/01/2009 6.00,"0,2","17,4","6,1","8,0",
15/01/2009 7.00,"0,2","30,9","6,8","20,5",
15/01/2009 8.00,"0,3","58,6","10,9","42,0",
15/01/2009 9.00,"0,4","89,7","23,3","54,0",
15/01/2009 10.00,"0,4","52,4","11,2","35,2",
15/01/2009 11.00,"0,1","30,0","7,3","18,8",
15/01/2009 12.00,"0,1","24,0","6,4","14,3",
15/01/2009 13.00,"0,1","21,1","5,8","12,3",
15/01/2009 14.00,"0,1","26,5","6,2","16,9",
15/01/2009 15.00,"0,1","24,8","5,5","16,3",
15/01/2009 16.00,"0,1","27,2","5,4","18,8",
15/01/2009 17.00,"0,2","28,8","4,9","21,3",
15/01/2009 18.00,"0,5","52,4","6,8","42,0",
15/01/2009 19.00,"0,6","86,9","13,0","66,9",
15/01/2009 20.00,"0,7","95,3","20,6","63,8",
15/01/2009 21.00,"0,5","74,7","14,7","52,2",
15/01/2009 22.00,"0,7","59,3","11,5","41,6",
15/01/2009 23.00,"0,5","57,7","12,7","38,2",
16/01/2009 0.00,"0,5","53,4","14,7","30,9",
16/01/2009 1.00,,"28,6","5,3","20,5",
16/01/2009 2.00,"0,3",,,,
16/01/2009 3.00,"0,2","26,5","4,2","20,0",
16/01/2009 4.00,"0,2","22,8","3,6","17,2",
16/01/2009 5.00,"0,2","20,0","3,3","15,0",
16/01/2009 6.00,"0,1","20,5","3,3","15,5",
16/01/2009 7.00,"0,1","23,6","3,7","17,9",
16/01/2009 8.00,"0,2","22,9","3,9","16,8",
16/01/2009 9.00,"0,2","22,3","4,1","16,0",
16/01/2009 10.00,"0,1","22,1","4,3","15,4",
16/01/2009 11.00,"0,2","21,4","4,2","15,0",
16/01/2009 12.00,"0,1","17,9","4,3","11,3",
16/01/2009 13.00,"0,0","18,8","5,4","10,5",
16/01/2009 14.00,"0,1","18,3","5,7","9,5",
16/01/2009 15.00,"0,1","17,4","5,8","8,5",
16/01/2009 16.00,"0,1","17,2","6,3","7,4",
16/01/2009 17.00,"0,0","17,2","6,3","7,5",
16/01/2009 18.00,"0,1","16,9","5,7","8,2",
16/01/2009 19.00,"0,2","14,8","4,6","7,7",
16/01/2009 20.00,"0,0","13,6","3,8","7,7",
16/01/2009 21.00,"0,0","16,3","3,1","11,5",
16/01/2009 22.00,"0,1","20,0","2,6","16,0",
16/01/2009 23.00,"0,1","16,7","1,8","14,0",
17/01/2009 0.00,"0,1","15,0","1,6","12,5",
17/01/2009 1.00,"0,0","12,8","1,2","11,1",
17/01/2009 2.00,"0,1","10,5","0,9","9,1",
17/01/2009 3.00,"0,1","9,4","0,7","8,3",
