NetC,SIMAGE Brindisi,,,,
04/01/2006 8.00,"1,751398","13,806756","4,395605","0,204763",
04/01/2006 9.00,"3,337982","39,912156",,"0,46015",
04/01/2006 10.00,"5,48965","73,874863","3,907204","0,717248",
04/01/2006 11.00,"2,897867","45,421625",,"0,377155",
04/01/2006 12.00,"1,060348","13,74835","4,395605","0,228703",
04/01/2006 13.00,"2,807309","7,159063",,"0,201701",
04/01/2006 14.00,"2,231358","3,977977","5,372406","0,192992",
04/01/2006 15.00,"2,863455","5,207062",,"0,202656",
04/01/2006 16.00,"1,534058","6,244062","3,907204","0,244054",
04/01/2006 17.00,"1,389799","14,572503",,"0,284219",
04/01/2006 18.00,"2,113632","36,475394","5,372406","0,370554",
04/01/2006 19.00,"2,919602","37,450076",,"0,357708",
04/01/2006 20.00,"2,160722","24,242936","2,930403","0,34045",
04/01/2006 21.00,"2,934091","13,722403",,"0,333689",
04/01/2006 22.00,"1,27968","25,710836","2,442003","0,398432",
04/01/2006 23.00,"2,041909","22,075493",,"0,400817",
05/01/2006 0.00,"1,510513","19,065742","3,907204","0,374093",
05/01/2006 1.00,"1,724231","20,196187",,"0,310943",
05/01/2006 2.00,"1,662379","12,241526","1,953602","0,256263",
05/01/2006 3.00,"1,430731","7,888467",,"0,218921",
05/01/2006 4.00,"1,468766","12,873591","6,349206","0,293485",
05/01/2006 5.00,"1,372864","14,446607",,"0,288792",
05/01/2006 6.00,"1,497291","15,425209","8,791209","0,271891",
05/01/2006 7.00,"1,178254","15,60172",,"0,286804",
05/01/2006 8.00,"0,946787","24,001526","4,884005","0,304222",
05/01/2006 9.00,"1,559415","38,468904",,"0,337786",
05/01/2006 10.00,"1,870935","26,07943","5,372406","0,367253",
05/01/2006 11.00,"1,369333","14,163677",,"0,4038",
05/01/2006 12.00,"0,351003","12,743799","8,791209","0,435017",
05/01/2006 13.00,"1,811167","13,066969",,"0,455935",
05/01/2006 14.00,"2,171589","14,780161","7,326007","0,518489",
05/01/2006 15.00,"2,414286","17,623802",,"0,515705",
05/01/2006 16.00,"2,187889","17,584863","12,21001","0,522227",
05/01/2006 17.00,"1,262383","17,865209",,"0,464246",
05/01/2006 18.00,"2,671472","17,072204","9,27961","0,475978",
05/01/2006 19.00,"2,021262","14,96186",,"0,470092",
05/01/2006 20.00,"1,885424","17,282465","5,860806","0,4825",
05/01/2006 21.00,"2,800064","33,134652",,"0,598064",
05/01/2006 22.00,"2,789198","25,697853","10,25641","0,572056",
05/01/2006 23.00,"2,211435","21,13454",,"0,522147",
06/01/2006 0.00,"2,403419","19,500506","7,326007","0,480551",
06/01/2006 1.00,,"13,057885",,"0,405032",
06/01/2006 2.00,"1,444471",,"4,395605","0,388012",
06/01/2006 3.00,"1,344416","18,908697",,,
06/01/2006 4.00,"0,982682","12,048137","9,27961","0,442733",
06/01/2006 5.00,"1,160904","10,254486",,"0,429752",
06/01/2006 6.00,"1,111014","10,029956","5,372406","0,420194",
06/01/2006 7.00,"1,187446","12,707465",,"0,406616",
06/01/2006 8.00,"1,668206","15,16953","3,907204","0,456751",
06/01/2006 9.00,"2,079284","14,320719",,"0,475705",
06/01/2006 10.00,"0,927319","8,658105","1,953602","0,483988",
06/01/2006 11.00,"0,530105","7,51468",,"0,460136",
06/01/2006 12.00,"0,83684","7,926104","2,930403","0,505651",
06/01/2006 13.00,"1,094687","7,234338",,"0,514252",
06/01/2006 14.00,"1,534859","7,85602","5,372406","0,519787",
06/01/2006 15.00,"2,170309","5,565275",,"0,451773",
06/01/2006 16.00,"2,388663","6,188255","6,349206","0,472519",
06/01/2006 17.00,"2,664022","9,175955",,"0,464992",
06/01/2006 18.00,"2,816614","10,407634","7,326007","0,466267",
06/01/2006 19.00,"1,989078","9,723658",,"0,438353",
06/01/2006 20.00,"1,502116","12,68929","4,884005","0,531376",
06/01/2006 21.00,"1,239527","21,918459",,"0,622287",
06/01/2006 22.00,"2,052559","13,474504","2,930403","0,51465",
06/01/2006 23.00,"2,150883","16,808742",,"0,548778",
07/01/2006 0.00,"2,184265","13,427785","4,395605","0,484386",
07/01/2006 1.00,"1,443377","11,505634",,"0,470967",
07/01/2006 2.00,"0,515056","11,259037","8,791209","0,404345",
07/01/2006 3.00,"0,837023","10,734698",,"0,420871",
07/01/2006 4.00,"1,128707","7,54453","11,23321","0,391204",
07/01/2006 5.00,"0,911996","6,074041",,"0,382523",
07/01/2006 6.00,"1,336845","9,3927","9,76801","0,399488",
07/01/2006 7.00,"1,251292","9,330403",,"0,41454",
07/01/2006 8.00,"0,691089","14,523181","8,302809","0,437875",
07/01/2006 9.00,"1,117124","13,487483",,"0,371134",
07/01/2006 10.00,"0,851615","12,889167","6,349206","0,41892",
07/01/2006 11.00,"1,057839","10,965721",,"0,447154",
07/01/2006 12.00,"0,745449","11,003357","13,18681","0,455158",
07/01/2006 13.00,"1,354084","9,175955",,"0,474949",
07/01/2006 14.00,"1,372417","8,220722","16,11721","0,516682",
07/01/2006 15.00,"1,705876","10,116914",,"0,521221",
07/01/2006 16.00,"1,226392","7,501701","15,14041","0,522535",
07/01/2006 17.00,"0,716262","8,754147",,"0,517238",
07/01/2006 18.00,"1,330005","14,151991","13,67521","0,555268",
07/01/2006 19.00,"1,100069","18,109202",,"0,491156",
07/01/2006 20.00,"1,060027","17,573186","10,74481","0,487612",
07/01/2006 21.00,"1,997378","20,483006",,"0,520504",
07/01/2006 22.00,"1,547629","21,27989","14,65201","0,482953",
07/01/2006 23.00,"1,5417","25,350022",,"0,537389",
08/01/2006 0.00,"1,771637","24,000226","14,16361","0,625632",
08/01/2006 1.00,,"21,643304",,"0,572272",
08/01/2006 2.00,"1,238043",,"19,53602","0,455158",
08/01/2006 3.00,"0,284142","27,775737",,,
08/01/2006 4.00,"0,358715","17,379797","14,65201","0,440636",
08/01/2006 5.00,"0,348568","13,569244",,"0,421121",
08/01/2006 6.00,"0,36095","13,880737","18,55921","0,402808",
08/01/2006 7.00,"0,360577","14,209104",,"0,401686",
08/01/2006 8.00,"0,288984","21,978153","11,72161","0,398761",
08/01/2006 9.00,"0,296711","15,462845",,"0,399562",
08/01/2006 10.00,"0,093752","12,075398","8,302809","0,421281",
08/01/2006 11.00,"0,329203","9,918339",,"0,483474",
08/01/2006 12.00,"0,33814","9,810615","15,14041","0,549032",
08/01/2006 13.00,"0,329203","10,283038",,"0,579208",
08/01/2006 14.00,"0,714357","10,238913","16,60561","0,588743",
08/01/2006 15.00,"1,406647","10,411528",,"0,59263",
08/01/2006 16.00,"1,00129","8,399829","18,07081","0,525309",
08/01/2006 17.00,"0,413458","8,201254",,"0,539616",
08/01/2006 18.00,"0,391114","11,395307","13,67521","0,528354",
08/01/2006 19.00,"2,510998","12,428422",,"0,491769",
08/01/2006 20.00,"0,826635","16,236373","14,16361","0,480388",
08/01/2006 21.00,"0,993191","5,457551",,"0,43174",
08/01/2006 22.00,"0,378732","5,676892","8,791209","0,397479",
08/01/2006 23.00,"0,388973","8,907296",,"0,391468",
09/01/2006 0.00,"0,389625","5,61719","6,349206","0,410622",
09/01/2006 1.00,"0,409268","8,14285",,"0,368266",
09/01/2006 2.00,"0,516427","16,54527","8,302809","0,382852",
09/01/2006 3.00,"0,390276","4,260913",,"0,429777",
09/01/2006 4.00,"1,824666","5,02017","9,27961","0,445685",
09/01/2006 5.00,"7,161243","4,164871",,"0,419878",
09/01/2006 6.00,"5,528272","4,223275","9,76801","0,412225",
09/01/2006 7.00,"4,932431","7,497808",,"0,397719",
09/01/2006 8.00,"3,926954","7,269382","5,860806","0,348711",
09/01/2006 9.00,"3,584346","7,911829",,"0,388943",
09/01/2006 10.00,"3,612276","7,874189","11,23321","0,385216",
09/01/2006 11.00,"4,269561","10,459552",,"0,42076",
09/01/2006 12.00,"3,146777","6,690531","5,372406","0,3764",
09/01/2006 13.00,"4,172737","12,216867",,"0,346346",
09/01/2006 14.00,"3,697928","11,752228","6,837607","0,342018",
09/01/2006 15.00,"3,435386","17,835356",,"0,381048",
09/01/2006 16.00,"1,463345","20,142957","6,837607","0,332761",
09/01/2006 17.00,"1,730727","13,313565",,"0,294212",
09/01/2006 18.00,"2,162991","6,010444","3,907204","0,319858",
09/01/2006 19.00,"1,269791","3,679468",,"0,323625",
09/01/2006 20.00,"3,818214","8,109106","2,930403","0,320419",
09/01/2006 21.00,"3,46825","6,308957",,"0,312245",
09/01/2006 22.00,"1,07577","2,821573","1,953602","0,311121",
09/01/2006 23.00,"1,128745","5,588638",,"0,31557",
10/01/2006 0.00,"0,534674","7,164254","2,442003","0,309639",
10/01/2006 1.00,,"10,306402",,"0,296697",
10/01/2006 2.00,"0,735428",,"2,442003","0,279946",
10/01/2006 3.00,"0,684698","19,954778",,"0,229145",
10/01/2006 4.00,"0,882231","7,016298","2,442003","0,207098",
10/01/2006 5.00,"1,103325","5,571765",,"0,191238",
10/01/2006 6.00,"0,936572","5,591233","4,884005","0,161956",
10/01/2006 7.00,"1,94229","9,13702",,"0,170864",
10/01/2006 8.00,"1,445825","11,447226","4,395605","0,200706",
10/01/2006 9.00,"0,984915","11,835291",,"0,235143",
10/01/2006 10.00,"0,826728","16,533593","5,860806","0,274493",
10/01/2006 11.00,"0,560903","16,873627",,"0,28476",
10/01/2006 12.00,"0,497629","8,16102","9,27961","0,286517",
10/01/2006 13.00,"0,369978","13,557567",,"0,268061",
10/01/2006 14.00,"0,955603","10,848908","7,326007","0,236421",
10/01/2006 15.00,"0,538752","6,887808",,"0,274973",
10/01/2006 16.00,"1,447723","7,583468","5,372406","0,272016",
10/01/2006 17.00,"4,008556","8,334935",,"0,265745",
10/01/2006 18.00,"1,572619","3,89751","2,442003","0,219722",
10/01/2006 19.00,"2,407913","6,650297",,"0,212172",
10/01/2006 20.00,"0,645044","2,623549","1,953602","0,191478",
10/01/2006 21.00,"0,849248","1,990937",,"0,164752",
10/01/2006 22.00,"0,680293","9,740529","1,953602","0,188922",
10/01/2006 23.00,"0,620506","2,626648",,"0,170625",
11/01/2006 0.00,"0,756968","3,114893","1,465201","0,158759",
11/01/2006 1.00,"2,060271","4,515297",,"0,185965",
11/01/2006 2.00,"0,307805","5,47702","1,953602","0,149891",
11/01/2006 3.00,"0,735856","3,728786",,"0,124323",
11/01/2006 4.00,"0,772878","4,219382","1,465201","0,158399",
11/01/2006 5.00,"0,662852","5,352424",,"0,153047",
11/01/2006 6.00,"0,596701","4,058445","4,395605","0,154524",
11/01/2006 7.00,"0,650307","5,709339",,"0,150969",
11/01/2006 8.00,"0,490776","8,267446","3,418803","0,157041",
11/01/2006 9.00,"0,584892","8,511445",,"0,177736",
11/01/2006 10.00,"0,548235","6,001361","2,442003","0,174299",
11/01/2006 11.00,"0,014564","7,1357",,"0,167948",
11/01/2006 12.00,"0,25114","3,33683","1,953602","0,191119",
11/01/2006 13.00,"0,637211","3,74566",,"0,248206",
11/01/2006 14.00,"1,304774","7,515978","4,395605","0,223077",
11/01/2006 15.00,"1,841381","9,199316",,"0,243732",
11/01/2006 16.00,"0,624668","6,584105","2,442003","0,238817",
11/01/2006 17.00,"1,623777","9,03319",,"0,226194",
11/01/2006 18.00,"1,94688","6,171381","5,860806","0,214049",
11/01/2006 19.00,"2,605446","7,425128",,"0,190878",
11/01/2006 20.00,"3,765251","5,682085","4,395605","0,201465",
11/01/2006 21.00,"5,055825","4,820297",,"0,219443",
11/01/2006 22.00,"4,707021","7,671722","3,907204","0,221879",
11/01/2006 23.00,"3,746892","2,587957",,"0,207138",
12/01/2006 0.00,"2,884061","3,264149","6,837607","0,203303",
12/01/2006 1.00,,"3,239488",,"0,201506",
12/01/2006 2.00,"6,538657",,"10,25641","0,228151",
12/01/2006 3.00,"6,623145","14,93461",,,
12/01/2006 4.00,"6,006014","7,486126","10,74481","0,251689",
12/01/2006 5.00,"6,040911","7,682106",,"0,262502",
12/01/2006 6.00,"6,428456","6,336211","10,74481","0,267532",
12/01/2006 7.00,"6,30907","9,395296",,"0,2807",
12/01/2006 8.00,"5,921526","7,680808","8,791209","0,278586",
12/01/2006 9.00,"6,547841","9,814508",,"0,278665",
12/01/2006 10.00,"5,96377","10,183101","19,53602","0,288282",
12/01/2006 11.00,"6,235602","11,08642",,"0,301811",
12/01/2006 12.00,"7,51211","10,445269","13,18681","0,321086",
12/01/2006 13.00,"8,020875","9,939105",,"0,336129",
12/01/2006 14.00,"6,378865","7,375808","12,69841","0,32799",
12/01/2006 15.00,"7,374357","8,588019",,"0,312505",
12/01/2006 16.00,"8,919022","11,987148","10,25641","0,300175",
12/01/2006 17.00,"8,165975","11,030607",,"0,289958",
12/01/2006 18.00,"6,624983","6,772296","14,65201","0,277428",
12/01/2006 19.00,"7,091505","4,741127",,"0,249374",
12/01/2006 20.00,"6,14193","5,613297","9,76801","0,273318",
12/01/2006 21.00,"5,936219","5,602913",,"0,271802",
12/01/2006 22.00,"6,415599","5,217446","11,72161","0,271561",
12/01/2006 23.00,"4,266657","6,463403",,"0,286966",
13/01/2006 0.00,"2,674942","19,569301","8,302809","0,343951",
13/01/2006 1.00,"3,078311","18,105316",,"0,360632",
13/01/2006 2.00,"4,674406","14,310335","10,25641","0,279662",
13/01/2006 3.00,"6,332947","4,904658",,"0,254402",
13/01/2006 4.00,"6,749879","6,759317","8,302809","0,241472",
13/01/2006 5.00,"5,95826","5,923489",,"0,235367",
13/01/2006 6.00,"4,86726","12,848926","9,76801","0,244905",
13/01/2006 7.00,"3,612792","7,214872",,"0,236284",
13/01/2006 8.00,"3,873603","7,962446","5,372406","0,237762",
13/01/2006 9.00,"3,465856","7,744402",,"0,260188",
13/01/2006 10.00,"2,023985","5,77553","4,884005","0,289958",
13/01/2006 11.00,"1,544482","5,792404",,"0,30193",
13/01/2006 12.00,"2,205879","5,953341","4,884005","0,349338",
13/01/2006 13.00,"2,214633","5,779425",,"0,324278",
13/01/2006 14.00,"5,842548","7,743107","5,372406","0,302888",
13/01/2006 15.00,"4,880116","6,415383",,"0,349617",
13/01/2006 16.00,"3,331776","6,345297","9,27961","0,353929",
13/01/2006 17.00,"3,901154","6,486766",,"0,303805",
13/01/2006 18.00,"5,330108","9,146105","6,349206","0,279344",
13/01/2006 19.00,"9,108203","10,758053",,"0,272758",
13/01/2006 20.00,"9,021878","9,621126","3,418803","0,264459",
13/01/2006 21.00,"4,198699","4,380319",,"0,256717",
13/01/2006 22.00,"3,576058","3,596403","2,930403","0,266893",
13/01/2006 23.00,"3,612792","2,924106",,"0,270684",
14/01/2006 0.00,"3,32994","5,061703","2,442003","0,248495",
14/01/2006 1.00,,"5,060404",,"0,261784",
14/01/2006 2.00,"2,107693",,"6,837607","0,271242",
14/01/2006 3.00,"2,269523","15,294124",,,
14/01/2006 4.00,"2,658801","7,231744","3,907204","0,287913",
14/01/2006 5.00,"2,807408","6,049382",,"0,287393",
14/01/2006 6.00,"2,54051","5,532829","7,814408","0,287433",
14/01/2006 7.00,"3,582341","8,293403",,"0,283079",
14/01/2006 8.00,"3,266329","12,140293","4,884005","0,287034",
14/01/2006 9.00,"3,608198","14,787952",,"0,304332",
14/01/2006 10.00,"2,727763","11,966376","9,76801","0,315997",
14/01/2006 11.00,"2,413021","4,913744",,"0,314358",
14/01/2006 12.00,"2,868722","4,430936","9,76801","0,317835",
14/01/2006 13.00,"3,056378","4,057147",,"0,339247",
14/01/2006 14.00,"3,088397","2,957851","9,76801","0,347637",
14/01/2006 15.00,"2,87058","4,634701",,"0,343202",
14/01/2006 16.00,"5,369563","4,541254","8,302809","0,335211",
14/01/2006 17.00,"5,451313","5,730105",,"0,319912",
14/01/2006 18.00,"6,515936","6,454319","11,72161","0,314958",
14/01/2006 19.00,"7,526678","10,14417",,"0,306768",
14/01/2006 20.00,"5,28038","22,146867","6,349206","0,429331",
14/01/2006 21.00,"4,17674","69,044194",,"1,172464",
14/01/2006 22.00,"3,169714","70,735318","21,97802","1,255678",
14/01/2006 23.00,"3,427973","59,878619",,"1,045866",
15/01/2006 0.00,"1,980886","37,620111","32,722832","0,740975",
15/01/2006 1.00,"1,138788","22,389576",,"0,492811",
15/01/2006 2.00,"0,957573","16,59199","32,722832","0,483183",
15/01/2006 3.00,"0,911805","15,737992",,"0,543827",
15/01/2006 4.00,"0,615734","10,271352","27,35042","0,445511",
15/01/2006 5.00,"0,75273","6,918956",,"0,388224",
15/01/2006 6.00,"0,808191","7,997488","23,44322","0,369608",
15/01/2006 7.00,"0,414887","13,133168",,"0,379116",
15/01/2006 8.00,"0,780321","17,231839","21,48962","0,446431",
15/01/2006 9.00,"1,113117","14,824286",,"0,491653",
15/01/2006 10.00,"0,350849","17,378508","30,76923","0,528125",
15/01/2006 11.00,"2,577669","11,736655",,"0,360939",
15/01/2006 12.00,"2,089825","9,846955","30,76923","0,374402",
15/01/2006 13.00,"2,92954","9,975444",,"0,425457",
15/01/2006 14.00,"5,207918","17,902847","22,954821","0,436323",
15/01/2006 15.00,"3,420542","10,986482",,"0,401368",
15/01/2006 16.00,"3,165998","6,427063","12,69841","0,382073",
15/01/2006 17.00,"3,556174","7,313509",,"0,356785",
15/01/2006 18.00,"2,454918","4,876104","16,60561","0,34524",
15/01/2006 19.00,"2,723799","7,732722",,"0,338168",
15/01/2006 20.00,"2,203007","20,338937","8,302809","0,353229",
15/01/2006 21.00,"1,758114","37,813489",,"0,329579",
15/01/2006 22.00,"1,121385","27,805603","5,860806","0,405443",
15/01/2006 23.00,"1,319785","43,565666",,"0,625521",
16/01/2006 0.00,"1,49648","45,002397","13,67521","0,652448",
16/01/2006 1.00,,"35,838125",,"0,65045",
16/01/2006 2.00,"2,31212",,"22,46641","0,592924",
16/01/2006 3.00,"2,773432","43,609793",,,
16/01/2006 4.00,"1,857045","28,350714","16,60561","0,594094",
16/01/2006 5.00,"1,731557","29,740738",,"0,63157",
16/01/2006 6.00,"1,95116","49,800639","21,97802","0,693256",
16/01/2006 7.00,"1,731187","36,320942",,"0,584394",
16/01/2006 8.00,"2,506649","42,631193","15,62881","0,525273",
16/01/2006 9.00,"5,250438","59,938311",,"0,811619",
16/01/2006 10.00,"3,222455","47,384006","22,954821","0,588442",
16/01/2006 11.00,"5,611706","35,553907",,"0,493007",
16/01/2006 12.00,"8,110944","9,269402","22,954821","0,397573",
16/01/2006 13.00,"8,253598","8,163616",,"0,359294",
16/01/2006 14.00,"9,159549","5,588638","20,51281","0,329913",
16/01/2006 15.00,"7,080865","5,31219",,"0,343543",
16/01/2006 16.00,"6,802967","9,708082","13,67521","0,405509",
16/01/2006 17.00,"6,113777","16,410291",,"0,411281",
16/01/2006 18.00,"3,034657","26,884115","7,814408","0,44042",
16/01/2006 19.00,"2,510353","20,410332",,"0,387031",
16/01/2006 20.00,"2,414016","37,404666","4,395605","0,504832",
16/01/2006 21.00,"3,058741","56,371764",,"0,791056",
16/01/2006 22.00,"3,960986","55,147873","19,0476","1,1453",
16/01/2006 23.00,"3,401483","47,603331",,"1,024774",
17/01/2006 0.00,"2,630777","45,760355","29,79241","0,966415",
17/01/2006 1.00,"1,837839","40,20936",,"0,876871",
17/01/2006 2.00,"1,50047","24,829576","33,211231","0,687444",
17/01/2006 3.00,"1,651523","19,654958",,"0,674377",
17/01/2006 4.00,"1,710809","20,5453","32,234421","0,754422",
17/01/2006 5.00,"1,080101","17,692591",,"0,747848",
17/01/2006 6.00,"0,877111","26,512918","36,630032","0,73911",
17/01/2006 7.00,"1,557654","31,366969",,"0,735583",
17/01/2006 8.00,"3,282914","51,020627","24,42001","0,867652",
17/01/2006 9.00,"3,382957","50,727329",,"0,88565",
17/01/2006 10.00,"1,323911","48,816857","36,630032","0,667885",
17/01/2006 11.00,"0,423579","18,227316",,"0,530124",
17/01/2006 12.00,"2,825182","12,224648","32,722832","0,5086",
17/01/2006 13.00,"1,860873","12,873591",,"0,532808",
17/01/2006 14.00,"4,067576","8,855382","26,86202","1,271718",
17/01/2006 15.00,"2,137784","10,621781",,"1,296249",
17/01/2006 16.00,"1,973886","8,473808","17,582411","1,319456",
17/01/2006 17.00,"1,250793","13,177293",,"1,336692",
17/01/2006 18.00,"0,46298","35,710941","15,62881","1,549726",
17/01/2006 19.00,"1,837222","31,899081",,"1,501708",
17/01/2006 20.00,"1,869334","36,35597","18,07081","1,560349",
17/01/2006 21.00,"1,974936","45,615003",,"1,702077",
17/01/2006 22.00,"1,948998","38,666203","34,67643","1,836111",
17/01/2006 23.00,"1,835986","44,962169",,"1,780637",
18/01/2006 0.00,"1,921209","30,606415","43,956032","1,638628",
18/01/2006 1.00,,"23,653715",,"1,450643",
18/01/2006 2.00,"0,132643",,"37,118431","1,382826",
18/01/2006 3.00,"0,261952","17,074796",,,
18/01/2006 4.00,"0,120046","15,265572","24,908421","0,428659",
18/01/2006 5.00,"0,001112","5,866381",,"0,360967",
18/01/2006 6.00,"0,001112","12,449182","15,62881","0,346139",
18/01/2006 7.00,"0,201188","13,457629",,"0,338254",
18/01/2006 8.00,"0,19563","22,803601","10,25641","0,334006",
18/01/2006 9.00,"0,187109","42,610428",,"0,425678",
18/01/2006 10.00,"0,367918","41,016645","14,65201","0,573766",
18/01/2006 11.00,"0,077619","27,056004",,"0,706055",
18/01/2006 12.00,"0,070027","10,364799","20,02442","0,43295",
18/01/2006 13.00,"0,168212","5,5497",,"0,29058",
18/01/2006 14.00,"0,389037","5,660021","15,62881","0,299201",
18/01/2006 15.00,"0,168953","6,908574",,"0,282205",
18/01/2006 16.00,"0,316046","8,114296","8,791209","0,317705",
18/01/2006 17.00,"0,446837","6,354383",,"0,300222",
18/01/2006 18.00,"0,162284","9,946893","9,76801","0,347201",
18/01/2006 19.00,"0,503155","9,386213",,"0,352878",
18/01/2006 20.00,"0,788449","10,434883","5,860806","0,361335",
18/01/2006 21.00,"0,155615","7,015",,"0,34381",
18/01/2006 22.00,"0,108189","4,007829","2,930403","0,286086",
18/01/2006 23.00,"0,540206","3,605489",,"0,320198",
19/01/2006 0.00,"0,176734","3,506851","2,442003","0,351205",
19/01/2006 1.00,"0,58689","3,778106",,"0,352185",
19/01/2006 2.00,"0,790672","4,04417","2,930403","0,380169",
19/01/2006 3.00,"0,755102","6,196042",,"0,376288",
19/01/2006 4.00,"0,824018","6,123361","5,372406","0,379719",
19/01/2006 5.00,"0,76066","6,303764",,"0,351286",
19/01/2006 6.00,"0,714717","5,639254","7,326007","0,346588",
19/01/2006 7.00,"0,641356","6,92804",,"0,329839",
19/01/2006 8.00,"0,680259","7,880681","3,907204","0,341237",
19/01/2006 9.00,"1,454997","16,934628",,"0,410847",
19/01/2006 10.00,"2,832558","13,68735","4,395605","0,357536",
19/01/2006 11.00,"3,230857","9,534168",,"0,339316",
19/01/2006 12.00,"1,973713","7,268084","2,930403","0,302672",
19/01/2006 13.00,"2,47872","11,670458",,"0,295604",
19/01/2006 14.00,"2,828852","9,13702","3,418803","0,285187",
19/01/2006 15.00,"3,103772","9,832679",,"0,301569",
19/01/2006 16.00,"2,743635","8,299893","7,326007","0,328695",
19/01/2006 17.00,"2,293094","11,026722",,"0,336252",
19/01/2006 18.00,"2,420921","11,556248","4,395605","0,340011",
19/01/2006 19.00,"1,588382","9,757402",,"0,341318",
19/01/2006 20.00,"2,190092","9,531573","2,930403","0,346956",
