NetC,SIMAGE Brindisi,
07/01/2006 1.00,"0,710392","14,414168"
07/01/2006 2.00,"0,65944","14,724359"
07/01/2006 3.00,"0,47026","19,044969"
07/01/2006 4.00,"0,59833","16,416781"
07/01/2006 5.00,"0,633426","19,343475"
07/01/2006 6.00,"0,415922","12,428422"
07/01/2006 7.00,"0,609413","16,980055"
07/01/2006 8.00,"0,707467","19,155275"
07/01/2006 9.00,"0,501815","14,629609"
07/01/2006 10.00,"0,960529","16,742543"
07/01/2006 11.00,"0,947599","16,009245"
07/01/2006 12.00,"1,119385","15,644544"
07/01/2006 13.00,"1,479583","12,215567"
07/01/2006 14.00,"1,374294","11,482267"
07/01/2006 15.00,"1,241298","12,760676"
07/01/2006 16.00,"1,124927","15,425209"
07/01/2006 17.00,"1,006708","26,850369"
07/01/2006 18.00,"0,702542","31,342306"
07/01/2006 19.00,"0,840309","30,453264"
07/01/2006 20.00,"0,897725","31,069751"
07/01/2006 21.00,"0,755339","30,349423"
07/01/2006 22.00,"0,716395","24,745219"
07/01/2006 23.00,"0,642816","22,081993"
08/01/2006 0.00,"0,6833","17,587458"
08/01/2006 1.00,,"13,869059"
08/01/2006 2.00,"0,291795",
08/01/2006 3.00,"0,33951","13,118885"
08/01/2006 4.00,"0,383648","12,210377"
08/01/2006 5.00,"0,253256","11,66657"
08/01/2006 6.00,"0,33587","14,646484"
08/01/2006 7.00,"0,357862","19,246135"
08/01/2006 8.00,"0,278949","15,758754"
08/01/2006 9.00,"0,528565","14,767183"
08/01/2006 10.00,"0,702877","13,5991"
08/01/2006 11.00,"1,176481","15,026757"
08/01/2006 12.00,"1,321522","14,210397"
08/01/2006 13.00,"1,092591","13,522526"
08/01/2006 14.00,"1,134894","12,569893"
08/01/2006 15.00,"1,011438","12,846332"
08/01/2006 16.00,"0,937875","12,911229"
08/01/2006 17.00,"0,879211","21,764008"
08/01/2006 18.00,"0,853518","24,093685"
08/01/2006 19.00,"0,80599","37,511088"
08/01/2006 20.00,"1,004408","49,323022"
08/01/2006 21.00,"1,199187","49,61376"
08/01/2006 22.00,"0,915822","38,280723"
08/01/2006 23.00,"0,579982","22,277955"
09/01/2006 0.00,"0,605674","12,66982"
09/01/2006 1.00,"0,680917","11,836594"
09/01/2006 2.00,"0,605612","11,474485"
09/01/2006 3.00,"0,295466","11,078628"
09/01/2006 4.00,"0,440445","13,231805"
09/01/2006 5.00,"0,372543","17,505697"
09/01/2006 6.00,"0,508347","28,061276"
09/01/2006 7.00,"0,82963","43,019255"
09/01/2006 8.00,"0,842445","41,705805"
09/01/2006 9.00,"0,757964","22,733507"
09/01/2006 10.00,"1,634406","8,867063"
09/01/2006 11.00,"3,191359","8,347914"
09/01/2006 12.00,"2,948742","8,197361"
09/01/2006 13.00,"3,006597","7,915724"
09/01/2006 14.00,"2,909549","7,761276"
09/01/2006 15.00,"2,297406","7,705467"
09/01/2006 16.00,"1,718918","9,591274"
09/01/2006 17.00,"1,173619","12,809998"
09/01/2006 18.00,"1,000551","11,244754"
09/01/2006 19.00,"0,873923","13,57185"
09/01/2006 20.00,"0,612953","24,372722"
09/01/2006 21.00,"0,655225","20,772426"
09/01/2006 22.00,"1,057256","10,123403"
09/01/2006 23.00,"0,919648","6,101297"
10/01/2006 0.00,"0,548815","5,783318"
10/01/2006 1.00,,"5,314786"
10/01/2006 2.00,"0,50488",
10/01/2006 3.00,"0,364096","6,454319"
10/01/2006 4.00,"0,210366","6,49585"
10/01/2006 5.00,"0,296131","10,789209"
10/01/2006 6.00,"0,456334","34,126235"
10/01/2006 7.00,"0,715869","56,549577"
10/01/2006 8.00,"0,519693","48,962206"
10/01/2006 9.00,"0,768648","20,126094"
10/01/2006 10.00,"1,206683","7,950765"
10/01/2006 11.00,"1,394021","7,066912"
10/01/2006 12.00,"1,494723","6,593192"
10/01/2006 13.00,"1,276141","6,372553"
10/01/2006 14.00,"1,178551","6,450424"
10/01/2006 15.00,"1,330911","7,427722"
10/01/2006 16.00,"0,936567","9,208404"
10/01/2006 17.00,"0,776987","13,612078"
10/01/2006 18.00,"0,524796","22,020981"
10/01/2006 19.00,"0,469279","25,775729"
10/01/2006 20.00,"0,516208","30,214437"
10/01/2006 21.00,"0,537244","38,911493"
10/01/2006 22.00,"0,328496","8,323255"
10/01/2006 23.00,"0,524547","5,436787"
11/01/2006 0.00,"0,483844","5,143467"
11/01/2006 1.00,"0,528531","5,065595"
11/01/2006 2.00,"0,339823","6,517914"
11/01/2006 3.00,"0,354387","7,904041"
11/01/2006 4.00,"0,255677","8,005276"
11/01/2006 5.00,"0,155348","11,95599"
11/01/2006 6.00,"0,592512","37,421529"
11/01/2006 7.00,"1,099632","66,557465"
11/01/2006 8.00,"2,21308","79,664661"
11/01/2006 9.00,"1,119549","37,682403"
11/01/2006 10.00,"1,131374","6,944913"
11/01/2006 11.00,"1,377839","6,150617"
11/01/2006 12.00,"1,280373","5,955935"
11/01/2006 13.00,"3,123755","10,943659"
11/01/2006 14.00,"1,673472","7,835256"
11/01/2006 15.00,"1,259586","8,170104"
11/01/2006 16.00,"1,059053","9,853446"
11/01/2006 17.00,"1,166477","23,704326"
11/01/2006 18.00,"1,264689","44,370329"
11/01/2006 19.00,"1,423522","49,805821"
11/01/2006 20.00,"1,200833","39,058144"
11/01/2006 21.00,"1,242532","7,867702"
11/01/2006 22.00,"1,708699","6,542573"
11/01/2006 23.00,"1,615093","7,125318"
12/01/2006 0.00,"1,358794","13,205845"
12/01/2006 1.00,,"6,732062"
12/01/2006 2.00,"1,44136",
12/01/2006 3.00,"1,638689","5,898829"
12/01/2006 4.00,"1,770303","5,658723"
12/01/2006 5.00,"1,463605","6,372553"
12/01/2006 6.00,"1,204269","9,98453"
12/01/2006 7.00,"1,603468","16,094902"
12/01/2006 8.00,"1,651665","12,345359"
12/01/2006 9.00,"1,794402","9,316126"
12/01/2006 10.00,"2,487694","8,93585"
12/01/2006 11.00,"2,902928","9,291467"
12/01/2006 12.00,"4,133799","9,879403"
12/01/2006 13.00,"3,505387","7,156467"
12/01/2006 14.00,"3,911352","8,380361"
12/01/2006 15.00,"3,049372","8,077957"
12/01/2006 16.00,"2,2671","8,512744"
12/01/2006 17.00,"1,850013","8,459531"
12/01/2006 18.00,"1,825915","8,057191"
12/01/2006 19.00,"1,649812","8,582828"
12/01/2006 20.00,"1,651665","8,46602"
12/01/2006 21.00,"0,997116","9,510807"
12/01/2006 22.00,"0,519875","21,714679"
12/01/2006 23.00,"0,489753","31,714784"
13/01/2006 0.00,"0,614693","23,304583"
13/01/2006 1.00,"0,378066","11,048784"
13/01/2006 2.00,"0,291126","8,917679"
13/01/2006 3.00,"0,365554","8,148041"
13/01/2006 4.00,"0,557135","6,578915"
13/01/2006 5.00,"0,48688","7,843041"
13/01/2006 6.00,"0,333762","18,274036"
13/01/2006 7.00,"0,470288","49,630604"
13/01/2006 8.00,"0,648709","54,750731"
13/01/2006 9.00,"0,808819","12,67867"
13/01/2006 10.00,"1,287502","7,461467"
13/01/2006 11.00,"1,803671","7,055234"
13/01/2006 12.00,"2,007579","6,808637"
13/01/2006 13.00,"1,735082","7,410851"
13/01/2006 14.00,"1,460732","7,307022"
13/01/2006 15.00,"1,191942","7,329084"
13/01/2006 16.00,"0,705618","8,380361"
13/01/2006 17.00,"0,541101","14,665951"
13/01/2006 18.00,"0,418755","13,5991"
13/01/2006 19.00,"0,271292","14,101374"
13/01/2006 20.00,"0,25192","8,641234"
13/01/2006 21.00,"0,148483","7,065616"
13/01/2006 22.00,"0,21188","8,202553"
13/01/2006 23.00,"0,238574","11,65229"
14/01/2006 0.00,"0,24432","10,192183"
14/01/2006 1.00,,"12,894353"
14/01/2006 2.00,"0,29624",
14/01/2006 3.00,"0,397901","9,60685"
14/01/2006 4.00,"0,360734","9,322615"
14/01/2006 5.00,"0,561247","10,136382"
14/01/2006 6.00,"0,461303","20,421994"
14/01/2006 7.00,"0,575302","46,022527"
14/01/2006 8.00,"0,642451","46,2899"
14/01/2006 9.00,"0,661035","14,789245"
14/01/2006 10.00,"1,045037","7,39138"
14/01/2006 11.00,"1,419045","6,777489"
14/01/2006 12.00,"1,714661","7,00851"
14/01/2006 13.00,"1,980762","6,214212"
14/01/2006 14.00,"1,993879","6,39202"
14/01/2006 15.00,"2,451123","9,259021"
14/01/2006 16.00,"1,554282","8,421893"
14/01/2006 17.00,"0,889968","15,269457"
14/01/2006 18.00,"0,80361","33,450036"
14/01/2006 19.00,"0,610438","46,435252"
14/01/2006 20.00,"0,498938","49,689016"
14/01/2006 21.00,"0,33528","50,914208"
14/01/2006 22.00,"0,542663","33,453938"
14/01/2006 23.00,"0,39509","23,784801"
15/01/2006 0.00,"0,379786","24,110548"
15/01/2006 1.00,"0,259385","15,042331"
15/01/2006 2.00,"0,188019","15,60172"
15/01/2006 3.00,"0,086358","13,192865"
15/01/2006 4.00,"0,079799","13,612078"
15/01/2006 5.00,"0,083079","12,691882"
15/01/2006 6.00,"0,078706","23,217626"
15/01/2006 7.00,"0,07324","19,248715"
15/01/2006 8.00,"0,188019","40,370292"
15/01/2006 9.00,"0,1115","40,690876"
15/01/2006 10.00,"0,810325","20,229915"
15/01/2006 11.00,"0,90699","12,445286"
15/01/2006 12.00,"1,272409","11,775593"
15/01/2006 13.00,"1,746518","10,153253"
15/01/2006 14.00,"1,057374","8,527018"
15/01/2006 15.00,"0,720688","10,231121"
15/01/2006 16.00,"0,704447","14,268802"
15/01/2006 17.00,"0,498626","13,915779"
15/01/2006 18.00,"0,371666","24,324711"
15/01/2006 19.00,"0,24783","35,873171"
15/01/2006 20.00,"0,170529","35,511057"
15/01/2006 21.00,"0,338872","56,89481"
15/01/2006 22.00,"0,383691","53,199755"
15/01/2006 23.00,"0,535636","57,516496"
16/01/2006 0.00,"0,540945","50,44697"
16/01/2006 1.00,,"39,585092"
16/01/2006 2.00,"0,753806",
16/01/2006 3.00,"0,432603","27,79262"
16/01/2006 4.00,"0,27293","26,588195"
16/01/2006 5.00,"0,462404","25,826339"
16/01/2006 6.00,"0,571854","27,98212"
16/01/2006 7.00,"0,938341","39,351482"
16/01/2006 8.00,,"49,2192"
16/01/2006 9.00,,
16/01/2006 10.00,,
16/01/2006 11.00,"2,934353","14,990424"
16/01/2006 12.00,"3,744017","12,540037"
16/01/2006 13.00,"3,064769","11,837885"
16/01/2006 14.00,"3,128165","14,150698"
16/01/2006 15.00,"2,892693","11,661373"
16/01/2006 16.00,"2,405445","13,931352"
16/01/2006 17.00,"1,297093","24,294846"
16/01/2006 18.00,"0,532289","46,471597"
16/01/2006 19.00,"1,194873","81,83601"
16/01/2006 20.00,"1,676083","81,942447"
16/01/2006 21.00,"1,854981","72,66265"
16/01/2006 22.00,"1,873276","68,121387"
16/01/2006 23.00,"1,242874","71,800855"
17/01/2006 0.00,"1,07436","61,171303"
17/01/2006 1.00,"0,528847","42,043252"
17/01/2006 2.00,"0,224121","25,475907"
17/01/2006 3.00,"0,196106","18,737374"
17/01/2006 4.00,"0,143578","19,995006"
17/01/2006 5.00,"0,089299","22,373995"
17/01/2006 6.00,"0,105057","31,822505"
17/01/2006 7.00,"0,155835","56,485983"
17/01/2006 8.00,"1,029076","81,776311"
17/01/2006 9.00,"0,133072","45,417723"
17/01/2006 10.00,"0,86352","23,331829"
17/01/2006 11.00,"1,600248","23,48498"
17/01/2006 12.00,"1,434029","20,541418"
17/01/2006 13.00,"1,155145","15,239613"
17/01/2006 14.00,"0,95457","15,525148"
17/01/2006 15.00,"0,709196","14,791849"
17/01/2006 16.00,"0,946479","18,707519"
17/01/2006 17.00,"0,688366","25,78871"
17/01/2006 18.00,"0,341435","24,201408"
17/01/2006 19.00,"0,604441","29,060641"
17/01/2006 20.00,"0,435987","32,965938"
17/01/2006 21.00,"0,341797","31,897798"
17/01/2006 22.00,"0,176846","24,719253"
17/01/2006 23.00,"0,169842","18,832124"
18/01/2006 0.00,"0,138325","14,530972"
18/01/2006 1.00,,"12,277868"
18/01/2006 2.00,"0,10134",
18/01/2006 3.00,"0,127921","11,07993"
18/01/2006 4.00,"0,11463","9,29536"
18/01/2006 5.00,"0,134566","9,317424"
18/01/2006 6.00,"0,051501","13,259054"
18/01/2006 7.00,"0,049839","18,399932"
18/01/2006 8.00,"0,184405","25,100831"
18/01/2006 9.00,"0,154502","29,40587"
18/01/2006 10.00,"0,237567","24,044374"
18/01/2006 11.00,"0,536604","16,804846"
18/01/2006 12.00,"0,600564","14,834672"
18/01/2006 13.00,"0,39207","13,535504"
18/01/2006 14.00,"0,450928","13,096823"
18/01/2006 15.00,"0,465167","14,944997"
18/01/2006 16.00,"0,322294","13,832715"
18/01/2006 17.00,"0,398715","16,954098"
18/01/2006 18.00,"0,214309","17,176037"
18/01/2006 19.00,"0,29073","17,600437"
18/01/2006 20.00,"0,348876","16,068953"
18/01/2006 21.00,"0,335585","12,672424"
18/01/2006 22.00,"0,239348","10,733396"
18/01/2006 23.00,"0,119614","10,079274"
19/01/2006 0.00,"0,287406","9,201913"
19/01/2006 1.00,"0,270794","10,20386"
19/01/2006 2.00,"0,390527","8,664595"
19/01/2006 3.00,"0,247773","8,946232"
19/01/2006 4.00,"0,192712","16,860648"
19/01/2006 5.00,"0,257859","12,40765"
19/01/2006 6.00,"0,207664","11,432955"
19/01/2006 7.00,"0,199357","18,089742"
19/01/2006 8.00,"0,292391","19,447295"
19/01/2006 9.00,"0,196035","16,869732"
19/01/2006 10.00,"0,347214","14,157188"
19/01/2006 11.00,"0,385424","11,532884"
19/01/2006 12.00,"0,72445","9,907955"
19/01/2006 13.00,"1,41425","10,926784"
19/01/2006 14.00,"1,516658","10,050722"
19/01/2006 15.00,"1,469667","9,80802"
19/01/2006 16.00,"1,015891","10,293424"
19/01/2006 17.00,"0,769187","12,146785"
19/01/2006 18.00,"0,641266","11,717187"
19/01/2006 19.00,"0,322294","10,528332"
19/01/2006 20.00,"0,506819","10,227227"
19/01/2006 21.00,"0,363827","10,425801"
19/01/2006 22.00,"0,375456","7,955956"
19/01/2006 23.00,"0,206002","10,388166"
20/01/2006 0.00,"0,272455","9,388807"
20/01/2006 1.00,,"7,403061"
20/01/2006 2.00,"0,116083",
20/01/2006 3.00,"0,025393","7,268084"
20/01/2006 4.00,"0,091899","8,874849"
20/01/2006 5.00,"0,137849","7,597743"
20/01/2006 6.00,"0,13664","9,988423"
20/01/2006 7.00,"0,082225","19,042376"
20/01/2006 8.00,"0,139058","41,988742"
20/01/2006 9.00,"0,288351","52,384706"
20/01/2006 10.00,"0,865585","15,018976"
20/01/2006 11.00,"1,467444","9,894978"
20/01/2006 12.00,"0,830813","8,652912"
20/01/2006 13.00,"0,570656","8,876148"
20/01/2006 14.00,"0,593631","12,085782"
20/01/2006 15.00,"0,381932","9,099382"
20/01/2006 16.00,"0,551693","12,029971"
20/01/2006 17.00,"0,293837","34,567507"
20/01/2006 18.00,"0,249096","51,313947"
20/01/2006 19.00,"0,287791","43,451443"
20/01/2006 20.00,"0,263606","66,894915"
20/01/2006 21.00,"0,35123","75,320693"
20/01/2006 22.00,"0,165661","58,883135"
20/01/2006 23.00,"0,215239","51,939535"
21/01/2006 0.00,"0,096736","37,931592"
21/01/2006 1.00,"0,088272","26,839986"
21/01/2006 2.00,"0,07618","21,617339"
21/01/2006 3.00,"0,026603","22,091076"
21/01/2006 4.00,"0,056833","22,727026"
21/01/2006 5.00,"0,082225","22,145587"
21/01/2006 6.00,"0,053205","29,739438"
21/01/2006 7.00,"0,033858","29,631716"
21/01/2006 8.00,"0,03023","36,488358"
21/01/2006 9.00,"0,04595","24,144296"
21/01/2006 10.00,"0,157197","18,25067"
21/01/2006 11.00,"0,334301","13,979373"
21/01/2006 12.00,"0,443778","13,44465"
21/01/2006 13.00,"0,562104","13,321357"
21/01/2006 14.00,"0,551958","12,943675"
21/01/2006 15.00,"0,420803","12,804801"
21/01/2006 16.00,"0,44425","13,828819"
21/01/2006 17.00,"0,376624","29,291667"
21/01/2006 18.00,"0,298025","23,289"
21/01/2006 19.00,"0,181381","32,758276"
21/01/2006 20.00,"0,189845","32,63239"
21/01/2006 21.00,"0,27328","56,981765"
21/01/2006 22.00,"0,405644","62,020119"
21/01/2006 23.00,"0,458495","57,782551"
22/01/2006 0.00,"0,126966","25,061902"
22/01/2006 1.00,,"36,126262"
22/01/2006 2.00,"0,203961",
22/01/2006 3.00,"0,236081","19,831474"
22/01/2006 4.00,"0,109207","14,431034"
22/01/2006 5.00,"0,088329","13,130564"
22/01/2006 6.00,"0,09636","13,644527"
22/01/2006 7.00,"0,075482","15,27855"
22/01/2006 8.00,"0,11242","17,159161"
22/01/2006 9.00,"0,041756","17,715947"
22/01/2006 10.00,"0,250536","18,194868"
22/01/2006 11.00,"0,313169","19,314927"
22/01/2006 12.00,"0,668387","15,975504"
22/01/2006 13.00,"0,432013","9,026701"
22/01/2006 14.00,"0,493187","8,415404"
22/01/2006 15.00,"0,559033","8,005276"
22/01/2006 16.00,"0,489829","9,993615"
22/01/2006 17.00,"0,390549","11,043588"
22/01/2006 18.00,"0,289079","11,187651"
22/01/2006 19.00,"0,552608","8,708722"
22/01/2006 20.00,"0,486763","8,083148"
22/01/2006 21.00,"0,327623","7,862509"
22/01/2006 22.00,"0,451577","7,757382"
22/01/2006 23.00,"0,346896","7,735319"
23/01/2006 0.00,"0,615389","7,347254"
23/01/2006 1.00,"0,679337","7,125318"
23/01/2006 2.00,"0,612031","6,709997"
23/01/2006 3.00,"0,971919","6,760616"
23/01/2006 4.00,"1,047839","7,307022"
23/01/2006 5.00,"0,507933","7,085084"
23/01/2006 6.00,"0,565311","7,923509"
23/01/2006 7.00,"0,295504","8,294699"
23/01/2006 8.00,"0,231264","8,966999"
23/01/2006 9.00,"0,284262","9,257722"
23/01/2006 10.00,"0,260171","9,135723"
23/01/2006 11.00,"0,314776","9,480956"
23/01/2006 12.00,"0,334047","8,833317"
23/01/2006 13.00,"0,661817","8,63085"
23/01/2006 14.00,"0,732188","9,112361"
23/01/2006 15.00,"0,722407","9,194127"
23/01/2006 16.00,"1,112663","8,833317"
23/01/2006 17.00,"1,196175","8,547787"
23/01/2006 18.00,"1,121132","8,537403"
23/01/2006 19.00,"1,274431","8,054594"
23/01/2006 20.00,"1,661769","8,098723"
23/01/2006 21.00,"1,507301","6,931935"
23/01/2006 22.00,"1,993771","6,563339"
23/01/2006 23.00,"1,786015","6,257041"
24/01/2006 0.00,"1,382033","6,929338"
24/01/2006 1.00,,"6,394617"
24/01/2006 2.00,"1,882598",
24/01/2006 3.00,"2,052456","6,689233"
24/01/2006 4.00,"2,296628","6,787871"
24/01/2006 5.00,"2,185159","6,751532"
24/01/2006 6.00,"2,312552","7,382297"
24/01/2006 7.00,"2,802665","8,323255"
24/01/2006 8.00,"3,080454","9,399191"
24/01/2006 9.00,"3,404247","8,959213"
24/01/2006 10.00,"4,042986","8,157127"
24/01/2006 11.00,"4,186303","7,898848"
24/01/2006 12.00,"4,081912","7,513382"
24/01/2006 13.00,"4,090758","7,382297"
24/01/2006 14.00,"4,150917","7,301828"
24/01/2006 15.00,"3,908514","7,277169"
24/01/2006 16.00,"3,260929","7,265487"
24/01/2006 17.00,"2,868131","7,563998"
24/01/2006 18.00,"2,696503","7,615914"
24/01/2006 19.00,"2,379788","7,469254"
24/01/2006 20.00,"2,424021","7,130509"
24/01/2006 21.00,"2,365634","6,427063"
24/01/2006 22.00,"1,857827","5,771638"
24/01/2006 23.00,"2,202851","5,586042"
25/01/2006 0.00,"2,500104","5,314786"
25/01/2006 1.00,"2,852207","5,749573"
25/01/2006 2.00,"2,654038","5,155148"
25/01/2006 3.00,"2,565571","5,184998"
25/01/2006 4.00,"2,425791","5,29402"
25/01/2006 5.00,"2,04184","5,10583"
25/01/2006 6.00,"1,857827","5,553595"
25/01/2006 7.00,"1,732202","6,382935"
25/01/2006 8.00,"1,695046","7,387488"
25/01/2006 9.00,"1,854288","6,728169"
25/01/2006 10.00,"1,698584","6,623041"
25/01/2006 11.00,"2,34794","5,952042"
25/01/2006 12.00,"2,360325","6,005253"
25/01/2006 13.00,"2,238239","5,996169"
25/01/2006 14.00,"2,413406","6,351786"
25/01/2006 15.00,"2,544339","7,265487"
25/01/2006 16.00,"1,871982","8,176595"
25/01/2006 17.00,"1,477415","11,356381"
25/01/2006 18.00,"1,160699","16,576416"
25/01/2006 19.00,"1,045692","14,799631"
25/01/2006 20.00,"0,989071","14,950184"
25/01/2006 21.00,"0,884679","24,200106"
25/01/2006 22.00,"0,891049","9,931317"
25/01/2006 23.00,"0,943068","6,922851"
26/01/2006 0.00,"0,9216","6,198637"
26/01/2006 1.00,,"12,782737"
26/01/2006 2.00,"0,284396",
26/01/2006 3.00,"0,150371","8,658105"
26/01/2006 4.00,"0,1945","9,077317"
26/01/2006 5.00,"0,112777","11,208421"
26/01/2006 6.00,"0,093164","21,741944"
26/01/2006 7.00,"0,065378","40,035442"
26/01/2006 8.00,"0,183059","66,495169"
26/01/2006 9.00,"0,534914","54,326304"
26/01/2006 10.00,"1,42079","15,673097"
