NetC,SIMAGE Brindisi,,
03/01/2006 18.00,"0,643233","49,572211","24,42001"
03/01/2006 19.00,"1,509885","41,617548",
03/01/2006 20.00,"0,952236","33,235893","23,93162"
03/01/2006 21.00,"1,327005","34,411772",
03/01/2006 22.00,"1,86078","37,197003","24,42001"
03/01/2006 23.00,"1,96258","45,194495",
04/01/2006 0.00,"1,094577","31,875734","25,88522"
04/01/2006 1.00,,"17,274673",
04/01/2006 2.00,"0,323832",,"13,67521"
04/01/2006 3.00,"0,448836","9,266806",
04/01/2006 4.00,"0,381804","5,965021","10,25641"
04/01/2006 5.00,"0,304357","9,663955",
04/01/2006 6.00,"0,293487","4,719062","12,21001"
04/01/2006 7.00,"0,471481","8,236297",
04/01/2006 8.00,"1,045319","12,982615","7,326007"
04/01/2006 9.00,"1,5091","39,352762",
04/01/2006 10.00,"3,594301","64,353695","11,72161"
04/01/2006 11.00,"3,849741","49,769491",
04/01/2006 12.00,"4,539977","24,765982","10,25641"
04/01/2006 13.00,"5,429493","10,565968",
04/01/2006 14.00,"3,976556","10,764543","8,302809"
04/01/2006 15.00,"4,367871","10,629573",
04/01/2006 16.00,"2,501427","10,2441","9,27961"
04/01/2006 17.00,"1,42667","18,924271",
04/01/2006 18.00,"0,958361","22,784138","8,791209"
04/01/2006 19.00,"0,768138","31,583716",
04/01/2006 20.00,"1,285815","18,340224","17,582411"
04/01/2006 21.00,"1,576131","14,864526",
04/01/2006 22.00,"0,93345","17,322695","15,14041"
04/01/2006 23.00,"0,595579","15,269457",
05/01/2006 0.00,"1,384096","16,345394","27,35042"
05/01/2006 1.00,"0,810258","12,131212",
05/01/2006 2.00,"0,543494","8,155829","19,0476"
05/01/2006 3.00,"0,273106","7,791127",
05/01/2006 4.00,"0,479181","10,440081","11,72161"
05/01/2006 5.00,"0,650834","9,756105",
05/01/2006 6.00,"0,38271","8,717808","13,18681"
05/01/2006 7.00,"0,505449","10,197382",
05/01/2006 8.00,"0,410791","14,371333","13,18681"
05/01/2006 9.00,"0,103264","17,674415",
05/01/2006 10.00,"0,815693","11,256443","17,582411"
05/01/2006 11.00,"1,733291","7,875488",
05/01/2006 12.00,"2,012737","8,565957","8,302809"
05/01/2006 13.00,"2,222887","8,438765",
05/01/2006 14.00,"1,998244","10,869679","8,791209"
05/01/2006 15.00,"2,193902","14,514097",
05/01/2006 16.00,"2,01319","11,469288","18,07081"
05/01/2006 17.00,"1,435728","10,533531",
05/01/2006 18.00,"1,649955","9,878104","22,46641"
05/01/2006 19.00,"1,676677","10,164934",
05/01/2006 20.00,"1,661279","16,567334","16,60561"
05/01/2006 21.00,"1,536275","24,107968",
05/01/2006 22.00,"1,646785","20,056","30,28083"
05/01/2006 23.00,"0,835169","15,310988",
06/01/2006 0.00,"1,205649","11,478373","28,327221"
06/01/2006 1.00,,"8,891722",
06/01/2006 2.00,"0,955347",,"19,53602"
06/01/2006 3.00,"0,668779","7,281064",
06/01/2006 4.00,"1,302845","6,934531","10,74481"
06/01/2006 5.00,"1,351299","6,038998",
06/01/2006 6.00,"0,608573","5,804084","11,23321"
06/01/2006 7.00,"0,807091","9,378425",
06/01/2006 8.00,"0,300852","11,338204","13,18681"
06/01/2006 9.00,"1,138498","7,831361",
06/01/2006 10.00,"2,496486","5,61719","6,837607"
06/01/2006 11.00,"3,614189","5,584744",
06/01/2006 12.00,"3,408078","6,45951","6,349206"
06/01/2006 13.00,"3,185693","5,990978",
06/01/2006 14.00,"2,769854","6,533489","3,907204"
06/01/2006 15.00,"2,871103","7,48483",
06/01/2006 16.00,"2,865678","5,849509","7,814408"
06/01/2006 17.00,"2,128015","4,711275",
06/01/2006 18.00,"1,135604","5,05002","10,74481"
06/01/2006 19.00,"1,252583","7,990997",
06/01/2006 20.00,"1,102337","18,415506","16,11721"
06/01/2006 21.00,"0,995123","16,941117",
06/01/2006 22.00,"0,932025","11,355079","19,0476"
06/01/2006 23.00,"1,357808","13,919675",
07/01/2006 0.00,"1,627019","11,421266","18,55921"
07/01/2006 1.00,"0,864586","7,780744",
07/01/2006 2.00,"1,092032","8,584126","10,74481"
07/01/2006 3.00,"1,058584","7,795019",
07/01/2006 4.00,"0,55361","5,858596","17,094"
07/01/2006 5.00,"1,362147","5,159043",
07/01/2006 6.00,"1,355639","5,949446","22,954821"
07/01/2006 7.00,"1,024775","7,190212",
07/01/2006 8.00,"1,290551","13,580931","23,44322"
07/01/2006 9.00,"1,492142","7,051339",
07/01/2006 10.00,"1,631901","8,499765","17,582411"
07/01/2006 11.00,"1,930944","6,514021",
07/01/2006 12.00,"2,05208","6,73336","22,954821"
07/01/2006 13.00,"2,937998","6,846275",
07/01/2006 14.00,"3,234509","6,598382","16,60561"
07/01/2006 15.00,"3,521981","8,116891",
07/01/2006 16.00,"2,261808","5,840424","23,44322"
07/01/2006 17.00,"0,713076","6,922851",
07/01/2006 18.00,"0,742726","12,402463","33,211231"
07/01/2006 19.00,"1,22257","13,47191",
07/01/2006 20.00,"0,709821","15,044935","36,141621"
07/01/2006 21.00,"0,539146","13,712015",
07/01/2006 22.00,"0,517812","16,131247","42,490841"
07/01/2006 23.00,"0,445492","23,949616",
08/01/2006 0.00,"0,370641","26,381832","41,025631"
08/01/2006 1.00,,"18,416799",
08/01/2006 2.00,"0,199879",,"39,072041"
08/01/2006 3.00,"0,382076","19,726352",
08/01/2006 4.00,"0,241683","13,047501","32,234421"
08/01/2006 5.00,"0,185508","11,730166",
08/01/2006 6.00,"0,259973","14,249332","21,97802"
08/01/2006 7.00,"1,055658","13,03323",
08/01/2006 8.00,"0,265077","17,438205","23,44322"
08/01/2006 9.00,"0,135865","10,747679",
08/01/2006 10.00,"1,718881","9,135723","22,954821"
08/01/2006 11.00,"2,205681","8,473808",
08/01/2006 12.00,"3,414246","7,850828","17,582411"
08/01/2006 13.00,"3,390549","8,202553",
08/01/2006 14.00,"3,323102","7,441999","9,76801"
08/01/2006 15.00,"2,531975","9,003338",
08/01/2006 16.00,"1,40082","6,298573","19,53602"
08/01/2006 17.00,"0,333132","5,528936",
08/01/2006 18.00,"0,305697","4,651573","21,48962"
08/01/2006 19.00,"0,321374","8,132468",
08/01/2006 20.00,"1,038645","7,153872","25,88522"
08/01/2006 21.00,"1,164302","5,183702",
08/01/2006 22.00,"0,957314","4,528276","26,37361"
08/01/2006 23.00,"0,273037","7,192806",
09/01/2006 0.00,"0,369863","4,453","21,48962"
09/01/2006 1.00,"0,749233","2,748894",
09/01/2006 2.00,"0,255233","5,557488","13,67521"
09/01/2006 3.00,"0,341425","5,065595",
09/01/2006 4.00,"1,176181","3,845596","19,0476"
09/01/2006 5.00,"5,375658","4,722955",
09/01/2006 6.00,"5,652735","7,356339","16,11721"
09/01/2006 7.00,"4,415003","10,436185",
09/01/2006 8.00,"4,243653","16,554354","21,97802"
09/01/2006 9.00,"5,547008","10,186996",
09/01/2006 10.00,"7,118326","10,990378","25,39682"
09/01/2006 11.00,"7,222228","7,200594",
09/01/2006 12.00,"5,926166","5,108424","13,67521"
09/01/2006 13.00,"4,929054","6,517914",
09/01/2006 14.00,"4,307454","5,200573","8,791209"
09/01/2006 15.00,"3,946524","6,816425",
09/01/2006 16.00,"2,521037","6,114276","15,62881"
09/01/2006 17.00,"2,002733","7,296637",
09/01/2006 18.00,"0,98727","4,7567","19,53602"
09/01/2006 19.00,"0,539268","5,94036",
09/01/2006 20.00,"1,53951","5,16683","18,07081"
09/01/2006 21.00,"1,760868","8,22851",
09/01/2006 22.00,"1,034179","5,456253","17,582411"
09/01/2006 23.00,"0,924442","5,127892",
10/01/2006 0.00,"0,500987","3,325148","17,094"
10/01/2006 1.00,,"2,96434",
10/01/2006 2.00,"0,697377",,"12,21001"
10/01/2006 3.00,"0,333343","6,790468",
10/01/2006 4.00,"0,675195","4,310235","8,302809"
10/01/2006 5.00,"0,79188","4,646382",
10/01/2006 6.00,"1,791302","3,665191","7,326007"
10/01/2006 7.00,"2,184811","9,060446",
10/01/2006 8.00,"2,252878","8,045508","14,65201"
10/01/2006 9.00,"2,236468","8,859275",
10/01/2006 10.00,"3,396635","5,153849","17,582411"
10/01/2006 11.00,"3,168734","5,217446",
10/01/2006 12.00,"1,831413","3,207041","11,23321"
10/01/2006 13.00,"2,226138","3,300489",
10/01/2006 14.00,"2,057795","4,406277","6,349206"
10/01/2006 15.00,"1,969673","3,979275",
10/01/2006 16.00,"1,212434","3,356298","9,76801"
10/01/2006 17.00,"0,348537","7,554912",
10/01/2006 18.00,"0,507764","4,289467","14,65201"
10/01/2006 19.00,"0,354007","4,789149",
10/01/2006 20.00,"0,508675","7,299232","15,62881"
10/01/2006 21.00,"1,470417","6,207723",
10/01/2006 22.00,"0,521741","12,109137","17,094"
10/01/2006 23.00,"0,71956","6,695722",
11/01/2006 0.00,"1,310887","3,406914","20,51281"
11/01/2006 1.00,"0,525692","2,259596",
11/01/2006 2.00,"0,822267","1,689829","12,69841"
11/01/2006 3.00,"0,73293","2,237531",
11/01/2006 4.00,"0,679754","1,614552","13,18681"
11/01/2006 5.00,"0,39199","1,509425",
11/01/2006 6.00,"0,370112","3,710616","9,76801"
11/01/2006 7.00,"0,686742","8,297298",
11/01/2006 8.00,"1,117323","8,048105","7,814408"
11/01/2006 9.00,"2,221882","18,002783",
11/01/2006 10.00,"2,14622","14,878797","17,094"
11/01/2006 11.00,"2,697739","10,059806",
11/01/2006 12.00,"2,56343","8,588019","8,791209"
11/01/2006 13.00,"2,007353","7,730126",
11/01/2006 14.00,"2,525143","6,506234","5,372406"
11/01/2006 15.00,"2,782215","4,084403",
11/01/2006 16.00,"2,303623","8,956615","6,349206"
11/01/2006 17.00,"2,35285","9,605552",
11/01/2006 18.00,"2,144093","4,445213","8,302809"
11/01/2006 19.00,"3,938127","3,087637",
11/01/2006 20.00,"4,880723","3,811851","10,74481"
11/01/2006 21.00,"5,726691","7,147381",
11/01/2006 22.00,"4,951829","9,658764","19,0476"
11/01/2006 23.00,"4,583542","8,102616",
12/01/2006 0.00,"3,958182","5,127892","22,954821"
12/01/2006 1.00,,"3,685957",
12/01/2006 2.00,"5,696597",,"17,582411"
12/01/2006 3.00,"5,370714","6,186957",
12/01/2006 4.00,"4,737151","2,586659","21,001221"
12/01/2006 5.00,"4,709843","3,143447",
12/01/2006 6.00,"4,946518","4,595765","26,37361"
12/01/2006 7.00,"5,115832","9,875509",
12/01/2006 8.00,"4,591504","7,749594","24,42001"
12/01/2006 9.00,"5,008418","8,229806",
12/01/2006 10.00,"4,629737","9,259021","31,25762"
12/01/2006 11.00,"4,429473","5,880658",
12/01/2006 12.00,"4,870054","7,449787","16,60561"
12/01/2006 13.00,"4,970186","4,389403",
12/01/2006 14.00,"5,660185","4,358255","13,18681"
12/01/2006 15.00,"4,886439","3,528915",
12/01/2006 16.00,"4,272903","5,62368","21,48962"
12/01/2006 17.00,"4,709843","4,517893",
12/01/2006 18.00,"4,212825","4,221977","22,954821"
12/01/2006 19.00,"5,026624","7,223956",
12/01/2006 20.00,"4,496835","6,109084","24,42001"
12/01/2006 21.00,"4,981109","9,662657",
12/01/2006 22.00,"6,14446","11,749633","27,83882"
12/01/2006 23.00,"5,774882","12,626996",
13/01/2006 0.00,"3,768603","22,793218","25,88522"
13/01/2006 1.00,"2,012533","24,126131",
13/01/2006 2.00,"4,842745","6,260936","13,67521"
13/01/2006 3.00,"5,017521","3,417297",
13/01/2006 4.00,"4,953801","2,669722","25,39682"
13/01/2006 5.00,"3,992534","2,96434",
13/01/2006 6.00,"3,251558","5,165532","17,094"
13/01/2006 7.00,"3,397205","8,27653",
13/01/2006 8.00,"2,996678","5,347233","14,65201"
13/01/2006 9.00,"1,999","7,253809",
13/01/2006 10.00,"2,821902","7,225255","15,62881"
13/01/2006 11.00,"2,876519","10,965721",
13/01/2006 12.00,"2,389635","14,856735","13,18681"
13/01/2006 13.00,"0,384264","3,602892",
13/01/2006 14.00,"1,847892","3,319957","14,16361"
13/01/2006 15.00,"1,723455","4,380319",
13/01/2006 16.00,"1,764509","9,824892","16,11721"
13/01/2006 17.00,"1,35949","7,370616",
13/01/2006 18.00,"0,619545","3,723595","11,72161"
13/01/2006 19.00,"1,189782","2,772255",
13/01/2006 20.00,"0,907955","3,680766","20,02442"
13/01/2006 21.00,"1,00032","3,682064",
13/01/2006 22.00,"1,215573","3,611978","18,55921"
13/01/2006 23.00,"0,685783","5,191489",
14/01/2006 0.00,"0,540623","2,715149","22,46641"
14/01/2006 1.00,,"3,667786",
14/01/2006 2.00,"2,03507",,"16,60561"
14/01/2006 3.00,"2,943614","4,713872",
14/01/2006 4.00,"3,29714","3,576935","23,44322"
14/01/2006 5.00,"3,531603","3,924766",
14/01/2006 6.00,"2,544294","4,140212","18,55921"
14/01/2006 7.00,"3,423531","10,811271",
14/01/2006 8.00,"3,407044","7,297935","21,97802"
14/01/2006 9.00,"4,007856","9,576999",
14/01/2006 10.00,"4,341233","5,723616","21,97802"
14/01/2006 11.00,"3,679975","6,093509",
14/01/2006 12.00,"3,544426","6,25185","26,86202"
14/01/2006 13.00,"4,760702","6,340106",
14/01/2006 14.00,"4,471287","6,889106","15,62881"
14/01/2006 15.00,"3,817355","4,077914",
14/01/2006 16.00,"3,690964","3,665191","18,07081"
14/01/2006 17.00,"3,584723","3,258956",
14/01/2006 18.00,"3,273327","3,239488","26,86202"
14/01/2006 19.00,"2,020416","12,510183",
14/01/2006 20.00,"2,185273","51,215307","34,18803"
14/01/2006 21.00,"2,52964","73,739893",
14/01/2006 22.00,"1,886638","52,754584","67,88765"
14/01/2006 23.00,"1,774169","39,618837",
15/01/2006 0.00,"1,119991","20,759463","48,35165"
15/01/2006 1.00,"1,722757","15,353822",
15/01/2006 2.00,"1,101795","13,24219","36,630032"
15/01/2006 3.00,"1,960701","9,426445",
15/01/2006 4.00,"1,630803","8,306382","35,164822"
15/01/2006 5.00,"1,36172","11,371955",
15/01/2006 6.00,"1,753897","18,859374","38,58363"
15/01/2006 7.00,"1,875525","35,4254",
15/01/2006 8.00,"2,507782","53,001191","45,909641"
15/01/2006 9.00,"3,04436","32,954257",
15/01/2006 10.00,"5,779152","34,34948","42,002441"
15/01/2006 11.00,"10,067261","22,409041",
15/01/2006 12.00,"8,640333","18,092335","38,09523"
15/01/2006 13.00,"7,314152","16,144224",
15/01/2006 14.00,"8,312451","17,373308","31,746031"
15/01/2006 15.00,"4,43282","13,793778",
15/01/2006 16.00,"4,584854","14,898265","28,81562"
15/01/2006 17.00,"4,183704","19,161776",
15/01/2006 18.00,"4,075631","23,734171","20,02442"
15/01/2006 19.00,"3,595714","35,209958",
15/01/2006 20.00,"4,271627","44,350866","35,164822"
15/01/2006 21.00,"4,161722","45,923887",
15/01/2006 22.00,"3,20189","72,205801","31,25762"
15/01/2006 23.00,"3,308131","83,219552",
16/01/2006 0.00,"3,810029","70,849538","55,189251"
16/01/2006 1.00,,"42,870004",
16/01/2006 2.00,"1,16667",,"46,398041"
16/01/2006 3.00,"1,707176","49,85773",
16/01/2006 4.00,"0,86663","32,767167","47,37484"
16/01/2006 5.00,"1,620819","33,774503",
16/01/2006 6.00,"1,805539","40,557189","43,956032"
16/01/2006 7.00,"3,393325","53,851287",
16/01/2006 8.00,"4,771863","67,698294","35,653221"
16/01/2006 9.00,"10,642528","78,636774",
16/01/2006 10.00,"12,96081","74,252552","56,16605"
16/01/2006 11.00,"13,704928","53,616379",
16/01/2006 12.00,"12,074077","15,819753","42,002441"
16/01/2006 13.00,"11,783378","12,636081",
16/01/2006 14.00,"12,545783","14,041676","21,48962"
16/01/2006 15.00,"8,315105","8,656807",
16/01/2006 16.00,"8,534501","13,775609","18,55921"
16/01/2006 17.00,"6,335058","23,786083",
16/01/2006 18.00,"4,100877","39,29047","21,48962"
16/01/2006 19.00,"3,952784","54,110881",
16/01/2006 20.00,"3,513993","74,948196","43,46764"
16/01/2006 21.00,"4,431799","82,978138",
16/01/2006 22.00,"5,104613","91,464935","71,306473"
16/01/2006 23.00,"4,69873","82,552434",
17/01/2006 0.00,"2,101114","57,439919","69,352852"
17/01/2006 1.00,"1,992665","37,191803",
17/01/2006 2.00,"1,95162","21,471988","55,189251"
17/01/2006 3.00,"1,894303","17,176037",
17/01/2006 4.00,"1,7953","13,669184","41,025631"
17/01/2006 5.00,"0,483342","12,95276",
17/01/2006 6.00,"1,344319","17,159161","47,37484"
17/01/2006 7.00,"1,819555","39,415076",
17/01/2006 8.00,"2,27334","48,315875","49,328442"
17/01/2006 9.00,"5,391656","64,628828",
17/01/2006 10.00,"8,569238","75,839844","76,678871"
17/01/2006 11.00,"8,836171","35,62528",
17/01/2006 12.00,,,"25,88522"
17/01/2006 13.00,,,
17/01/2006 14.00,"4,852307","18,480404","3,418803"
17/01/2006 15.00,"3,760813","18,780208",
17/01/2006 16.00,"2,193718","18,307775","21,001221"
17/01/2006 17.00,"1,818032","28,498665",
17/01/2006 18.00,"1,443657","43,869365","30,76923"
17/01/2006 19.00,"2,456504","50,74289",
17/01/2006 20.00,"2,897856","48,911599","45,421242"
17/01/2006 21.00,"3,448174","52,252322",
17/01/2006 22.00,"2,625439","52,476847","95,726479"
17/01/2006 23.00,"1,992208","53,485293",
18/01/2006 0.00,"1,68094","49,480055","113,797302"
18/01/2006 1.00,,"38,572745",
18/01/2006 2.00,"2,029625",,"74,725273"
18/01/2006 3.00,"1,203678","18,044313",
18/01/2006 4.00,"1,479503","16,176674","58,608051"
18/01/2006 5.00,"1,268973","9,278488",
18/01/2006 6.00,"0,5309","14,192229","44,444431"
18/01/2006 7.00,"1,459365","19,418749",
18/01/2006 8.00,"2,129092","41,861555","28,81562"
18/01/2006 9.00,"3,128648","58,270551",
18/01/2006 10.00,"3,093865","50,469037","32,234421"
18/01/2006 11.00,"3,238489","37,331991",
18/01/2006 12.00,"4,217907","17,334372","30,28083"
18/01/2006 13.00,"3,341008","11,972867",
18/01/2006 14.00,"2,420172","15,399249","21,001221"
18/01/2006 15.00,"2,271886","18,542696",
18/01/2006 16.00,"2,570287","17,14488","21,001221"
18/01/2006 17.00,"1,774244","17,318798",
18/01/2006 18.00,"1,96189","26,46879","19,0476"
18/01/2006 19.00,"2,112311","31,54995",
18/01/2006 20.00,"2,115972","32,782939","23,44322"
18/01/2006 21.00,"1,181405","31,346186",
18/01/2006 22.00,"1,169201","17,365529","23,93162"
18/01/2006 23.00,"0,497032","11,069545",
19/01/2006 0.00,"1,540831","8,116891","22,954821"
19/01/2006 1.00,"1,278737","6,029915",
19/01/2006 2.00,"1,149674","6,288191","11,23321"
19/01/2006 3.00,"1,370271","6,041595",
19/01/2006 4.00,"0,796046","6,329722","10,25641"
19/01/2006 5.00,"1,469129","5,480914",
19/01/2006 6.00,"1,890492","5,709339","8,791209"
19/01/2006 7.00,"0,910158","5,896233",
19/01/2006 8.00,"0,920227","3,719702","9,76801"
19/01/2006 9.00,"1,635721","7,370616",
19/01/2006 10.00,"2,09614","7,832659","7,814408"
19/01/2006 11.00,"2,373184","6,194744",
19/01/2006 12.00,"2,33474","4,451702","11,23321"
19/01/2006 13.00,"2,279209","4,053255",
19/01/2006 14.00,"2,165096","3,796276","13,18681"
19/01/2006 15.00,"1,821231","4,828085",
19/01/2006 16.00,"2,04305","4,499723","17,582411"
19/01/2006 17.00,"2,056475","3,83651",
19/01/2006 18.00,"1,960059","3,182382","17,094"
19/01/2006 19.00,"0,750889","4,053255",
19/01/2006 20.00,"1,257379","4,394594","14,65201"
19/01/2006 21.00,"1,597277","6,950107",
19/01/2006 22.00,"1,002914","4,737234","16,11721"
19/01/2006 23.00,"1,094142","5,740487",
20/01/2006 0.00,"1,869744","4,886489","20,51281"
20/01/2006 1.00,,"5,687277",
20/01/2006 2.00,"0,580611",,"14,16361"
20/01/2006 3.00,"0,745641","3,666489",
20/01/2006 4.00,"0,47538","3,094127","17,094"
20/01/2006 5.00,"0,569254","2,439999",
20/01/2006 6.00,"0,602714","2,963042","9,27961"
20/01/2006 7.00,"0,988703","4,144107",
20/01/2006 8.00,"1,47317","4,124637","14,16361"
20/01/2006 9.00,"0,420187","5,322574",
20/01/2006 10.00,"0,807957","4,839765","12,69841"
20/01/2006 11.00,"0,512095","4,536063",
20/01/2006 12.00,"0,560413","3,586021","8,791209"
20/01/2006 13.00,"0,411285","2,847532",
20/01/2006 14.00,"0,606274","4,186936","4,884005"
20/01/2006 15.00,"1,281434","5,758659",
20/01/2006 16.00,"2,225012","16,30257","5,372406"
20/01/2006 17.00,"0,908829","8,79568",
20/01/2006 18.00,"0,553721","12,020887","16,11721"
20/01/2006 19.00,"0,474276","63,584034",
20/01/2006 20.00,"0,347189","44,834985","26,37361"
20/01/2006 21.00,"0,868123","64,252436",
20/01/2006 22.00,"0,485634","54,724766","56,16605"
20/01/2006 23.00,"0,322262","39,498133",
21/01/2006 0.00,"0,190509","38,375483","49,816841"
21/01/2006 1.00,"0,224337","39,87191",
21/01/2006 2.00,"0,097925","30,211855","43,46764"
21/01/2006 3.00,"0,372114","40,860892",
21/01/2006 4.00,"0,334725","27,029466","47,37484"
21/01/2006 5.00,"0,457577","18,726987",
21/01/2006 6.00,"0,3917","16,299965","38,09523"
21/01/2006 7.00,"1,390349","56,109588",
21/01/2006 8.00,"0,521488","42,797307","29,30402"
21/01/2006 9.00,"1,031066","50,995982",
21/01/2006 10.00,"2,420185","37,033471","44,932831"
21/01/2006 11.00,"3,519767","19,527772",
21/01/2006 12.00,"2,473599","14,015717","30,28083"
21/01/2006 13.00,"2,339145","13,496567",
21/01/2006 14.00,"1,65318","13,94304","20,51281"
21/01/2006 15.00,"0,773269","11,203222",
21/01/2006 16.00,"1,095347","14,902162","13,18681"
21/01/2006 17.00,"0,518419","19,721152",
21/01/2006 18.00,"0,423747","41,278817","27,83882"
21/01/2006 19.00,"0,42031","51,696826",
21/01/2006 20.00,"0,528917","69,546474","45,421242"
21/01/2006 21.00,"0,478942","63,446468",
21/01/2006 22.00,"0,407723","64,138231","59,096451"
21/01/2006 23.00,"1,785916","70,384885",
22/01/2006 0.00,"1,15582","60,107047","68,864471"
22/01/2006 1.00,,"42,452078",
22/01/2006 2.00,"0,326195",,"63,980461"
22/01/2006 3.00,"0,205557","27,017801",
22/01/2006 4.00,"0,244919","15,895035","68,864471"
22/01/2006 5.00,"0,371024","11,069545",
22/01/2006 6.00,"0,374304","11,107182","51,770451"
22/01/2006 7.00,"0,3528","11,287589",
22/01/2006 8.00,"0,330933","12,585464","38,09523"
22/01/2006 9.00,"0,441001","12,292141",
22/01/2006 10.00,"0,783595","11,143526","34,18803"
22/01/2006 11.00,"1,042364","10,410226",
22/01/2006 12.00,"1,93712","11,124055","22,46641"
22/01/2006 13.00,"1,7476","5,905319",
22/01/2006 14.00,"1,722088","6,742446","13,67521"
22/01/2006 15.00,"2,102952","4,19602",
22/01/2006 16.00,"1,986323","4,224574","17,582411"
22/01/2006 17.00,"1,09667","4,469872",
22/01/2006 18.00,"1,819035","5,432892","18,55921"
22/01/2006 19.00,"2,118987","4,148",
22/01/2006 20.00,"2,031152","5,024063","23,93162"
22/01/2006 21.00,"0,993161","4,908553",
22/01/2006 22.00,"1,406098","4,974743","31,746031"
22/01/2006 23.00,"2,627777","5,03185",
23/01/2006 0.00,"3,251008","4,520488","28,81562"
23/01/2006 1.00,"3,004996","3,306978",
23/01/2006 2.00,"3,655562","4,146701","27,83882"
23/01/2006 3.00,"3,630049","2,704765",
23/01/2006 4.00,"3,759434","3,805362","22,46641"
23/01/2006 5.00,"4,297016","3,68985",
23/01/2006 6.00,"3,555334","3,841701","29,30402"
23/01/2006 7.00,"1,572293","5,575657",
23/01/2006 8.00,"2,195525","6,516616","30,28083"
23/01/2006 9.00,"2,280445","6,072743",
23/01/2006 10.00,"2,384681","6,327127","16,60561"
23/01/2006 11.00,"4,33164","5,513361",
23/01/2006 12.00,"5,532544","7,182424","20,51281"
23/01/2006 13.00,"7,36579","5,776829",
23/01/2006 14.00,"8,965781","6,565934","9,76801"
23/01/2006 15.00,"9,049608","6,573721",
23/01/2006 16.00,"10,184909","8,791785","19,53602"
23/01/2006 17.00,"10,472831","7,793721",
23/01/2006 18.00,"9,284686","6,490659","25,88522"
23/01/2006 19.00,"7,965331","6,128553",
23/01/2006 20.00,"6,243246","6,606168","39,56044"
