,Regione Puglia,,,
,Scuola Elementare G.Ungaretti Via Ca del Fico,,,
Parm,SO2,NOX,NO,NO2



08/01/2006 12.00,4,"30,6280412","4,78691377","23,29550208"
08/01/2006 13.00,4,"16,05524946","2,18731407","12,7061635"
08/01/2006 14.00,4,"15,94370912","2,58016895","11,99103343"
08/01/2006 15.00,4,"16,43396695","3,87363217","10,49459134"
08/01/2006 16.00,4,"13,55208774","4,16679439","7,16036161"
08/01/2006 17.00,4,"14,39252646","3,82970036","8,51923339"
08/01/2006 18.00,3,"50,77136272","7,32652903","39,5513452"
08/01/2006 19.00,4,"98,39236128","21,19471032","65,90073192"
08/01/2006 20.00,4,"68,0302028","6,88805265","57,49573288"
08/01/2006 21.00,3,"65,37659536","8,18489524","52,84804328"
08/01/2006 22.00,4,"76,77440976","9,15055833","62,77027168"
08/01/2006 23.00,3,"23,59973952","0,41144142","22,98789952"
09/01/2006 0.00,3,"5,42135363","0,50437534","4,65027462"
09/01/2006 1.00,3,"4,51866019","0,58379053","3,62495698"
09/01/2006 2.00,3,"6,77928662","0,43763216","6,11167932"
09/01/2006 3.00,3,"12,52229028","0,55422042","11,67955142"
09/01/2006 4.00,3,"10,02042681","0,59223896","9,11755173"
09/01/2006 5.00,3,"6,39019462","0,53478967","5,57306318"
09/01/2006 6.00,3,"5,83379306","0,50352987","5,06559544"
09/01/2006 7.00,3,"7,78833315","0,40721658","7,16814727"
09/01/2006 8.00,3,"28,94458256","2,09353593","25,74846424"
09/01/2006 9.00,3,"38,99740056","3,13438937","34,20929368"
09/01/2006 10.00,3,"55,92684128","6,46816281","46,02902912"
09/01/2006 11.00,3,"60,07716232","8,97989889","46,32363008"
09/01/2006 12.00,3,"78,01690384","14,52125265","55,76305936"
09/01/2006 13.00,4,"46,14116792","7,05786787","35,33066256"
09/01/2006 14.00,4,"23,98495016","3,99782589","17,86001303"
09/01/2006 15.00,4,"22,38447232","4,21579525","15,92358914"
09/01/2006 16.00,4,"27,90569736","4,67370487","20,74518088"
09/01/2006 17.00,4,"32,6876476","4,50304544","25,79261232"
09/01/2006 18.00,4,"40,09335896","5,15019978","32,20928432"
09/01/2006 19.00,4,"78,98703352","17,44950793","52,23543848"
09/01/2006 20.00,3,"45,13210992","5,27777163","37,05553512"
09/01/2006 21.00,3,"32,65003856","2,06650097","29,49803008"
09/01/2006 22.00,3,"12,13190194","0,77134681","10,95533554"
09/01/2006 23.00,3,"14,8049659","0,45706291","14,11306281"
10/01/2006 0.00,3,"22,807292","0,60406675","21,89509592"
