,Provincia di TARANTO,,,,,,
,TA V.Archimede,,,,,,
Parm,SO2,NOX,NO,NO2,CO,H2S,PM10



04/01/2006 17.00,"0,169001","40,054467","3,897","34,102869","0,065234","0,139066","17,698681"
04/01/2006 18.00,"0,352525","71,544992","14,432515","49,450228","0,239766","0,124995","17,698681"
04/01/2006 19.00,"0,299762","65,19371","15,742788","41,084119","0,162971","0,123997","17,698681"
04/01/2006 20.00,"0,08392","25,389563","3,202528","20,493389","0,020882","0,072951","17,698681"
04/01/2006 21.00,"0,105287","28,484152","3,320952","23,408406","0,035095","0,08852","17,698681"
04/01/2006 22.00,"0,116863","25,029017","3,103559","20,284426","0,009921","0,098949","17,698681"
04/01/2006 23.00,"0,055947","16,243311","2,964833","11,705498","0,004916","0,052693","17,698681"
05/01/2006 0.00,"0,088116","16,127879","2,925923","11,649697","0,000438","0,114516","17,698681"
05/01/2006 1.00,"0,088116","24,879861","3,03758","20,236417","0,020996","0,136721","29,960251"
05/01/2006 2.00,"0,181976","34,665535","3,946908","28,633633","0,038056","0,092162","29,960251"
05/01/2006 3.00,"0,10249","21,979816","3,050268","17,314912","0,074771","0,139465","29,960251"
05/01/2006 4.00,"0,081123","14,668783","3,254126","9,686021","0,064289","0,118508","29,960251"
05/01/2006 5.00,"0,109097","15,210919","3,446989","9,932616","0,000652","0,110325","29,960251"
05/01/2006 6.00,"0,086718","12,20972","3,194068","7,317404","0,002313","0,061624","29,960251"
05/01/2006 7.00,"0,12222","16,932004","3,116247","12,162356","0,004874","0,080337","29,960251"
05/01/2006 8.00,"0,167603","40,09726","5,6759","31,416282","0,107066","0,069857","29,960251"
05/01/2006 9.00,"0,177393","56,475451","12,62908","37,13729","0,103665","0,079288","29,960251"
05/01/2006 10.00,"0,307827","67,058753","21,012661","34,864726","0,151543","0,087172","29,960251"
05/01/2006 11.00,"0,234887","49,358947","10,917006","32,642773","0,184543","0,130484","29,960251"
05/01/2006 12.00,"0,563426","67,476391","17,552984","40,590937","0,51502","0,125844","29,960251"
