,Provincia di TARANTO,,,,,,,
04/01/2006 9.00,"104,717714","33,947118","52,703973","2,151887","13,63381","1,241178","6,872287","4,154497"
04/01/2006 10.00,"138,701029","49,919153","62,204394","2,510317","14,988637","3,397836","17,434013","12,208688"
04/01/2006 11.00,"132,664922","44,035172","65,192106","2,16754","14,507576","2,674256","18,378694","12,548417"
04/01/2006 12.00,"98,523371","30,411313","51,930454","1,249598","30,947797","1,254822","9,530887","6,575063"
04/01/2006 13.00,"80,031082","24,040089","43,200952","1,016302","39,982774","0,897874","8,206258","5,548699"
04/01/2006 14.00,"74,161009","19,74637","43,914775","0,91077","43,362822","0,588019","4,177354","3,242972"
04/01/2006 15.00,"66,104168","13,173831","45,93687","0,859025","40,26748","0,29533","0,969595","0,501219"
04/01/2006 16.00,"80,337191","18,518137","51,979763","1,379097","33,653235","0,78916","3,991533","2,37152"
04/01/2006 17.00,"122,527787","32,832237","72,236945","2,257909","30,22411","1,688355","8,549873","5,685069"
04/01/2006 18.00,"147,232544","49,362555","71,595793","2,894359","22,176639","4,216487","16,817376","15,790196"
04/01/2006 19.00,"133,673977","47,508366","60,872783","1,725909","10,813367","3,521955","18,742027","13,839142"
04/01/2006 20.00,"112,551448","34,936799","59,024625","1,815537","14,792289","2,25921","14,17642","10,075821"
04/01/2006 21.00,"78,412478","17,332215","51,873341","1,653647","21,823066","2,281656","7,648794","4,728686"
04/01/2006 22.00,"69,927672","15,914514","45,557893","1,015067","23,667364","2,115726","6,567083","3,641315"
04/01/2006 23.00,"45,661274","6,16313","36,236587","0,688024","28,858054","0,636875","1,381725","0,724315"
05/01/2006 0.00,"36,530556","4,669295","29,391589","0,41354","26,844041","0,681768","0,706953","0,119623"
05/01/2006 1.00,"34,639587","4,180373","28,249474","0,556878","22,751519","0,350787","0,991395","0,351093"
05/01/2006 2.00,"17,062999","0,402641","16,789272","0,098048","31,649059","0,334942","0,37372","0,002991"
05/01/2006 3.00,"11,54048","0,216547","12,187013","0,036977","32,672893","0,071302","0,063325","0,016747"
05/01/2006 4.00,"10,186437","0,067671","11,582207","0,05666","33,334873",0,"0,148449","0,025121"
05/01/2006 5.00,"8,43293",0,"10,660719","0,084296","32,595747","0,157568",0,0
05/01/2006 6.00,"12,850423","0,766374","13,22272","0,251401","29,354549","0,077024",0,0
05/01/2006 7.00,"22,979791","2,288969","19,636795","0,423243","25,933822",0,0,0
05/01/2006 8.00,"47,391442","9,69217","32,553213","0,454563","17,15271","0,12896","1,167874","0,520957"
05/01/2006 9.00,"74,82505","22,020112","41,090618","1,092002","14,424825","0,557651","2,579703","1,163331"
05/01/2006 10.00,"114,219342","42,798475","48,631258","1,664197","13,555273","1,21257","8,206258","5,889026"
05/01/2006 11.00,"74,293266","22,273889","40,169132","1,120583","18,869382","0,844617","3,700862","2,27941"
05/01/2006 12.00,"65,453111","20,724204","33,700549","0,926461","25,799181","0,995144","5,370142","3,461881"
05/01/2006 13.00,"107,02372","38,978451","47,291865","1,272663","22,664556","1,354733","9,558916","6,887875"
05/01/2006 14.00,"110,836823","40,066258","49,438525","1,47622","21,974526","1,922506","14,774375","10,519614"
05/01/2006 15.00,"52,680513","12,280583","33,874445","0,895942","30,246534","1,237218","6,193364","4,466712"
05/01/2006 16.00,"84,202167","25,742008","44,763591","1,313754","23,479435","1,454204","5,086738","2,858983"
05/01/2006 17.00,"94,238176","29,599253","48,888233","1,648967","20,504711","1,707721","7,174377","4,351874"
05/01/2006 18.00,"142,329966","53,845759","59,811123","2,263099","19,984374","2,301022","7,404838","4,353668"
05/01/2006 19.00,"191,635545","82,132205","65,750198","3,23154","20,942293","3,845454","14,906219","9,604507"
05/01/2006 20.00,"190,043082","80,927665","66,004573","3,1845","18,7642","4,856002","20,610623","14,36907"
05/01/2006 21.00,"154,407401","60,824319","61,189468","2,282045","12,981645","3,86526","16,79246","11,53641"
05/01/2006 22.00,"96,842494","30,355483","50,334067","1,537593","14,046153","3,056733","9,603555","6,246699"
05/01/2006 23.00,"56,651831","12,60202","37,355335","1,31237","14,499161","2,212115","4,028904","2,185506"
06/01/2006 0.00,"44,439524","7,768624","32,550613","1,004187","14,069991","1,676912","2,519492","0,787117"
06/01/2006 1.00,"31,461999","5,222505","23,470697","1,011195","14,033524","0,923842","2,077258","0,859489"
06/01/2006 2.00,,,,"0,964887","15,558051","0,62279","0,538779",0
06/01/2006 3.00,"66,254645","1,681623","63,964313",,"17,389736","0,276845","0,023876",0
06/01/2006 4.00,"38,164742","0,468621","38,10811","0,760335",,"0,219187",0,0
06/01/2006 5.00,"26,453094","0,096431","28,08594","0,826042","25,566044","0,13116",0,0
06/01/2006 6.00,"23,35072","0,018609","24,727036","0,774113","23,124284","0,12896",0,0
06/01/2006 7.00,"29,06519","1,236686","27,320185","0,890357","24,937002","0,287848",0,0
06/01/2006 8.00,"48,405682","10,049135","33,020448","0,781752","22,589326","0,307654","0,413167","0,057419"
06/01/2006 9.00,"37,86127","4,65407","30,746564","1,187188","24,922957","0,606065","1,150226","0,305038"
06/01/2006 10.00,"42,844228","7,340605","31,610962","1,266198","29,355727","1,360455","4,649694","2,300943"
06/01/2006 11.00,"41,884482","8,776921","28,446754","0,905702","29,461043","1,592406","6,089553","3,181366"
06/01/2006 12.00,"47,106116","11,615716","29,316313","1,032735","34,805088","0,945408","1,744025","0,551461"
06/01/2006 13.00,"75,603215","22,810161","40,657131","1,068023","37,804274","1,038277","1,656823","0,549068"
06/01/2006 14.00,"105,776045","34,459722","52,976528","1,419352","30,529564","1,80411","7,588583","4,487647"
06/01/2006 15.00,"33,752458","4,432446","26,974954","1,108244","41,094109","1,481052","3,819206","2,010858"
06/01/2006 16.00,"47,04126","8,97655","33,300788","1,069645","38,295703","2,465632","5,674309","2,152013"
06/01/2006 17.00,"57,580472","13,302397","37,209986","1,105743","34,953915","1,596807","2,462397","0,86547"
06/01/2006 18.00,"93,44961","27,320435","51,595586","1,81108","29,517203","2,58579","6,112391","2,934345"
06/01/2006 19.00,"99,381971","29,09342","54,811721","2,186584","28,913436","4,091929","8,766837","4,326753"
06/01/2006 20.00,"92,487242","25,997467","52,662443","2,10165","27,783128","4,454159","8,170963","4,129974"
06/01/2006 21.00,"107,132666","32,207964","57,789032","2,461659","31,160024","3,606461","7,169187","3,309961"
06/01/2006 22.00,"104,204113","30,265825","57,838363","2,427995","26,52925","4,757851","7,578202","3,227421"
06/01/2006 23.00,"82,210031","19,739598","51,979763","2,284332","24,336047","3,647834","9,09488","4,582148"
07/01/2006 0.00,"40,691259","5,317244","32,561014","1,277637","14,041116","2,609996","4,4047","1,763239"
07/01/2006 1.00,"23,94214","1,52598","21,617339","0,940585","16,828267","0,988982","0,531513",0
07/01/2006 2.00,"16,251091","0,059213","16,628333","0,652203","21,262451","0,527721","0,085125",0
07/01/2006 3.00,"14,056611","0,033836","15,327864","0,552506","22,637066","0,3926",0,0
07/01/2006 4.00,"12,531368","0,570127","13,700328","0,299576","25,382106","0,117076",0,0
07/01/2006 5.00,"8,536292",0,"11,086898","0,330598","29,344097",0,0,0
07/01/2006 6.00,"11,011315",0,"13,053991","0,442589","28,87974",0,0,0
07/01/2006 7.00,"22,556972","1,36357","20,677686","0,454892","26,443605","0,042253",0,0
07/01/2006 8.00,"52,833549","11,498982","35,229422","0,710934","20,244462","0,243395","0,81284","0,23446"
07/01/2006 9.00,"62,22365","15,725031","38,139255","0,899537","22,162474","1,011869","4,326842","2,085622"
07/01/2006 10.00,"50,392632","11,686766","32,496104","1,028194","26,624752","1,042238","3,343751","1,473154"
07/01/2006 11.00,"53,580607","13,534177","32,851733","1,024853","30,171523","0,991182","4,0206","2,037773"
07/01/2006 12.00,"66,879788","17,004005","40,836228","1,187593","31,10245","1,872332","5,768777","3,540832"
07/01/2006 13.00,"95,812689","34,229639","43,359302","1,356242","32,082515","1,604729","5,056633","2,360754"
07/01/2006 14.00,"74,350339","21,790029","40,968612","1,176804","40,021354","1,619694","11,476295","7,07987"
07/01/2006 15.00,"51,360182","10,89671","34,676526","0,817363","45,531086","1,120582","3,193226","1,746492"
07/01/2006 16.00,"64,304003","15,812995","40,086053","0,951941","39,674544","1,631138","4,351757","2,041362"
07/01/2006 17.00,"93,496282","27,592817","51,224409","1,200086","31,26532","1,889937","7,0851","4,713733"
07/01/2006 18.00,"142,815041","52,428043","62,471752","2,200292","26,798855","3,246871","13,369817","10,247475"
07/01/2006 19.00,"133,627268","45,740469","63,538609","2,027508","29,503158","3,521515","12,483268","8,505773"
07/01/2006 20.00,"118,65241","37,452472","61,26994","1,965437","26,035009","4,237173","9,408389","5,155739"
07/01/2006 21.00,"139,328798","49,7652","63,068793","2,148781","25,78368","4,635495","9,115643","4,752611"
07/01/2006 22.00,"98,352151","27,070064","56,885725","1,787555","23,013362","4,024588","8,054694","4,305221"
07/01/2006 23.00,"75,307521","16,127663","50,614404","1,621503","22,875767","2,939217","5,021337","2,196872"
08/01/2006 0.00,"83,657437","22,542867","49,12704","1,577455","18,448617","2,467392","3,928208","1,443248"
08/01/2006 1.00,"42,958374","5,765564","34,141818","1,26417","21,922376","2,127169","3,116405","1,072417"
08/01/2006 2.00,,,,"0,659665","20,707821","1,011869","0,977899","0,154911"
08/01/2006 3.00,"66,337625","1,312817","64,561339",,"22,238306","0,254397","0,031144",0
08/01/2006 4.00,"37,575944","0,389108","37,609728","0,805155",,"0,170773","0,046715",0
08/01/2006 5.00,"25,809782","0,005075","27,1956","0,74482","31,737278","0,026848",0,0
08/01/2006 6.00,"21,355969","0,025376","23,208544","0,795406","31,599684","0,242514",0,0
08/01/2006 7.00,"27,493259","1,475227","25,68747","0,913622","28,753914","0,170332","1,405601","1,074212"
08/01/2006 8.00,"43,27483","6,775553","32,908825","1,256477","25,864637","0,181776","0,270947","0,037083"
08/01/2006 9.00,"48,755845","8,883502","35,159347","1,557304","28,391703","0,665923","3,029205","1,371474"
08/01/2006 10.00,"51,362782","9,538219","36,763513","1,673063","35,21622","1,220493","5,013032","2,704072"
08/01/2006 11.00,"67,644992","16,741785","42,004325","1,775387","34,688342","1,613973","4,561455","2,110145"
08/01/2006 12.00,"78,568111","24,625443","40,838828","1,938663","38,696576","1,414592","7,615574","4,244811"
08/01/2006 13.00,"105,986154","36,691178","49,763011","2,262101","38,120958","1,54179","9,769652","6,354358"
08/01/2006 14.00,"89,480874","28,168022","46,323629","1,942185","41,425816","1,429997","8,606969","5,555877"
08/01/2006 15.00,"29,083355","3,87247","23,161815","1,333814","52,800487","1,724887","11,58426","8,389739"
08/01/2006 16.00,"44,439524","9,282762","30,22742","1,472757","46,999429","0,705095","0,905232","0,328364"
08/01/2006 17.00,"48,644299","8,716018","35,304715","1,762033","44,837367","1,07877","4,454529","2,645456"
08/01/2006 18.00,"92,546898","22,967506","57,371125","2,546378","37,275798","2,557621","8,406614","5,166504"
08/01/2006 19.00,"81,125757","18,019075","53,534623","2,488458","33,01344","3,290004","7,081985","3,626961"
08/01/2006 20.00,"93,371793","26,853509","52,234157","2,492188","28,335545","3,421604","6,317936","2,912813"
08/01/2006 21.00,"106,629466","35,259935","52,602751","2,68139","25,360619","3,354703","8,285155","4,680836"
08/01/2006 22.00,"85,434277","23,476733","49,472291","2,521145","25,238465","3,089303","5,905807","3,241776"
08/01/2006 23.00,"63,364961","13,510484","42,679204","2,248747","22,976735","2,781649","3,447563","1,178284"
09/01/2006 0.00,"41,62766","6,367835","31,886099","1,753923","20,188523","1,780783","2,406339","0,756613"
09/01/2006 1.00,"31,21816","3,965517","25,155342","1,589008","22,019254","0,909757","0,705915","0,113642"
09/01/2006 2.00,"21,638715","2,197614","18,398631","1,24345","26,64522","0,361791","0,202432","0,001794"
09/01/2006 3.00,"10,100839",0,"12,140293","1,310546","34,159048","1,073048",0,0
09/01/2006 4.00,"7,322719",0,"9,835274","1,017673","37,16627","0,32614",0,0
09/01/2006 5.00,"7,504296",0,"9,910551","1,04226","38,334344",0,0,0
09/01/2006 6.00,"8,139814",0,"10,549102","0,969905","38,716226",0,0,0
09/01/2006 7.00,"31,778473","5,256341","23,987263","1,214204","27,52687","0,011884","0,01661",0
09/01/2006 8.00,"80,490228","26,005922","40,644149","1,816595","21,228835","0,631593","3,466249","1,845779"
09/01/2006 9.00,"160,749624","71,594146","51,011546","3,5851","24,603896","1,071287","5,064937","2,86616"
09/01/2006 10.00,"166,266944","74,285758","52,402871","3,621065","22,149807","4,768415","37,712455","27,977954"
09/01/2006 11.00,"101,228867","39,450452","40,768754","2,107672","30,951069","2,278135","18,259309","13,601093"
09/01/2006 12.00,"93,859428","34,031701","41,708405","1,994372","37,791024","0,993383","6,133153","4,083919"
09/01/2006 13.00,"99,607645","37,15979","42,661039","2,116603","40,9218","1,392585","9,854777","6,7216"
09/01/2006 14.00,"121,651018","45,238018","52,325014","2,405551","41,889114","1,108698","7,586506","5,203588"
09/01/2006 15.00,"71,170183","23,206047","35,613599","1,726888","51,858429","1,814674","15,080615","10,776203"
09/01/2006 16.00,"55,290009","14,183827","33,565561","1,484063","54,742101","0,478866","2,719847","1,74051"
09/01/2006 17.00,"81,076466","22,275573","46,954396","1,818643","46,6358","0,552368","2,351319","1,250656"
09/01/2006 18.00,"121,993399","39,046126","62,168064","2,971157","37,602897","1,552794","7,678898","4,966137"
09/01/2006 19.00,"124,745611","39,232228","64,63661","2,696465","38,010038","2,345916","10,72575","7,460868"
09/01/2006 20.00,"125,487483","40,636385","63,22452","2,863672","35,408556","2,723111","9,020137","5,405751"
09/01/2006 21.00,"126,255262","40,858015","63,652828","2,962883","35,40716","3,430847","7,662289","4,220887"
09/01/2006 22.00,"106,504955","28,748301","62,46917","2,919054","36,206","3,522395","9,585907","5,327996"
09/01/2006 23.00,"61,5129","9,29968","47,286664","2,35869","32,811287","3,213421","4,947631","2,901449"
10/01/2006 0.00,"29,674774","3,104404","24,932096","1,608916","35,014045","1,34329","1,380686","0,311617"
10/01/2006 1.00,"14,611715","0,115041","15,005997","1,3246","40,339161","0,312936","0,002077",0
10/01/2006 2.00,,,,"1,419752","39,889905","0,03213",0,0
10/01/2006 3.00,"56,51956","0,015226","57,643683",,"43,573833","2,613957","0,375796",0
10/01/2006 4.00,"28,956244",0,"31,231985","0,489421",,"0,079224",0,0
10/01/2006 5.00,"19,916328",0,"22,328584","0,305919","50,748612",0,0,0
10/01/2006 6.00,"24,292322","0,177636","25,118996","0,219672","44,823539",0,0,0
10/01/2006 7.00,"49,777886","8,200026","37,230751","0,364024","34,726325","0,351667",0,0
10/01/2006 8.00,"63,684016","10,561736","47,522874","0,435819","28,635034","0,289608","2,520531","1,376857"
10/01/2006 9.00,"100,694501","29,44192","55,590441","0,950104","25,97141","1,054122","6,869173","4,503795"
10/01/2006 10.00,"119,892303","38,880325","60,319888","1,284844","29,554109","1,929989","15,599671","11,980809"
10/01/2006 11.00,"106,611283","35,459566","52,278265","0,370557","37,705621","1,723125","12,332741","10,136829"
10/01/2006 12.00,"90,129327","28,976688","45,731808","0,297676","47,400561","1,526386","11,123346","8,109821"
10/01/2006 13.00,"111,150714","37,406796","53,833122","0,571277","47,5612","0,934405","7,74949","5,803496"
10/01/2006 14.00,"118,644628","38,269593","60,008407","1,139651","51,555926","1,199806","8,68898","6,441085"
10/01/2006 15.00,"61,310573","16,367897","36,239169","0,072202","60,03011","1,069087","8,082723","6,75031"
10/01/2006 16.00,"56,921614","14,572928","34,601252","0,290899","60,380691","0,369713","1,418058","0,959374"
10/01/2006 17.00,"85,211221","23,669593","48,953125","0,731678","50,786317","0,930884","4,552111","2,960662"
10/01/2006 18.00,"97,740005","26,279988","57,48533","0,832893","46,956396","1,724887","9,488324","7,902875"
10/01/2006 19.00,"108,787636","27,362734","66,87935","1,57661","46,580656","2,188787","8,00798","5,961996"
10/01/2006 20.00,"127,347348","33,03864","76,743169","2,135089","46,758052","3,789557","10,550307","6,411777"
10/01/2006 21.00,"128,644313","34,884363","75,20907","2,554639","42,372224","4,565513","10,106","6,221578"
10/01/2006 22.00,"103,988803","23,026728","68,73009","2,5211","43,338781","4,513577","8,515615","4,674258"
10/01/2006 23.00,"64,449257","8,485935","51,473602","2,003724","33,533476","3,284282","5,554926","2,485161"
11/01/2006 0.00,"38,942926","2,248367","35,574651","1,6307","35,926138","1,977963","2,654447","0,847527"
11/01/2006 1.00,"22,152317","0,683476","21,500536","1,255724","37,902565","0,903595","0,826336","0,084334"
11/01/2006 2.00,"10,845301","0,037219","12,498507","0,595408","45,950715","0,110033","0,007266",0
11/01/2006 3.00,"5,914204",0,"8,303787","0,306109","51,602033","1,433077","0,007266",0
11/01/2006 4.00,"4,438247",0,"7,172042","0,017976","52,692897","0,548847",0,0
11/01/2006 5.00,"5,172334",0,"7,883275","0,001328","49,520846",0,0,0
11/01/2006 6.00,"18,48967","3,757429","14,255824","0,055257","44,06648",0,0,0
11/01/2006 7.00,"36,738065","5,574394","28,210527","0,203973","35,870278",0,0,0
11/01/2006 8.00,"53,033276","10,505911","36,95041","0,571006","29,994087","0,157128","1,478268","0,654935"
11/01/2006 9.00,"101,770979","35,363136","47,582584","1,444677","28,083316","0,723581","4,989156","2,701081"
11/01/2006 10.00,"92,552098","28,371033","49,085513","1,366509","30,20081","1,914584","14,935285","10,526794"
11/01/2006 11.00,"77,320436","23,75757","40,921885","0,555145","37,170661","1,005267","8,7658","6,940509"
11/01/2006 12.00,"75,722561","23,903056","39,099671","0,388778","41,676626","0,924722","6,258764","4,147918"
11/01/2006 13.00,"48,089208","12,316102","29,225473","0,18803","55,010129","0,706856","4,346566","2,503703"
11/01/2006 14.00,"92,798516","29,413162","47,733137","0,779127","49,882622","0,705095","2,94927","1,66754"
11/01/2006 15.00,"60,74766","17,149505","34,476668","0,435738","64,423362","0,855621","4,405738","2,650839"
11/01/2006 16.00,"64,00049","18,732995","35,302096","0,466673","39,530686","0,59022","2,472777","1,453416"
11/01/2006 17.00,"68,558068","17,322065","42,027691","0,627374","36,433807","1,093293","4,802296","3,063537"
11/01/2006 18.00,"75,159648","16,872047","49,32432","0,888068","30,674761","1,355614","4,825135","2,9804"
11/01/2006 19.00,"92,349771","23,43951","56,449639","1,435376","23,775552","2,453309","6,56916","3,967287"
11/01/2006 20.00,"85,180077","19,40463","55,465839","1,804524","27,502072","2,326991","5,704414","3,464274"
11/01/2006 21.00,"85,224168","18,88019","56,31465","1,627853","22,85474","2,98147","5,154215","2,677754"
11/01/2006 22.00,"64,213182","10,654788","47,909652","1,0915","27,695707","2,372765","4,560417","2,251299"
11/01/2006 23.00,"39,700384","3,950291","33,666783","1,026184","27,672686","1,617934","1,631909","0,293076"
12/01/2006 0.00,"24,019959","1,319584","22,058628","0,755729","28,784418","0,934405","0,37372","0,000598"
12/01/2006 1.00,"11,968481","0,233465","12,833353","0,457076","27,611757","0,448937","0,215926",0
12/01/2006 2.00,,,,"0,366354","26,937407","0,023327",0,0
12/01/2006 3.00,"44,896073",0,"47,273681",,"34,552943","0,079224",0,0
12/01/2006 4.00,"23,85914",0,"26,583013","0,600832",,"0,00132",0,0
12/01/2006 5.00,"16,541614",0,"19,239633","0,4231","39,977545",0,0,0
12/01/2006 6.00,"19,223745","0,263918","20,617994","0,565911","37,445333",0,0,0
12/01/2006 7.00,"63,668473","12,289038","44,895975","0,810112","23,216295","0,39436",0,0
12/01/2006 8.00,"79,766517","19,489212","49,918742","1,135632","16,809983","0,309414","1,474116","0,647159"
12/01/2006 9.00,"118,380027","36,973699","61,731974","2,198932","15,822832","0,95113","5,316161","3,230411"
12/01/2006 10.00,"138,527264","50,627997","60,942876","2,659434","17,078103","3,512712","32,677622","24,845635"
12/01/2006 11.00,"96,264037","32,661361","46,217207","1,400168","30,584029","2,104722","21,407901","14,58499"
12/01/2006 12.00,"87,371973","29,38609","42,344354","1,343382","36,251007","0,935285","12,035839","5,320818"
