,Regione Puglia,,
08/01/2006 5.00,1,21,"23,8760044"
08/01/2006 6.00,1,29,"36,66674904"
08/01/2006 7.00,1,25,"28,54640856"
08/01/2006 8.00,2,45,"81,4175488"
08/01/2006 9.00,2,46,"93,07996488"
08/01/2006 10.00,1,27,"38,34894576"
08/01/2006 11.00,2,28,"43,05047728"
08/01/2006 12.00,2,28,"41,65880896"
08/01/2006 13.00,2,25,"35,87950216"
08/01/2006 14.00,2,21,"30,5593048"
08/01/2006 15.00,1,15,"20,32228472"
08/01/2006 16.00,1,15,"20,70749536"
08/01/2006 17.00,1,28,"36,71344008"
08/01/2006 18.00,2,62,"96,49101112"
08/01/2006 19.00,2,62,"102,78133816"
08/01/2006 20.00,2,65,"105,0821816"
08/01/2006 21.00,2,57,"86,54321928"
08/01/2006 22.00,2,57,"88,5094436"
08/01/2006 23.00,1,50,"68,9069504"
09/01/2006 0.00,1,44,"52,90874928"
09/01/2006 1.00,1,29,"35,23100912"
09/01/2006 2.00,1,19,"23,965486"
09/01/2006 3.00,1,16,"21,12251408"
09/01/2006 4.00,1,19,"25,7462272"
09/01/2006 5.00,1,19,"26,27411128"
09/01/2006 6.00,1,26,"40,73537032"
09/01/2006 7.00,1,30,"48,13850048"
09/01/2006 8.00,2,46,"97,12134016"
09/01/2006 9.00,2,43,"102,90194712"
09/01/2006 10.00,1,41,"83,818256"
09/01/2006 11.00,,,
09/01/2006 12.00,2,40,"72,76156152"
09/01/2006 13.00,2,42,"74,52932024"
09/01/2006 14.00,2,39,"74,64346664"
09/01/2006 15.00,1,38,"58,26009312"
09/01/2006 16.00,2,49,"66,19628888"
09/01/2006 17.00,2,72,"112,0015184"
09/01/2006 18.00,2,81,"140,05510896"
09/01/2006 19.00,2,77,"180,89812488"
09/01/2006 20.00,2,60,"125,01149296"
09/01/2006 21.00,2,55,"103,41554856"
09/01/2006 22.00,1,38,"54,93332784"
09/01/2006 23.00,1,30,"37,94817144"
10/01/2006 0.00,1,32,"38,45789152"
10/01/2006 1.00,,24,"29,06389136"
10/01/2006 2.00,1,,
10/01/2006 3.00,1,17,"22,87862872"
10/01/2006 4.00,1,11,"14,73233475"
10/01/2006 5.00,1,14,"21,10955072"
10/01/2006 6.00,1,25,"33,552732"
10/01/2006 7.00,1,47,"62,95644312"
10/01/2006 8.00,2,63,"130,49510896"
10/01/2006 9.00,2,60,"113,56436808"
10/01/2006 10.00,2,41,"71,47367656"
10/01/2006 11.00,2,47,"92,24212648"
10/01/2006 12.00,2,41,"90,68055784"
10/01/2006 13.00,2,53,"84,11008456"
10/01/2006 14.00,2,55,"83,75211992"
10/01/2006 15.00,1,41,"51,9360384"
10/01/2006 16.00,1,64,"88,40956072"
10/01/2006 17.00,2,79,"162,83515496"
10/01/2006 18.00,2,84,"181,72169976"
10/01/2006 19.00,2,65,"116,75106024"
10/01/2006 20.00,1,56,"73,34261832"
10/01/2006 21.00,1,45,"65,07958528"
10/01/2006 22.00,1,37,"50,28498816"
10/01/2006 23.00,1,26,"33,03002944"
11/01/2006 0.00,1,24,"30,0444032"
11/01/2006 1.00,1,17,"21,82417984"
11/01/2006 2.00,1,18,"22,29887208"
11/01/2006 3.00,1,21,"25,54389936"
11/01/2006 4.00,1,18,"22,46489104"
11/01/2006 5.00,1,16,"22,57771816"
11/01/2006 6.00,1,17,"26,26242896"
11/01/2006 7.00,2,33,"59,05124048"
11/01/2006 8.00,2,69,"135,64018624"
11/01/2006 9.00,2,54,"115,89115736"
11/01/2006 10.00,2,42,"70,59821"
11/01/2006 11.00,2,51,"76,30879952"
11/01/2006 12.00,2,52,"86,58861016"
11/01/2006 13.00,2,55,"90,81673048"
11/01/2006 14.00,2,63,"107,94849904"
11/01/2006 15.00,2,63,"110,7771692"
11/01/2006 16.00,2,60,"104,81367944"
11/01/2006 17.00,2,68,"92,86079232"
11/01/2006 18.00,2,78,"155,34642456"
11/01/2006 19.00,2,63,"144,6775028"
11/01/2006 20.00,1,54,"83,05047328"
11/01/2006 21.00,2,53,"79,77559968"
11/01/2006 22.00,1,46,"55,94888664"
11/01/2006 23.00,1,41,"48,19037304"
12/01/2006 0.00,1,30,"36,97802264"
12/01/2006 1.00,,18,"20,76844992"
12/01/2006 2.00,1,,
12/01/2006 3.00,1,20,"22,87992888"
12/01/2006 4.00,1,18,"22,07579904"
12/01/2006 5.00,1,24,"31,28301592"
12/01/2006 6.00,1,35,"45,64701152"
12/01/2006 7.00,2,49,"113,46450432"
12/01/2006 8.00,2,63,"144,3065748"
12/01/2006 9.00,2,60,"173,28748536"
12/01/2006 10.00,2,79,"225,5163848"
12/01/2006 11.00,2,77,"231,38546"
12/01/2006 12.00,2,83,"200,9986176"
12/01/2006 13.00,2,68,"132,87505184"
12/01/2006 14.00,1,61,"79,760036"
12/01/2006 15.00,1,61,"74,93917656"
12/01/2006 16.00,2,62,"98,14204224"
12/01/2006 17.00,2,72,"151,33745768"
12/01/2006 18.00,2,56,"93,23172032"
12/01/2006 19.00,2,62,"88,06065896"
12/01/2006 20.00,2,60,"84,76247808"
12/01/2006 21.00,2,64,"95,156416"
12/01/2006 22.00,2,62,"80,74704864"
12/01/2006 23.00,2,63,"83,0258276"
13/01/2006 0.00,2,55,"65,3895396"
13/01/2006 1.00,2,41,"43,60298792"
13/01/2006 2.00,1,42,"46,0425852"
13/01/2006 3.00,2,43,"47,49520808"
13/01/2006 4.00,1,39,"41,54080032"
13/01/2006 5.00,1,28,"32,08324528"
13/01/2006 6.00,1,41,"53,64802408"
13/01/2006 7.00,1,52,"77,31135672"
13/01/2006 8.00,2,65,"105,22613608"
13/01/2006 9.00,2,71,"157,09991976"
13/01/2006 10.00,2,72,"173,75177632"
13/01/2006 11.00,2,66,"146,24165264"
13/01/2006 12.00,2,63,"115,12723688"
13/01/2006 13.00,2,50,"68,55286712"
13/01/2006 14.00,2,51,"72,99501672"
13/01/2006 15.00,2,67,"109,9160044"
13/01/2006 16.00,2,78,"115,80297592"
13/01/2006 17.00,2,89,"185,680056"
13/01/2006 18.00,2,66,"113,90678816"
13/01/2006 19.00,2,46,"60,12643456"
13/01/2006 20.00,2,40,"51,54306504"
13/01/2006 21.00,2,39,"48,93484848"
13/01/2006 22.00,2,56,"74,24789296"
13/01/2006 23.00,2,34,"40,5447248"
14/01/2006 0.00,2,27,"34,48265232"
14/01/2006 1.00,,14,"16,94627014"
14/01/2006 2.00,1,,
14/01/2006 3.00,2,11,"14,45089218"
14/01/2006 4.00,2,11,"14,68305104"
14/01/2006 5.00,2,13,"16,34577213"
14/01/2006 6.00,2,16,"22,63479136"
14/01/2006 7.00,2,18,"23,90193112"
14/01/2006 8.00,2,31,"42,23854648"
14/01/2006 9.00,2,60,"102,97718432"
14/01/2006 10.00,2,64,"106,99391392"
14/01/2006 11.00,2,63,"107,6825972"
14/01/2006 12.00,2,51,"87,25524808"
14/01/2006 13.00,2,54,"79,56549"
14/01/2006 14.00,2,47,"69,72402448"
14/01/2006 15.00,2,36,"45,6807392"
14/01/2006 16.00,2,28,"35,50725488"
14/01/2006 17.00,2,42,"51,14097144"
14/01/2006 18.00,2,46,"49,75324184"
14/01/2006 19.00,2,65,"80,04794496"
14/01/2006 20.00,2,69,"93,05920056"
14/01/2006 21.00,2,62,"83,77936592"
14/01/2006 22.00,2,61,"84,82471368"
14/01/2006 23.00,2,63,"111,18572536"
15/01/2006 0.00,2,64,"122,5070024"
15/01/2006 1.00,2,56,"90,37964728"
15/01/2006 2.00,2,42,"53,52483392"
15/01/2006 3.00,2,32,"36,54095856"
15/01/2006 4.00,2,39,"50,94644456"
15/01/2006 5.00,2,41,"63,73330784"
15/01/2006 6.00,2,45,"62,96422496"
15/01/2006 7.00,2,24,"27,7850884"
15/01/2006 8.00,1,18,"22,3702088"
15/01/2006 9.00,2,28,"39,4967576"
15/01/2006 10.00,2,28,"35,0960984"
15/01/2006 11.00,2,30,"43,82864216"
15/01/2006 12.00,2,30,"42,31378368"
15/01/2006 13.00,2,42,"57,99811088"
15/01/2006 14.00,2,34,"46,6353052"
15/01/2006 15.00,2,17,"23,40649368"
15/01/2006 16.00,2,19,"25,23262576"
15/01/2006 17.00,2,38,"49,40175888"
15/01/2006 18.00,1,51,"60,14459856"
15/01/2006 19.00,2,65,"106,35062152"
15/01/2006 20.00,2,63,"97,314586"
15/01/2006 21.00,2,61,"133,13831512"
15/01/2006 22.00,2,62,"153,0131536"
15/01/2006 23.00,2,59,"137,83986576"
16/01/2006 0.00,2,59,"103,55952216"
16/01/2006 1.00,,53,"96,79580304"
16/01/2006 2.00,2,,
16/01/2006 3.00,2,30,"32,99243952"
16/01/2006 4.00,2,34,"40,77297936"
16/01/2006 5.00,2,46,"72,06637744"
16/01/2006 6.00,2,54,"91,05538632"
16/01/2006 7.00,2,57,"141,98758648"
16/01/2006 8.00,2,70,"236,7251024"
16/01/2006 9.00,2,78,"215,0162544"
16/01/2006 10.00,2,72,"226,7836584"
16/01/2006 11.00,2,69,"197,8029008"
16/01/2006 12.00,6,58,"108,12098056"
16/01/2006 13.00,2,52,"90,44710264"
16/01/2006 14.00,2,54,"91,51579592"
16/01/2006 15.00,2,53,"90,54308504"
16/01/2006 16.00,2,54,"99,90463856"
16/01/2006 17.00,2,72,"135,9021876"
16/01/2006 18.00,2,70,"135,22254808"
16/01/2006 19.00,2,66,"143,752764"
16/01/2006 20.00,2,55,"107,81618864"
16/01/2006 21.00,2,61,"116,69916856"
16/01/2006 22.00,2,60,"140,61538232"
16/01/2006 23.00,2,56,"178,67379968"
17/01/2006 0.00,2,49,"106,34413984"
17/01/2006 1.00,2,46,"88,78048872"
17/01/2006 2.00,2,43,"69,68643456"
17/01/2006 3.00,2,35,"47,14630632"
17/01/2006 4.00,2,38,"67,8356568"
17/01/2006 5.00,2,42,"87,91020368"
17/01/2006 6.00,2,51,"147,78117592"
17/01/2006 7.00,2,52,"212,4274064"
17/01/2006 8.00,3,71,"397,6793656"
17/01/2006 9.00,4,92,"568,8670352"
17/01/2006 10.00,3,87,"288,0812312"
17/01/2006 11.00,2,65,"120,24378712"
17/01/2006 12.00,3,78,"149,25450576"
17/01/2006 13.00,3,73,"143,18727088"
17/01/2006 14.00,3,64,"97,79575992"
17/01/2006 15.00,3,60,"78,83011568"
17/01/2006 16.00,3,80,"112,39192968"
17/01/2006 17.00,2,86,"133,86072608"
17/01/2006 18.00,2,64,"88,0204496"
17/01/2006 19.00,2,63,"110,69286912"
17/01/2006 20.00,2,64,"91,84525264"
17/01/2006 21.00,2,46,"64,5880292"
17/01/2006 22.00,2,55,"66,99651824"
17/01/2006 23.00,2,65,"94,23297736"
18/01/2006 0.00,2,33,"40,51487848"
18/01/2006 1.00,,22,"26,41288424"
18/01/2006 2.00,2,,
18/01/2006 3.00,2,20,"24,7229248"
18/01/2006 4.00,1,19,"24,62564224"
18/01/2006 5.00,1,22,"30,69805864"
18/01/2006 6.00,2,53,"78,38005"
18/01/2006 7.00,2,54,"76,64990032"
18/01/2006 8.00,2,81,"188,087264"
18/01/2006 9.00,2,72,"175,0124344"
18/01/2006 10.00,2,55,"110,12739512"
18/01/2006 11.00,2,52,"88,79993376"
18/01/2006 12.00,2,38,"63,5906344"
18/01/2006 13.00,2,34,"55,71543144"
18/01/2006 14.00,2,26,"45,03354632"
18/01/2006 15.00,2,20,"35,98324728"
18/01/2006 16.00,2,41,"57,24453432"
18/01/2006 17.00,2,45,"72,90163464"
18/01/2006 18.00,2,49,"71,69934992"
18/01/2006 19.00,2,35,"50,90103456"
18/01/2006 20.00,2,37,"50,87252664"
18/01/2006 21.00,2,29,"39,37742968"
18/01/2006 22.00,2,20,"29,68385736"
18/01/2006 23.00,1,34,"42,35269288"
19/01/2006 0.00,2,33,"40,9065708"
19/01/2006 1.00,1,16,"22,33908144"
19/01/2006 2.00,1,9,"15,17589963"
19/01/2006 3.00,1,7,"13,01384445"
19/01/2006 4.00,1,11,"17,65571583"
19/01/2006 5.00,1,14,"21,34430608"
19/01/2006 6.00,1,24,"39,57847648"
19/01/2006 7.00,1,34,"57,4014904"
19/01/2006 8.00,2,43,"79,83525408"
19/01/2006 9.00,2,55,"116,71601328"
19/01/2006 10.00,2,34,"55,06431896"
19/01/2006 11.00,1,24,"39,65369456"
19/01/2006 12.00,2,28,"45,1684188"
19/01/2006 13.00,2,28,"44,93366344"
19/01/2006 14.00,2,27,"45,57049328"
19/01/2006 15.00,2,22,"35,37886408"
19/01/2006 16.00,1,28,"41,68865528"
19/01/2006 17.00,1,31,"43,7651064"
19/01/2006 18.00,1,33,"47,38236184"
19/01/2006 19.00,1,42,"60,88775472"
19/01/2006 20.00,1,26,"36,80034048"
19/01/2006 21.00,1,26,"36,24392936"
19/01/2006 22.00,1,20,"26,72415784"
19/01/2006 23.00,1,24,"32,49566368"
20/01/2006 0.00,1,26,"33,46453144"
20/01/2006 1.00,,19,"23,77224016"
20/01/2006 2.00,1,,
20/01/2006 3.00,1,12,"16,42748145"
20/01/2006 4.00,1,13,"17,27829659"
20/01/2006 5.00,1,17,"23,45836624"
20/01/2006 6.00,1,24,"34,54488792"
20/01/2006 7.00,1,39,"60,65559968"
20/01/2006 8.00,2,50,"83,74823856"
20/01/2006 9.00,2,66,"121,27489048"
20/01/2006 10.00,2,60,"109,12743824"
20/01/2006 11.00,2,43,"78,17902232"
20/01/2006 12.00,2,37,"63,49339008"
20/01/2006 13.00,2,39,"67,0367276"
20/01/2006 14.00,2,44,"73,7135272"
20/01/2006 15.00,2,40,"63,24693328"
20/01/2006 16.00,2,52,"79,21658824"
20/01/2006 17.00,2,89,"160,44351064"
20/01/2006 18.00,2,101,"247,2409112"
20/01/2006 19.00,3,105,"401,2811912"
20/01/2006 20.00,3,104,"385,4827176"
20/01/2006 21.00,2,77,"185,39470912"
20/01/2006 22.00,2,52,"72,51772416"
20/01/2006 23.00,2,48,"62,2171492"
21/01/2006 0.00,2,47,"63,20414272"
21/01/2006 1.00,2,55,"71,35694896"
21/01/2006 2.00,2,46,"49,0658396"
21/01/2006 3.00,1,43,"46,88172376"
21/01/2006 4.00,2,42,"49,3952772"
21/01/2006 5.00,2,42,"46,57175032"
21/01/2006 6.00,2,56,"72,37115024"
21/01/2006 7.00,2,68,"195,2607056"
21/01/2006 8.00,2,66,"186,54774072"
21/01/2006 9.00,2,64,"130,84787296"
21/01/2006 10.00,2,53,"72,84456144"
21/01/2006 11.00,2,34,"49,16568424"
21/01/2006 12.00,2,46,"64,83834824"
21/01/2006 13.00,2,44,"57,75685472"
21/01/2006 14.00,2,32,"42,39550256"
21/01/2006 15.00,2,41,"49,59628576"
21/01/2006 16.00,2,43,"50,6429528"
21/01/2006 17.00,2,42,"47,32010712"
21/01/2006 18.00,2,90,"180,20554112"
21/01/2006 19.00,2,89,"232,760188"
21/01/2006 20.00,3,97,"285,400416"
21/01/2006 21.00,3,86,"247,9047576"
21/01/2006 22.00,2,80,"165,86747224"
21/01/2006 23.00,2,64,"106,05489248"
22/01/2006 0.00,2,64,"91,05280512"
22/01/2006 1.00,,44,"47,96209936"
22/01/2006 2.00,2,,
22/01/2006 3.00,2,31,"36,92226872"
22/01/2006 4.00,2,28,"31,30896176"
22/01/2006 5.00,2,26,"31,57614464"
22/01/2006 6.00,2,37,"41,7534912"
22/01/2006 7.00,2,54,"83,0789812"
22/01/2006 8.00,2,60,"100,87088688"
22/01/2006 9.00,2,61,"158,81450576"
22/01/2006 10.00,2,44,"60,81123648"
22/01/2006 11.00,2,38,"50,81285312"
22/01/2006 12.00,2,27,"38,68356488"
22/01/2006 13.00,2,25,"38,64853704"
22/01/2006 14.00,2,21,"29,75647512"
22/01/2006 15.00,2,13,"18,87876296"
22/01/2006 16.00,1,13,"18,8346665"
22/01/2006 17.00,2,20,"27,17290424"
22/01/2006 18.00,2,29,"37,9585536"
22/01/2006 19.00,2,35,"44,70022736"
22/01/2006 20.00,1,39,"49,50032248"
22/01/2006 21.00,2,19,"25,59579104"
22/01/2006 22.00,1,18,"24,00051384"
22/01/2006 23.00,2,11,"17,28218751"
23/01/2006 0.00,1,10,"15,78937057"
23/01/2006 1.00,1,8,"13,26026874"
23/01/2006 2.00,2,7,"12,22917303"
23/01/2006 3.00,2,6,"11,37576522"
23/01/2006 4.00,2,6,"11,73891711"
23/01/2006 5.00,2,7,"12,71813262"
23/01/2006 6.00,2,11,"17,80486713"
23/01/2006 7.00,2,20,"34,76537976"
23/01/2006 8.00,2,30,"47,76627232"
23/01/2006 9.00,2,26,"44,49011768"
23/01/2006 10.00,3,31,"48,3862192"
23/01/2006 11.00,2,38,"53,0397404"
23/01/2006 12.00,2,44,"64,60879352"
23/01/2006 13.00,2,34,"50,39913456"
23/01/2006 14.00,2,32,"46,6534692"
23/01/2006 15.00,2,29,"43,13995888"
23/01/2006 16.00,2,31,"43,22685928"
23/01/2006 17.00,2,30,"42,23986576"
23/01/2006 18.00,2,32,"41,43833624"
23/01/2006 19.00,2,26,"33,11304848"
23/01/2006 20.00,2,25,"31,25965128"
23/01/2006 21.00,2,16,"20,57000344"
23/01/2006 22.00,2,13,"16,84251355"
23/01/2006 23.00,2,9,"12,30180418"
24/01/2006 0.00,2,9,"11,82840827"
24/01/2006 1.00,,7,"9,4821816"
24/01/2006 2.00,2,,
24/01/2006 3.00,2,10,"12,16432564"
24/01/2006 4.00,2,8,"9,92055922"
24/01/2006 5.00,2,7,"9,51201262"
24/01/2006 6.00,2,12,"15,82568518"
24/01/2006 7.00,3,20,"25,01863472"
24/01/2006 8.00,3,26,"33,40615808"
24/01/2006 9.00,3,28,"38,34242584"
24/01/2006 10.00,3,30,"40,5862152"
24/01/2006 11.00,3,27,"37,07658624"
24/01/2006 12.00,3,32,"43,78715176"
24/01/2006 13.00,3,29,"41,40200824"
24/01/2006 14.00,3,32,"43,97521608"
24/01/2006 15.00,3,25,"34,66941648"
24/01/2006 16.00,3,29,"37,74066208"
24/01/2006 17.00,2,29,"37,2607692"
24/01/2006 18.00,2,31,"37,96503528"
24/01/2006 19.00,3,27,"33,4360044"
24/01/2006 20.00,3,24,"28,9342004"
24/01/2006 21.00,3,21,"23,73073064"
24/01/2006 22.00,2,16,"18,53117474"
24/01/2006 23.00,2,13,"15,27576722"
25/01/2006 0.00,2,12,"13,42498563"
25/01/2006 1.00,2,8,"8,88038534"
25/01/2006 2.00,3,6,"7,21506966"
25/01/2006 3.00,3,6,"7,05683828"
25/01/2006 4.00,2,7,"7,7442367"
25/01/2006 5.00,2,9,"10,01264497"
25/01/2006 6.00,2,13,"15,50014424"
25/01/2006 7.00,2,25,"29,50487504"
25/01/2006 8.00,2,41,"49,15274"
25/01/2006 9.00,2,42,"55,89181344"
25/01/2006 10.00,2,58,"93,86721176"
25/01/2006 11.00,2,56,"94,98781584"
25/01/2006 12.00,2,45,"72,17792352"
25/01/2006 13.00,2,45,"70,08070808"
25/01/2006 14.00,2,62,"98,29899832"
25/01/2006 15.00,2,48,"63,18989832"
25/01/2006 16.00,2,45,"50,49251664"
25/01/2006 17.00,2,81,"123,83643512"
25/01/2006 18.00,2,90,"171,4626152"
25/01/2006 19.00,2,74,"107,84733512"
25/01/2006 20.00,2,48,"62,6425692"
25/01/2006 21.00,2,27,"30,88612296"
25/01/2006 22.00,2,22,"27,80065208"
25/01/2006 23.00,2,25,"30,44387736"
26/01/2006 0.00,2,18,"22,3974548"
26/01/2006 1.00,,9,"9,56907818"
26/01/2006 2.00,1,,
26/01/2006 3.00,2,10,"10,35374959"
26/01/2006 4.00,1,10,"10,93609126"
26/01/2006 5.00,2,30,"33,20511128"
26/01/2006 6.00,2,48,"59,03049528"
26/01/2006 7.00,2,80,"119,44485792"
26/01/2006 8.00,2,96,"238,9156808"
26/01/2006 9.00,2,86,"174,82048872"
26/01/2006 10.00,3,59,"103,00831168"
26/01/2006 11.00,3,33,"54,69857248"
26/01/2006 12.00,3,25,"44,31761704"
26/01/2006 13.00,3,30,"48,58206536"
26/01/2006 14.00,3,29,"43,112732"
26/01/2006 15.00,3,29,"43,0829048"
26/01/2006 16.00,2,38,"52,3432944"
26/01/2006 17.00,2,60,"75,8665348"
26/01/2006 18.00,2,90,"128,5535112"
26/01/2006 19.00,2,89,"154,87691384"
26/01/2006 20.00,2,70,"106,6203856"
26/01/2006 21.00,2,75,"107,38818744"
26/01/2006 22.00,2,78,"126,2760324"
26/01/2006 23.00,2,64,"88,34342464"
27/01/2006 0.00,2,69,"87,79347608"
27/01/2006 1.00,2,49,"56,72575136"
27/01/2006 2.00,2,36,"38,43192656"
27/01/2006 3.00,2,42,"44,4447268"
27/01/2006 4.00,2,26,"27,23775928"
27/01/2006 5.00,2,57,"69,47760592"
27/01/2006 6.00,2,71,"131,6065928"
27/01/2006 7.00,2,73,"105,37269088"
27/01/2006 8.00,2,82,"141,79044016"
27/01/2006 9.00,2,74,"108,81616464"
27/01/2006 10.00,2,62,"85,01147784"
