NetC,SIMAGE Brindisi,,
04/01/2006 19.00,"0,751062","66,278408",
04/01/2006 20.00,"0,104717","60,269277","32,234421"
04/01/2006 21.00,"0,158668","53,642344",
04/01/2006 22.00,"0,100778","17,580968","32,722832"
04/01/2006 23.00,"0,088351","6,072743",
05/01/2006 0.00,"0,045919","5,26417","31,746031"
05/01/2006 1.00,"0,060164","1,670361",
05/01/2006 2.00,"0,086836","2,119425","31,25762"
05/01/2006 3.00,"0,044403","6,668467",
05/01/2006 4.00,"0,057739","3,766424","1,953602"
05/01/2006 5.00,"0,069257","6,266127",
05/01/2006 6.00,"0,03137","2,902043","4,395605"
05/01/2006 7.00,"0,096838","5,42251",
05/01/2006 8.00,"0,087442","11,19414","4,884005"
05/01/2006 9.00,"0,067134","17,834052",
05/01/2006 10.00,"0,045464","0,981191","23,93162"
05/01/2006 11.00,"0,10684","3,121382",
05/01/2006 12.00,"0,245049","10,215548",
05/01/2006 13.00,"0,106234","2,811191",
05/01/2006 14.00,"0,109871","2,195999","26,37361"
05/01/2006 15.00,"0,107143","3,297894",
05/01/2006 16.00,"0,107901","5,627574","29,30402"
05/01/2006 17.00,"0,105931","3,191468",
05/01/2006 18.00,"0,10684","0,574957","26,37361"
05/01/2006 19.00,"0,106234","7,244723",
05/01/2006 20.00,"0,105779","32,326087","36,630032"
05/01/2006 21.00,"0,107901","28,018448",
05/01/2006 22.00,"0,105172","10,746377","37,118431"
05/01/2006 23.00,"0,10002","3,244681",
06/01/2006 0.00,"0,0785","1,637915","26,86202"
06/01/2006 1.00,,"5,800191",
06/01/2006 2.00,"0,071678",,"3,418803"
06/01/2006 3.00,"0,066127","8,110404",
06/01/2006 4.00,"0,073367","8,050701","3,907204"
06/01/2006 5.00,"0,04863","8,011766",
06/01/2006 6.00,"0,070351","8,867063","4,884005"
06/01/2006 7.00,"0,063352","5,192787",
06/01/2006 8.00,"0,082539","3,706724","2,442003"
06/01/2006 9.00,"0,078556","1,584702",
06/01/2006 10.00,"0,071316","0,259575","2,442003"
06/01/2006 11.00,"0,085675","0,221935",
06/01/2006 12.00,"0,07397","0,630767","2,442003"
06/01/2006 13.00,"0,090141",,
06/01/2006 14.00,"0,08459","1,415977","24,42001"
06/01/2006 15.00,"0,086037","7,246021",
06/01/2006 16.00,"0,086037","7,576979","6,837607"
06/01/2006 17.00,"0,080245","4,593169",
06/01/2006 18.00,"0,081573","2,218063","4,884005"
06/01/2006 19.00,"0,071798","10,71523",
06/01/2006 20.00,"0,076505","0,674894","10,74481"
06/01/2006 21.00,"0,041511","0,114213",
06/01/2006 22.00,"0,070833","4,093488","31,746031"
06/01/2006 23.00,"0,072522","2,979915",
07/01/2006 0.00,"0,078073","0,790404","24,908421"
07/01/2006 1.00,"0,035236","5,757361",
07/01/2006 2.00,"0,040787","4,11036","6,837607"
07/01/2006 3.00,"0,04863","3,626255",
07/01/2006 4.00,"0,062025","8,173999","1,465201"
07/01/2006 5.00,"0,042355","6,979956",
07/01/2006 6.00,"0,042476","8,663297","4,395605"
07/01/2006 7.00,"0,03234","3,75734",
07/01/2006 8.00,"0,035839","2,08568","27,83882"
07/01/2006 9.00,"0,018101","3,453638",
07/01/2006 10.00,"0,038011","2,97602","31,25762"
07/01/2006 11.00,"0,049595","2,147979",
07/01/2006 12.00,"0,055629","0,798191","26,37361"
07/01/2006 13.00,"0,085917","0,256979",
07/01/2006 14.00,"0,086641","1,094106","34,67643"
07/01/2006 15.00,"0,086158","1,471787",
07/01/2006 16.00,"0,080486","0,782618","17,094"
07/01/2006 17.00,"0,081453","5,060404",
07/01/2006 18.00,"0,052129","0,651531","35,164822"
07/01/2006 19.00,"0,020755","1,05517",
07/01/2006 20.00,"0,039459","7,994892","37,118431"
07/01/2006 21.00,"0,034994","3,783297",
07/01/2006 22.00,"0,06842","1,069447","38,09523"
07/01/2006 23.00,"0,033788","17,401861",
08/01/2006 0.00,"0,006154","6,168787","33,211231"
08/01/2006 1.00,,"6,385531",
08/01/2006 2.00,"0,13269",,"37,118431"
08/01/2006 3.00,"0,009167","2,85532",
08/01/2006 4.00,,"2,978617","35,164822"
08/01/2006 5.00,"0,006996","10,328465",
08/01/2006 6.00,"0,008926","5,596424","7,814408"
08/01/2006 7.00,"0,024608","0,892936",
08/01/2006 8.00,,"5,802786","31,25762"
08/01/2006 9.00,"0,020748","5,122701",
08/01/2006 10.00,"0,050664","2,294637","30,28083"
08/01/2006 11.00,"0,129192","0,517852",
08/01/2006 12.00,"0,168878","0,005191","26,86202"
08/01/2006 13.00,"0,171049","0,129788",
08/01/2006 14.00,"0,166948","0,038936","28,81562"
08/01/2006 15.00,"0,166104","0,648937",
08/01/2006 16.00,"0,13076","5,299213","32,234421"
08/01/2006 17.00,"0,147889","4,438723",
08/01/2006 18.00,"0,093848","33,039915","34,67643"
08/01/2006 19.00,"0,248251","56,946719",
08/01/2006 20.00,"0,139928","58,706638","36,141621"
08/01/2006 21.00,"0,225332","62,186233",
08/01/2006 22.00,"0,147286","38,6623","36,630032"
08/01/2006 23.00,"0,070205","1,369254",
09/01/2006 0.00,"0,00193","5,87287","31,746031"
09/01/2006 1.00,"0,000724","4,780063",
09/01/2006 2.00,"0,002171","2,233638","37,606831"
09/01/2006 3.00,"0,003618","1,746937",
09/01/2006 4.00,"0,110253","3,621064","30,76923"
09/01/2006 5.00,"1,18649","5,270659",
09/01/2006 6.00,"1,264054","8,18438","28,81562"
09/01/2006 7.00,"3,804465","35,947147",
09/01/2006 8.00,"18,536879","52,742768","31,25762"
09/01/2006 9.00,"2,777444","28,044411",
09/01/2006 10.00,"2,663451","0,817659","31,746031"
09/01/2006 11.00,"3,629676","2,341361",
09/01/2006 12.00,"4,691799","0,042829","32,234421"
09/01/2006 13.00,"3,479494","1,431553",
09/01/2006 14.00,"3,361883","0,724212","27,35042"
09/01/2006 15.00,"2,876962","0,403638",
09/01/2006 16.00,"2,741255","1,174574","6,349206"
09/01/2006 17.00,"2,160435","3,07466",
09/01/2006 18.00,"1,341978","7,808","28,81562"
09/01/2006 19.00,"1,013993","2,979915",
09/01/2006 20.00,"1,466466","14,874912","31,25762"
09/01/2006 21.00,"1,603137","31,01654",
09/01/2006 22.00,"1,25947","1,911767","29,79241"
09/01/2006 23.00,"2,357661","1,657383",
10/01/2006 0.00,"3,075997","7,530253","28,327221"
10/01/2006 1.00,,"8,254467",
10/01/2006 2.00,"4,69268",,"28,327221"
10/01/2006 3.00,"4,70713","4,072722",
10/01/2006 4.00,"3,471644","7,248615","25,39682"
10/01/2006 5.00,"2,516129","7,120127",
10/01/2006 6.00,"2,783457","5,67819","4,884005"
10/01/2006 7.00,"3,977398","36,851752",
10/01/2006 8.00,"6,363475","49,047867","25,88522"
10/01/2006 9.00,"6,081699","32,631088",
10/01/2006 10.00,"6,40502","1,158999","38,09523"
10/01/2006 11.00,"5,700577","1,647001",
10/01/2006 12.00,"4,221244","0,033745","63,980461"
10/01/2006 13.00,"5,718638","3,469211",
10/01/2006 14.00,"3,802191","4,693105","34,67643"
10/01/2006 15.00,"2,387884","2,170042",
10/01/2006 16.00,"2,071788","2,655447","32,234421"
10/01/2006 17.00,"2,290346","6,17268",
10/01/2006 18.00,"2,358983","12,406357","35,164822"
10/01/2006 19.00,"1,758581","9,373232",
10/01/2006 20.00,"1,901155","3,740466","37,118431"
10/01/2006 21.00,"2,391497","2,676213",
10/01/2006 22.00,"3,229604","2,439999","37,606831"
10/01/2006 23.00,"2,154875","5,867679",
11/01/2006 0.00,"3,168191","6,456914","30,28083"
11/01/2006 1.00,"2,463748","5,367999",
11/01/2006 2.00,"2,700368","5,942957","18,07081"
11/01/2006 3.00,"1,894714","7,453679",
11/01/2006 4.00,"0,91656","7,002019","2,930403"
11/01/2006 5.00,"2,407754","8,796978",
11/01/2006 6.00,"2,149457","6,899488","2,930403"
11/01/2006 7.00,"2,489035","4,96436",
11/01/2006 8.00,"2,722043","46,768819","7,326007"
11/01/2006 9.00,"4,313363","48,350921",
11/01/2006 10.00,"4,031586","4,917637","31,746031"
11/01/2006 11.00,"3,524026","2,105148",
11/01/2006 12.00,"6,096148","1,637915","38,09523"
11/01/2006 13.00,"6,332769","2,234937",
11/01/2006 14.00,"5,561494","2,273873","36,141621"
11/01/2006 15.00,"3,547507","4,018213",
11/01/2006 16.00,"2,989371","2,123318","28,81562"
11/01/2006 17.00,"3,21696","9,648382",
11/01/2006 18.00,"3,466225","1,308255","35,653221"
11/01/2006 19.00,"3,339786","2,236233",
11/01/2006 20.00,"4,376583","2,053234","33,211231"
11/01/2006 21.00,"5,724058","1,614552",
11/01/2006 22.00,"5,353772","7,467956","33,699631"
11/01/2006 23.00,"4,681842","8,363487",
12/01/2006 0.00,"5,243591","8,536104","32,722832"
12/01/2006 1.00,,"5,871574",
12/01/2006 2.00,"5,499576",,"35,653221"
12/01/2006 3.00,"4,417453","7,238231",
12/01/2006 4.00,"5,216335","7,348552","6,349206"
12/01/2006 5.00,"5,278067","7,393977",
12/01/2006 6.00,"5,888123","8,963106","28,81562"
12/01/2006 7.00,"6,060609","7,562702",
12/01/2006 8.00,"6,556278","2,035064","31,746031"
12/01/2006 9.00,"5,779184","9,406977",
12/01/2006 10.00,"4,83142","4,133723","36,630032"
12/01/2006 11.00,"5,445106","1,103191",
12/01/2006 12.00,"4,424715","0,914999","37,606831"
12/01/2006 13.00,"4,776951","0,033745",
12/01/2006 14.00,"5,176391","2,223254","36,630032"
12/01/2006 15.00,"4,419269","1,014935",
12/01/2006 16.00,"4,366615","0,376383","33,699631"
12/01/2006 17.00,"3,843711","0,89034",
12/01/2006 18.00,"3,420667","1,753424","31,746031"
12/01/2006 19.00,"5,357956","2,407552",
12/01/2006 20.00,"4,571783","1,997424","35,653221"
12/01/2006 21.00,"5,666614","2,354341",
12/01/2006 22.00,"7,006557","5,784616","36,630032"
12/01/2006 23.00,"4,622621","5,723616",
13/01/2006 0.00,"2,576395","13,025439","31,746031"
13/01/2006 1.00,"1,726674","30,820558",
13/01/2006 2.00,"3,262707","5,168126","34,18803"
13/01/2006 3.00,"6,320245","6,523105",
13/01/2006 4.00,"6,607116","7,763871","5,860806"
13/01/2006 5.00,"6,461865","8,678871",
13/01/2006 6.00,"5,906279","7,666531","18,07081"
13/01/2006 7.00,"4,148739","8,591914",
13/01/2006 8.00,"5,051112","10,619186","33,211231"
13/01/2006 9.00,"4,37751","5,968914",
13/01/2006 10.00,"3,629465","0,625574","32,722832"
13/01/2006 11.00,"3,028489","0,279041",
13/01/2006 12.00,"3,012147","1,588595","37,118431"
13/01/2006 13.00,"2,763404","0,561979",
13/01/2006 14.00,"1,94092","1,476978","18,55921"
13/01/2006 15.00,"1,679468","1,84817",
13/01/2006 16.00,"1,684915","1,487362","15,62881"
13/01/2006 17.00,"1,688545","1,016234",
13/01/2006 18.00,"1,697624","4,968253","32,722832"
13/01/2006 19.00,"1,677652","2,665829",
13/01/2006 20.00,"1,656227","3,085041","37,118431"
13/01/2006 21.00,"1,693992","0,976",
13/01/2006 22.00,"1,674021","2,23234","25,88522"
13/01/2006 23.00,"1,684915","6,340104",
14/01/2006 0.00,"1,566081","5,898829","28,81562"
14/01/2006 1.00,,"6,829402",
14/01/2006 2.00,"2,383552",,"6,349206"
14/01/2006 3.00,"3,259805","8,855382",
14/01/2006 4.00,"3,614995","7,393977","0,4884"
14/01/2006 5.00,"3,521239","6,78917",
14/01/2006 6.00,"3,555496","8,412807","10,25641"
14/01/2006 7.00,"4,002637","1,573021",
14/01/2006 8.00,"4,462399","1,863745","36,141621"
14/01/2006 9.00,"4,988872","3,962404",
14/01/2006 10.00,"5,3675","0,698255","29,30402"
14/01/2006 11.00,"4,895117","4,449105",
14/01/2006 12.00,"4,886102","6,255743","30,76923"
14/01/2006 13.00,"6,333902","5,743084",
14/01/2006 14.00,"7,089355","3,637936","32,722832"
14/01/2006 15.00,"6,739575","4,519192",
14/01/2006 16.00,"4,788741","2,654148","37,118431"
14/01/2006 17.00,"3,937729","1,887106",
14/01/2006 18.00,"3,613191","6,288191","37,606831"
14/01/2006 19.00,"3,91429","43,909593",
14/01/2006 20.00,"4,817589","82,148793","69,352852"
14/01/2006 21.00,"3,059674","78,464154",
14/01/2006 22.00,"2,266358","58,035643","100,610397"
14/01/2006 23.00,"0,71122","46,530008",
15/01/2006 0.00,"0,904439","33,243675","88,88887"
15/01/2006 1.00,"0,395455","3,512042",
15/01/2006 2.00,"0,869552","1,827403","69,352852"
15/01/2006 3.00,"0,365797","4,028595",
15/01/2006 4.00,"0,378508","6,903381","61,53846"
15/01/2006 5.00,"0,37992","7,48353",
15/01/2006 6.00,"0,309303","3,631446","58,608051"
15/01/2006 7.00,"0,334725","2,367318",
15/01/2006 8.00,"0,327663","5,055211","37,606831"
15/01/2006 9.00,"0,397048","13,412202",
15/01/2006 10.00,"0,782889","2,308914","57,142841"
15/01/2006 11.00,"4,907738","2,019489",
15/01/2006 12.00,"5,252109","1,431553","57,142841"
15/01/2006 13.00,"5,163762","6,456914",
15/01/2006 14.00,"7,258836","28,306567","37,606831"
15/01/2006 15.00,"3,027219","3,561362",
15/01/2006 16.00,"2,277176","3,50166","37,606831"
15/01/2006 17.00,"2,269964","4,137618",
15/01/2006 18.00,"2,26095","4,918935","36,630032"
15/01/2006 19.00,"2,266358","4,543851",
15/01/2006 20.00,"2,284388","4,251829","28,81562"
15/01/2006 21.00,"2,280782","11,822312",
15/01/2006 22.00,"2,106253","61,227097","37,118431"
15/01/2006 23.00,"2,054146","35,17621",
16/01/2006 0.00,"2,640388","58,530123","32,234421"
16/01/2006 1.00,,"46,195144",
16/01/2006 2.00,"2,315638",,"33,211231"
16/01/2006 3.00,"1,802536","40,963434",
16/01/2006 4.00,"0,679833","25,815958","35,653221"
16/01/2006 5.00,"1,38094","30,742683",
16/01/2006 6.00,"2,471385","35,574651","35,164822"
16/01/2006 7.00,"2,966312","39,390391",
16/01/2006 8.00,"6,869639","59,582699","37,118431"
16/01/2006 9.00,"8,29773","70,708054",
16/01/2006 10.00,"3,134217","60,234231","63,003651"
16/01/2006 11.00,"3,603627","40,838828",
16/01/2006 12.00,"7,570144","2,730724","57,142841"
16/01/2006 13.00,"9,767345","8,328445",
16/01/2006 14.00,"8,826719","0,613893","36,141621"
16/01/2006 15.00,"6,36051","6,098702",
16/01/2006 16.00,"5,058799","3,24987","33,211231"
16/01/2006 17.00,"4,017069","27,412343",
16/01/2006 18.00,"4,168725","66,127873","54,700851"
16/01/2006 19.00,"4,528456","54,622224",
16/01/2006 20.00,"5,407245","60,62619","63,980461"
16/01/2006 21.00,"5,57515","65,610013",
16/01/2006 22.00,"4,869229","59,961676","97,680092"
16/01/2006 23.00,"3,197406","40,40404",
17/01/2006 0.00,"2,746051","38,899813","100,610397"
17/01/2006 1.00,"2,085716","44,418358",
17/01/2006 2.00,"0,533383","20,540118","87,423691"
17/01/2006 3.00,"0,548458","6,203828",
17/01/2006 4.00,"0,695931","18,946335","65,934052"
17/01/2006 5.00,"0,410102","10,064999",
17/01/2006 6.00,"2,080089","22,033964","65,934052"
17/01/2006 7.00,"3,652373","44,366449",
17/01/2006 8.00,"11,424724","67,36735","66,42247"
17/01/2006 9.00,"4,982971","55,410046",
17/01/2006 10.00,"2,18029","44,994615","91,81929"
17/01/2006 11.00,"1,764802","6,742446",
17/01/2006 12.00,"2,551095","10,219442","67,399261"
17/01/2006 13.00,"2,637725","10,154551",
17/01/2006 14.00,"2,404825","3,386148","37,606831"
17/01/2006 15.00,"2,285667","2,014298",
17/01/2006 16.00,"1,208761","2,303723","35,653221"
17/01/2006 17.00,"1,079373","9,166871",
17/01/2006 18.00,"0,790505","8,685359","32,722832"
17/01/2006 19.00,"0,695088","38,45854",
17/01/2006 20.00,"0,933795","27,40066","37,118431"
17/01/2006 21.00,"0,888148","47,058236",
17/01/2006 22.00,"0,59224","46,171778","98,16848"
17/01/2006 23.00,"0,888329","21,421359",
18/01/2006 0.00,"0,613905","27,218963","100,122101"
18/01/2006 1.00,,"26,27151",
18/01/2006 2.00,"0,68997",,"88,88887"
18/01/2006 3.00,"0,400997","4,197318",
18/01/2006 4.00,"0,416273","6,062361","58,608051"
18/01/2006 5.00,"0,399725","6,110383",
18/01/2006 6.00,"0,870737","22,009299","33,211231"
18/01/2006 7.00,"0,763805","11,142224",
18/01/2006 8.00,"2,44963","46,724688","34,18803"
18/01/2006 9.00,"2,267771","43,601992",
18/01/2006 10.00,"2,30778","56,70661","36,141621"
18/01/2006 11.00,"1,578892","37,945877",
18/01/2006 12.00,"0,593403","5,011084","31,25762"
18/01/2006 13.00,"1,344478","6,417978",
18/01/2006 14.00,"1,471233","8,385552","31,25762"
18/01/2006 15.00,"0,91893","8,443956",
18/01/2006 16.00,"1,20481","7,030573","28,81562"
18/01/2006 17.00,"0,989854","5,966318",
18/01/2006 18.00,"1,072963","5,098042","1,953602"
18/01/2006 19.00,"1,188625","5,483509",
18/01/2006 20.00,"0,56467","7,039657","24,42001"
18/01/2006 21.00,"0,897107","8,68017",
18/01/2006 22.00,"1,075873","6,08702","3,418803"
18/01/2006 23.00,"0,99931","4,290765",
19/01/2006 0.00,"0,779081","4,377723","25,39682"
19/01/2006 1.00,"0,923113","4,127234",
19/01/2006 2.00,"0,385722","4,791743","4,884005"
19/01/2006 3.00,"0,986398","6,813829",
19/01/2006 4.00,"1,578711","7,246021","3,418803"
19/01/2006 5.00,"1,132795","6,979956",
19/01/2006 6.00,"0,676512","6,865743","0,976801"
19/01/2006 7.00,"1,126611","5,571765",
19/01/2006 8.00,"1,315381","2,077893","1,953602"
19/01/2006 9.00,"1,431588","3,125277",
19/01/2006 10.00,"1,066416","0,981191","1,465201"
19/01/2006 11.00,"1,638725","0,036339",
19/01/2006 12.00,"1,344478",,"1,465201"
19/01/2006 13.00,"1,78221","0,016871",
19/01/2006 14.00,"2,074093","2,168743","30,28083"
19/01/2006 15.00,"1,949884","2,129809",
19/01/2006 16.00,"1,351024","2,586659","25,39682"
19/01/2006 17.00,"0,917111","1,130447",
19/01/2006 18.00,"1,772026","3,953318","4,884005"
19/01/2006 19.00,"1,174622","3,139552",
19/01/2006 20.00,"0,831455","2,722935","27,35042"
19/01/2006 21.00,"0,479014","2,816382",
19/01/2006 22.00,"0,675421","1,044788","30,28083"
19/01/2006 23.00,"0,523934","9,015021",
20/01/2006 0.00,"1,090967","8,556871","26,37361"
20/01/2006 1.00,,"5,399148",
20/01/2006 2.00,"0,891271",,"24,42001"
20/01/2006 3.00,"0,500403","5,722318",
20/01/2006 4.00,"0,474951","5,676892","3,907204"
20/01/2006 5.00,"0,466315","4,203807",
20/01/2006 6.00,"0,444499","5,236914","1,465201"
20/01/2006 7.00,"0,545398","4,526977",
20/01/2006 8.00,"1,275322","8,350509","2,442003"
20/01/2006 9.00,"2,060695","51,714991",
20/01/2006 10.00,"2,177955","21,160485","29,79241"
20/01/2006 11.00,"1,53075","5,828743",
20/01/2006 12.00,"1,777088","6,569829","30,76923"
20/01/2006 13.00,"1,222601","1,312148",
20/01/2006 14.00,"1,448031","3,753447","30,28083"
20/01/2006 15.00,"0,475859","1,476978",
20/01/2006 16.00,"1,075798","1,500341","25,88522"
20/01/2006 17.00,"0,514038","2,523064",
20/01/2006 18.00,"0,895362","52,779248","28,327221"
20/01/2006 19.00,"2,129779","68,457554",
20/01/2006 20.00,"0,970354","63,722921","38,09523"
20/01/2006 21.00,"2,557462","55,467137",
20/01/2006 22.00,"1,0458","54,501538","67,88765"
20/01/2006 23.00,"0,407685","50,262673",
21/01/2006 0.00,"0,967627","53,066087","63,492062"
21/01/2006 1.00,"1,071706","44,731145",
21/01/2006 2.00,"0,460407","41,315143","97,680092"
21/01/2006 3.00,"0,48904","11,736655",
21/01/2006 4.00,"0,361326","6,816425","65,445663"
21/01/2006 5.00,"0,328602","6,681445",
21/01/2006 6.00,"0,215432","5,84302","37,606831"
21/01/2006 7.00,"0,91036","22,65045",
21/01/2006 8.00,"0,920813","26,070349","55,189251"
21/01/2006 9.00,"2,335666","56,264039",
21/01/2006 10.00,"0,404958","17,15787","63,980461"
21/01/2006 11.00,"0,44768","1,697617",
21/01/2006 12.00,"0,53449","1,67166","36,630032"
21/01/2006 13.00,"0,446318","4,124637",
21/01/2006 14.00,"0,525854","5,927383","26,37361"
21/01/2006 15.00,"0,537217","6,454319",
21/01/2006 16.00,"0,422683","5,601617","4,884005"
21/01/2006 17.00,"0,504948","2,894255",
21/01/2006 18.00,"0,436318","25,792611","3,418803"
21/01/2006 19.00,"0,509493","39,809618",
21/01/2006 20.00,"0,814915","48,585829","56,654442"
21/01/2006 21.00,"1,267141","55,373697",
21/01/2006 22.00,"2,332031","64,972762","65,445663"
21/01/2006 23.00,"3,685072","62,839063",
22/01/2006 0.00,"1,281231","35,647347","66,42247"
22/01/2006 1.00,,"35,621381",
22/01/2006 2.00,"0,943158",,"69,352852"
22/01/2006 3.00,"1,150179","22,096256",
22/01/2006 4.00,"1,084243","26,036601","63,492062"
22/01/2006 5.00,"0,438792","1,715787",
22/01/2006 6.00,"0,412237","0,600915","56,654442"
22/01/2006 7.00,"0,628832","4,46468",
22/01/2006 8.00,"0,72295","7,003317","40,04884"
22/01/2006 9.00,"0,616729","5,550999",
22/01/2006 10.00,"0,574639","3,904","33,699631"
22/01/2006 11.00,"1,134643","3,06168",
22/01/2006 12.00,"0,799182","2,507488","37,606831"
22/01/2006 13.00,"2,085389","1,523701",
22/01/2006 14.00,"2,716931","0,828043","29,79241"
22/01/2006 15.00,"2,17499","6,607466",
22/01/2006 16.00,"2,176797","7,248615","25,88522"
22/01/2006 17.00,"2,173184","5,567872",
22/01/2006 18.00,"2,167764","3,835212","30,28083"
22/01/2006 19.00,"2,165777","6,508828",
22/01/2006 20.00,"1,889568","6,702212","33,699631"
22/01/2006 21.00,"2,008615","7,192806",
22/01/2006 22.00,"2,171377","7,295339","36,141621"
22/01/2006 23.00,"2,165958","7,133106",
23/01/2006 0.00,"2,453186","4,5127","35,164822"
23/01/2006 1.00,"2,193055","4,560722",
23/01/2006 2.00,"2,227377","4,816405","36,141621"
23/01/2006 3.00,"2,646479","4,018213",
23/01/2006 4.00,"3,117967","4,693105","27,83882"
23/01/2006 5.00,"3,939911","6,367359",
23/01/2006 6.00,"3,264291","6,806041","32,234421"
23/01/2006 7.00,"2,184023","6,647701",
23/01/2006 8.00,"2,254474","1,704106","26,86202"
23/01/2006 9.00,"2,725964","2,338766",
23/01/2006 10.00,"2,621188","2,833255","25,88522"
23/01/2006 11.00,"3,513584","2,565894",
23/01/2006 12.00,"3,864039","2,284255","1,465201"
23/01/2006 13.00,"4,729338","2,380298",
23/01/2006 14.00,"5,20444","1,787169","4,395605"
23/01/2006 15.00,"5,356184","0,595724",
23/01/2006 16.00,"5,901737","2,286849","5,860806"
23/01/2006 17.00,"6,844715","0,443873",
23/01/2006 18.00,"7,402914","0,554191","30,28083"
23/01/2006 19.00,"8,333246","0,144063",
23/01/2006 20.00,"9,296095","1,388724","30,76923"
