,Regione Puglia,,,,,,
,Bari Via Caldarola,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



07/01/2006 19.00,"2,32242934","73,97610216","149,99508072","1,34913874","6,43507799","41,75471115","5,43535752"
07/01/2006 20.00,"2,27270109","68,70674488","149,2247168","1,3953205","3,70852745","41,75471115","6,2489565"
07/01/2006 21.00,"2,03806393","62,69111488","138,06813944","1,33952982","3,40109994","41,75471115","5,8879215"
07/01/2006 22.00,"2,19702815","59,10898288","131,82578448","1,31306801","2,72505828","41,75471115","5,302638"
07/01/2006 23.00,"1,8610144","53,2270208","99,68286568","1,11578341","3,81299363","41,75471115","4,5688725"
08/01/2006 0.00,"1,70064164","51,53329472","95,6414904","1,00966589","2,89668015","41,75471115","3,977487"
08/01/2006 1.00,,"46,44433464","80,1283828","0,90432077","6,96636045","41,43806076","3,5884845"
08/01/2006 2.00,"0,88012909",,,"0,88138425","5,63517077","41,43806076","4,3024185"
08/01/2006 3.00,"0,73475708","44,5689112","67,3415004",,"6,69922796","41,43806076","3,8244285"
08/01/2006 4.00,"0,89161509","40,04324544","54,7284188","0,73881504","11,57477654","41,43806076","3,163887"
08/01/2006 5.00,"0,81121107","37,50460656","51,7622376","0,65063037",,"41,43806076","4,2607215"
08/01/2006 6.00,"0,71322007","33,21643032","40,67051528","0,60159552","14,84175861","41,43806076","2,7321705"
08/01/2006 7.00,"0,82754307","35,04254328","42,94023136","0,57329767","9,16493424","41,43806076","2,5358895"
08/01/2006 8.00,"0,83382508","37,44099432","71,50090344","0,6871438","1,72055982","41,43806076","2,954385"
08/01/2006 9.00,"1,0149121","39,995216","79,45524408","0,88525904","7,23804554","41,43806076","3,5620425"
08/01/2006 10.00,"1,13444011","42,27818224","69,38164264","0,92921565","23,72164725","41,43806076","5,030082"
08/01/2006 11.00,"1,29650313","44,66236976","67,8265748","0,99286426","32,28322965","41,43806076","5,234499"
08/01/2006 12.00,"1,36739413","48,98427368","69,06518752","1,08833718","35,48847645","41,43806076","5,89605852"
08/01/2006 13.00,"1,42554314","48,781812","65,28579448","0,99387315","38,77216665","41,43806076","5,2156845"
08/01/2006 14.00,"2,06087219","55,29842424","78,74061496","1,01530799","33,93840135","41,43806076","4,730067"
08/01/2006 15.00,"1,64108815","42,78694632","49,31225816","0,79827664","45,6682233","41,43806076","3,5508555"
08/01/2006 16.00,"1,30834813","31,93802888","31,51907144","0,65260737","58,17230475","41,43806076","3,818835"
08/01/2006 17.00,"0,95730108","38,25217944","41,54208136","0,60062624","42,55329015","41,43806076","3,575772"
08/01/2006 18.00,"0,89071708","52,47424728","65,93298736","0,71629326","26,1777516","41,43806076","2,8999755"
08/01/2006 19.00,"1,26096711","60,79362696","88,38233384","0,94216346","18,67915308","41,43806076","3,7013715"
