"NetC","SIMAGE Brindisi","","",""
"2013-11-01 04:00:00","1.61123107","13.81238169","8.74491822","38.33943176"
"2013-11-01 05:00:00","1.839813","15.97560128","9.47414164",""
"2013-11-01 06:00:00","1.89003857","15.14534778","9.14463521","37.11843109"
"2013-11-01 07:00:00","1.60677457","12.05022322","7.99671821",""
"2013-11-01 08:00:00","1.43885262","13.23804174","8.60465964","29.30401993"
"2013-11-01 09:00:00","2.10456455","17.65995856","10.68445294",""
"2013-11-01 10:00:00","3.13931323","14.55032","9.91569892","42.00244141"
"2013-11-01 11:00:00","3.57007985","11.19791289","7.75961491",""
"2013-11-01 12:00:00","3.10194458","9.77601011","6.60764638","31.50181961"
"2013-11-01 13:00:00","3.37804686","10.80148072","7.42877964",""
"2013-11-01 14:00:00","3.64323266","10.36369964","7.24450108","16.60560989"
"2013-11-01 15:00:00","2.98422175","9.53160106","6.9023525",""
"2013-11-01 16:00:00","2.48799185","11.33627859","7.57733248","9.27960968"
"2013-11-01 17:00:00","2.52446045","16.66571665","10.38677557",""
"2013-11-01 18:00:00","2.17896013","21.57888936","11.63715856","19.04759979"
"2013-11-01 19:00:00","2.1094553","25.84203752","9.34865517",""
"2013-11-01 20:00:00","1.87006469","30.1072124","12.17339617","24.90842056"
"2013-11-01 21:00:00","1.88692553","33.73557656","19.01813629",""
"2013-11-01 22:00:00","1.50056214","32.56201008","14.44581964","30.03663063"
"2013-11-01 23:00:00","1.70349026","30.88027224","12.47555144",""
"2013-11-02 00:00:00","1.63821818","30.5870288","13.16605112","48.35165024"
"2013-11-02 01:00:00","1.71778724","","",""
"2013-11-02 02:00:00","","25.6208","14.47343466","42.97924042"
"2013-11-02 03:00:00","1.59017103","23.60279872","11.79231736",""
"2013-11-02 04:00:00","1.05808477","20.6158532","8.44488718","35.16482162"
"2013-11-02 05:00:00","1.61597842","24.51052072","12.25921629",""
"2013-11-02 06:00:00","1.85141596","35.78273584","15.91772886","25.39682007"
"2013-11-02 07:00:00","1.50313617","35.93401328","17.53161938",""
"2013-11-02 08:00:00","1.67587972","37.27180144","16.14189366","30.03663063"
"2013-11-02 09:00:00","2.19022239","22.13791992","9.80337466",""
"2013-11-02 10:00:00","3.08304872","12.93126326","5.91564196","33.94382095"
"2013-11-02 11:00:00","3.22788071","9.57386965","5.31133142",""
"2013-11-02 12:00:00","2.63148242","12.14070479","7.49312418","49.57265091"
"2013-11-02 13:00:00","2.4363791","8.07861299","5.04021746",""
"2013-11-02 14:00:00","2.48299228","5.64864072","3.68323665","26.37360954"
"2013-11-02 15:00:00","2.57430566","4.54851225","2.96970884",""
"2013-11-02 16:00:00","2.47048623","4.77174398","3.0350935","15.14041042"
"2013-11-02 17:00:00","2.27219055","7.63379958","4.69117039",""
"2013-11-02 18:00:00","1.64292892","15.32792084","8.24463578","19.53602028"
"2013-11-02 19:00:00","1.96510232","24.45870552","8.9655592",""
"2013-11-02 20:00:00","1.93440926","20.78474016","9.03123258","31.50181961"
"2013-11-02 21:00:00","1.95390922","34.7374072","14.63141557",""
"2013-11-02 22:00:00","1.77277948","47.30452432","15.97476","41.26984024"
"2013-11-02 23:00:00","1.90284768","38.36368728","11.29370026",""
"2013-11-03 00:00:00","1.94853641","36.12687672","10.58996954","43.71184158"
"2013-11-03 01:00:00","2.04181463","29.61884936","10.59841294",""
"2013-11-03 02:00:00","1.66535479","29.25260576","9.70372886","54.70085144"
"2013-11-03 03:00:00","2.01764156","24.2400492","9.01220244",""
"2013-11-03 04:00:00","1.96019021","22.47045496","7.80287582","42.49084091"
"2013-11-03 05:00:00","1.99950438","18.71551258","6.71243928",""
"2013-11-03 06:00:00","2.09410368","18.69375593","6.61749892","47.13063049"
"2013-11-03 07:00:00","1.94762009","14.17956408","5.9923667",""
"2013-11-03 08:00:00","1.85641146","16.47649557","6.47080072","35.89743042"
"2013-11-03 09:00:00","2.25250957","12.18075928","6.48398778",""
"2013-11-03 10:00:00","2.35085144","7.1321902","3.87551502","68.37606049"
"2013-11-03 11:00:00","2.26151917","5.36614846","3.3309755",""
"2013-11-03 12:00:00","2.03458579","4.07398062","2.50310245","34.92063141"
"2013-11-03 13:00:00","2.24215448","4.29013222","2.70284335",""
"2013-11-03 14:00:00","2.07004757","3.79097785","2.56287348","17.09399986"
"2013-11-03 15:00:00","2.15778822","3.46999894","2.10022875",""
"2013-11-03 16:00:00","2.05044896","3.59719665","2.31516814","8.05860806"
"2013-11-03 17:00:00","2.04343878","4.89900479","3.47324742",""
"2013-11-03 18:00:00","1.89366519","9.0105065","6.66954547","13.67521"
"2013-11-03 19:00:00","2.16959661","13.8916685","10.40160886",""
"2013-11-03 20:00:00","2.14163725","16.47853376","11.81642386","15.62880993"
"2013-11-03 21:00:00","2.14976613","16.0644328","11.42048498",""
"2013-11-03 22:00:00","2.41524177","14.81635186","9.73933222","29.05982971"
"2013-11-03 23:00:00","2.58137686","17.90873653","10.47769308",""
"2013-11-04 00:00:00","2.56659476","20.48381048","10.47108903","35.65322113"
"2013-11-04 01:00:00","2.53680073","","",""
"2013-11-04 02:00:00","","25.30797768","11.20107725","25.88521957"
"2013-11-04 03:00:00","2.01546416","22.65240088","9.93744601",""
"2013-11-04 04:00:00","2.47556615","14.9809655","6.84225261","15.87300968"
"2013-11-04 05:00:00","2.438826","17.10629116","5.46587646",""
"2013-11-04 06:00:00","2.43260095","19.02308072","6.58651114","22.95482063"
"2013-11-04 07:00:00","2.34074754","19.80355912","8.68160234",""
"2013-11-04 08:00:00","2.48245124","18.7953902","12.46630501","22.22220993"
"2013-11-04 09:00:00","2.55971476","18.01960958","11.0418",""
"2013-11-04 10:00:00","2.69484457","10.90995804","6.90697572","32.96702957"
"2013-11-04 11:00:00","2.46690232","6.48657472","4.08797454",""
"2013-11-04 12:00:00","2.55567829","5.30703898","3.71073312","18.07081032"
"2013-11-04 13:00:00","2.73026464","4.94181065","3.23619958",""
"2013-11-04 14:00:00","3.09047689","4.74895868","3.11203621","10.50061035"
"2013-11-04 15:00:00","5.49450217","10.36739936","7.52086347",""
"2013-11-04 16:00:00","3.651449","6.27525666","4.30216443","6.59340715"
"2013-11-04 17:00:00","3.13424857","5.85277158","4.34367969",""
"2013-11-04 18:00:00","3.03121528","6.75628335","5.04504335","25.39682007"
"2013-11-04 19:00:00","3.21572654","10.62398402","8.42666965",""
"2013-11-04 20:00:00","3.24607179","12.49998871","9.99985942","13.43101025"
"2013-11-04 21:00:00","3.39912825","10.04527707","7.91197454",""
"2013-11-04 22:00:00","2.82444494","8.4019016","5.99786752","32.47863007"
"2013-11-04 23:00:00","2.78731122","7.69720341","5.17065602",""
"2013-11-05 00:00:00","3.34970917","7.80981065","4.77603642","29.7924099"
"2013-11-05 01:00:00","2.80770614","8.29193866","4.4722311",""
"2013-11-05 02:00:00","2.93655801","7.47331203","3.92868009","25.39682007"
"2013-11-05 03:00:00","3.35613458","5.32090862","2.95749116",""
"2013-11-05 04:00:00","3.26908345","6.12137316","3.2540328","18.55920982"
"2013-11-05 05:00:00","3.51488116","5.15942875","2.91753418",""
"2013-11-05 06:00:00","3.35651494","4.34136426","2.74229747","14.65200996"
"2013-11-05 07:00:00","3.77886792","4.70272652","2.91885538",""
"2013-11-05 08:00:00","4.51725568","5.1146","3.48049964","8.05860806"
"2013-11-05 09:00:00","2.69547816","5.15942875","3.61793994",""
"2013-11-05 10:00:00","3.14420907","5.07738483","3.64404638","22.95482063"
"2013-11-05 11:00:00","3.55224371","6.26443665","4.82615186",""
"2013-11-05 12:00:00","3.24443137","6.02164324","4.57393994","16.84980965"
"2013-11-05 13:00:00","3.34352174","6.28648392","4.58384601",""
"2013-11-05 14:00:00","3.39819668","7.53718239","5.54810776","20.75702095"
"2013-11-05 15:00:00","3.64926245","5.47425294","3.82202299",""
