, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NOX,NO2,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,,,,,
,,,,,,,
11/01/2007 9.00,"0,92075315","81,98564224","32,09896192","71,75144958"
11/01/2007 10.00,"0,55964086","50,85826312","31,84717064","71,75144958"
11/01/2007 11.00,"0,42557687","31,06772472","22,6699148","71,75144958"
11/01/2007 12.00,"0,54862879","34,5306244","26,00933752","71,75144958"
11/01/2007 13.00,"0,54893795","29,07427352","21,91325992","71,75144958"
11/01/2007 14.00,"0,55784687","21,7774888","14,96965219","71,75144958"
11/01/2007 15.00,"0,53130623","21,8851344","15,98848434","71,75144958"
11/01/2007 16.00,"0,47989484","27,37263176","21,06834712","71,75144958"
11/01/2007 17.00,"0,51064282","27,07044016","20,68288792","71,75144958"
11/01/2007 18.00,"0,48608227","27,14177688","20,61667536","71,75144958"
11/01/2007 19.00,"0,50686873","29,18970096","22,36751288","71,75144958"
11/01/2007 20.00,"0,47791576","28,53084488","21,9599892","71,75144958"
11/01/2007 21.00,"0,48020503","30,67341296","24,63359616","71,75144958"
11/01/2007 22.00,"0,46214006","35,16095344","26,47399176","71,75144958"
11/01/2007 23.00,"0,43473292","30,014576","23,69912528","71,75144958"
12/01/2007 0.00,"0,50130066","32,53849248","25,09565008","71,75144958"
12/01/2007 1.00,,"36,51111224","29,23325632","49,94939041"
12/01/2007 2.00,"0,4502137",,,"49,94939041"
12/01/2007 3.00,"0,38123465","23,44280256","17,68220659","49,94939041"
12/01/2007 4.00,"0,35228778","20,61541344","15,60560634","49,94939041"
12/01/2007 5.00,"0,35598254","17,57141193","12,42582797","49,94939041"
12/01/2007 6.00,"0,33750671","18,97473771","11,55624846","49,94939041"
12/01/2007 7.00,"0,31779826","21,4752972","11,87163477","49,94939041"
12/01/2007 8.00,"0,32272461","28,71500872","14,55174253","49,94939041"
12/01/2007 9.00,"0,36152621","40,0259036","18,90610456","49,94939041"
12/01/2007 10.00,"0,33073145","26,95631288","14,9333089","49,94939041"
12/01/2007 11.00,"0,39047308","36,86131416","22,26109096","49,94939041"
12/01/2007 12.00,"0,51919274","34,127288","24,79324816","49,94939041"
12/01/2007 13.00,"0,48408793","19,7062192","13,76132938","49,94939041"
12/01/2007 14.00,"0,49702112","14,5326015","8,36997885","49,94939041"
12/01/2007 15.00,"0,45883582","12,64550338","7,21487273","49,94939041"
