Stat,Surbo-ENEL,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
09/01/2014 17.00,"3,1","11,5","12,8",,,,
09/01/2014 18.00,"3,3","15,8","16,9","8,8",,,
09/01/2014 19.00,"3,1","35,1","39,9",,,,
09/01/2014 20.00,"2,9","34,9","40,9","17,8",,,
09/01/2014 21.00,"3,2","37,2","44,5",,,,
09/01/2014 22.00,"3,6","38,8","47,2","22,0",,,
09/01/2014 23.00,"3,2","37,2","46,4",,,,
10/01/2014 0.00,"2,7","34,0","43,7","48,8",,,
10/01/2014 1.00,"4,2",,,,,,
10/01/2014 2.00,,"17,7","23,9","65,0",,,
10/01/2014 3.00,"3,5","18,8","25,5",,,,
10/01/2014 4.00,"1,8","22,4","28,0","59,3",,,
10/01/2014 5.00,"3,8","16,4","19,4",,,,
10/01/2014 6.00,"3,7","15,4","18,5","59,1",,,
10/01/2014 7.00,"3,5","32,6","38,0",,,,
10/01/2014 8.00,"3,3","39,8","55,9","44,4",,,
10/01/2014 9.00,"3,3","51,1","86,2",,,,
10/01/2014 10.00,"3,8","57,5","98,9","43,7",,,
10/01/2014 11.00,"3,7","49,7","77,3",,,,
10/01/2014 12.00,"3,3","24,8","35,4","51,3",,,
10/01/2014 13.00,"3,1","10,1","11,6",,,,
10/01/2014 14.00,"3,3","9,8","11,6","37,6",,,
10/01/2014 15.00,"3,8","5,7","6,3",,,,
10/01/2014 16.00,"2,9","15,2","17,3","20,0",,,
10/01/2014 17.00,"3,3","38,8","44,9",,,,
10/01/2014 18.00,"3,8","40,8","50,7","17,6",,,
10/01/2014 19.00,"3,7","37,4","50,4",,,,
10/01/2014 20.00,"3,7","46,9","85,0","24,4",,,
10/01/2014 21.00,"4,0","32,8","96,8",,,,
10/01/2014 22.00,"3,8","33,9","123,8","14,7",,,
10/01/2014 23.00,"3,9","33,6","117,7",,,,
11/01/2014 0.00,"3,8","24,9","106,3","20,0",,,
11/01/2014 1.00,"3,7","29,5","104,8",,,,
11/01/2014 2.00,"2,7","17,7","78,9","40,3",,,
11/01/2014 3.00,"3,7","18,4","64,2",,,,
11/01/2014 4.00,"3,6","22,7","40,4","36,6",,,
11/01/2014 5.00,"3,0","15,2","21,5",,,,
11/01/2014 6.00,"3,1","15,4","20,4","77,9",,,
11/01/2014 7.00,"3,5","21,7","28,5",,,,
11/01/2014 8.00,"3,6","23,3","41,1","67,2",,,
11/01/2014 9.00,"3,8","29,7","75,0",,,,
11/01/2014 10.00,"3,4","26,2","44,0","43,2",,,
11/01/2014 11.00,"3,6","20,6","29,6",,,,
11/01/2014 12.00,"4,1","17,6","23,0","69,4",,,
11/01/2014 13.00,"4,2","13,7","16,9",,,,
11/01/2014 14.00,"4,4","12,4","15,9","58,6",,,
11/01/2014 15.00,"3,8","9,2","11,8",,,,
11/01/2014 16.00,"3,7","9,7","12,6","35,7",,,
11/01/2014 17.00,"3,4","11,1","15,9",,,,
11/01/2014 18.00,"2,9","7,1","14,5","27,6",,,
11/01/2014 19.00,"3,0","11,4","22,4",,,,
11/01/2014 20.00,"3,3","42,6","65,0","13,9",,,
11/01/2014 21.00,"3,5","33,3","42,6",,,,
11/01/2014 22.00,"3,3","23,6","34,8","22,2",,,
11/01/2014 23.00,"3,3","21,8","38,6",,,,
12/01/2014 0.00,"3,8","32,5","89,6","37,1",,,
12/01/2014 1.00,"4,3",,,,,,
12/01/2014 2.00,,"37,5","88,5","31,0",,,
12/01/2014 3.00,"4,0","37,3","67,2",,,,
12/01/2014 4.00,"3,7","29,1","45,8","47,9",,,
12/01/2014 5.00,"3,7","26,3","41,9",,,,
12/01/2014 6.00,"3,9","21,4","32,0","47,1",,,
12/01/2014 7.00,"3,6","17,1","25,8",,,,
12/01/2014 8.00,"3,4","22,4","52,6","43,5",,,
12/01/2014 9.00,"3,6","22,1","47,8",,,,
12/01/2014 10.00,"3,2","16,1","29,9","44,7",,,
12/01/2014 11.00,"3,4","13,0","18,0",,,,
12/01/2014 12.00,"3,6","8,9","12,1","52,0",,,
12/01/2014 13.00,"3,1","10,4","13,5",,,,
12/01/2014 14.00,"3,3","9,5","12,2","29,1",,,
12/01/2014 15.00,"3,6","10,7","13,2",,,,
12/01/2014 16.00,"3,6","11,0","13,4","23,7",,,
12/01/2014 17.00,"3,9","9,6","14,1",,,,
12/01/2014 18.00,"3,2","10,1","14,1","23,7",,,
12/01/2014 19.00,"3,4","14,7","18,3",,,,
12/01/2014 20.00,"3,2","16,1","19,3","24,7",,,
12/01/2014 21.00,"3,3","13,2","15,6",,,,
12/01/2014 22.00,"3,5","19,3","20,8","26,1",,,
12/01/2014 23.00,"3,0","15,2","17,0",,,,
13/01/2014 0.00,"3,3","13,5","16,2","40,3",,,
13/01/2014 1.00,"3,7","12,3","15,5",,,,
13/01/2014 2.00,"3,7","11,7","15,6","45,4",,,
13/01/2014 3.00,"3,2","10,8","12,4",,,,
13/01/2014 4.00,"3,7","10,1","12,7","47,4",,,
13/01/2014 5.00,"3,5","8,4","11,5",,,,
13/01/2014 6.00,"2,4","8,6","10,5","52,7",,,
13/01/2014 7.00,"3,5","9,8","13,2",,,,
13/01/2014 8.00,"3,5","20,0","26,1","51,3",,,
13/01/2014 9.00,"3,8","19,6","27,4",,,,
13/01/2014 10.00,"4,4","19,4","27,2","47,4",,,
13/01/2014 11.00,"4,0","15,6","20,7",,,,
13/01/2014 12.00,"4,0","8,4","10,8","64,5",,,
13/01/2014 13.00,"3,9","7,7","10,1",,,,
13/01/2014 14.00,"3,7","7,1","9,5","33,5",,,
13/01/2014 15.00,"3,5","7,1","9,1",,,,
13/01/2014 16.00,"3,1","9,3","12,1","18,1",,,
13/01/2014 17.00,"3,9","10,7","15,1",,,,
13/01/2014 18.00,"4,0","10,4","16,3","22,2",,,
13/01/2014 19.00,"3,8","10,3","18,5",,,,
13/01/2014 20.00,"3,6","8,4","16,5","29,1",,,
13/01/2014 21.00,"4,0","11,3","20,2",,,,
13/01/2014 22.00,"3,8","7,0","16,7","20,0",,,
13/01/2014 23.00,"3,6","7,3","16,6",,,,
14/01/2014 0.00,"3,5","9,3","16,0","14,7",,,
14/01/2014 1.00,"3,8",,,,,,
14/01/2014 2.00,,"16,5","36,5","53,7",,,
14/01/2014 3.00,"1,8","19,4","31,5",,,,
14/01/2014 4.00,"2,6","12,8","20,6","44,2",,,
14/01/2014 5.00,"2,7","12,6","18,1",,,,
14/01/2014 6.00,"2,5","28,4","33,5","35,9",,,
14/01/2014 7.00,"2,5","29,8","32,9",,,,
14/01/2014 8.00,"2,7","34,9","39,5","40,8",,,
14/01/2014 9.00,"2,2","34,9","49,2",,,,
14/01/2014 10.00,"2,6","34,8","53,2","38,8",,,
14/01/2014 11.00,"2,9","27,0","35,8",,,,
14/01/2014 12.00,"2,3","20,1","26,0","34,4",,,
14/01/2014 13.00,"2,6","13,5","15,5",,,,
14/01/2014 14.00,"2,2","8,9","10,4","33,5",,,
14/01/2014 15.00,"2,3","6,9","8,0",,,,
14/01/2014 16.00,"2,1","11,2","13,0","21,5",,,
14/01/2014 17.00,"2,4","23,6","26,7",,,,
14/01/2014 18.00,"2,4","33,5","37,1","12,2",,,
14/01/2014 19.00,"2,1","43,1","49,2",,,,
14/01/2014 20.00,"2,4","32,5","36,6","14,7",,,
14/01/2014 21.00,"2,5","23,0","25,7",,,,
14/01/2014 22.00,"2,8","11,0","12,3","32,7",,,
14/01/2014 23.00,"2,9","9,1","10,2",,,,
15/01/2014 0.00,"2,8","6,7","7,4","29,5",,,
15/01/2014 1.00,"2,7","5,4","6,2",,,,
15/01/2014 2.00,"2,8","4,5","5,2","23,9",,,
15/01/2014 3.00,"2,9","4,5","5,4",,,,
15/01/2014 4.00,"2,7","5,1","6,1","19,0",,,
15/01/2014 5.00,"2,9","4,9","5,9",,,,
15/01/2014 6.00,"2,7","5,6","6,2","19,5",,,
15/01/2014 7.00,"2,5","10,7","11,8",,,,
15/01/2014 8.00,"2,4","22,7","25,4","19,5",,,
15/01/2014 9.00,"2,2","32,0","38,3",,,,
15/01/2014 10.00,"2,3","27,0","32,6","14,9",,,
15/01/2014 11.00,"2,1","27,1","31,8",,,,
15/01/2014 12.00,"2,2","17,2","21,0","22,0",,,
15/01/2014 13.00,"2,3","5,7","6,6",,,,
15/01/2014 14.00,"1,8","4,1","5,0","22,2",,,
15/01/2014 15.00,"2,0","4,6","4,9",,,,
15/01/2014 16.00,"1,5","5,2","5,5","12,2",,,
15/01/2014 17.00,"1,7","11,0","12,8",,,,
15/01/2014 18.00,"1,8","13,0","14,9","8,1",,,
15/01/2014 19.00,"2,0","14,6","16,1",,,,
15/01/2014 20.00,"1,8","18,6","21,3","5,4",,,
15/01/2014 21.00,"1,4","21,7","23,2",,,,
15/01/2014 22.00,"1,8","20,3","22,3","5,4",,,
15/01/2014 23.00,"2,0","12,3","13,3",,,,
16/01/2014 0.00,"2,2","8,4","9,4","23,7",,,
16/01/2014 1.00,"2,1",,,,,,
16/01/2014 2.00,,"8,5","9,3","25,2",,,
16/01/2014 3.00,,"7,1","7,4",,,,
16/01/2014 4.00,,"7,5","8,0","20,0",,,
16/01/2014 5.00,,"7,9","8,6",,,,
16/01/2014 6.00,,"8,6","9,5","15,9",,,
16/01/2014 7.00,,"9,6","10,4",,,,
16/01/2014 8.00,,"10,3","11,6","17,1",,,
16/01/2014 9.00,,"11,3","14,0",,,,
16/01/2014 10.00,,"11,6","15,9","21,2",,,
16/01/2014 11.00,,"11,9","16,3",,,,
16/01/2014 12.00,,"8,2","10,3","14,9",,,
16/01/2014 13.00,,"7,4","8,9",,,,
16/01/2014 14.00,,"10,2","12,5","9,3",,,
16/01/2014 15.00,,"6,9","8,1",,,,
16/01/2014 16.00,,"5,5","6,3","7,3",,,
16/01/2014 17.00,,,,,,,
16/01/2014 18.00,"4,7","7,1","10,9",,,,
16/01/2014 19.00,"5,1","46,0","113,0",,,,
16/01/2014 20.00,"4,7","52,9","141,7",,,,
16/01/2014 21.00,"4,2","51,3","143,3",,,,
16/01/2014 22.00,"3,7","50,5","112,2",,,,
16/01/2014 23.00,"4,4","47,1","88,2",,,,
17/01/2014 0.00,"4,6","46,3","76,2","34,9",,,
17/01/2014 1.00,"3,8","51,3","72,2",,,,
17/01/2014 2.00,"4,0","34,2","41,8","64,5",,,
17/01/2014 3.00,"4,1","16,7","18,4",,,,
17/01/2014 4.00,"4,3","14,0","14,9","70,3",,,
17/01/2014 5.00,"4,2","11,9","13,2",,,,
17/01/2014 6.00,"4,1","10,4","10,4","47,4",,,
17/01/2014 7.00,"4,1","17,5","17,9",,,,
17/01/2014 8.00,"4,2","29,6","31,7","29,5",,,
17/01/2014 9.00,"4,0","32,8","40,1",,,,
17/01/2014 10.00,"3,5","20,7","26,2","27,8",,,
17/01/2014 11.00,"4,1","12,1","14,3",,,,
17/01/2014 12.00,"4,4","4,8","5,1","18,8",,,
17/01/2014 13.00,"3,6","4,8","5,1",,,,
17/01/2014 14.00,"3,8","5,3","5,4","15,6",,,
17/01/2014 15.00,"4,3","4,7","4,5",,,,
17/01/2014 16.00,"4,4","5,8","5,4","8,5",,,
17/01/2014 17.00,"4,2","7,3","6,7",,,,
17/01/2014 18.00,"4,5","10,3","9,8","10,7",,,
17/01/2014 19.00,"4,2","9,9","9,7",,,,
17/01/2014 20.00,"4,0","7,4","7,0","13,9",,,
17/01/2014 21.00,"4,0","7,6","7,3",,,,
17/01/2014 22.00,"4,1","6,6","6,1","23,2",,,
17/01/2014 23.00,"4,1","5,1","4,8",,,,
18/01/2014 0.00,"4,1","3,3","2,9","17,1",,,
18/01/2014 1.00,"4,0",,,,,,
18/01/2014 2.00,,"3,9","3,2","18,8",,,
18/01/2014 3.00,"3,8","3,3","2,8",,,,
18/01/2014 4.00,"4,0","4,0","3,8","15,1",,,
18/01/2014 5.00,"4,1","4,9","4,8",,,,
18/01/2014 6.00,"3,9","5,6","5,4","15,9",,,
18/01/2014 7.00,"3,7","9,5","9,5",,,,
18/01/2014 8.00,"3,8","12,1","12,5","15,1",,,
18/01/2014 9.00,"4,1","14,8","15,5",,,,
18/01/2014 10.00,"4,0","10,3","10,9","18,8",,,
18/01/2014 11.00,"3,6","5,7","5,6",,,,
18/01/2014 12.00,"3,6","5,3","5,0","14,2",,,
18/01/2014 13.00,"3,6","6,4","6,5",,,,
18/01/2014 14.00,"4,1","3,8","3,6","12,7",,,
18/01/2014 15.00,"3,9","3,2","3,1",,,,
18/01/2014 16.00,"3,9","3,5","3,3","12,2",,,
18/01/2014 17.00,"3,8","3,8","3,2",,,,
18/01/2014 18.00,"3,5","4,5","4,1","16,6",,,
18/01/2014 19.00,"4,1","5,4","5,3",,,,
18/01/2014 20.00,"3,9","4,9","4,8","27,6",,,
18/01/2014 21.00,"4,1","4,7","4,3",,,,
18/01/2014 22.00,"3,9","5,2","4,8","23,9",,,
18/01/2014 23.00,"4,6","4,0","3,6",,,,
19/01/2014 0.00,"4,1","3,0","2,7","28,1",,,
19/01/2014 1.00,"4,5","2,7","2,3",,,,
19/01/2014 2.00,"4,3","2,6","2,3","17,8",,,
19/01/2014 3.00,"4,1","2,4","1,9",,,,
19/01/2014 4.00,"3,8","1,6","1,2","20,5",,,
19/01/2014 5.00,"4,1","1,7","1,4",,,,
