,Provincia di TARANTO,,,,,
,MARTINA FRANCA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene
,,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,
07/01/2008 20.00,"46,418714","10,604036","30,180709","0,634222","27,415409","1,084491"
07/01/2008 21.00,"23,719066","4,227742","17,248713","0,372322","41,42372","0,599903"
07/01/2008 22.00,"28,419299","2,053813","25,287728","0,5389","29,675425","0,405803"
07/01/2008 23.00,"15,771211","0,866187","14,453097","0,33174","44,710164","1,072167"
08/01/2008 0.00,"10,513277","0,225006","10,276548","0,184195","46,264687","0,106072"
08/01/2008 1.00,"10,941278","0,301136","10,564675","0,191666","42,964718","0,115316"
08/01/2008 2.00,"0,183959","39,292343","0,154047",,,
08/01/2008 3.00,"16,590899","0,038911","16,646501","24,857481","0,103432",
08/01/2008 4.00,"21,029131","0,976153","19,545935","0,501587","0,172533",
08/01/2008 5.00,"31,148144","5,107464","23,333129","0,703778","4,016306","0,187938"
08/01/2008 6.00,"119,526575","56,187162","33,399428","0,872808","1,21058","0,275084"
08/01/2008 7.00,"135,725782","61,979801","40,722023","0,866914","3,016969","0,766274"
08/01/2008 8.00,"129,34728","58,061667","40,350829","1,18517","3,603301","0,956412"
08/01/2008 9.00,"155,193385","72,191349","44,535181","1,394824","3,490909","1,627177"
08/01/2008 10.00,"94,152577","38,538597","35,086673","1,08985","5,530206","1,24514"
08/01/2008 11.00,"74,446339","28,648479","30,541503","0,749513","9,411101","1,006587"
08/01/2008 12.00,"52,483346","19,003681","23,361695","0,597536","16,902063","0,745148"
08/01/2008 13.00,"82,108868","32,003269","33,061978","0,636983","14,223625","0,804126"
08/01/2008 14.00,"82,168523","31,981273","33,155436","0,759964","13,233769","0,78784"
08/01/2008 15.00,"67,699483","25,346148","28,856879","0,684369","14,727355","0,860023"
08/01/2008 16.00,"81,553759","30,500971","34,811514","0,816307","12,377962","0,730623"
08/01/2008 17.00,"92,419805","34,803158","39,08411","0,97017","16,517496","0,911518"
08/01/2008 18.00,"87,382337","30,023894","41,376137","0,895281","22,708507","1,040477"
08/01/2008 19.00,"85,491351","28,89718","41,212623","0,968126","24,784363","1,504379"
08/01/2008 20.00,"88,593741","30,75981","41,459212","0,893553","20,444422","1,161074"
08/01/2008 21.00,"104,772169","38,315283","46,056275","1,096058","12,838368","0,999105"
08/01/2008 22.00,"49,731195","13,960514","28,345514","0,608694","28,589427","0,830533"
08/01/2008 23.00,"28,170279","5,943199","19,070929","0,488621","37,728342","0,409766"
