SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



06/01/2010 15.00,"3,24822173","8,67238268","0,02085117","69,69998169","68,5061454","2,27308246","17,81783814"
06/01/2010 16.00,"5,04201853","14,90605907","0,04605828","69,69998169","62,95108785","2,0827082","25,77607352"
06/01/2010 17.00,"6,90076909","24,78416616","0,28632205","69,69998169","38,64372855","3,58519654","38,18938936"
06/01/2010 18.00,"8,2562633","36,69992224","0,64144667","69,69998169","23,49054645","5,25543598","56,64795208"
06/01/2010 19.00,"10,59129225","41,61624784","1,06755474","69,69998169","27,8982795","6,34063295","67,25461912"
06/01/2010 20.00,"10,37851551","44,65328776","0,93920553","69,69998169","18,09119466","8,147905","74,14414784"
06/01/2010 21.00,"8,34900963","41,2320888","0,70365534","69,69998169","6,41958881","6,75123958","75,04940336"
06/01/2010 22.00,"5,40839786","30,50907656","0,21685893","69,69998169","13,09751216","4,17512671","51,46522752"
06/01/2010 23.00,"4,40140006","24,42333352","0,17983756","69,69998169","24,26364885","2,92227933","39,72761248"
07/01/2010 0.00,"3,34924237","24,04955664","0,02117854","69,69998169","18,99677703","2,60061138","41,51615464"
07/01/2010 1.00,"2,40904723","16,2454667",,"44,40000153","34,26330705","1,64588432","30,93153296"
07/01/2010 2.00,"2,02187533","11,30575734",,"44,40000153","34,4572809","0,75832503","24,22098656"
07/01/2010 3.00,"1,37125568","10,6101029",,"44,40000153","39,1409025","0,68703232","22,08228072"
07/01/2010 4.00,"1,15148198","11,30835957",,"44,40000153","24,3387606","0,61740239","20,65172232"
07/01/2010 5.00,"1,80234469","18,80486416",,"44,40000153","15,69269993","0,70455523","28,16119792"
07/01/2010 6.00,"1,03724644","14,35576253",,"44,40000153","27,3532854","1,02610622","25,06532576"
07/01/2010 7.00,"4,02920145","22,21436168","0,00134791","44,40000153","22,68468615","0,74749093","36,31784728"
07/01/2010 8.00,"4,61402018","38,6636036","0,02430074","44,40000153","9,00717363","1,83877058","63,18339752"
07/01/2010 9.00,"4,01138056","46,36517784","0,00826801","44,40000153","6,64778289","1,94037091","82,67952616"
07/01/2010 10.00,"2,84228821","39,93292304","0,04167205","44,40000153","14,87999079","2,73535371","68,8317132"
07/01/2010 11.00,"3,98807194","39,42283968","0,02256139","44,40000153","29,3078667","2,89782556","65,61005056"
07/01/2010 12.00,"4,16207759","32,2495128","0,03421722","44,40000153","35,1224538","2,47608787","55,36913"
07/01/2010 13.00,"6,89446471","29,0009292","0,00991881","44,40000153","34,2646836","2,97267066","48,42772872"
07/01/2010 14.00,"4,3108057","22,1494684","0,02736119","44,40000153","43,627857","3,71642208","40,63032504"
07/01/2010 15.00,"3,64569787","16,32592557","0,01283481","44,40000153","48,08748","2,8579612","29,2247288"
07/01/2010 16.00,"3,35518267","19,18642288","0,02917044","44,40000153","52,30397235","2,33271222","33,109148"
07/01/2010 17.00,"7,11602629","34,31831592","0,23515409","44,40000153","36,98963415","2,61615012","48,94521152"
07/01/2010 18.00,"9,14735768","49,18155384","0,68800939","44,40000153","26,6771799","4,46548123","73,75115536"
07/01/2010 19.00,"6,234509","36,180776","0,49745151","44,40000153","22,6600878","5,68301227","60,41434352"
07/01/2010 20.00,"5,88964938","33,5902072","0,38639439","44,40000153","16,16666405","3,51190745","61,42342064"
07/01/2010 21.00,"3,43423001","34,20541232","0,11845837","44,40000153","30,5617641","4,25828579","56,02410472"
07/01/2010 22.00,"2,60636048","23,6926436","0,02338155","44,40000153","39,80062905","2,4856975","37,28153352"
07/01/2010 23.00,"1,55465739","14,20520782",,"44,40000153","51,2140041","1,47873834","24,32345064"
08/01/2010 0.00,"1,15493774","9,41995556",,"44,40000153","53,82148905","0,84729321","17,88009286"
08/01/2010 1.00,,"6,24665887",,"39,09999084","55,4864961","0,53779469","13,83742124"
08/01/2010 2.00,"0,77630559",,,"39,09999084","65,4738651","0,35921762",
08/01/2010 3.00,"0,65884209","14,62701606",,"39,09999084","68,92958415","0,28707978","22,83971952"
08/01/2010 4.00,"0,66237617","7,74570129","0,03084338","39,09999084",,"0,30906732","15,60779366"
08/01/2010 5.00,"0,50185085","5,19903966","0,01400796","39,09999084","69,16240065","0,30232257","11,97642766"
08/01/2010 6.00,"0,64641334","5,44716946","0,01236881","39,09999084","69,41137665",,"12,18118566"
08/01/2010 7.00,"1,24433103","9,3187209","0,11468843","39,09999084","68,724558","0,36141841","18,46502719"
08/01/2010 8.00,"1,50496779","12,10913767","0,06784145","39,09999084","72,79034805","0,36838181","21,57776128"
08/01/2010 9.00,"1,54103569","12,99299026","0,15055062","39,09999084","70,81457985","0,54526455","21,21849648"
08/01/2010 10.00,"1,82981996","12,18311678","0,22248355","39,09999084","73,0578177","0,69004976","20,47922168"
08/01/2010 11.00,"1,62304047","14,19482375","0,29910676","39,09999084","72,87501585","0,80237029","23,3247748"
08/01/2010 12.00,"2,25251669","14,00533308","0,30018206","39,09999084","74,0497317","0,75765076","23,28976608"
08/01/2010 13.00,,,"0,21567063","39,09999084","76,39994145","0,93260934",
08/01/2010 14.00,"1,6592294","13,15263653","0,18123556","39,09999084","78,3641586","0,87678316","22,19122648"
