"NetC","SIMAGE Brindisi","","","","",""
"Stat","MESAGNE 2","","","","",""
"Parm","NOX","NO2","CO","O3","BENZENE","TOLUENE"
"PtId","1","3","4","5","6","7"
"Unit","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"2013-01-06 06:00:00","13.21811679","16.52264742","0.30934711","57.84324945","0.1890603","1.1015127"
"2013-01-06 07:00:00","13.03135263","16.28919031","0.30861549","58.7930889","0.1762461","1.01542365"
"2013-01-06 08:00:00","12.54174488","15.67718206","0.31434496","58.57740945","0.21697695","1.1239884"
"2013-01-06 09:00:00","11.17603005","13.97003947","0.32469832","62.42831805","0.2424528","1.1367009"
"2013-01-06 10:00:00","10.39525146","12.99406481","0.34635101","63.9592212","0.21189195","1.1011059"
"2013-01-06 11:00:00","10.97370221","13.71712967","0.3659498","64.02519585","0.30515085","1.4708871"
"2013-01-06 12:00:00","11.08718706","13.85898478","0.39293703","65.3277114","0.27342045","1.34747415"
"2013-01-06 13:00:00","11.51972926","14.39966205","0.40783272","63.2986368","0.3782223","1.69762725"
"2013-01-06 14:00:00","9.72406681","12.15508494","0.39799429","63.0533715","0.3898161","1.6685919"
"2013-01-06 15:00:00","8.85574348","11.06967887","0.40791194","60.7037403","0.31837185","1.35174555"
"2013-01-06 16:00:00","8.98608834","11.23261186","0.41385926","57.44403","0.23629995","1.1759571"
"2013-01-06 17:00:00","10.37774328","12.97217814","0.4323117","55.1240046","0.3103884","1.38550995"
"2013-01-06 18:00:00","13.49891311","16.87364091","0.47599337","51.39995805","0.5005674","1.89278955"
"2013-01-06 19:00:00","14.58318346","18.22897932","0.49140283","48.64689795","0.4953807","2.0485431"
"2013-01-06 20:00:00","15.61622176","19.5202772","0.49404971","46.45965975","0.56957085","2.1558366"
"2013-01-06 21:00:00","21.79695296","27.21699496","0.65648799","43.04429955","0.6467103","2.36386395"
"2013-01-06 22:00:00","16.63694296","20.79617392","0.52803159","43.04940675","0.6016572","2.3976792"
"2013-01-06 23:00:00","20.6971132","25.82276456","0.70062401","39.7583949","0.5848767","2.23958655"
"2013-01-07 00:00:00","18.57591937","23.2199016","0.72476631","29.97082515","0.6111153","2.29775895"
"2013-01-07 01:00:00","14.53519417","18.16899414","0.64337009","30.17637","0.5712489","2.371644"
"2013-01-07 02:00:00","10.92182391","13.65228037","0.53881833","35.11497255","0.3696795","1.898739"
"2013-01-07 03:00:00","8.62034186","10.77542781","0.47374026","38.6301027","0.37878165","1.6661511"
"2013-01-07 04:00:00","8.66184565","10.8273061","0.46633203","35.4947208","0.2976759","1.5489927"
"2013-01-07 05:00:00","9.07493134","11.34366465","0.43648007","32.8051017","0.3560517","1.656693"
"2013-01-07 06:00:00","10.23572374","12.79465468","0.41504407","35.58268035","0.278658","1.47073455"
"2013-01-07 07:00:00","13.47167667","16.83959584","0.43381222","38.218215","0.2912688","1.43391915"
"2013-01-07 08:00:00","27.01338608","30.76339168","0.53178522","29.7999933","0.5195853","2.3874075"
"2013-01-07 09:00:00","29.13522808","32.44379112","0.60749158","25.5701544","0.57252015","4.1496651"
