"NetC","ARPA Puglia","","",""
"Stat","ASM","","",""
"Parm","SO2","NOX","NO2","PM10"
"PtId","1","2","4","7"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Field","Aver","Aver","Aver","Aver"
"2013-01-07 01:00:00","19.87035957","8.05291571","5.98319101","19.5"
"2013-01-07 02:00:00","20.46636225","17.65701217","12.44269372","19.5"
"2013-01-07 03:00:00","20.65057146","16.49881434","13.06827144","19.5"
"2013-01-07 04:00:00","20.60001639","15.46771863","12.79701791","19.5"
"2013-01-07 05:00:00","21.31882182","8.100905","6.07014877","19.5"
"2013-01-07 06:00:00","21.32966304","11.09432073","8.05070162","19.5"
"2013-01-07 07:00:00","21.11655069","12.75834006","9.71846656","19.5"
"2013-01-07 08:00:00","21.34410444","31.3258256","23.43047016","19.5"
"2013-01-07 09:00:00","20.9341314","33.0793208","24.01971032","19.5"
"2013-01-07 10:00:00","20.75533263","44.21775328","28.22090968","19.5"
"2013-01-07 11:00:00","21.63127473","38.3087364","22.87367664","19.5"
"2013-01-07 12:00:00","22.4096967","32.3698732","20.00797104","19.5"
"2013-01-07 13:00:00","22.30674579","26.97447688","17.4213314","19.5"
"2013-01-07 14:00:00","22.14239859","27.77340608","18.86716477","19.5"
"2013-01-07 15:00:00","22.29591474","24.8993068","16.59718674","19.5"
"2013-01-07 16:00:00","22.87926594","18.04869875","12.1636507","19.5"
"2013-01-07 17:00:00","22.4096967","16.13177153","10.73858548","19.5"
"2013-01-07 18:00:00","21.94011729","19.85149296","14.34797113","19.5"
"2013-01-07 19:00:00","22.02319602","25.07440776","18.15852594","19.5"
"2013-01-07 20:00:00","21.4885998","22.49731856","16.54267754","19.5"
"2013-01-07 21:00:00","21.87509031","23.57251264","17.01379625","19.5"
"2013-01-07 22:00:00","20.87814555","9.53665448","6.05068078","19.5"
"2013-01-07 23:00:00","20.89078686","10.07360144","6.65029737","19.5"
"2013-01-08 00:00:00","21.27367719","7.40183382","4.58148851","19.5"
"2013-01-08 01:00:00","","6.15803576","4.05195629","26.89999962"
"2013-01-08 02:00:00","20.41398675","","","26.89999962"
"2013-01-08 03:00:00","20.49526539","5.17103842","3.04870121","26.89999962"
"2013-01-08 04:00:00","21.3982902","5.56661592","3.31995665","26.89999962"
"2013-01-08 05:00:00","20.53679967","5.13083097","2.96044711","26.89999962"
"2013-01-08 06:00:00","19.8414666","8.14240687","5.17851051","26.89999962"
"2013-01-08 07:00:00","20.25504999","12.45873922","8.50625282","26.89999962"
"2013-01-08 08:00:00","20.30742549","20.51034904","15.40314657","26.89999962"
"2013-01-08 09:00:00","20.5602822","36.84703152","28.68814512","26.89999962"
"2013-01-08 10:00:00","20.67045381","48.05938192","35.16972952","26.89999962"
"2013-01-08 11:00:00","21.28812876","38.03635288","27.88606112","26.89999962"
"2013-01-08 12:00:00","25.0447437","21.75026192","15.02416522","26.89999962"
"2013-01-08 13:00:00","25.53960573","19.91114736","12.85802027","26.89999962"
"2013-01-08 14:00:00","25.86289986","16.34966305","10.61529207","26.89999962"
"2013-01-08 15:00:00","24.77744559","18.90470306","12.94108329","26.89999962"
"2013-01-08 16:00:00","23.33259369","20.65560368","15.68218002","26.89999962"
"2013-01-08 17:00:00","23.31634203","17.35870958","13.39143959","26.89999962"
"2013-01-08 18:00:00","22.42775862","37.35287024","30.6790916","26.89999962"
"2013-01-08 19:00:00","22.18213278","40.2684408","33.62007264","26.89999962"
"2013-01-08 20:00:00","22.45484133","37.89629888","29.29036776","26.89999962"
"2013-01-08 21:00:00","22.02138576","28.5956808","24.76598304","26.89999962"
"2013-01-08 22:00:00","21.37842819","29.29994688","25.53432024","26.89999962"
"2013-01-08 23:00:00","21.10208895","27.13139472","22.2753736","26.89999962"
"2013-01-09 00:00:00","20.95761393","16.25368638","12.53744288","26.89999962"
"2013-01-09 01:00:00","20.86008363","12.9282423","10.0351473","45.79999161"
"2013-01-09 02:00:00","20.82757014","10.55996644","8.41670048","45.79999161"
"2013-01-09 03:00:00","20.86910442","9.80512796","6.30506282","45.79999161"
"2013-01-09 04:00:00","20.86369398","8.73512496","5.07078652","45.79999161"
"2013-01-09 05:00:00","20.7770049","7.30715541","4.41536057","45.79999161"
"2013-01-09 06:00:00","20.67406416","7.63788361","4.20121274","45.79999161"
"2013-01-09 07:00:00","20.62347858","12.69349076","9.54195646","45.79999161"
"2013-01-09 08:00:00","20.52595845","20.30283968","15.76395053","45.79999161"
"2013-01-09 09:00:00","20.85828354","36.18299392","22.66343312","45.79999161"
"2013-01-09 10:00:00","22.1694813","69.56320616","38.30148992","45.79999161"
"2013-01-09 11:00:00","22.27424247","62.24567624","36.87123744","45.79999161"
"2013-01-09 12:00:00","24.91471008","31.65004344","21.18126984","45.79999161"
"2013-01-09 13:00:00","25.48723023","67.02632632","43.8343208","45.79999161"
"2013-01-09 14:00:00","25.08808824","27.30519552","19.3149284","45.79999161"
"2013-01-09 15:00:00","24.5805849","19.92541088","14.01312448","45.79999161"
"2013-01-09 16:00:00","24.14169855","21.56479792","15.82105623","45.79999161"
"2013-01-09 17:00:00","23.52403377","21.28205136","16.17408026","45.79999161"
"2013-01-09 18:00:00","23.52583386","43.01156808","33.60318968","45.79999161"
"2013-01-09 19:00:00","24.74855262","67.26108168","38.2988896","45.79999161"
"2013-01-09 20:00:00","25.03391265","68.98086832","34.46756664","45.79999161"
"2013-01-09 21:00:00","23.95025847","51.71556568","30.79329536","45.79999161"
"2013-01-09 22:00:00","23.98999266","55.59868472","34.38710968","45.79999161"
"2013-01-09 23:00:00","","","","45.79999161"
"2013-01-10 00:00:00","","","","45.79999161"
"2013-01-10 01:00:00","","","","25.7999897"
"2013-01-10 02:00:00","","","","25.7999897"
"2013-01-10 03:00:00","","","","25.7999897"
"2013-01-10 04:00:00","","","","25.7999897"
"2013-01-10 05:00:00","","","","25.7999897"
"2013-01-10 06:00:00","","","","25.7999897"
"2013-01-10 07:00:00","","","","25.7999897"
"2013-01-10 08:00:00","","","","25.7999897"
"2013-01-10 09:00:00","","","","25.7999897"
"2013-01-10 10:00:00","","","","25.7999897"
"2013-01-10 11:00:00","","","","25.7999897"
"2013-01-10 12:00:00","","","","25.7999897"
"2013-01-10 13:00:00","","","","25.7999897"
