"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-06 10:00:00","2.176523","8.093769","1.872151","6.155601","0.976801"
"2013-01-06 11:00:00","1.970783","5.445997","1.311308","4.36822",""
"2013-01-06 12:00:00","1.949126","6.562043","1.61918","5.011807","2.197802"
"2013-01-06 13:00:00","1.790308","9.139132","2.734953","5.875979",""
"2013-01-06 14:00:00","1.91664","9.12227","2.420323","6.34245","11.23321"
"2013-01-06 15:00:00","1.949126","8.594401","1.818515","6.738853",""
"2013-01-06 16:00:00","1.941907","11.352419","3.366745","7.119686","10.01221"
"2013-01-06 17:00:00","1.862498","10.021723","2.471424","7.163801",""
"2013-01-06 18:00:00","1.868815","8.68973","1.852301","6.782321","4.884005"
"2013-01-06 19:00:00","1.667585","7.964721","1.751789","6.211396",""
"2013-01-06 20:00:00","1.864303","8.040594","2.378936","5.32387","3.418803"
"2013-01-06 21:00:00","1.851669","5.692421","1.342137","4.567393",""
"2013-01-06 22:00:00","1.56652","6.206671","0.595051","6.229561","6.105006"
"2013-01-06 23:00:00","1.900398","11.756427","1.084521","11.029865",""
"2013-01-07 00:00:00","1.719923","9.093089","0.729349","8.91096","6.593407"
"2013-01-07 01:00:00","1.461845","8.10674","0.366153","8.482119",""
"2013-01-07 02:00:00","1.737971","6.103563","0.370375","6.471556","5.372406"
"2013-01-07 03:00:00","1.867913","5.425244","0.370375","5.792935",""
"2013-01-07 04:00:00","1.932883","5.433026","0.380089","5.7858","9.76801"
"2013-01-07 05:00:00","1.570129","6.809766","0.371643","7.17613",""
"2013-01-07 06:00:00","1.571934","7.080184","0.405851","7.394119","10.74481"
"2013-01-07 07:00:00","1.92386","7.945266","0.676559","7.843722",""
"2013-01-07 08:00:00","1.927469","8.014654","2.389917","5.281049","27.35042"
"2013-01-07 09:00:00","1.909421","6.270224","1.714202","4.573883",""
"2013-01-07 10:00:00","1.949126","7.722836","2.407231","4.9625","14.40781"
"2013-01-07 11:00:00","1.835427","8.810997","2.748468","5.526936",""
"2013-01-07 12:00:00","1.949126","11.672123","3.712627","6.908184","7.081807"
"2013-01-07 13:00:00","1.904007","10.255178","2.905571","6.730418",""
"2013-01-07 14:00:00","1.849865","9.210465","2.606144","6.145221","3.907204"
"2013-01-07 15:00:00","1.831817","11.438019","3.663636","6.749233",""
"2013-01-07 16:00:00","1.932883","14.829607","4.466048","8.909661","3.418803"
