Stat,S. Pietro  Vernotico,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,
,,,,,,,,,
15/01/2014 4.00,"2,0","5,7","12,4","25,5",,,
15/01/2014 5.00,"1,5","5,1","11,8","25,5",,,
15/01/2014 6.00,"1,8","5,2","11,9","25,5",,,
15/01/2014 7.00,"1,5","7,2","13,8","25,5",,,
15/01/2014 8.00,"1,8","13,2","20,8","25,5",,,
15/01/2014 9.00,"2,1","16,0","24,9","25,5",,,
15/01/2014 10.00,"1,6","16,2","25,2","25,5",,,
15/01/2014 11.00,"1,7","16,4","25,1","25,5",,,
15/01/2014 12.00,"1,8","17,3","26,1","25,5",,,
15/01/2014 13.00,"1,6","13,1","22,3","25,5",,,
15/01/2014 14.00,"1,7","10,6","18,9","25,5",,,
15/01/2014 15.00,"1,7","12,2","21,3","25,5",,,
15/01/2014 16.00,"1,6","13,1","19,9","25,5",,,
15/01/2014 17.00,"1,5","18,3","25,3","25,5",,,
15/01/2014 18.00,"1,9","29,1","37,5","25,5",,,
15/01/2014 19.00,"2,2","47,7","58,8","25,5",,,
15/01/2014 20.00,"2,3","45,3","57,9","25,5",,,
15/01/2014 21.00,"2,3","42,1","55,8","25,5",,,
15/01/2014 22.00,"2,3","34,3","44,9","25,5",,,
15/01/2014 23.00,"1,9","24,8","32,2","25,5",,,
16/01/2014 0.00,"1,8","14,9","21,6","25,5",,,
16/01/2014 1.00,,"15,2","22,0","52,8",,,
16/01/2014 2.00,"1,5",,,"52,8",,,
16/01/2014 3.00,"1,6","11,6","18,0","52,8",,,
16/01/2014 4.00,"1,9","11,7","18,1","52,8",,,
16/01/2014 5.00,"1,7","10,8","17,3","52,8",,,
16/01/2014 6.00,"1,8","11,1","17,8","52,8",,,
16/01/2014 7.00,"2,1","12,9","19,9","52,8",,,
16/01/2014 8.00,"2,0","16,4","24,4","52,8",,,
16/01/2014 9.00,"2,0","17,9","27,3","52,8",,,
16/01/2014 10.00,"1,7","14,4","24,4","52,8",,,
16/01/2014 11.00,"2,1","12,7","22,6","52,8",,,
16/01/2014 12.00,"2,0","12,4","22,0","52,8",,,
16/01/2014 13.00,"2,3","11,0","19,4","52,8",,,
16/01/2014 14.00,"2,0","12,0","20,0","52,8",,,
16/01/2014 15.00,"2,4","11,2","18,6","52,8",,,
16/01/2014 16.00,"2,1","11,7","18,6","52,8",,,
16/01/2014 17.00,"1,8","17,0","23,6","52,8",,,
16/01/2014 18.00,"2,3","39,4","58,0","52,8",,,
16/01/2014 19.00,"2,6","54,1","87,6","52,8",,,
16/01/2014 20.00,"4,0","50,4","113,7","52,8",,,
16/01/2014 21.00,"4,4","47,8","121,4","52,8",,,
16/01/2014 22.00,"3,9","40,2","73,2","52,8",,,
16/01/2014 23.00,"3,4","40,6","59,8","52,8",,,
17/01/2014 0.00,"3,0","46,5","67,4","52,8",,,
17/01/2014 1.00,"3,0","40,8","73,2","29,1",,,
17/01/2014 2.00,"2,5","33,8","45,8","29,1",,,
17/01/2014 3.00,"2,2","19,3","25,8","29,1",,,
17/01/2014 4.00,"2,1","13,1","18,8","29,1",,,
17/01/2014 5.00,"1,9","11,9","17,6","29,1",,,
17/01/2014 6.00,"1,9","10,7","16,4","29,1",,,
17/01/2014 7.00,"2,2","10,2","16,0","29,1",,,
17/01/2014 8.00,"2,1","13,7","19,9","29,1",,,
17/01/2014 9.00,"2,4","22,8","29,7","29,1",,,
17/01/2014 10.00,"2,5","30,0","37,5","29,1",,,
17/01/2014 11.00,"2,6","13,7","21,1","29,1",,,
17/01/2014 12.00,"1,9","8,2","15,2","29,1",,,
17/01/2014 13.00,"2,1","6,7","13,6","29,1",,,
17/01/2014 14.00,"2,6","6,7","13,4","29,1",,,
17/01/2014 15.00,"2,2","6,7","12,9","29,1",,,
17/01/2014 16.00,"2,4","6,8","12,7","29,1",,,
17/01/2014 17.00,"1,9","8,1","14,3","29,1",,,
17/01/2014 18.00,"1,8","9,2","15,6","29,1",,,
17/01/2014 19.00,"1,5","9,6","15,7","29,1",,,
17/01/2014 20.00,"1,5","8,3","14,1","29,1",,,
17/01/2014 21.00,"1,7","8,5","14,2","29,1",,,
17/01/2014 22.00,"1,3","8,6","13,9","29,1",,,
17/01/2014 23.00,"1,6","7,8","12,8","29,1",,,
18/01/2014 0.00,"1,6","6,0","10,9","29,1",,,
18/01/2014 1.00,,"5,4","10,6","18,3",,,
18/01/2014 2.00,"1,2",,,"18,3",,,
18/01/2014 3.00,"1,6","5,2","10,3","18,3",,,
18/01/2014 4.00,"1,5","4,9","10,4","18,3",,,
18/01/2014 5.00,"1,6","5,0","10,4","18,3",,,
18/01/2014 6.00,"1,4","5,3","10,9","18,3",,,
18/01/2014 7.00,"1,7","6,1","11,7","18,3",,,
18/01/2014 8.00,"1,7","8,4","14,0","18,3",,,
18/01/2014 9.00,"1,4","10,8","16,8","18,3",,,
18/01/2014 10.00,"1,8","10,9","17,1","18,3",,,
18/01/2014 11.00,"1,6","7,7","13,9","18,3",,,
18/01/2014 12.00,"1,7","7,9","14,0","18,3",,,
18/01/2014 13.00,"1,9","10,1","16,5","18,3",,,
18/01/2014 14.00,"1,7","7,3","13,4","18,3",,,
