,TARANTO,,,,
07/01/2010 8.00,"0,647468","51,944717","24,200001","8,5","0,702708"
07/01/2010 9.00,"0,882274","79,941121","24,200001","8,5","1,35976"
07/01/2010 10.00,"0,902848","80,701672","24,200001","8,5","2,591109"
07/01/2010 11.00,"0,735278","54,571613","24,200001","8,5","1,856786"
07/01/2010 12.00,"0,513293","35,056805","24,200001","8,5","1,333152"
07/01/2010 13.00,"0,368981","30,897135","24,200001","8,5","0,885428"
07/01/2010 14.00,"0,42772","50,169233","24,200001","8,5","1,003096"
07/01/2010 15.00,"0,43726","22,154668","24,200001","8,5","1,100353"
07/01/2010 16.00,"0,391642","21,583593","24,200001","8,5","0,607533"
07/01/2010 17.00,"0,542066","49,897977","24,200001","8,5","0,916668"
07/01/2010 18.00,"0,688019","61,25436","24,200001","8,5","1,455698"
07/01/2010 19.00,"0,861402","66,697635","24,200001","8,5","1,781867"
07/01/2010 20.00,"1,048353","68,826148","24,200001","8,5","1,915793"
07/01/2010 21.00,"0,883914","65,704773","24,200001","8,5","2,010408"
07/01/2010 22.00,"0,914476","43,762946","24,200001","8,5","1,613992"
07/01/2010 23.00,"0,73811","19,086499","24,200001","8,5","1,010616"
08/01/2010 0.00,"0,70412","11,139629","24,200001","8,5","0,398301"
08/01/2010 1.00,,"8,724297","43,299992",10,"0,319094"
08/01/2010 2.00,"0,994614",,"43,299992",10,"0,195211"
08/01/2010 3.00,"0,86683","17,054361","43,299992",10,"0,182225"
08/01/2010 4.00,"0,799867","5,907913","43,299992",10,
08/01/2010 5.00,"0,752637","3,711915","43,299992",10,
08/01/2010 6.00,"0,697789","3,313467","43,299992",10,
08/01/2010 7.00,"0,664898","5,983191","43,299992",10,
08/01/2010 8.00,"0,750039","13,26944","43,299992",10,
08/01/2010 9.00,"0,806769","25,841922","43,299992",10,
08/01/2010 10.00,"0,764915","16,673761","43,299992",10,
08/01/2010 11.00,"0,907861","18,63355","43,299992",10,
08/01/2010 12.00,"0,574821","20,806516","43,299992",10,
08/01/2010 13.00,"0,688648","20,087166","43,299992",10,
08/01/2010 14.00,"0,691336","26,745246","43,299992",10,
08/01/2010 15.00,"0,68587","11,779477","43,299992",10,
08/01/2010 16.00,"0,7875","9,469275","43,299992",10,
08/01/2010 17.00,"0,615835","13,988427","43,299992",10,
08/01/2010 18.00,"0,48001","19,645875","43,299992",10,
08/01/2010 19.00,"0,5699","17,75099","43,299992",10,"0,59975"
08/01/2010 20.00,"0,568556","21,934024","43,299992",10,"0,572463"
08/01/2010 21.00,"0,550004","20,553082","43,299992",10,"0,570607"
08/01/2010 22.00,"0,519891","15,321374","43,299992",10,"0,516685"
08/01/2010 23.00,"0,547584","9,139616","43,299992",10,"0,318316"
09/01/2010 0.00,"0,510123","7,197999","43,299992",10,"0,308642"
09/01/2010 1.00,"0,656205","5,794999","45,700001","6,2","0,121792"
09/01/2010 2.00,"0,505911","2,802105","45,700001","6,2","0,234025"
09/01/2010 3.00,"0,488435","3,26934","45,700001","6,2","0,123391"
09/01/2010 4.00,"0,657728","0,991575","45,700001","6,2",
09/01/2010 5.00,"0,621074","0,425701","45,700001","6,2",
09/01/2010 6.00,"0,32165","1,016234","45,700001","6,2",
09/01/2010 7.00,"0,575726","5,91051","45,700001","6,2","0,10371"
09/01/2010 8.00,"0,543014","14,904756","45,700001","6,2","0,248567"
09/01/2010 9.00,"0,640252","23,137149","45,700001","6,2","0,514102"
09/01/2010 10.00,"0,840914","32,249511","45,700001","6,2","0,870468"
09/01/2010 11.00,"0,842707","23,346112","45,700001","6,2","0,897978"
09/01/2010 12.00,"0,68354","29,657661","45,700001","6,2","0,823138"
09/01/2010 13.00,"0,567569","31,560351","45,700001","6,2","0,931615"
09/01/2010 14.00,"0,69053","39,805716","45,700001","6,2","1,022036"
09/01/2010 15.00,"0,611484","28,633633","45,700001","6,2","1,095205"
09/01/2010 16.00,"0,537726","12,469953","45,700001","6,2","0,591216"
09/01/2010 17.00,"0,605659","17,028077","45,700001","6,2","0,485899"
09/01/2010 18.00,"0,640073","19,163058","45,700001","6,2","0,701106"
09/01/2010 19.00,"0,514066","24,250717","45,700001","6,2","0,717793"
09/01/2010 20.00,"0,730859","22,778936","45,700001","6,2","0,67938"
09/01/2010 21.00,"0,75667","35,540925","45,700001","6,2","0,905295"
09/01/2010 22.00,"0,917181","26,128761","45,700001","6,2","0,860359"
09/01/2010 23.00,"1,02392","17,691291","45,700001","6,2","0,656661"
10/01/2010 0.00,"1,192319","18,484288","45,700001","6,2","0,600842"
10/01/2010 1.00,,"21,536882",9,"3,1","0,680855"
10/01/2010 2.00,"0,796972",,9,"3,1","0,705815"
10/01/2010 3.00,"1,07536","53,91813",9,"3,1","0,836706"
10/01/2010 4.00,"1,126024","40,195075",9,"3,1",
10/01/2010 5.00,"0,760371","6,207723",9,"3,1","0,767451"
10/01/2010 6.00,"0,754271","9,497829",9,"3,1","0,440528"
10/01/2010 7.00,"0,753912","8,559465",9,"3,1","0,485082"
10/01/2010 8.00,"0,751759","10,290819",9,"3,1","0,462369"
10/01/2010 9.00,"0,869457","14,261011",9,"3,1","0,600028"
10/01/2010 10.00,"0,944812","12,81778",9,"3,1","0,623554"
10/01/2010 11.00,"0,752836","15,582254",9,"3,1","0,754999"
10/01/2010 12.00,"0,882376","18,926864",9,"3,1","0,76969"
10/01/2010 13.00,"0,883093","17,008608",9,"3,1","0,829898"
10/01/2010 14.00,"0,984284","18,699736",9,"3,1","0,785988"
10/01/2010 15.00,"0,886682","13,037125",9,"3,1","0,642465"
10/01/2010 16.00,"0,844698","9,907955",9,"3,1","0,46993"
10/01/2010 17.00,"0,875917","13,14225",9,"3,1","0,506197"
10/01/2010 18.00,"0,933688","24,094985",9,"3,1","0,580274"
10/01/2010 19.00,"1,096241","29,960064",9,"3,1","1,05676"
10/01/2010 20.00,"1,198509","58,130381",9,"3,1","1,175899"
10/01/2010 21.00,"1,213939","74,71199",9,"3,1","1,449271"
10/01/2010 22.00,"1,06574","59,824106",9,"3,1","1,428623"
10/01/2010 23.00,"1,203533","46,083539",9,"3,1","1,44705"
11/01/2010 0.00,"1,292883","60,881864",9,"3,1","1,325999"
11/01/2010 1.00,"1,455794","62,797533","22,29999",12,"2,641165"
11/01/2010 2.00,"1,535813","55,722829","22,29999",12,"1,655119"
11/01/2010 3.00,"1,498854","35,821262","22,29999",12,"1,531468"
11/01/2010 4.00,"1,936273","26,580412","22,29999",12,"1,736282"
11/01/2010 5.00,"1,847642","18,528415","22,29999",12,"1,200848"
11/01/2010 6.00,"1,813552","33,398127","22,29999",12,"1,440328"
11/01/2010 7.00,"2,069402","50,594941","22,29999",12,"1,396791"
11/01/2010 8.00,"2,44869","65,442579","22,29999",12,"2,524347"
11/01/2010 9.00,"3,017803","84,682246","22,29999",12,"4,653249"
11/01/2010 10.00,"2,76303","80,734122","22,29999",12,"5,149079"
11/01/2010 11.00,"2,407783","71,333642","22,29999",12,"3,608128"
11/01/2010 12.00,"1,938845","56,543173","22,29999",12,"2,904122"
11/01/2010 13.00,"2,033159","53,451545","22,29999",12,"2,668146"
11/01/2010 14.00,"1,957804","51,041392","22,29999",12,"1,755593"
11/01/2010 15.00,"1,902544","28,414308","22,29999",12,"1,744778"
11/01/2010 16.00,"1,8419","33,854978","22,29999",12,"1,004509"
11/01/2010 17.00,"2,05146","59,046688","22,29999",12,"1,395706"
11/01/2010 18.00,"2,268914","88,143676","22,29999",12,"2,583183"
11/01/2010 19.00,"2,237695","79,551762","22,29999",12,"2,102854"
11/01/2010 20.00,"2,25779","70,911811","22,29999",12,"1,990373"
11/01/2010 21.00,"2,051819","66,794969","22,29999",12,"1,966535"
11/01/2010 22.00,"2,018447","68,639247","22,29999",12,"2,740419"
11/01/2010 23.00,"1,841183","50,070593","22,29999",12,"2,510223"
12/01/2010 0.00,"1,813552","41,572137","22,29999",12,"2,050399"
12/01/2010 1.00,,"37,57858","15,4","10,1","1,573776"
12/01/2010 2.00,"0,419534",,"15,4","10,1","1,308591"
12/01/2010 3.00,"0,369546","33,664354","15,4","10,1","1,171411"
12/01/2010 4.00,"0,425833","16,589395","15,4","10,1",
12/01/2010 5.00,"0,435193","14,636097","15,4","10,1","0,870067"
12/01/2010 6.00,"0,3731","13,309669","15,4","10,1","0,969751"
12/01/2010 7.00,"0,340703","24,891868","15,4","10,1","1,156666"
12/01/2010 8.00,"0,542281","47,249018","15,4","10,1","1,338333"
12/01/2010 9.00,"0,846448","78,596528","15,4","10,1","2,328815"
12/01/2010 10.00,"0,617332","67,829384","15,4","10,1","4,615697"
12/01/2010 11.00,"0,608154","54,565132","15,4","10,1","2,494101"
12/01/2010 12.00,"0,516183","50,990781","15,4","10,1","2,253475"
12/01/2010 13.00,"0,430153","32,602526","15,4","10,1","1,840564"
12/01/2010 14.00,"0,3713","39,095791","15,4","10,1","1,678699"
12/01/2010 15.00,"0,354381","31,289095","15,4","10,1","1,73657"
12/01/2010 16.00,"0,340883","32,929612","15,4","10,1","1,307061"
12/01/2010 17.00,"0,337643","39,943304","15,4","10,1","1,472061"
12/01/2010 18.00,"0,311366","51,136152","15,4","10,1","1,798475"
12/01/2010 19.00,"0,471548","64,04089","15,4","10,1","1,946374"
12/01/2010 20.00,"0,483427","53,877252","15,4","10,1","2,267267"
12/01/2010 21.00,"0,45823","61,74236","15,4","10,1","2,046709"
12/01/2010 22.00,"0,63893","72,560129","15,4","10,1","2,414385"
12/01/2010 23.00,"0,618592","49,291874","15,4","10,1","2,229508"
13/01/2010 0.00,"0,467769","43,974489","15,4","10,1","1,68464"
13/01/2010 1.00,"0,515823","61,712514","22,04999",,"1,576379"
13/01/2010 2.00,"0,702283","57,807215","22,04999",,"2,39585"
13/01/2010 3.00,"0,882624","46,995945","22,04999",,"2,818382"
13/01/2010 4.00,"0,616793","37,771962","22,04999",,"2,016307"
13/01/2010 5.00,"0,602394","26,980155","22,04999",,"1,553708"
13/01/2010 6.00,"0,73648","35,422821","22,04999",,"1,562895"
13/01/2010 7.00,"0,719202","41,247669","22,04999",,"1,508487"
13/01/2010 8.00,"0,792453","54,707881","22,04999",,"1,87116"
13/01/2010 9.00,"1,717913","79,246754","22,04999",,"3,958929"
13/01/2010 10.00,"1,716473","76,697736","22,04999",,"5,021907"
13/01/2010 11.00,"1,352733","75,419333","22,04999",,"4,042499"
13/01/2010 12.00,"1,124337","76,460224","22,04999",,"3,412431"
13/01/2010 13.00,"1,069624","72,819683","22,04999",,"3,928337"
13/01/2010 14.00,"1,063324","72,945587","22,04999",,"3,475869"
13/01/2010 15.00,"1,017969","76,000794","22,04999",,"3,978752"
13/01/2010 16.00,"0,854186","60,91951","22,04999",,"2,412255"
13/01/2010 17.00,"1,028588","68,226526","22,04999",,"2,382191"
13/01/2010 18.00,"0,987373","72,931306","22,04999",,"2,491814"
13/01/2010 19.00,"0,998711","84,226696","22,04999",,"2,972881"
13/01/2010 20.00,"1,208208","86,989863","22,04999",,"3,459352"
13/01/2010 21.00,"1,216128","74,810652","22,04999",,"5,034294"
13/01/2010 22.00,"1,085281","72,70938","22,04999",,"4,840642"
13/01/2010 23.00,"0,769416","59,541169","22,04999",,"3,472425"
14/01/2010 0.00,"0,797493","50,297719","22,04999",,"2,822281"
14/01/2010 1.00,,"36,048388","30,9","20,5","2,359219"
14/01/2010 2.00,"0,493569",,"30,9","20,5","1,714486"
14/01/2010 3.00,"0,296917","34,682474","30,9","20,5","1,496541"
14/01/2010 4.00,"0,33433","15,985891","30,9","20,5",
14/01/2010 5.00,"0,499999","15,512167","30,9","20,5","1,455966"
14/01/2010 6.00,"0,427929","22,719244","30,9","20,5","1,423072"
14/01/2010 7.00,"0,405053","22,606321","30,9","20,5","1,398714"
14/01/2010 8.00,"0,25598","38,720712","30,9","20,5","1,183496"
14/01/2010 9.00,"0,577152","69,258337","30,9","20,5","2,229431"
14/01/2010 10.00,"0,649669","71,952725","30,9","20,5","3,71137"
14/01/2010 11.00,"0,619167","69,726855","30,9","20,5","2,727496"
14/01/2010 12.00,"0,531099","64,948095","30,9","20,5","3,278392"
14/01/2010 13.00,"0,658043","56,575524","30,9","20,5","3,169715"
14/01/2010 14.00,"0,501793","52,48723","30,9","20,5","2,629109"
14/01/2010 15.00,"0,533492","50,618306","30,9","20,5","2,437436"
14/01/2010 16.00,"0,451405","41,914766","30,9","20,5","1,8462"
14/01/2010 17.00,"0,427032","67,809902","30,9","20,5","2,087529"
14/01/2010 18.00,"0,684507","78,749673","30,9","20,5","2,704966"
14/01/2010 19.00,"0,691086","81,89832","30,9","20,5","4,137264"
14/01/2010 20.00,"0,732204","80,704276","30,9","20,5","3,718528"
14/01/2010 21.00,"0,904004","83,31041","30,9","20,5","3,621093"
14/01/2010 22.00,"0,846738","76,065686","30,9","20,5","4,007411"
14/01/2010 23.00,"0,787677","63,637249","30,9","20,5","3,409395"
15/01/2010 0.00,"0,651014","46,240572","30,9","20,5","2,649133"
15/01/2010 1.00,"0,609148","44,387214","22,1","13,1","2,563635"
15/01/2010 2.00,"0,654753","23,160515","22,1","13,1","2,013266"
15/01/2010 3.00,"0,6715","19,590064","22,1","13,1","1,593669"
15/01/2010 4.00,"0,650866","12,065012","22,1","13,1","1,395426"
15/01/2010 5.00,"0,533192","11,323932","22,1","13,1","1,173646"
15/01/2010 6.00,"0,527361","18,299996","22,1","13,1","1,186718"
15/01/2010 7.00,"0,534389","30,606415","22,1","13,1","1,136966"
15/01/2010 8.00,"0,700656","65,206387","22,1","13,1","1,541025"
15/01/2010 9.00,"1,139948","83,642653","22,1","13,1","3,077996"
15/01/2010 10.00,"1,07685","77,899578","22,1","13,1","3,602588"
15/01/2010 11.00,"0,770482","61,960405","22,1","13,1","3,721428"
15/01/2010 12.00,"0,569078","51,844779","22,1","13,1","2,681738"
15/01/2010 13.00,"0,634717","59,598282","22,1","13,1","2,067587"
15/01/2010 14.00,"0,585375","52,722156","22,1","13,1","2,192748"
15/01/2010 15.00,"0,460675","49,493038","22,1","13,1","2,287649"
15/01/2010 16.00,"0,398922","36,455912","22,1","13,1","1,612311"
15/01/2010 17.00,"0,520483","45,358031","22,1","13,1","1,626443"
15/01/2010 18.00,"0,511063","45,486517","22,1","13,1","1,781306"
15/01/2010 19.00,"0,546499","50,319786","22,1","13,1","1,841016"
15/01/2010 20.00,"0,551135","49,437245","22,1","13,1","1,900744"
15/01/2010 21.00,"0,484597","46,57152","22,1","13,1","2,263117"
15/01/2010 22.00,"0,482803","33,158018","22,1","13,1","1,682096"
15/01/2010 23.00,"0,478018","23,177378","22,1","13,1","1,372484"
16/01/2010 0.00,"0,385764","15,821057","22,1","13,1","1,063309"
16/01/2010 1.00,,"12,503694","23,1","12,7","1,182028"
16/01/2010 2.00,"0,85795",,"23,1","12,7","1,280088"
16/01/2010 3.00,"0,851745","25,03588","23,1","12,7","1,309093"
16/01/2010 4.00,"0,925433","11,558841","23,1","12,7",
16/01/2010 5.00,"0,902235","10,39206","23,1","12,7","1,341277"
16/01/2010 6.00,"0,926863","9,75351","23,1","12,7","1,279533"
16/01/2010 7.00,"0,884157","14,944997","23,1","12,7","1,334469"
16/01/2010 8.00,"0,935499","37,3787","23,1","12,7","1,523025"
16/01/2010 9.00,"1,072639","49,289274","23,1","12,7","1,876013"
16/01/2010 10.00,"1,09015","41,912166","23,1","12,7","2,331703"
16/01/2010 11.00,"0,924451","38,091226","23,1","12,7","2,127358"
16/01/2010 12.00,"0,920133","35,002296","23,1","12,7","2,172092"
16/01/2010 13.00,"1,032793","38,6545","23,1","12,7","1,904826"
16/01/2010 14.00,"1,162874","44,039381","23,1","12,7","2,262185"
16/01/2010 15.00,"0,839576","23,87564","23,1","12,7","2,066613"
16/01/2010 16.00,"0,760032","17,068316","23,1","12,7","1,256781"
16/01/2010 17.00,"0,837491","20,110511","23,1","12,7","1,286182"
16/01/2010 18.00,"0,847527","29,631716","23,1","12,7","1,602055"
16/01/2010 19.00,"1,000986","38,958202","23,1","12,7","1,960869"
16/01/2010 20.00,"1,221542","35,333262","23,1","12,7","1,90143"
16/01/2010 21.00,"1,383996","41,574719","23,1","12,7","1,825773"
16/01/2010 22.00,"1,246469","38,289808","23,1","12,7","2,139104"
16/01/2010 23.00,"1,11183","25,98079","23,1","12,7","1,808878"
17/01/2010 0.00,"1,17023","22,122222","23,1","12,7","1,41162"
17/01/2010 1.00,"1,264248","28,438953","31,700001","22,9","1,50477"
17/01/2010 2.00,"1,274373","32,997086","31,700001","22,9","1,715676"
17/01/2010 3.00,"0,985203","15,320082","31,700001","22,9","1,553639"
17/01/2010 4.00,"1,271275","15,26427","31,700001","22,9","1,519925"
17/01/2010 5.00,"1,160194","15,841827","31,700001","22,9","1,497822"
17/01/2010 6.00,"1,260644","34,676526","31,700001","22,9","1,699651"
